# T (K)               Helmholtz Free Energy (Ry.)
# V= 131.9300000000000
    0.00      -0.8188486479147
  100.00      -0.8190937726638
  200.00      -0.8206323657475
  300.00      -0.8234925268751
  400.00      -0.8274134978467
  500.00      -0.8321911343539
  600.00      -0.8376792090490
  700.00      -0.8437712771737
  800.00      -0.8503874159134
  900.00      -0.8574657938646
 1000.00      -0.8649573184979
 1100.00      -0.8728221466851
 1200.00      -0.8810273373538
 1300.00      -0.8895452241533
 1400.00      -0.8983522560605
 1500.00      -0.9074281510865
 1600.00      -0.9167552651376
 1700.00      -0.9263181123158
 1800.00      -0.9361029941346
 1900.00      -0.9460977085887
 2000.00      -0.9562913187966
 2100.00      -0.9666739667824
 2200.00      -0.9772367219484
 2300.00      -0.9879714565505
 2400.00      -0.9988707424376
 2500.00      -1.0099277647191
 2600.00      -1.0211362490354
 2700.00      -1.0324903998623
 2800.00      -1.0439848478384
 2900.00      -1.0556146045278
 3000.00      -1.0673750233527
 3100.00      -1.0792617656827
 3200.00      -1.0912707712566
 3300.00      -1.1033982322686
 3400.00      -1.1156405705695
 3500.00      -1.1279944175283
 3600.00      -1.1404565961785
 3700.00      -1.1530241053344
 3800.00      -1.1656941054126
 3900.00      -1.1784639057369
 4000.00      -1.1913309531378
 4100.00      -1.2042928216851
 4200.00      -1.2173472034171
 4300.00      -1.2304918999483
 4400.00      -1.2437248148536
 4500.00      -1.2570439467423
 4600.00      -1.2704473829440
 4700.00      -1.2839332937425
 4800.00      -1.2974999270973
 4900.00      -1.3111456038040
 5000.00      -1.3248687130478
 5100.00      -1.3386677083120
 5200.00      -1.3525411036058
 5300.00      -1.3664874699815
 5400.00      -1.3805054323139
 5500.00      -1.3945936663171
 5600.00      -1.4087508957782
 5700.00      -1.4229758899874
 5800.00      -1.4372674613487
 5900.00      -1.4516244631540
 6000.00      -1.4660457875087
# V= 124.1700000000000
    0.00      -0.8121762062929
  100.00      -0.8123318472187
  200.00      -0.8135048271198
  300.00      -0.8158678012912
  400.00      -0.8192360604572
  500.00      -0.8234342044324
  600.00      -0.8283282761732
  700.00      -0.8338177506349
  800.00      -0.8398258595301
  900.00      -0.8462925889029
 1000.00      -0.8531699598254
 1100.00      -0.8604188459900
 1200.00      -0.8680067866285
 1300.00      -0.8759064480623
 1400.00      -0.8840945161680
 1500.00      -0.8925508816643
 1600.00      -0.9012580289195
 1700.00      -0.9102005692554
 1800.00      -0.9193648788732
 1900.00      -0.9287388139021
 2000.00      -0.9383114832328
 2100.00      -0.9480730652934
 2200.00      -0.9580146586979
 2300.00      -0.9681281593261
 2400.00      -0.9784061582649
 2500.00      -0.9888418563844
 2600.00      -0.9994289923052
 2700.00      -1.0101617812425
 2800.00      -1.0210348627554
 2900.00      -1.0320432558410
 3000.00      -1.0431823201324
 3100.00      -1.0544477221991
 3200.00      -1.0658354061394
 3300.00      -1.0773415678058
 3400.00      -1.0889626321187
 3500.00      -1.1006952330216
 3600.00      -1.1125361957036
 3700.00      -1.1244825207796
 3800.00      -1.1365313701652
 3900.00      -1.1486800544256
 4000.00      -1.1609260214126
 4100.00      -1.1732668460289
 4200.00      -1.1857002209836
 4300.00      -1.1982239484229
 4400.00      -1.2108359323335
 4500.00      -1.2235341716330
 4600.00      -1.2363167538703
 4700.00      -1.2491818494713
 4800.00      -1.2621277064708
 4900.00      -1.2751526456824
 5000.00      -1.2882550562595
 5100.00      -1.3014333916106
 5200.00      -1.3146861656329
 5300.00      -1.3280119492351
 5400.00      -1.3414093671204
 5500.00      -1.3548770948082
 5600.00      -1.3684138558704
 5700.00      -1.3820184193650
 5800.00      -1.3956895974489
 5900.00      -1.4094262431549
 6000.00      -1.4232272483186
# V= 116.7460000000000
    0.00      -0.7961771304020
  100.00      -0.7962927969882
  200.00      -0.7972508310446
  300.00      -0.7992805673698
  400.00      -0.8022580086443
  500.00      -0.8060358202751
  600.00      -0.8104930093811
  700.00      -0.8155355606094
  800.00      -0.8210902596123
  900.00      -0.8270991747529
 1000.00      -0.8335156198131
 1100.00      -0.8403013099252
 1200.00      -0.8474243538948
 1300.00      -0.8548578164247
 1400.00      -0.8625786698625
 1500.00      -0.8705670158638
 1600.00      -0.8788054973264
 1700.00      -0.8872788468569
 1800.00      -0.8959735349098
 1900.00      -0.9048774918808
 2000.00      -0.9139798859023
 2100.00      -0.9232709431816
 2200.00      -0.9327418012501
 2300.00      -0.9423843879708
 2400.00      -0.9521913209286
 2500.00      -0.9621558231088
 2600.00      -0.9722716517141
 2700.00      -0.9825330376693
 2800.00      -0.9929346338890
 2900.00      -1.0034714707841
 3000.00      -1.0141389177886
 3100.00      -1.0249326499245
 3200.00      -1.0358486186103
 3300.00      -1.0468830260612
 3400.00      -1.0580323027478
 3500.00      -1.0692930874702
 3600.00      -1.0806622096807
 3700.00      -1.0921366737460
 3800.00      -1.1037136448924
 3900.00      -1.1153904366133
 4000.00      -1.1271644993565
 4100.00      -1.1390334103299
 4200.00      -1.1509948642945
 4300.00      -1.1630466652253
 4400.00      -1.1751867187418
 4500.00      -1.1874130252212
 4600.00      -1.1997236735193
 4700.00      -1.2121168352327
 4800.00      -1.2245907594471
 4900.00      -1.2371437679192
 5000.00      -1.2497742506499
 5100.00      -1.2624806618097
 5200.00      -1.2752615159813
 5300.00      -1.2881153846899
 5400.00      -1.3010408931939
 5500.00      -1.3140367175121
 5600.00      -1.3271015816658
 5700.00      -1.3402342551174
 5800.00      -1.3534335503872
 5900.00      -1.3666983208348
 6000.00      -1.3800274585891
# V= 109.5930000000000
    0.00      -0.7682792391083
  100.00      -0.7683681169183
  200.00      -0.7691684904525
  300.00      -0.7709337014466
  400.00      -0.7735876348041
  500.00      -0.7770099228848
  600.00      -0.7810931095375
  700.00      -0.7857502631331
  800.00      -0.7909121279984
  900.00      -0.7965231257754
 1000.00      -0.8025380452667
 1100.00      -0.8089195681802
 1200.00      -0.8156364608061
 1300.00      -0.8226622494136
 1400.00      -0.8299742392054
 1500.00      -0.8375527774846
 1600.00      -0.8453806921053
 1700.00      -0.8534428573932
 1800.00      -0.8617258540778
 1900.00      -0.8702176995411
 2000.00      -0.8789076313703
 2100.00      -0.8877859318369
 2200.00      -0.8968437841723
 2300.00      -0.9060731538233
 2400.00      -0.9154666895323
 2500.00      -0.9250176403045
 2600.00      -0.9347197852178
 2700.00      -0.9445673736999
 2800.00      -0.9545550744045
 2900.00      -0.9646779311998
 3000.00      -0.9749313250808
 3100.00      -0.9853109410456
 3200.00      -0.9958127391557
 3300.00      -1.0064329291428
 3400.00      -1.0171679480373
 3500.00      -1.0280144403827
 3600.00      -1.0389692406744
 3700.00      -1.0500293577205
 3800.00      -1.0611919606681
 3900.00      -1.0724543664809
 4000.00      -1.0838140286840
 4100.00      -1.0952685272208
 4200.00      -1.1068155592877
 4300.00      -1.1184529310321
 4400.00      -1.1301785500144
 4500.00      -1.1419904183479
 4600.00      -1.1538866264440
 4700.00      -1.1658653472946
 4800.00      -1.1779248312377
 4900.00      -1.1900634011556
 5000.00      -1.2022794480618
 5100.00      -1.2145714270377
 5200.00      -1.2269378534864
 5300.00      -1.2393772996722
 5400.00      -1.2518883915192
 5500.00      -1.2644698056463
 5600.00      -1.2771202666155
 5700.00      -1.2898385443764
 5800.00      -1.3026234518881
 5900.00      -1.3154738429051
 6000.00      -1.3283886099115
# V= 102.7770000000000
    0.00      -0.7256641029284
  100.00      -0.7257337871506
  200.00      -0.7264117954240
  300.00      -0.7279578384291
  400.00      -0.7303316776799
  500.00      -0.7334380903299
  600.00      -0.7371836190943
  700.00      -0.7414890876149
  800.00      -0.7462897386099
  900.00      -0.7515327439129
 1000.00      -0.7571746572843
 1100.00      -0.7631793421123
 1200.00      -0.7695163852390
 1300.00      -0.7761599008928
 1400.00      -0.7830876271712
 1500.00      -0.7902802377277
 1600.00      -0.7977208115964
 1700.00      -0.8053944199954
 1800.00      -0.8132878005193
 1900.00      -0.8213890973516
 2000.00      -0.8296876519243
 2100.00      -0.8381738325587
 2200.00      -0.8468388945553
 2300.00      -0.8556748643089
 2400.00      -0.8646744425644
 2500.00      -0.8738309230590
 2600.00      -0.8831381236367
 2700.00      -0.8925903275535
 2800.00      -0.9021822331714
 2900.00      -0.9119089106024
 3000.00      -0.9217657641528
 3100.00      -0.9317484996320
 3200.00      -0.9418530957704
 3300.00      -0.9520757791205
 3400.00      -0.9624130019315
 3500.00      -0.9728614225696
 3600.00      -0.9834178881312
 3700.00      -0.9940794189506
 3800.00      -1.0048431947522
 3900.00      -1.0157065422354
 4000.00      -1.0266669239124
 4100.00      -1.0377219280446
 4200.00      -1.0488692595474
 4300.00      -1.0601067317477
 4400.00      -1.0714322588996
 4500.00      -1.0828438493707
 4600.00      -1.0943395994274
 4700.00      -1.1059176875542
 4800.00      -1.1175763692512
 4900.00      -1.1293139722604
 5000.00      -1.1411288921780
 5100.00      -1.1530195884141
 5200.00      -1.1649845804667
 5300.00      -1.1770224444792
 5400.00      -1.1891318100559
 5500.00      -1.2013113573114
 5600.00      -1.2135598141325
 5700.00      -1.2258759536351
 5800.00      -1.2382585917967
 5900.00      -1.2507065852529
 6000.00      -1.2632188292407
# V=  96.1639000000000
    0.00      -0.6646863732952
  100.00      -0.6647416947936
  200.00      -0.6653224213236
  300.00      -0.6666873964286
  400.00      -0.6688221074875
  500.00      -0.6716536323018
  600.00      -0.6751022667976
  700.00      -0.6790968228463
  800.00      -0.6835772745187
  900.00      -0.6884937050501
 1000.00      -0.6938045320501
 1100.00      -0.6994748561365
 1200.00      -0.7054751120219
 1300.00      -0.7117800112934
 1400.00      -0.7183677231360
 1500.00      -0.7252192388546
 1600.00      -0.7323178758405
 1700.00      -0.7396488870354
 1800.00      -0.7471991505300
 1900.00      -0.7549569204760
 2000.00      -0.7629116253213
 2100.00      -0.7710537029096
 2200.00      -0.7793744645652
 2300.00      -0.7878659821736
 2400.00      -0.7965209936676
 2500.00      -0.8053328233675
 2600.00      -0.8142953144009
 2700.00      -0.8234027710237
 2800.00      -0.8326499091090
 2900.00      -0.8420318134218
 3000.00      -0.8515439005642
 3100.00      -0.8611818866884
 3200.00      -0.8709417592394
 3300.00      -0.8808197521221
 3400.00      -0.8908123237926
 3500.00      -0.9009161378575
 3600.00      -0.9111280458344
 3700.00      -0.9214450717831
 3800.00      -0.9318643985597
 3900.00      -0.9423833554881
 4000.00      -0.9529994072701
 4100.00      -0.9637101439829
 4200.00      -0.9745132720360
 4300.00      -0.9854066059728
 4400.00      -0.9963880610242
 4500.00      -1.0074556463271
 4600.00      -1.0186074587371
 4700.00      -1.0298416771726
 4800.00      -1.0411565574317
 4900.00      -1.0525504274373
 5000.00      -1.0640216828644
 5100.00      -1.0755687831135
 5200.00      -1.0871902475956
 5300.00      -1.0988846523008
 5400.00      -1.1106506266221
 5500.00      -1.1224868504126
 5600.00      -1.1343920512546
 5700.00      -1.1463650019218
 5800.00      -1.1584045180180
 5900.00      -1.1705094557770
 6000.00      -1.1826787100109
# V=  89.9554000000000
    0.00      -0.5813401045235
  100.00      -0.5813848695943
  200.00      -0.5818870903674
  300.00      -0.5831001014494
  400.00      -0.5850266199125
  500.00      -0.5876125566744
  600.00      -0.5907913958974
  700.00      -0.5945001590906
  800.00      -0.5986838936538
  900.00      -0.6032958965166
 1000.00      -0.6082966879887
 1100.00      -0.6136527894896
 1200.00      -0.6193356246210
 1300.00      -0.6253206117056
 1400.00      -0.6315864369947
 1500.00      -0.6381144780099
 1600.00      -0.6448883459631
 1700.00      -0.6518935209961
 1800.00      -0.6591170594571
 1900.00      -0.6665473571882
 2000.00      -0.6741739565894
 2100.00      -0.6819873881240
 2200.00      -0.6899790391229
 2300.00      -0.6981410443932
 2400.00      -0.7064661943752
 2500.00      -0.7149478575277
 2600.00      -0.7235799143335
 2700.00      -0.7323567008595
 2800.00      -0.7412729602249
 2900.00      -0.7503238006556
 3000.00      -0.7595046590555
 3100.00      -0.7688112692264
 3200.00      -0.7782396340235
 3300.00      -0.7877860008607
 3400.00      -0.7974468400812
 3500.00      -0.8072188257888
 3600.00      -0.8170988188021
 3700.00      -0.8270838514471
 3800.00      -0.8371711139490
 3900.00      -0.8473579422188
 4000.00      -0.8576418068623
 4100.00      -0.8680203032615
 4200.00      -0.8784911426034
 4300.00      -0.8890521437441
 4400.00      -0.8997012258152
 4500.00      -0.9104364014895
 4600.00      -0.9212557708336
 4700.00      -0.9321575156869
 4800.00      -0.9431398945101
 4900.00      -0.9542012376563
 5000.00      -0.9653399430227
 5100.00      -0.9765544720441
 5200.00      -0.9878433459976
 5300.00      -0.9992051425862
 5400.00      -1.0106384927782
 5500.00      -1.0221420778767
 5600.00      -1.0337146268003
 5700.00      -1.0453549135557
 5800.00      -1.0570617548858
 5900.00      -1.0688340080774
 6000.00      -1.0806705689174
# V=  83.9494000000000
    0.00      -0.4705357024499
  100.00      -0.4705719461730
  200.00      -0.4710073082719
  300.00      -0.4720882545234
  400.00      -0.4738289860261
  500.00      -0.4761908174292
  600.00      -0.4791195959609
  700.00      -0.4825606369749
  800.00      -0.4864643455097
  900.00      -0.4907875100540
 1000.00      -0.4954929802395
 1100.00      -0.5005488736642
 1200.00      -0.5059277367535
 1300.00      -0.5116057970473
 1400.00      -0.5175623369245
 1500.00      -0.5237791817786
 1600.00      -0.5302402852844
 1700.00      -0.5369313936085
 1800.00      -0.5438397726938
 1900.00      -0.5509539856386
 2000.00      -0.5582637098612
 2100.00      -0.5657595859658
 2200.00      -0.5734330919914
 2300.00      -0.5812764381026
 2400.00      -0.5892824778461
 2500.00      -0.5974446329175
 2600.00      -0.6057568290158
 2700.00      -0.6142134408528
 2800.00      -0.6228092447697
 2900.00      -0.6315393777067
 3000.00      -0.6403993015116
 3100.00      -0.6493847717569
 3200.00      -0.6584918103830
 3300.00      -0.6677166816039
 3400.00      -0.6770558706094
 3500.00      -0.6865060646710
 3600.00      -0.6960641363268
 3700.00      -0.7057271283672
 3800.00      -0.7154922403901
 3900.00      -0.7253568167260
 4000.00      -0.7353183355645
 4100.00      -0.7453743991371
 4200.00      -0.7555227248325
 4300.00      -0.7657611371352
 4400.00      -0.7760875602969
 4500.00      -0.7865000116575
 4600.00      -0.7969965955476
 4700.00      -0.8075754977091
 4800.00      -0.8182349801817
 4900.00      -0.8289733766067
 5000.00      -0.8397890879071
 5100.00      -0.8506805783078
 5200.00      -0.8616463716616
 5300.00      -0.8726850480537
 5400.00      -0.8837952406585
 5500.00      -0.8949756328252
 5600.00      -0.9062249553731
 5700.00      -0.9175419840762
 5800.00      -0.9289255373230
 5900.00      -0.9403744739351
 6000.00      -0.9518876911313
# V=  78.2133000000000
    0.00      -0.3263406451987
  100.00      -0.3263710500205
  200.00      -0.3267535891539
  300.00      -0.3277251242483
  400.00      -0.3293064115606
  500.00      -0.3314703756988
  600.00      -0.3341738804346
  700.00      -0.3373703281470
  800.00      -0.3410156347696
  900.00      -0.3450703068987
 1000.00      -0.3494997353124
 1100.00      -0.3542738104400
 1200.00      -0.3593663434157
 1300.00      -0.3647544838053
 1400.00      -0.3704181999373
 1500.00      -0.3763398370773
 1600.00      -0.3825037495990
 1700.00      -0.3888959972652
 1800.00      -0.3955040948659
 1900.00      -0.4023168054618
 2000.00      -0.4093239689994
 2100.00      -0.4165163595693
 2200.00      -0.4238855658957
 2300.00      -0.4314238907295
 2400.00      -0.4391242656916
 2500.00      -0.4469801788061
 2600.00      -0.4549856125114
 2700.00      -0.4631349903681
 2800.00      -0.4714231310231
 2900.00      -0.4798452082603
 3000.00      -0.4883967161811
 3100.00      -0.4970734387309
 3200.00      -0.5058714229233
 3300.00      -0.5147869552250
 3400.00      -0.5238165406550
 3500.00      -0.5329568842222
 3600.00      -0.5422048743881
 3700.00      -0.5515575682867
 3800.00      -0.5610121784785
 3900.00      -0.5705660610444
 4000.00      -0.5802167048566
 4100.00      -0.5899617218858
 4200.00      -0.5997988384225
 4300.00      -0.6097258871090
 4400.00      -0.6197407996901
 4500.00      -0.6298416004049
 4600.00      -0.6400263999497
