# T (K)               Helmholtz Free Energy (Ry.)
# V= 376.8950000000000
    0.00      -0.8584686324193
  100.00      -0.8587151588295
  200.00      -0.8601446871833
  300.00      -0.8628107987936
  400.00      -0.8665047687840
  500.00      -0.8710407183461
  600.00      -0.8762794481595
  700.00      -0.8821176972415
  800.00      -0.8884771792176
  900.00      -0.8952969867655
 1000.00      -0.9025285879122
 1100.00      -0.9101324991660
 1200.00      -0.9180760207952
 1300.00      -0.9263316544825
 1400.00      -0.9348759698490
 1500.00      -0.9436887738095
 1600.00      -0.9527524892631
 1700.00      -0.9620516817817
 1800.00      -0.9715726930988
 1900.00      -0.9813033531131
 2000.00      -0.9912327505902
 2100.00      -1.0013510484194
 2200.00      -1.0116493331620
 2300.00      -1.0221194913228
 2400.00      -1.0327541066895
 2500.00      -1.0435463744559
 2600.00      -1.0544900288439
 2700.00      -1.0655792816832
 2800.00      -1.0768087699537
 2900.00      -1.0881735107202
 3000.00      -1.0996688622031
 3100.00      -1.1112904899780
 3200.00      -1.1230343374891
 3300.00      -1.1348966002093
 3400.00      -1.1468737029028
 3500.00      -1.1589622795377
 3600.00      -1.1711591554747
 3700.00      -1.1834613316195
 3800.00      -1.1958659702742
 3900.00      -1.2083703824680
 4000.00      -1.2209720165786
 4100.00      -1.2336684480833
 4200.00      -1.2464573703042
 4300.00      -1.2593365860301
 4400.00      -1.2723039999127
 4500.00      -1.2853576115502
 4600.00      -1.2984955091839
 4700.00      -1.3117158639384
 4800.00      -1.3250169245512
 4900.00      -1.3383970125388
 5000.00      -1.3518545177557
 5100.00      -1.3653878943078
 5200.00      -1.3789956567844
 5300.00      -1.3926763767792
 5400.00      -1.4064286796732
 5500.00      -1.4202512416543
 5600.00      -1.4341427869539
 5700.00      -1.4481020852795
 5800.00      -1.4621279494273
 5900.00      -1.4762192330587
 6000.00      -1.4903748286272
# V= 366.2330000000000
    0.00      -0.8641265020651
  100.00      -0.8643561518633
  200.00      -0.8657160319431
  300.00      -0.8682785226812
  400.00      -0.8718524199554
  500.00      -0.8762601317630
  600.00      -0.8813661886449
  700.00      -0.8870691571156
  800.00      -0.8932917286931
  900.00      -0.8999735591263
 1000.00      -0.9070664603559
 1100.00      -0.9145311691723
 1200.00      -0.9223351325048
 1300.00      -0.9304509528417
 1400.00      -0.9388552709511
 1500.00      -0.9475279450898
 1600.00      -0.9564514359075
 1700.00      -0.9656103371767
 1800.00      -0.9749910119826
 1900.00      -0.9845813065744
 2000.00      -0.9943703223583
 2100.00      -1.0043482320740
 2200.00      -1.0145061300071
 2300.00      -1.0248359087505
 2400.00      -1.0353301569068
 2500.00      -1.0459820734857
 2600.00      -1.0567853957355
 2700.00      -1.0677343378829
 2800.00      -1.0788235388009
 2900.00      -1.0900480170410
 3000.00      -1.1014031319813
 3100.00      -1.1128845500877
 3200.00      -1.1244882154757
 3300.00      -1.1362103241112
 3400.00      -1.1480473011041
 3500.00      -1.1599957806476
 3600.00      -1.1720525882279
 3700.00      -1.1842147247942
 3800.00      -1.1964793526245
 3900.00      -1.2088437826681
 4000.00      -1.2213054631770
 4100.00      -1.2338619694651
 4200.00      -1.2465109946606
 4300.00      -1.2592503413333
 4400.00      -1.2720779138955
 4500.00      -1.2849917116903
 4600.00      -1.2979898226905
 4700.00      -1.3110704177428
 4800.00      -1.3242317452993
 4900.00      -1.3374721265851
 5000.00      -1.3507899511603
 5100.00      -1.3641836728335
 5200.00      -1.3776518058958
 5300.00      -1.3911929216425
 5400.00      -1.4048056451569
 5500.00      -1.4184886523309
 5600.00      -1.4322406671018
 5700.00      -1.4460604588856
 5800.00      -1.4599468401898
 5900.00      -1.4738986643906
 6000.00      -1.4879148236599
# V= 355.7730000000000
    0.00      -0.8685505551114
  100.00      -0.8687629014730
  200.00      -0.8700511721063
  300.00      -0.8725053840820
  400.00      -0.8759526155237
  500.00      -0.8802244217588
  600.00      -0.8851895442068
  700.00      -0.8907486323200
  800.00      -0.8968254964662
  900.00      -0.9033604371321
 1000.00      -0.9103056596012
 1100.00      -0.9176221519620
 1200.00      -0.9252775278330
 1300.00      -0.9332445037256
 1400.00      -0.9414998004155
 1500.00      -0.9500233334972
 1600.00      -0.9587976054399
 1700.00      -0.9678072409650
 1800.00      -0.9770386263376
 1900.00      -0.9864796253368
 2000.00      -0.9961193527266
 2100.00      -1.0059479914810
 2200.00      -1.0159566437557
 2300.00      -1.0261372082026
 2400.00      -1.0364822780857
 2500.00      -1.0469850559871
 2600.00      -1.0576392818740
 2700.00      -1.0684391720179
 2800.00      -1.0793793668025
 2900.00      -1.0904548858641
 3000.00      -1.1016610893250
 3100.00      -1.1129936441224
 3200.00      -1.1244484946241
 3300.00      -1.1360218368713
 3400.00      -1.1477100959079
 3500.00      -1.1595099057467
 3600.00      -1.1714180916024
 3700.00      -1.1834316540795
 3800.00      -1.1955477550532
 3900.00      -1.2077637050248
 4000.00      -1.2200769517622
 4100.00      -1.2324850700682
 4200.00      -1.2449857525392
 4300.00      -1.2575768011983
 4400.00      -1.2702561199010
 4500.00      -1.2830217074272
 4600.00      -1.2958716511831
 4700.00      -1.3088041214483
 4800.00      -1.3218173661089
 4900.00      -1.3349097058276
 5000.00      -1.3480795296064
 5100.00      -1.3613252907016
 5200.00      -1.3746455028587
 5300.00      -1.3880387368348
 5400.00      -1.4015036171830
 5500.00      -1.4150388192734
 5600.00      -1.4286430665300
 5700.00      -1.4423151278649
 5800.00      -1.4560538152906
 5900.00      -1.4698579816976
 6000.00      -1.4837265187813
# V= 345.4480000000000
    0.00      -0.8717425453414
  100.00      -0.8719407274480
  200.00      -0.8731663642484
  300.00      -0.8755208446492
  400.00      -0.8788477592614
  500.00      -0.8829879362099
  600.00      -0.8878146599473
  700.00      -0.8932309411267
  800.00      -0.8991619206635
  900.00      -0.9055487051498
 1000.00      -0.9123440187889
 1100.00      -0.9195092009525
 1200.00      -0.9270121132422
 1300.00      -0.9348256535118
 1400.00      -0.9429266791748
 1500.00      -0.9512952114521
 1600.00      -0.9599138362918
 1700.00      -0.9687672456717
 1800.00      -0.9778418809623
 1900.00      -0.9871256517655
 2000.00      -0.9966077114509
 2100.00      -1.0062782758988
 2200.00      -1.0161284756049
 2300.00      -1.0261502338573
 2400.00      -1.0363361655157
 2500.00      -1.0466794922363
 2600.00      -1.0571739709485
 2700.00      -1.0678138331020
 2800.00      -1.0785937327394
 2900.00      -1.0895087018520
 3000.00      -1.1005541117908
 3100.00      -1.1117256397426
 3200.00      -1.1230192394684
 3300.00      -1.1344311156495
 3400.00      -1.1459577013046
 3500.00      -1.1575956378304
 3600.00      -1.1693417572984
 3700.00      -1.1811930666979
 3800.00      -1.1931467338650
 3900.00      -1.2052000748784
 4000.00      -1.2173505427374
 4100.00      -1.2295957171609
 4200.00      -1.2419332953752
 4300.00      -1.2543610837708
 4400.00      -1.2668769903308
 4500.00      -1.2794790177420
 4600.00      -1.2921652571152
 4700.00      -1.3049338822468
 4800.00      -1.3177831443667
 4900.00      -1.3307113673213
 5000.00      -1.3437169431467
 5100.00      -1.3567983279956
 5200.00      -1.3699540383801
 5300.00      -1.3831826477039
