# T (K)               Helmholtz Free Energy (Ry.)
# V= 188.6160000000000
    0.00      -0.8578777243592
  100.00      -0.8581588424662
  200.00      -0.8596753756536
  300.00      -0.8624475119453
  400.00      -0.8662577124364
  500.00      -0.8709154379454
  600.00      -0.8762792299805
  700.00      -0.8822446621347
  800.00      -0.8887327953348
  900.00      -0.8956823289826
 1000.00      -0.9030444792360
 1100.00      -0.9107795929437
 1200.00      -0.9188548511842
 1300.00      -0.9272426688947
 1400.00      -0.9359195506394
 1500.00      -0.9448652532713
 1600.00      -0.9540621603004
 1700.00      -0.9634948057009
 1800.00      -0.9731495054257
 1900.00      -0.9830140680217
 2000.00      -0.9930775643351
 2100.00      -1.0033301420381
 2200.00      -1.0137628746323
 2300.00      -1.0243676373084
 2400.00      -1.0351370039679
 2500.00      -1.0460641610988
 2600.00      -1.0571428352043
 2700.00      -1.0683672312253
 2800.00      -1.0797319799591
 2900.00      -1.0912320928913
 3000.00      -1.1028629231837
 3100.00      -1.1146201318044
 3200.00      -1.1264996579839
 3300.00      -1.1384976933267
 3400.00      -1.1506106590330
 3500.00      -1.1628351857769
 3600.00      -1.1751680958653
 3700.00      -1.1876063873645
 3800.00      -1.2001472199299
 3900.00      -1.2127879021178
 4000.00      -1.2255258799891
 4100.00      -1.2383587268469
 4200.00      -1.2512841339683
 4300.00      -1.2642999022149
 4400.00      -1.2774039344190
 4500.00      -1.2905942284587
 4600.00      -1.3038688709455
 4700.00      -1.3172260314585
 4800.00      -1.3306639572668
 4900.00      -1.3441809684901
 5000.00      -1.3577754536527
 5100.00      -1.3714458655918
 5200.00      -1.3851907176854
 5300.00      -1.3990085803697
 5400.00      -1.4128980779177
 5500.00      -1.4268578854565
 5600.00      -1.4408867262004
 5700.00      -1.4549833688807
 5800.00      -1.4691466253563
 5900.00      -1.4833753483873
 6000.00      -1.4976684295604
# V= 178.0210000000000
    0.00      -0.8680089636695
  100.00      -0.8682544509530
  200.00      -0.8696266385557
  300.00      -0.8721827913370
  400.00      -0.8757417582683
  500.00      -0.8801304833077
