#T (K)    alpha (10^(-5) K^(-1))
#P= 0.000000 GPa
    0.0       0.0000000000000
  100.0       0.7502780513967
  200.0       1.5813572415768
  300.0       2.0958940027047
  400.0       2.3510461724899
  500.0       2.4992303833604
  600.0       2.5940839365129
  700.0       2.6639253947030
  800.0       2.7203207408702
  900.0       2.7692663337460
 1000.0       2.8138206619129
 1100.0       2.8558167192001
 1200.0       2.8963021981135
 1300.0       2.9358958929157
 1400.0       2.9750672077523
 1500.0       3.0141090499277
 1600.0       3.0532179760217
 1700.0       3.0925379397645
 1800.0       3.1321513991853
 1900.0       3.1721856615075
 2000.0       3.2126531573469
 2100.0       3.2536164717950
 2200.0       3.2951397558398
 2300.0       3.3372070076310
 2400.0       3.3798699064641
 2500.0       3.4231031553369
 2600.0       3.4669404920094
 2700.0       3.5114386920867
 2800.0       3.5564517862347
 2900.0       3.6022339261772
 3000.0       3.6485906074457
 3100.0       3.6955231514822
 3200.0       3.7431217794663
 3300.0       3.7911499408123
 3400.0       3.8401676379745
 3500.0       3.8895845062387
 3600.0       3.9396307627116
 3700.0       3.9904754880977
 3800.0       4.0418670063954
 3900.0       4.0933414763217
 4000.0       4.1461028852802
 4100.0       4.1993526008238
 4200.0       4.2526338604307
 4300.0       4.3071930085817
 4400.0       4.3618309022130
 4500.0       4.4173166738265
 4600.0       4.4729029722825
 4700.0       4.5300045958283
 4800.0       4.5866308432795
 4900.0       4.6439961583616
 5000.0       4.7024915133744
 5100.0       4.7602715112667
 5200.0       4.8194227305426
 5300.0       4.8792321826432
 5400.0       4.9387175592546
 5500.0       5.0001282275629
 5600.0       5.0610181414929
 5700.0       5.1201936535120
 5800.0       5.1833500927212
 5900.0       5.2460209241872
 6000.0       5.3032704241923

#P= 1.000000 GPa
    0.0       0.0000000000000
  100.0       0.7410383085263
  200.0       1.5626602985419
  300.0       2.0720015263420
  400.0       2.3249898970728
  500.0       2.4720223518632
  600.0       2.5660995449423
  700.0       2.6352858415947
  800.0       2.6910547010002
  900.0       2.7393755114458
 1000.0       2.7832899527641
 1100.0       2.8246132302854
 1200.0       2.8644211170194
 1300.0       2.9033416670094
 1400.0       2.9418413489437
 1500.0       2.9802142784182
 1600.0       3.0186580729713
 1700.0       3.0573147343387
 1800.0       3.0962707457147
 1900.0       3.1356502020600
 2000.0       3.1754698626998
 2100.0       3.2157876917653
 2200.0       3.2566718018837
 2300.0       3.2981040522307
 2400.0       3.3401374302516
 2500.0       3.3827497146131
 2600.0       3.4259707214346
 2700.0       3.4698568696225
 2800.0       3.5142747614402
 2900.0       3.5594522035414
 3000.0       3.6052188047892
 3100.0       3.6515738954079
 3200.0       3.6985916776306
 3300.0       3.7460815696786
 3400.0       3.7945282392295
 3500.0       3.8433957725347
 3600.0       3.8929162236567
 3700.0       3.9432104315084
 3800.0       3.9940720295525
 3900.0       4.0450872446406
 4000.0       4.0973168263444
 4100.0       4.1500630895623
 4200.0       4.2029082567049
 4300.0       4.2569624864315
 4400.0       4.3111601560586
 4500.0       4.3661936174808
 4600.0       4.4213700561258
 4700.0       4.4780076531825
 4800.0       4.5342496404617
 4900.0       4.5912304469519
 5000.0       4.6493066541701
 5100.0       4.7067682705448
 5200.0       4.7655488319308
 5300.0       4.8249942660184
 5400.0       4.8841791354874
 5500.0       4.9452049798425
 5600.0       5.0057866926132
 5700.0       5.0648095415365
 5800.0       5.1275982107034
 5900.0       5.1899669443551
 6000.0       5.2472933637772

#P= 2.000000 GPa
    0.0       0.0000000000000
  100.0       0.7319681268676
  200.0       1.5443075684464
  300.0       2.0485566823226
  400.0       2.2994194288736
  500.0       2.4453201087511
  600.0       2.5386476637521
  700.0       2.6071884058702
  800.0       2.6623498219684
  900.0       2.7100610080595
 1000.0       2.7533554173255
 1100.0       2.7940403206528
 1200.0       2.8331743972551
 1300.0       2.8714142122599
