# T (K)      B_S (GPa)
# P = 0.000000 (GPa)
    1.0     358.4748607613660
  100.0     358.6002615319893
  200.0     358.2143940499975
  300.0     358.1177836748756
  400.0     357.2792684678067
  500.0     356.4364945514963
  600.0     355.3701348170922
  700.0     354.2861063961666
  800.0     353.1635394738895
  900.0     352.0396525441449
 1000.0     350.9172994290047
 1100.0     349.8020122326111
 1200.0     348.7021856857119
 1300.0     347.6155184908433
 1400.0     346.5455716136516
 1500.0     345.4940431797842
 1600.0     344.4619726875269
 1700.0     343.4499937452342
 1800.0     342.4588709328232
 1900.0     341.4838023623479
 2000.0     340.5383651443332
 2100.0     339.6052656456259
 2200.0     338.6958452305033
 2300.0     337.8136991951969
 2400.0     336.9378999021678
 2500.0     336.1027291193351
 2600.0     335.2630022586724
 2700.0     334.4622713538603
 2800.0     333.6738817880170
 2900.0     332.8945179547714
 3000.0     332.1439611504313
 3100.0     331.4039032170622
 3200.0     330.6840512197291
 3300.0     329.9362072281700
 3400.0     329.2794842195505
 3500.0     328.6028552795663
 3600.0     327.8835979764908
 3700.0     327.3196386622800
 3800.0     326.5343032035922
 3900.0     325.9415338235127
 4000.0     325.3332747841923
 4100.0     324.6254733252587
 4200.0     324.0164946017526
 4300.0     323.4513087218132
 4400.0     322.6878717176466
 4500.0     322.1392699831724
 4600.0     321.4048384880467
 4700.0     320.8228687308581
 4800.0     320.1307422478786
 4900.0     319.4555036496436
 5000.0     318.7905082795151
 5100.0     318.1236334210175
 5200.0     317.4643764000450
 5300.0     316.8388251592168
 5400.0     316.1270922013434
 5500.0     315.5401179742977
 5600.0     314.4730317195967
 5700.0     313.6296211410535
 5800.0     313.4294564791770
 5900.0     312.3589355540839
 6000.0     311.5234442861178
# P = 1.000000 (GPa)
    1.0     361.6648399529839
  100.0     361.7861711077532
  200.0     361.3906477060272
  300.0     361.2782684891040
  400.0     360.4298114325995
  500.0     359.5773810727674
  600.0     358.5026394932967
  700.0     357.4099218359590
  800.0     356.2784520877308
  900.0     355.1455639093219
 1000.0     354.0140707238149
 1100.0     352.8887308398247
 1200.0     351.7780414834915
 1300.0     350.6799623429249
 1400.0     349.5980231245616
 1500.0     348.5341207434626
 1600.0     347.4892875706545
 1700.0     346.4642115466330
 1800.0     345.4600027867281
 1900.0     344.4715895832783
 2000.0     343.5129460605031
 2100.0     342.5660753144226
 2200.0     341.6439135112739
 2300.0     340.7481505831171
 2400.0     339.8598992893653
 2500.0     339.0121035330060
 2600.0     338.1604883962237
 2700.0     337.3477914739202
 2800.0     336.5485116813269
 2900.0     335.7575012463806
 3000.0     334.9989655583238
 3100.0     334.2480365922895
 3200.0     333.5207113742062
 3300.0     332.7659755455273
 3400.0     332.0989666468694
 3500.0     331.4165360820650
 3600.0     330.6906270379963
 3700.0     330.1199447255381
 3800.0     329.3347081753072
 3900.0     328.7394410776367
 4000.0     328.1216785879257
 4100.0     327.4187920442339
 4200.0     326.8054080450040
 4300.0     326.2381371982754
 4400.0     325.4780306556262
 4500.0     324.9307782197509
 4600.0     324.2003069192661
 4700.0     323.6149196946482
 4800.0     322.9356070913005
 4900.0     322.2574026063897
 5000.0     321.6003271769753
 5100.0     320.9351506053895
 5200.0     320.2756521213185
 5300.0     319.6490303542836
 5400.0     318.9414417658726
 5500.0     318.3508124545430
 5600.0     317.3103163199850
 5700.0     316.4687552917180
 5800.0     316.2423605821067
 5900.0     315.1856760660327
 6000.0     314.3449083904625
# P = 2.000000 (GPa)
    1.0     364.8548350939424
  100.0     364.9721449115612
  200.0     364.5670989325401
  300.0     364.4391706464943
  400.0     363.5808658297444
  500.0     362.7188548578964
  600.0     361.6359721002495
  700.0     360.5347568806446
  800.0     359.3945773447417
  900.0     358.2525147207466
 1000.0     357.1117516377402
 1100.0     355.9770629510330
 1200.0     354.8560897396877
 1300.0     353.7469488874011
 1400.0     352.6533947482691
 1500.0     351.5774034290375
 1600.0     350.5200533103217
 1700.0     349.4820948208566
 1800.0     348.4648992386733
 1900.0     347.4632430450463
 2000.0     346.4913919514007
 2100.0     345.5308523243130
 2200.0     344.5958048447883
 2300.0     343.6864298077998
 2400.0     342.7855507264280
 2500.0     341.9249631277593
 2600.0     341.0612383445605
 2700.0     340.2363663301972
 2800.0     339.4258958014802
 2900.0     338.6230711081199
 3000.0     337.8559794876173
 3100.0     337.0940258086928
 3200.0     336.3587309352828
 3300.0     335.5966867222103
 3400.0     334.9192946848290
 3500.0     334.2306283784429
 3600.0     333.4978468074016
 3700.0     332.9201663938961
 3800.0     332.1343970247317
 3900.0     331.5362810004170
 4000.0     330.9092827375736
 4100.0     330.2105483952686
 4200.0     329.5928822295888
 4300.0     329.0234429611234
 4400.0     328.2664599386448
 4500.0     327.7204516168818
 4600.0     326.9939202346116
 4700.0     326.4055679854266
 4800.0     325.7386400663403
 4900.0     325.0582275778417
 5000.0     324.4091491173479
 5100.0     323.7463995683983
 5200.0     323.0875339098585
 5300.0     322.4608628778773
 5400.0     321.7583225717797
 5500.0     321.1653474064520
 5600.0     320.1513176950965
 5700.0     319.3132086545081
 5800.0     319.0633751255790
 5900.0     318.0214746844686
 6000.0     317.1780116691792
# P = 3.000000 (GPa)
    1.0     368.0448295183896
  100.0     368.1581758087027
  200.0     367.7437417277603
  300.0     367.6004511373600
  400.0     366.7324663829429
  500.0     365.8609909309610
  600.0     364.7699881216168
  700.0     363.6605250975653
  800.0     362.5118302944913
  900.0     361.3607982393698
 1000.0     360.2106325493341
 1100.0     359.0664196687973
 1200.0     357.9358507216332
 1300.0     356.8162548263160
 1400.0     355.7114261008131
 1500.0     354.6236733237899
 1600.0     353.5540736581922
 1700.0     352.5034693331925
 1800.0     351.4734175782614
 1900.0     350.4586421462658
 2000.0     349.4736094077987
 2100.0     348.4995104990976
 2200.0     347.5514624680966
 2300.0     346.6284871769898
 2400.0     345.7148230479784
 2500.0     344.8412888638485
 2600.0     343.9652438324228
 2700.0     343.1279925879255
 2800.0     342.3060360654608
 2900.0     341.4912225383565
 3000.0     340.7150134202098
 3100.0     339.9418622500107
 3200.0     339.1981014939039
 3300.0     338.4283178658126
 3400.0     337.7404134079453
 3500.0     337.0450587866518
 3600.0     336.3051473225588
 3700.0     335.7201609558193
 3800.0     334.9332069538423
 3900.0     334.3318443896354
 4000.0     333.6958081357860
 4100.0     333.0004372952443
 4200.0     332.3785336982086
 4300.0     331.8067805124211
 4400.0     331.0526482691069
 4500.0     330.5077078740156
 4600.0     329.7850157292636
 4700.0     329.1940549132235
 4800.0     328.5390132584165
 4900.0     327.8570336188930
 5000.0     327.2159411136411
 5100.0     326.5562248530405
 5200.0     325.8987439897982
 5300.0     325.2729163592091
 5400.0     324.5762000564771
 5500.0     323.9820528852864
 5600.0     322.9942757657959
 5700.0     322.1610622440569
 5800.0     321.8903967950466
 5900.0     320.8641065821346
 6000.0     320.0203329664104
# P = 4.000000 (GPa)
    1.0     371.2348174970685
  100.0     371.3442490004787
  200.0     370.9205578608129
  300.0     370.7621332092280
  400.0     369.8845737933823
  500.0     369.0037854838821
  600.0     367.9047924001654
  700.0     366.7870855648741
  800.0     365.6301108615579
  900.0     364.4703275106217
 1000.0     363.3109670125507
 1100.0     362.1571329886966
 1200.0     361.0167539611294
 1300.0     359.8873709784138
 1400.0     358.7719260598744
 1500.0     357.6726961743620
 1600.0     356.5911613498401
 1700.0     355.5281637194661
 1800.0     354.4854208239807
 1900.0     353.4576725736786
 2000.0     352.4595126461457
 2100.0     351.4719727839690
 2200.0     350.5108400439241
 2300.0     349.5742852474543
 2400.0     348.6476989915612
 2500.0     347.7610776074690
 2600.0     346.8725145350289
 2700.0     346.0226871146020
 2800.0     345.1889570627214
 2900.0     344.3619757617435
 3000.0     343.5761053537487
 3100.0     342.7915679816641
