# T (K)      B_T_P (GPa)
# P = 0.000000 (GPa)
    1.0     358.4597302181347
  100.0     358.0844293908935
  200.0     356.2437643470685
  300.0     353.4877228357725
  400.0     350.3507419847858
  500.0     347.0752845548861
  600.0     343.7495947849544
  700.0     340.4043753149110
  800.0     337.0502728421673
  900.0     333.6908810901346
 1000.0     330.3273369042641
 1100.0     326.9604345622813
 1200.0     323.5907520220030
 1300.0     320.2188830049915
 1400.0     316.8454054243352
 1500.0     313.4707299129120
 1600.0     310.0955133163635
 1700.0     306.7202879129488
 1800.0     303.3452445729087
 1900.0     299.9716447143000
 2000.0     296.5992217082322
 2100.0     293.2307292533385
 2200.0     289.8627310439900
 2300.0     286.5010456843618
 2400.0     283.1410290595929
 2500.0     279.7871804788745
 2600.0     276.4380166339174
 2700.0     273.0961101361463
 2800.0     269.7600999015303
 2900.0     266.4353231278910
 3000.0     263.1060844464992
 3100.0     259.8016252149810
 3200.0     256.4926246335199
 3300.0     253.2019452305594
 3400.0     249.9324849949480
 3500.0     246.6595917638770
 3600.0     243.4126883459903
 3700.0     240.1711975566323
 3800.0     236.9232265685023
 3900.0     233.7124051469218
 4000.0     230.5431561818914
 4100.0     227.3238620204356
 4200.0     224.1847963302789
 4300.0     221.0360319582687
 4400.0     217.8977620785590
 4500.0     214.7816598439749
 4600.0     211.6856433630019
 4700.0     208.6359632863314
 4800.0     205.5358313415927
 4900.0     202.5464545428622
 5000.0     199.5074770211359
 5100.0     196.5490913496760
 5200.0     193.6107065987017
 5300.0     190.7003136141866
 5400.0     187.7968669014226
 5500.0     184.9387605098746
 5600.0     181.9549049393390
 5700.0     179.1654805701110
 5800.0     176.4963651485887
 5900.0     173.6475328753295
 6000.0     171.0142062845407
# P = 1.000000 (GPa)
    1.0     361.6498554560957
  100.0     361.2749955074146
  200.0     359.4362516825654
  300.0     356.6827119575403
  400.0     353.5481790899162
  500.0     350.2749701415005
  600.0     346.9512983513890
  700.0     343.6078497030359
  800.0     340.2554223193922
  900.0     336.8978884910686
 1000.0     333.5364109116043
 1100.0     330.1712787348451
 1200.0     326.8028024071837
 1300.0     323.4315700570669
 1400.0     320.0581098046334
 1500.0     316.6829152369881
 1600.0     313.3065524064949
 1700.0     309.9295709193372
 1800.0     306.5523110448484
 1900.0     303.1757643860126
 2000.0     299.7999381386599
 2100.0     296.4269516539994
 2200.0     293.0545330888039
 2300.0     289.6870694165744
