# T (K)      C_P (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    1.0       1.0000422098829
  100.0      15.9781666982108
  200.0      36.9730745989589
  300.0      41.2093670706613
  400.0      45.7873512731913
  500.0      47.4248097874915
  600.0      48.8958985879638
  700.0      49.8478580393887
  800.0      50.6506933532030
  900.0      51.3170133216681
 1000.0      51.9110146542523
 1100.0      52.4624924741496
 1200.0      52.9787270843371
 1300.0      53.4802277955829
 1400.0      53.9726539935031
 1500.0      54.4608353152336
 1600.0      54.9488869974528
 1700.0      55.4400232810080
 1800.0      55.9349215985227
 1900.0      56.4445817705599
 2000.0      56.9514833604046
 2100.0      57.4808696030367
 2200.0      58.0159246157130
 2300.0      58.5601700979686
 2400.0      59.1281981683233
 2500.0      59.6920533586245
 2600.0      60.2904918666774
 2700.0      60.8897350073944
 2800.0      61.5047278172480
 2900.0      62.1513898539560
 3000.0      62.7887017746270
 3100.0      63.4630666172524
 3200.0      64.1360839536785
 3300.0      64.8559336758838
 3400.0      65.5661056450115
 3500.0      66.2906527868082
 3600.0      67.0796902689977
 3700.0      67.7997607641798
 3800.0      68.6452239878533
 3900.0      69.4110213225927
 4000.0      70.2589002774180
 4100.0      71.1069369087443
 4200.0      71.9716009197013
 4300.0      72.8306496355325
 4400.0      73.7798395666371
 4500.0      74.6579721885268
 4600.0      75.6252977986855
 4700.0      76.6004595982132
 4800.0      77.5322088872758
 4900.0      78.5732274621141
 5000.0      79.5700396186079
 5100.0      80.6028323517115
 5200.0      81.6735496994531
 5300.0      82.7559975695401
 5400.0      83.8404878759241
 5500.0      84.9627073668198
 5600.0      86.0774188809342
 5700.0      87.2321935545107
 5800.0      88.3929638221721
 5900.0      89.6166691027414
 6000.0      90.7850105563598
# P = 1.000000 (GPa)
    1.0       1.0000414337146
  100.0      15.9657174320614
  200.0      36.9523457879247
  300.0      41.1895112193676
  400.0      45.7656076747807
  500.0      47.4006525348238
  600.0      48.8681029905997
  700.0      49.8158734340240
  800.0      50.6140179800497
  900.0      51.2752739674743
 1000.0      51.8638691488159
 1100.0      52.4095570674587
 1200.0      52.9197264545392
 1300.0      53.4148932965157
 1400.0      53.9007285345299
 1500.0      54.3820752947163
 1600.0      54.8630596377470
 1700.0      55.3468940235048
 1800.0      55.8342858020370
 1900.0      56.3361918422924
 2000.0      56.8351876835021
 2100.0      57.3564029382579
 2200.0      57.8831389172193
 2300.0      58.4188655092898
 2400.0      58.9781779891052
 2500.0      59.5332187980988
 2600.0      60.1226106282807
 2700.0      60.7126865420656
 2800.0      61.3184435061794
 2900.0      61.9555454191735
 3000.0      62.5834279339284
 3100.0      63.2480743387319
 3200.0      63.9114039878697
 3300.0      64.6215384417052
 3400.0      65.3216372026458
 3500.0      66.0362908489861
 3600.0      66.8151964142344
 3700.0      67.5252399032643
 3800.0      68.3604959803716
 3900.0      69.1168357734603
 4000.0      69.9539215600472
 4100.0      70.7921473574691
 4200.0      71.6468883105793
 4300.0      72.4956592378690
 4400.0      73.4349440233133
 4500.0      74.3033625790600
 4600.0      75.2610423830052
 4700.0      76.2256259575969
 4800.0      77.1488524208089
 4900.0      78.1797295605757
 5000.0      79.1671960742012
 5100.0      80.1909093168528
 5200.0      81.2518423256260
 5300.0      82.3244135142035
 5400.0      83.4002076163774
 5500.0      84.5120661068551
 5600.0      85.6201300708418
 5700.0      86.7673565841317
 5800.0      87.9157410170697
 5900.0      89.1315262485472
 6000.0      90.2939854197898
# P = 2.000000 (GPa)
    1.0       1.0000406755855
  100.0      15.9533923224584
  200.0      36.9318610972761
  300.0      41.1699631364387
  400.0      45.7442565491720
  500.0      47.3769737558187
  600.0      48.8408981045228
  700.0      49.7845817843469
  800.0      50.5781591694695
  900.0      51.2344739701750
 1000.0      51.8178016600770
 1100.0      52.3578867535512
 1200.0      52.8621170507382
 1300.0      53.3510457936967
 1400.0      53.8303902259200
 1500.0      54.3049966513362
 1600.0      54.7790029902113
 1700.0      55.2556227117464
 1800.0      55.7355871410850
 1900.0      56.2298150953908
 2000.0      56.7209723523799
 2100.0      57.2340837196878
 2200.0      57.7525556942762
 2300.0      58.2798167999192
 2400.0      58.8304577793446
 2500.0      59.3767190883044
 2600.0      59.9570935276338
 2700.0      60.5380254426343
 2800.0      61.1345537137288
 2900.0      61.7621116062109
 3000.0      62.3805503691209
 3100.0      63.0354715303975
 3200.0      63.6890903943217
 3300.0      64.3894604999101
 3400.0      65.0794690449571
 3500.0      65.7841791592577
 3600.0      66.5528968286211
 3700.0      67.2528640233889
 3800.0      68.0778253862511
 3900.0      68.8245920945859
 4000.0      69.6508519527800
 4100.0      70.4791368797250
 4200.0      71.3238506467059
 4300.0      72.1622578624334
 4400.0      73.0915008258995
 4500.0      73.9500779335133
