# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 131.930000 (a.u.^3)
    5.0       0.0006778131001
  100.0      19.4738164366812
  200.0      34.8139534131142
  300.0      41.5382978496725
  400.0      44.7287098239651
  500.0      46.4189135122289
  600.0      47.4040645322498
  700.0      48.0230176506832
  800.0      48.4353316589520
  900.0      48.7229973038130
 1000.0      48.9313090644058
 1100.0      49.0868259741236
 1200.0      49.2059104738887
 1300.0      49.2990696422254
 1400.0      49.3732918454547
 1500.0      49.4333672121940
 1600.0      49.4826658014578
 1700.0      49.5236131728135
 1800.0      49.5579904216550
 1900.0      49.5871288515245
 2000.0      49.6120394643587
 2100.0      49.6335010274473
 2200.0      49.6521211743696
 2300.0      49.6683795667211
 2400.0      49.6826588853524
 2500.0      49.6952674162608
 2600.0      49.7064557362224
 2700.0      49.7164291944206
 2800.0      49.7253573573122
 2900.0      49.7333812319563
 3000.0      49.7406188450402
 3100.0      49.7471695915512
 3200.0      49.7531176534760
 3300.0      49.7585347089114
 3400.0      49.7634820949433
 3500.0      49.7680125465606
 3600.0      49.7721716039310
 3700.0      49.7759987583683
 3800.0      49.7795283909749
 3900.0      49.7827905457278
 4000.0      49.7858115695406
 4100.0      49.7886146448222
 4200.0      49.7912202346737
 4300.0      49.7936464567205
 4400.0      49.7959093983546
 4500.0      49.7980233836480
 4600.0      49.8000012002200
 4700.0      49.8018542927789
 4800.0      49.8035929288145
 4900.0      49.8052263409293
 5000.0      49.8067628494955
 5100.0      49.8082099686852
 5200.0      49.8095744984007
 5300.0      49.8108626042059
 5400.0      49.8120798870163
 5500.0      49.8132314440197
 5600.0      49.8143219220655
 5700.0      49.8153555645697
 5800.0      49.8163362528172
 5900.0      49.8172675424165
 6000.0      49.8181526955434
# V = 124.170000 (a.u.^3)
    5.0       0.0005334154326
  100.0      15.3994964175618
  200.0      31.6194900053463
  300.0      39.4840966712892
  400.0      43.3846432870706
  500.0      45.4973897462831
  600.0      46.7439964798995
  700.0      47.5330111179292
  800.0      48.0611125248040
  900.0      48.4307521737209
 1000.0      48.6990382157061
 1100.0      48.8996660981922
 1200.0      49.0534885185327
 1300.0      49.1739410154121
 1400.0      49.2699827341376
 1500.0      49.3477670526954
 1600.0      49.4116301034903
 1700.0      49.4646968389279
 1800.0      49.5092643823300
 1900.0      49.5470512818808
 2000.0      49.5793635957696
 2100.0      49.6072080121994
 2200.0      49.6313704289031
 2300.0      49.6524715201413
 2400.0      49.6710066713569
 2500.0      49.6873751057068
 2600.0      49.7019014164060
 2700.0      49.7148516835992
 2800.0      49.7264456764862
 2900.0      49.7368661897626
 3000.0      49.7462662577564
 3100.0      49.7547747797265
 3200.0      49.7625009436720
 3300.0      49.7695377329961
 3400.0      49.7759647269029
 3500.0      49.7818503524239
 3600.0      49.7872537073669
 3700.0      49.7922260450769
 3800.0      49.7968119908149
 3900.0      49.8010505437657
 4000.0      49.8049759067669
 4100.0      49.8086181767806
 4200.0      49.8120039221777
 4300.0      49.8151566675470
 4400.0      49.8180973025679
 4500.0      49.8208444282396
 4600.0      49.8234146511934
 4700.0      49.8258228347961
 4800.0      49.8280823141409
 4900.0      49.8302050807415
 5000.0      49.8322019417088
 5100.0      49.8340826573612
 5200.0      49.8358560605420
 5300.0      49.8375301603717
 5400.0      49.8391122327114
 5500.0      49.8406088992475
 5600.0      49.8420261968047
 5700.0      49.8433696382407
 5800.0      49.8446442660734
 5900.0      49.8458546998133
 6000.0      49.8470051778324
# V = 116.746000 (a.u.^3)
    5.0       0.0004207901264
  100.0      12.6785613569802
  200.0      28.6174867631506
  300.0      37.3228748783901
  400.0      41.8944651999884
  500.0      44.4430538744059
  600.0      45.9710267020452
  700.0      46.9474842209260
  800.0      47.6051174509704
  900.0      48.0673712288318
 1000.0      48.4038847626683
 1100.0      48.6560889326661
 1200.0      48.8497771134890
 1300.0      49.0016422399495
 1400.0      49.1228535200284
 1500.0      49.2211027195520
 1600.0      49.3018215573257
 1700.0      49.3689312920851
 1800.0      49.4253184832877
 1900.0      49.4731451958119
 2000.0      49.5140561763691
 2100.0      49.5493202334221
 2200.0      49.5799286080106
 2300.0      49.6066646329077
 2400.0      49.6301538549000
 2500.0      49.6509006296219
 2600.0      49.6693151994476
 2700.0      49.6857339772617
 2800.0      49.7004349141073
 2900.0      49.7136492650199
 3000.0      49.7255706853511
 3100.0      49.7363623272346
 3200.0      49.7461624228210
 3300.0      49.7550887117722
 3400.0      49.7632419783091
 3500.0      49.7707088965772
 3600.0      49.7775643345774
 3700.0      49.7838732311926
 3800.0      49.7896921343137
 3900.0      49.7950704681826
 4000.0      49.8000515830597
 4100.0      49.8046736288906
 4200.0      49.8089702858888
 4300.0      49.8129713781862
 4400.0      49.8167033914504
 4500.0      49.8201899112584
 4600.0      49.8234519957882
 4700.0      49.8265084938332
 4800.0      49.8293763171146
 4900.0      49.8320706742434
 5000.0      49.8346052723801
 5100.0      49.8369924915878
 5200.0      49.8392435360230
 5300.0      49.8413685654137
 5400.0      49.8433768097072
 5500.0      49.8452766693048
 5600.0      49.8470758029165
 5700.0      49.8487812047533
 5800.0      49.8503992725085
 5900.0      49.8519358673655
 6000.0      49.8533963670792
# V = 109.593000 (a.u.^3)
    5.0       0.0003129353446
  100.0      10.6853179378231
  200.0      25.8240226021839
  300.0      35.0797174251144
  400.0      40.2689771399088
  500.0      43.2627562727689
  600.0      45.0925667399276
  700.0      46.2756911482060
  800.0      47.0785826107823
  900.0      47.6458685937884
 1000.0      48.0603668913594
 1100.0      48.3718596869467
 1200.0      48.6115705274603
 1300.0      48.7998185875097
 1400.0      48.9502569342159
 1500.0      49.0723189718559
 1600.0      49.1726838775014
 1700.0      49.2561837658824
 1800.0      49.3263819416255
 1900.0      49.3859512495915
 2000.0      49.4369274930913
 2100.0      49.4808827866196
 2200.0      49.5190464184072
 2300.0      49.5523905849158
 2400.0      49.5816921717513
 2500.0      49.6075779187309
 2600.0      49.6305578767540
 2700.0      49.6510504946926
 2800.0      49.6694016425528
 2900.0      49.6858991872757
 3000.0      49.7007842692179
 3100.0      49.7142601048566
 3200.0      49.7264989162521
 3300.0      49.7376474288275
 3400.0      49.7478312654269
 3500.0      49.7571584825431
 3600.0      49.7657224347120
 3700.0      49.7736041089486
 3800.0      49.7808740382876
 3900.0      49.7875938789028
 4000.0      49.7938177166869
 4100.0      49.7995931550169
 4200.0      49.8049622245757
 4300.0      49.8099621477118
 4400.0      49.8146259833051
 4500.0      49.8189831730062
 4600.0      49.8230600057080
 4700.0      49.8268800139392
 4800.0      49.8304643133387
 4900.0      49.8338318943622
 5000.0      49.8369998737453
 5100.0      49.8399837119428
 5200.0      49.8427974017019
 5300.0      49.8454536320674
 5400.0      49.8479639314057
 5500.0      49.8503387924611
 5600.0      49.8525877819758
 5700.0      49.8547196370134
 5800.0      49.8567423497972
 5900.0      49.8586632426002
 6000.0      49.8604890339993
# V = 102.777000 (a.u.^3)
    5.0       0.0002418081172
  100.0       9.1323462992022
  200.0      23.2461233174728
  300.0      32.7307084811723
  400.0      38.4390666010954
  500.0      41.8653361481877
  600.0      44.0078430783506
  700.0      45.4127477466847
  800.0      46.3749245238331
  900.0      47.0590389313521
 1000.0      47.5611449975828
 1100.0      47.9397225393176
 1200.0      48.2317882655677
 1300.0      48.4615962058412
 1400.0      48.6455285474660
 1500.0      48.7949505600574
 1600.0      48.9179354153160
 1700.0      49.0203391023095
 1800.0      49.1064892868362
 1900.0      49.1796379963589
 2000.0      49.2422659157831
 2100.0      49.2962911665427
 2200.0      49.3432152360121
 2300.0      49.3842267157178
 2400.0      49.4202761937600
 2500.0      49.4521310924482
 2600.0      49.4804163467856
 2700.0      49.5056449434948
 2800.0      49.5282411033673
 2900.0      49.5485580608026
 3000.0      49.5668918305023
 3100.0      49.5834919622515
 3200.0      49.5985700128127
 3300.0      49.6123062715885
 3400.0      49.6248551390383
 3500.0      49.6363494572771
