# T (K)      C_V_P (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.9551827441459
  200.0      36.7696761866574
  300.0      40.6765762253697
  400.0      44.8994215669865
  500.0      46.1792762625683
  600.0      47.2970114241867
  700.0      47.8947062002770
  800.0      48.3397296328326
  900.0      48.6423028385256
 1000.0      48.8651521445057
 1100.0      49.0367657638340
 1200.0      49.1635178732163
 1300.0      49.2652885058271
 1400.0      49.3470089857734
 1500.0      49.4129439709312
 1600.0      49.4667181596124
 1700.0      49.5110793778762
 1800.0      49.5463657467898
 1900.0      49.5829492110415
 2000.0      49.6031207310988
 2100.0      49.6316135728080
 2200.0      49.6511976452148
 2300.0      49.6650964969529
 2400.0      49.6875503785108
 2500.0      49.6903769569639
 2600.0      49.7119690548154
 2700.0      49.7178641717319
 2800.0      49.7237645076993
 2900.0      49.7434615034308
 3000.0      49.7377384619043
 3100.0      49.7513990880476
 3200.0      49.7466764614662
 3300.0      49.7721929473518
 3400.0      49.7665372446124
 3500.0      49.7598395493060
 3600.0      49.7983059920058
 3700.0      49.7481599433976
 3800.0      49.8068588695243
 3900.0      49.7703270482590
 4000.0      49.7880477506316
 4100.0      49.7937002569832
 4200.0      49.7966583879588
 4300.0      49.7700808940811
 4400.0      49.8204715365080
 4500.0      49.7771140664556
 4600.0      49.8088015548923
 4700.0      49.8144372926734
 4800.0      49.7785589022163
 4900.0      49.8182953889416
 5000.0      49.7970216756305
 5100.0      49.7995489633198
 5200.0      49.8099152007187
 5300.0      49.8095354382016
 5400.0      49.8058576155098
 5500.0      49.7968305610596
 5600.0      49.8046159451582
 5700.0      49.8326587345836
 5800.0      49.7752731813213
 5900.0      49.8199722271155
 6000.0      49.8374257462631
# P = 1.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.9431591204262
  200.0      36.7525079721873
  300.0      40.6655695826129
  400.0      44.8918117900687
  500.0      46.1743786602725
  600.0      47.2935200826463
  700.0      47.8921375876069
  800.0      48.3377368520800
  900.0      48.6407076053294
 1000.0      48.8638452604914
 1100.0      49.0356561789557
 1200.0      49.1625765924238
 1300.0      49.2644709093152
 1400.0      49.3462895976035
 1500.0      49.4123046094654
 1600.0      49.4661466825202
 1700.0      49.5105657229305
 1800.0      49.5459075148557
 1900.0      49.5825157745118
 2000.0      49.6027469911190
 2100.0      49.6312533727139
 2200.0      49.6508662330972
 2300.0      49.6648035185716
 2400.0      49.6872540927446
 2500.0      49.6901382163003
 2600.0      49.7117139281342
 2700.0      49.7176430836836
 2800.0      49.7235704279484
 2900.0      49.7432408285958
 3000.0      49.7375806688352
 3100.0      49.7512240662790
 3200.0      49.7465664673819
 3300.0      49.7719999082836
 3400.0      49.7664062343882
 3500.0      49.7597604107120
 3600.0      49.7980936647356
 3700.0      49.7481869804200
 3800.0      49.8066553788495
 3900.0      49.7703037919984
 4000.0      49.7879666648103
 4100.0      49.7936177106454
 4200.0      49.7965754587485
 4300.0      49.7701369978189
 4400.0      49.8203155430782
 4500.0      49.7771737247137
 4600.0      49.8087234406810
 4700.0      49.8143633614916
 4800.0      49.7786361933154
 4900.0      49.8182243833450
 5000.0      49.7970565908096
 5100.0      49.7995704839262
 5200.0      49.8099280106371
 5300.0      49.8095238050985
 5400.0      49.8059040422232
 5500.0      49.7969058018956
 5600.0      49.8046749142891
 5700.0      49.8326045939771
 5800.0      49.7754651058989
 5900.0      49.8200055557829
 6000.0      49.8372944793451
# P = 2.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.9312495811571
  200.0      36.7355008578922
  300.0      40.6546639520820
  400.0      44.8842705240711
  500.0      46.1695241944839
  600.0      47.2900591161764
  700.0      47.8895911324139
  800.0      48.3357612082964
  900.0      48.6391260930623
 1000.0      48.8625496298656
 1100.0      49.0345562083233
 1200.0      49.1616434936164
 1300.0      49.2636604541321
 1400.0      49.3455765199362
 1500.0      49.4116708766221
 1600.0      49.4655802460789
 1700.0      49.5100566008069
 1800.0      49.5454533117853
 1900.0      49.5820861749824
 2000.0      49.6023765059338
 2100.0      49.6308963308172
 2200.0      49.6505377096340
 2300.0      49.6645130471465
 2400.0      49.6869603730108
 2500.0      49.6899014479305
 2600.0      49.7114609594617
 2700.0      49.7174238029709
 2800.0      49.7233778791466
 2900.0      49.7430219591225
 3000.0      49.7374240334704
 3100.0      49.7510503760622
 3200.0      49.7464571362220
 3300.0      49.7718083619411
 3400.0      49.7662760865084
 3500.0      49.7596816289113
 3600.0      49.7978829429254
 3700.0      49.7482133728328
 3800.0      49.8064533466195
 3900.0      49.7702803570533
 4000.0      49.7878858996365
 4100.0      49.7935354748365
 4200.0      49.7964928294277
 4300.0      49.7701922755045
 4400.0      49.8201603595072
 4500.0      49.7772325564660
 4600.0      49.8086454929596
 4700.0      49.8142895188042
 4800.0      49.7787126159331
 4900.0      49.8181533882979
 5000.0      49.7970908968063
 5100.0      49.7995914880107
 5200.0      49.8099403052543
 5300.0      49.8095118075139
 5400.0      49.8059498236389
 5500.0      49.7969803506687
 5600.0      49.8047332439907
 5700.0      49.8325500529264
 5800.0      49.7756562643002
 5900.0      49.8200383235269
 6000.0      49.8371626353894
# P = 3.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.9194525335192
  200.0      36.7186526600083
  300.0      40.6438580017398
  400.0      44.8767968680868
  500.0      46.1647123330949
  600.0      47.2866281550312
  700.0      47.8870665671325
  800.0      48.3338025040924
  900.0      48.6375581408415
 1000.0      48.8612651262433
 1100.0      49.0334657384300
 1200.0      49.1607184808198
 1300.0      49.2628570639019
 1400.0      49.3448696919977
 1500.0      49.4110427241506
 1600.0      49.4650188125557
 1700.0      49.5095519826185
 1800.0      49.5450031168212
 1900.0      49.5816603961777
 2000.0      49.6020092669738
 2100.0      49.6305424416096
 2200.0      49.6502120735189
 2300.0      49.6642250859418
 2400.0      49.6866692243315
 2500.0      49.6896666615041
 2600.0      49.7112101597168
 2700.0      49.7172063433417
 2800.0      49.7231868771548
 2900.0      49.7428049127596
 3000.0      49.7372685747612
 3100.0      49.7508780383090
 3200.0      49.7463484884742
 3300.0      49.7716183340471
 3400.0      49.7661468251536
 3500.0      49.7596032252755
 3600.0      49.7976738620259
