# T (K)      C_V_V (J K^-1 mol^-1)
# V = 131.930000 (a.u.^3)
    0.0      -0.0000000000000
  100.0      16.0925165433733
  200.0      36.9572599152200
  300.0      40.7883967627677
  400.0      44.9699643618704
  500.0      46.2200568648181
  600.0      47.3227230314512
  700.0      47.9111302673657
  800.0      48.3505354516430
  900.0      48.6494047518973
 1000.0      48.8697057449287
 1100.0      49.0395629666362
 1200.0      49.1649884738032
 1300.0      49.2657867569465
 1400.0      49.3467662507241
 1500.0      49.4121270158364
 1600.0      49.4654544159119
 1700.0      49.5094675082410
 1800.0      49.5445063048734
 1900.0      49.5807951183490
 2000.0      49.6009243238665
 2100.0      49.6291736150229
 2200.0      49.6486571828567
 2300.0      49.6625904538505
 2400.0      49.6847576114585
 2500.0      49.6879149543544
 2600.0      49.7091207263806
 2700.0      49.7152031791758
 2800.0      49.7212599557320
 2900.0      49.7404334227520
 3000.0      49.7354294695253
 3100.0      49.7486976001245
 3200.0      49.7448679676026
 3300.0      49.7689019631774
 3400.0      49.7641774413051
 3500.0      49.7583247746156
 3600.0      49.7941769669671
 3700.0      49.7486260545903
 3800.0      49.8025736741813
 3900.0      49.7697467853810
 4000.0      49.7861595244724
 4100.0      49.7917095927438
 4200.0      49.7945911294674
 4300.0      49.7713539158747
 4400.0      49.8164158037615
 4500.0      49.7785523898501
 4600.0      49.8065834950722
 4700.0      49.8122600945770
 4800.0      49.7806223805969
 4900.0      49.8160723869531
 5000.0      49.7979109330300
 5100.0      49.8000509297131
 5200.0      49.8101324602314
 5300.0      49.8089815728607
 5400.0      49.8071921063858
 5500.0      49.7991895532837
 5600.0      49.8064483888823
 5700.0      49.8304670299971
 5800.0      49.7820777626563
 5900.0      49.8209489822242
 6000.0      49.8320425588771
# V = 131.094979 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.8304074743077
  200.0      36.5850542834023
  300.0      40.5516880895312
  400.0      44.8077512218408
  500.0      46.1165820228199
  600.0      47.2496118912270
  700.0      47.8578148132396
  800.0      48.3095392069971
  900.0      48.6168806326089
 1000.0      48.8433003684776
 1100.0      49.0173519239988
 1200.0      49.1463189442706
 1300.0      49.2497224383551
 1400.0      49.3327654210858
 1500.0      49.3998025670416
 1600.0      49.4545436810620
 1700.0      49.4997542866698
 1800.0      49.5359210279315
 1900.0      49.5727599539272
 2000.0      49.5940508913377
 2100.0      49.6226212236784
 2200.0      49.6426854001861
 2300.0      49.6573526567947
 2400.0      49.6795253908213
 2500.0      49.6837152575143
 2600.0      49.7046968233664
 2700.0      49.7113919567817
 2800.0      49.7179334932458
 2900.0      49.7367154841552
 3000.0      49.7327566183153
 3100.0      49.7457835595703
 3200.0      49.7429971055368
 3300.0      49.7657741116000
 3400.0      49.7620268361573
 3500.0      49.7569814007185
 3600.0      49.7908556125275
 3700.0      49.7488781871809
 3800.0      49.7994472447050
 3900.0      49.7692630022557
 4000.0      49.7848492482706
 4100.0      49.7903873800521
 4200.0      49.7932762452667
 4300.0      49.7719891084464
 4400.0      49.8141079427127
 4500.0      49.7792198483873
 4600.0      49.8053707906171
 4700.0      49.8111027326154
 4800.0      49.7815114024487
 4900.0      49.8149661870959
 5000.0      49.7982117116578
 5100.0      49.8001768947755
 5200.0      49.8101242160029
 5300.0      49.8086718548159
 5400.0      49.8076123165102
 5500.0      49.7999876212138
 5600.0      49.8070226652266
 5700.0      49.8295833127826
 5800.0      49.7843426809086
 5900.0      49.8211761238129
 6000.0      49.8301615228876
# V = 130.259958 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.5699987133644
  200.0      36.2141279474313
  300.0      40.3144775552335
  400.0      44.6443981264976
  500.0      46.0118438938940
  600.0      47.1753710245185
  700.0      47.8035441963124
  800.0      48.2677526627788
  900.0      48.5837037248926
 1000.0      48.8163509599108
 1100.0      48.9946889218995
 1200.0      49.1272651969439
 1300.0      49.2333310393566
 1400.0      49.3184837386678
 1500.0      49.3872352358755
 1600.0      49.4434206658894
 1700.0      49.4898539410080
 1800.0      49.5271678901122
 1900.0      49.5645796431203
 2000.0      49.5870406555781
 2100.0      49.6159499742477
 2200.0      49.6366056416080
 2300.0      49.6520123536437
 2400.0      49.6742057504006
 2500.0      49.6794251550375
 2600.0      49.7001977413491
 2700.0      49.7075060879369
 2800.0      49.7145341276056
 2900.0      49.7329388449448
 3000.0      49.7300157383173
 3100.0      49.7428126091650
 3200.0      49.7410559958748
 3300.0      49.7626051069433
 3400.0      49.7598219573954
 3500.0      49.7555755079165
 3600.0      49.7875089150654
 3700.0      49.7490476590619
 3800.0      49.7962994773470
 3900.0      49.7687156758748
 4000.0      49.7834926297649
 4100.0      49.7890206707650
 4200.0      49.7919201011010
 4300.0      49.7725509235539
 4400.0      49.8117797919764
 4500.0      49.7798165606881
 4600.0      49.8041229010949
 4700.0      49.8099077804258
 4800.0      49.7823334280990
 4900.0      49.8138248082293
 5000.0      49.7984548127086
 5100.0      49.8002514160908
 5200.0      49.8100627956626
 5300.0      49.8083212266539
 5400.0      49.8079743984414
 5500.0      49.8007255347878
 5600.0      49.8075392672145
 5700.0      49.8286664225448
 5800.0      49.7865241509825
 5900.0      49.8213531071355
 6000.0      49.8282647957876
# V = 129.424936 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.3113211747257
  200.0      35.8445047943807
  300.0      40.0767575486775
  400.0      44.4798844579664
  500.0      45.9058183244603
  600.0      47.0999778649042
  700.0      47.7482986575742
  800.0      48.2251589764618
  900.0      48.5498597653454
 1000.0      48.7888453903934
 1100.0      48.9715636854740
 1200.0      49.1078183821768
 1300.0      49.2166049338309
 1400.0      49.3039145876460
 1500.0      49.3744192561827
 1600.0      49.4320803033870
 1700.0      49.4797619950511
 1800.0      49.5182428871664
 1900.0      49.5562506960782
 2000.0      49.5798903879773
 2100.0      49.6091570488873
 2200.0      49.6304153673861
 2300.0      49.6465671913384
 2400.0      49.6687966698455
 2500.0      49.6750426543563
 2600.0      49.6956218132992
 2700.0      49.7035439773673
 2800.0      49.7110603606927
 2900.0      49.7291022938725
 3000.0      49.7272055257277
 3100.0      49.7397836701931
 3200.0      49.7390434022116
 3300.0      49.7593942268728
 3400.0      49.7575619180376
 3500.0      49.7541061065448
 3600.0      49.7841365500248
 3700.0      49.7491332301733
 3800.0      49.7931301823205
 3900.0      49.7681039574606
 4000.0      49.7820891353714
 4100.0      49.7876090001485
 4200.0      49.7905223137950
 4300.0      49.7730384779843
 4400.0      49.8094313779631
 4500.0      49.7803417503758
 4600.0      49.8028396631082
 4700.0      49.8086750716139
 4800.0      49.7830878159904
 4900.0      49.8126481771094
 5000.0      49.7986398138138
 5100.0      49.8002741924313
 5200.0      49.8099479090540
 5300.0      49.8079296102319
 5400.0      49.8082780286669
 5500.0      49.8014029481628
 5600.0      49.8079979169572
 5700.0      49.8277165262880
 5800.0      49.7886215026674
 5900.0      49.8214798518495
 6000.0      49.8263529074898
# V = 128.589915 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.0544064008315
  200.0      35.4762092208067
  300.0      39.8385203634431
  400.0      44.3141891815691
  500.0      45.7984806193409
  600.0      47.0234093027787
  700.0      47.6920579364229
  800.0      48.1817408595249
  900.0      48.5153340992659
 1000.0      48.7607711905187
 1100.0      48.9479656424923
 1200.0      49.0879693908556
 1300.0      49.1995362663883
 1400.0      49.2890511528979
 1500.0      49.3613486822342
 1600.0      49.4205173705974
 1700.0      49.4694738304024
 1800.0      49.5091418892808
 1900.0      49.5477695094834
