# T/K      Debye temperature
# V= 131.9300000000000
 100.000               228.6

# V= 124.1700000000000
 100.000               327.4

# V= 116.7460000000000
 100.000               396.5

# V= 109.5930000000000
 100.000               452.7

# V= 102.7770000000000
 100.000               502.1
 200.000               239.2

# V=  96.1639000000000
 100.000               547.7
 200.000               378.0

# V=  89.9554000000000
 100.000               591.4
 200.000               478.8

# V=  83.9494000000000
 100.000               635.4
 200.000               562.7

# V=  78.2133000000000
 100.000               677.0
 200.000               634.4
 300.000               244.6

# V=  72.7471000000000
 100.000               676.7
 200.000               670.0
 300.000               419.5

# V=  67.5509000000000
 100.000               721.5
 200.000               734.1
 300.000               573.1

# V=  62.6246000000000
 100.000               760.4
 200.000               792.9
 300.000               693.5

# V=  57.9008000000000
 100.000               791.0
 200.000               846.3
 300.000               792.7
 400.000               460.8

# V=  53.4469000000000
 100.000               808.6
 200.000               895.5
 300.000               880.6
 400.000               670.8

# V=  49.2629000000000
 100.000               805.7
 200.000               937.5
 300.000               957.8
 400.000               829.2
 500.000               306.4

