# P (GPa)      H (Ry.)
     0.00      -0.8231615740899
     1.00      -0.8144866908448
     2.00      -0.8058357624336
     3.00      -0.7972085132167
     4.00      -0.7886046740335
     5.00      -0.7800239817946
     6.00      -0.7714661762792
     7.00      -0.7629310055436
     8.00      -0.7544182196340
     9.00      -0.7459275748528
    10.00      -0.7374588327371
    11.00      -0.7290117568162
    12.00      -0.7205861182943
    13.00      -0.7121816904502
    14.00      -0.7037982506011
    15.00      -0.6954355824331
    16.00      -0.6870934705604
    17.00      -0.6787717052466
    18.00      -0.6704700811851
    19.00      -0.6621883939883
    20.00      -0.6539264455763
    21.00      -0.6456840408583
    22.00      -0.6374609858808
    23.00      -0.6292570930240
    24.00      -0.6210721768935
    25.00      -0.6129060532437
    26.00      -0.6047585439255
    27.00      -0.5966294728083
    28.00      -0.5885186646318
    29.00      -0.5804259498277
    30.00      -0.5723511611207
    31.00      -0.5642941316835
    32.00      -0.5562546996039
    33.00      -0.5482327060378
    34.00      -0.5402279922922
    35.00      -0.5322404031672
    36.00      -0.5242697877082
    37.00      -0.5163159952171
    38.00      -0.5083788765905
    39.00      -0.5004582878438
    40.00      -0.4925540860171
