# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 131.930000 (a.u.^3)
    5.0       0.0002093984672
  100.0      10.5320153346979
  200.0      29.4658091854923
  300.0      45.0318594233938
  400.0      57.4707314573963
  500.0      67.6514019781752
  600.0      76.2090653229337
  700.0      83.5663388131082
  800.0      90.0075769516860
  900.0      95.7300026204192
 1000.0     100.8748229727657
 1100.0     105.5461118755677
 1200.0     109.8225501959152
 1300.0     113.7649494613996
 1400.0     117.4212200218480
 1500.0     120.8297442200351
 1600.0     124.0217250408671
 1700.0     127.0228588152688
 1800.0     129.8545509074655
 1900.0     132.5348154661746
 2000.0     135.0789523304701
 2100.0     137.5000638598596
 2200.0     139.8094548582634
 2300.0     142.0169458230650
 2400.0     144.1311210425320
 2500.0     146.1595270992712
 2600.0     148.1088331829348
 2700.0     149.9849616782814
 2800.0     151.7931953889935
 2900.0     153.5382662284379
 3000.0     155.2244290845469
 3100.0     156.8555237305928
 3200.0     158.4350270262267
 3300.0     159.9660971773575
 3400.0     161.4516114593313
 3500.0     162.8941985268545
 3600.0     164.2962662154367
 3700.0     165.6600255677530
 3800.0     166.9875116829766
 3900.0     168.2806018795979
 4000.0     169.5410315762036
 4100.0     170.7704082254706
 4200.0     171.9702235805973
 4300.0     173.1418645278123
 4400.0     174.2866226813249
 4500.0     175.4057029064263
 4600.0     176.5002309111641
 4700.0     177.5712600260206
 4800.0     178.6197772735457
 4900.0     179.6467088152870
 5000.0     180.6529248510778
 5100.0     181.6392440354067
 5200.0     182.6064374668493
 5300.0     183.5552322991124
 5400.0     184.4863150159389
 5500.0     185.4003344066969
 5600.0     186.2979042748893
 5700.0     187.1796059078122
 5800.0     188.0459903322006
 5900.0     188.8975803777089
 6000.0     189.7348725675492
# V = 124.170000 (a.u.^3)
    5.0       0.0001715457298
  100.0       7.2641311210945
  200.0      23.5461376409435
  300.0      38.0470917025835
  400.0      50.0011756751482
  500.0      59.9312581411283
  600.0      68.3458157167449
  700.0      75.6149933432794
  800.0      81.9988256984260
  900.0      87.6821705391419
 1000.0      92.7994601956697
 1100.0      97.4508243207371
 1200.0     101.7125300144986
 1300.0     105.6438489407413
 1400.0     109.2916740422304
 1500.0     112.6936950421236
 1600.0     115.8806311030037
 1700.0     118.8778329295493
 1800.0     121.7064540870538
 1900.0     124.3843220753518
 2000.0     126.9265962328825
 2100.0     129.3462716939856
 2200.0     131.6545704173365
 2300.0     133.8612481769003
 2400.0     135.9748381848297
 2500.0     138.0028463481784
 2600.0     139.9519091938521
 2700.0     141.8279226788617
 2800.0     143.6361480753927
 2900.0     145.3812996428447
 3000.0     147.0676177099925
 3100.0     148.6989299789497
 3200.0     150.2787032518368
 3300.0     151.8100873169299
 3400.0     153.2959523752609
 3500.0     154.7389211135775
 3600.0     156.1413963152573
 3700.0     157.5055847325488
 3800.0     158.8335178105417
 3900.0     160.1270697474692
 4000.0     161.3879732912399
 4100.0     162.6178336038647
 4200.0     163.8181404701942
 4300.0     164.9902790823776
 4400.0     166.1355395946296
 4500.0     167.2551256126095
 4600.0     168.3501617566841
 4700.0     169.4217004175984
 4800.0     170.4707278057451
 4900.0     171.4981693807790
 5000.0     172.5048947361312
 5100.0     173.4917220027428
 5200.0     174.4594218276598
 5300.0     175.4087209757597
 5400.0     176.3403055966209
 5500.0     177.2548241931819
 5600.0     178.1528903242377
 5700.0     179.0350850688960
 5800.0     179.9019592776874
 5900.0     180.7540356321102
 6000.0     181.5918105318222
# V = 116.746000 (a.u.^3)
    5.0       0.0001367419150
  100.0       5.6145308011878
  200.0      19.7661602221438
  300.0      33.2069619911080
  400.0      44.6376041704259
  500.0      54.2855952256362
  600.0      62.5346010429602
  700.0      69.6996310024426
  800.0      76.0142383806435
  900.0      81.6495117258442
 1000.0      86.7322210081417
 1100.0      91.3579824269135
 1200.0      95.6002747710769
 1300.0      99.5165765104519
 1400.0     103.1525872181800
 1500.0     106.5451787253525
 1600.0     109.7244951607272
 1700.0     112.7154738247882
 1800.0     115.5389651821800
 1900.0     118.2125705994590
 2000.0     120.7512780613607
 2100.0     123.1679510339582
 2200.0     125.4737090208778
 2300.0     127.6782271585293
 2400.0     129.7899745311225
 2500.0     131.8164055615651
 2600.0     133.7641150827946
 2700.0     135.6389650154243
 2800.0     137.4461886408211
 2900.0     139.1904770418095
 3000.0     140.8760512350601
 3100.0     142.5067227358044
 3200.0     144.0859447042409
 3300.0     145.6168553726201
 3400.0     147.1023151059784
 3500.0     148.5449381814928
 3600.0     149.9471201622378
 3700.0     151.3110615767008
 3800.0     152.6387884852216
 3900.0     153.9321704108372
 4000.0     155.1929360288735
 4100.0     156.4226869426051
 4200.0     157.6229098179666
 4300.0     158.7949871060107
 4400.0     159.9402065455283
 4500.0     161.0597696083904
 4600.0     162.1547990254917
 4700.0     163.2263455106652
 4800.0     164.2753937828555
 4900.0     165.3028679725201
 5000.0     166.3096364862034
 5100.0     167.2965163930913
 5200.0     168.2642773887534
 5300.0     169.2136453840059
 5400.0     170.1453057605997
 5500.0     171.0599063301410
 5600.0     171.9580600280844
 5700.0     172.8403473707436
 5800.0     173.7073186998739
 5900.0     174.5594962364751
 6000.0     175.3973759629270
# V = 109.593000 (a.u.^3)
    5.0       0.0001026946715
  100.0       4.4781264604970
  200.0      16.8695419155939
  300.0      29.2668575591308
  400.0      40.1403772311942
  500.0      49.4766246858291
  600.0      57.5388956810807
  700.0      64.5850007902945
  800.0      70.8199303382633
  900.0      76.3995702002734
 1000.0      81.4421008440908
 1100.0      86.0380257381908
 1200.0      90.2576413136575
 1300.0      94.1563679460264
 1400.0      97.7785296636204
 1500.0     101.1600523732022
 1600.0     104.3304133610360
 1700.0     107.3140694669393
 1800.0     110.1315182497368
 1900.0     112.8000973828420
 2000.0     115.3345947767739
 2100.0     117.7477199888216
 2200.0     120.0504726452317
 2300.0     122.2524334520325
 2400.0     124.3619963397088
 2500.0     126.3865553542140
 2600.0     128.3326564027882
 2700.0     130.2061214437996
 2800.0     132.0121508776418
 2900.0     133.7554085485513
 3000.0     135.4400927663244
 3100.0     137.0699960059790
 3200.0     138.6485553747490
 3300.0     140.1788955013689
 3400.0     141.6638651679798
 3500.0     143.1060687451861
 3600.0     144.5078932876029
 3700.0     145.8715319871824
 3800.0     147.1990045547116
 3900.0     148.4921749986170
 4000.0     149.7527671889195
 4100.0     150.9823785285800
 4200.0     152.1824920011914
 4300.0     153.3544868205334
 4400.0     154.4996478718575
 4500.0     155.6191741054290
 4600.0     156.7141860185468
 4700.0     157.7857323420914
 4800.0     158.8347960307899
 4900.0     159.8622996422883
 5000.0     160.8691101782415
 5100.0     161.8560434506256
 5200.0     162.8238680279866
 5300.0     163.7733088091399
 5400.0     164.7050502656804
 5500.0     165.6197393894207
 5600.0     166.5179883763586
 5700.0     167.4003770749081
 5800.0     168.2674552227808
 5900.0     169.1197444940144
 6000.0     169.9577403751399
# V = 102.777000 (a.u.^3)
    5.0       0.0000797635397
  100.0       3.6324984715844
  200.0      14.5482897735621
  300.0      25.9191642400096
  400.0      36.1881841094913
  500.0      45.1649157073792
  600.0      53.0016766548402
  700.0      59.8981918295876
  800.0      66.0288571991511
  900.0      71.5327050969487
 1000.0      76.5181539032230
 1100.0      81.0697807301363
 1200.0      85.2541307702449
 1300.0      89.1241614345119
 1400.0      92.7225270600638
 1500.0      96.0839894535889
 1600.0      99.2371940134295
 1700.0     102.2059899632402
 1800.0     105.0104223378054
 1900.0     107.6674858729551
 2000.0     110.1917044871154
 2100.0     112.5955816194324
 2200.0     114.8899538818471
 2300.0     117.0842715354598
 2400.0     119.1868230017134
 2500.0     121.2049161411437
 2600.0     123.1450258175604
 2700.0     125.0129149336373
 2800.0     126.8137344153100
 2900.0     128.5521063581147
 3000.0     130.2321936041756
 3100.0     131.8577583066341
 3200.0     133.4322114969478
 3300.0     134.9586552554273
 3400.0     136.4399187646220
 3500.0     137.8785892754342
 3600.0     139.2770388200043
 3700.0     140.6374473508289
 3800.0     141.9618228627176
 3900.0     143.2520189560097
 4000.0     144.5097502205018
 4100.0     145.7366057556924
 4200.0     146.9340610910542
 4300.0     148.1034887276346
 4400.0     149.2461674874948
 4500.0     150.3632908287712
 4600.0     151.4559742603847
 4700.0     152.5252619706259
 4800.0     153.5721327673397
 4900.0     154.5975054135627
 5000.0     155.6022434308332
 5100.0     156.5871594325238
 5200.0     157.5530190412211
 5300.0     158.5005444370769
 5400.0     159.4304175779985
 5500.0     160.3432831273831
 5600.0     161.2397511206426
 5700.0     162.1203993979563
 5800.0     162.9857758273809
 5900.0     163.8364003396031
 6000.0     164.6727667931364
# V = 96.163900 (a.u.^3)
    5.0       0.0000639399662
  100.0       2.9748298641227
  200.0      12.6737038048778
  300.0      23.1024112990884
  400.0      32.7757261804464
  500.0      41.3894374384041
  600.0      48.9990672937903
  700.0      55.7477843603122
  800.0      61.7785769631340
  900.0      67.2126892253897
 1000.0      72.1480874732567
 1100.0      76.6629640488951
 1200.0      80.8198193511977
 1300.0      84.6689630623540
 1400.0      88.2512652029163
 1500.0      91.6002538387933
 1600.0      94.7437017210615
 1700.0      97.7048282792252
 1800.0     100.5032158042216
 1900.0     103.1555135420578
 2000.0     105.6759837339302
 2100.0     108.0769290431681
 2200.0     110.3690302232164
 2300.0     112.5616152568599
 2400.0     114.6628757039689
 2500.0     116.6800420202261
 2600.0     118.6195267143380
 2700.0     120.4870420866463
 2800.0     122.2876977201462
 2900.0     124.0260817221928
 3000.0     125.7063288330000
 3100.0     127.3321778480137
 3200.0     128.9070202898301
 3300.0     130.4339418714424
 3400.0     131.9157579869565
 3500.0     133.3550442271191
 3600.0     134.7541627291262
 3700.0     136.1152850214634
 3800.0     137.4404119060340
 3900.0     138.7313908249040
 4000.0     139.9899310824864
 4100.0     141.2176172320173
 4200.0     142.4159208847040
 4300.0     143.5862111586365
 4400.0     144.7297639506024
 4500.0     145.8477701859019
 4600.0     146.9413431780164
 4700.0     148.0115252106093
 4800.0     149.0592934381511
 4900.0     150.0855651878696
 5000.0     151.0912027342765
 5100.0     152.0770176078512
 5200.0     153.0437744912497
 5300.0     153.9921947494260
 5400.0     154.9229596340943
 5500.0     155.8367131978524
 5600.0     156.7340649489104
 5700.0     157.6155922735962
 5800.0     158.4818426505449
 5900.0     159.3333356776729
 6000.0     160.1705649305772
# V = 89.955400 (a.u.^3)
    5.0       0.0000509634606
  100.0       2.4645550427108
  200.0      11.1350581524480
  300.0      20.6928842396946
  400.0      29.7616453371523
  500.0      37.9840377525113
  600.0      45.3384689177179
  700.0      51.9156606557258
  800.0      57.8272073550015
  900.0      63.1757595752871
 1000.0      68.0480277040797
 1100.0      72.5151782232850
 1200.0      76.6351856496659
 1300.0      80.4553562431447
 1400.0      84.0145121053080
 1500.0      87.3447503492634
 1600.0      90.4728217025627
 1700.0      93.4212011424015
 1800.0      96.2089190273401
 1900.0      98.8522088383054
 2000.0     101.3650150857726
 2100.0     103.7593944310055
 2200.0     106.0458348848183
 2300.0     108.2335117686567
 2400.0     110.3304945191743
 2500.0     112.3439150012894
 2600.0     114.2801054574449
 2700.0     116.1447123294148
 2800.0     117.9427907716540
 2900.0     119.6788836065257
 3000.0     121.3570876606274
 3100.0     122.9811098016168
 3200.0     124.5543145180165
 3300.0     126.0797645150540
 3400.0     127.5602555114995
 3500.0     128.9983461963838
 3600.0     130.3963841259175
 3700.0     131.7565281990808
 3800.0     133.0807682369949
 3900.0     134.3709421000966
 4000.0     135.6287507035549
 4100.0     136.8557712316112
 4200.0     138.0534688027738
 4300.0     139.2232067978171
 4400.0     140.3662560296148
 4500.0     141.4838029066073
 4600.0     142.5769567190762
 4700.0     143.6467561585443
 4800.0     144.6941751648175
 4900.0     145.7201281819200
 5000.0     146.7254748929836
 5100.0     147.7110244946808
 5200.0     148.6775395637552
 5300.0     149.6257395613514
 5400.0     150.5563040150045
 5500.0     151.4698754131354
 5600.0     152.3670618425887
 5700.0     153.2484393960488
 5800.0     154.1145543729521
 5900.0     154.9659252947572
 6000.0     155.8030447529978
# V = 83.949400 (a.u.^3)
    5.0       0.0000400189384
  100.0       2.0429386911511
  200.0       9.8138543975049
  300.0      18.5728116732062
  400.0      27.0393183485073
  500.0      34.8494992345632
  600.0      41.9254610718799
  700.0      48.3110535584633
  800.0      54.0871636643256
  900.0      59.3373005350137
 1000.0      64.1362040543527
 1100.0      68.5474008706070
 1200.0      72.6238646059589
 1300.0      76.4095426529701
 1400.0      79.9409452566889
 1500.0      83.2485419660447
 1600.0      86.3579138435451
 1700.0      89.2906794129820
 1800.0      92.0652312020747
 1900.0      94.6973203173978
 2000.0      97.2005213287200
 2100.0      99.5866035477397
 2200.0     101.8658291756565
 2300.0     104.0471941824060
 2400.0     106.1386241502653
 2500.0     108.1471345147677
 2600.0     110.0789624960359
 2700.0     111.9396763828707
 2800.0     113.7342665882034
 2900.0     115.4672219432656
 3000.0     117.1425939672111
 3100.0     118.7640512850226
 3200.0     120.3349259289489
 3300.0     121.8582529172541
 3400.0     123.3368042361015
 3500.0     124.7731181389115
 3600.0     126.1695245097005
 3700.0     127.5281669029853
 3800.0     128.8510217654009
 3900.0     130.1399152575516
 4000.0     131.3965380244020
 4100.0     132.6224582053573
 4200.0     133.8191329283949
 4300.0     134.9879184941868
 4400.0     136.1300794244221
 4500.0     137.2467965222410
 4600.0     138.3391740708239
 4700.0     139.4082462778919
 4800.0     140.4549830585522
 4900.0     141.4802952360330
 5000.0     142.4850392289501
 5100.0     143.4700212845383
 5200.0     144.4360013094248
 5300.0     145.3836963428446
 5400.0     146.3137837114835
 5500.0     147.2269039002195
 5600.0     148.1236631688361
 5700.0     149.0046359411259
 5800.0     149.8703669896713
 5900.0     150.7213734368651
 6000.0     151.5581465903568
# V = 78.213300 (a.u.^3)
    5.0       0.0000317868551
  100.0       1.7350286047130
  200.0       8.7413967314553
  300.0      16.7859306843178
  400.0      24.6671636835725
  500.0      32.0510782494418
  600.0      38.8268247483595
  700.0      44.9997171309944
  800.0      50.6221062550801
  900.0      55.7585077500293
 1000.0      60.4712877395588
 1100.0      64.8158526312916
 1200.0      68.8397523143192
 1300.0      72.5832349598302
 1400.0      76.0802335608002
 1500.0      79.3593850935739
 1600.0      82.4449424862702
 1700.0      85.3575446346820
 1800.0      88.1148497381707
 1900.0      90.7320502533717
 2000.0      93.2222899562068
 2100.0      95.5970018087912
 2200.0      97.8661823899430
 2300.0     100.0386156886129
 2400.0     102.1220564686770
