# T (K)    Entropy (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    0.0      -3.9586965068286
  100.0       9.4624561290206
  200.0      25.7383935110992
  300.0      41.3044663910888
  400.0      53.6678569687937
  500.0      64.0250009193288
  600.0      72.7895708778117
  700.0      80.3965664543927
  800.0      87.1070862820402
  900.0      93.1146036256643
 1000.0      98.5558298352325
 1100.0     103.5330941773879
 1200.0     108.1236580653875
 1300.0     112.3873110096483
 1400.0     116.3715215122991
 1500.0     120.1142899046870
 1600.0     123.6465308238091
 1700.0     126.9937432981269
 1800.0     130.1771450619593
 1900.0     133.2148333075241
 2000.0     136.1219250827543
 2100.0     138.9114928094888
 2200.0     141.5950254174495
 2300.0     144.1820893797795
 2400.0     146.6814853649694
 2500.0     149.1005958339440
 2600.0     151.4461658267868
 2700.0     153.7243120815338
 2800.0     155.9400002847183
 2900.0     158.0984000120914
 3000.0     160.2035619730507
 3100.0     162.2592520522504
 3200.0     164.2690136934956
 3300.0     166.2363952105274
 3400.0     168.1643496373617
 3500.0     170.0547328553186
 3600.0     171.9111254670150
 3700.0     173.7347288097543
 3800.0     175.5281147175114
 3900.0     177.2935893706152
 4000.0     179.0319277397811
 4100.0     180.7458045988945
 4200.0     182.4364514218516
 4300.0     184.1045049501500
 4400.0     185.7524480525017
 4500.0     187.3811591080965
 4600.0     188.9913631887660
 4700.0     190.5853418352295
 4800.0     192.1625621294185
 4900.0     193.7247813490167
 5000.0     195.2732300918130
 5100.0     196.8079884196007
 5200.0     198.3305291650435
 5300.0     199.8416641579573
 5400.0     201.3417872620810
 5500.0     202.8313307501274
 5600.0     204.3112957504091
 5700.0     205.7831446916869
 5800.0     207.2460338405154
 5900.0     208.7008163148213
 6000.0     210.1500401792965
# P = 1.000000 (GPa)
    0.0      -3.9209704339206
  100.0       9.3775571816882
  200.0      25.5591956014752
  300.0      41.0664531607038
  400.0      53.4002357875194
  500.0      63.7398057493845
  600.0      72.4927674927292
  700.0      80.0909786704542
  800.0      86.7941924449084
  900.0      92.7952237427783
 1000.0      98.2304195911757
 1100.0     103.2018570603795
 1200.0     107.7867869517269
 1300.0     112.0449593939226
 1400.0     116.0237831384516
 1500.0     119.7612276143639
 1600.0     123.2881847253958
 1700.0     126.6301379377208
 1800.0     129.8082947486301
 1900.0     132.8407384677538
 2000.0     135.7425832193536
 2100.0     138.5268961501635
 2200.0     141.2051560286886
 2300.0     143.7869334755512
 2400.0     146.2810206175483
 2500.0     148.6948024546550
 2600.0     151.0350207414870
 2700.0     153.3077860840868
 2800.0     155.5180722570588
 2900.0     157.6710366008146
 3000.0     159.7707356103179
 3100.0     161.8209367105027
 3200.0     163.8251830864485
 3300.0     165.7870114921796
 3400.0     167.7093732978016
 3500.0     169.5941471836605
 3600.0     171.4448815694281
 3700.0     173.2628066800740
 3800.0     175.0504801608203
 3900.0     176.8101972165785
 4000.0     178.5427597767511
 4100.0     180.2508150315784
 4200.0     181.9356023009549
 4300.0     183.5977785140509
 4400.0     185.2397967046148
 4500.0     186.8625447678637
 4600.0     188.4667587354184
 4700.0     190.0546905139593
 4800.0     191.6258456667227
 4900.0     193.1819616146533
 5000.0     194.7242625149873
 5100.0     196.2528455382658
 5200.0     197.7691690992380
 5300.0     199.2740427416153
 5400.0     200.7678686036622
