# T (K)      Entropy (J K^-1 mol^-1)
# V = 131.930000 (a.u.^3)
    0.0      -4.4279538296083
  100.0      10.4715060066467
  200.0      27.7570792571383
  300.0      43.7944603630713
  400.0      56.2137720354330
  500.0      66.4570232671487
  600.0      75.0225892062514
  700.0      82.3883730493985
  800.0      88.8325051056523
  900.0      94.5571582798187
 1000.0      99.7033882755039
 1100.0     104.3759446066883
 1200.0     108.6535568370348
 1300.0     112.5969359756335
 1400.0     116.2541584367782
 1500.0     119.6636138462605
 1600.0     122.8564801972856
 1700.0     125.8584364568488
 1800.0     128.6908335521612
 1900.0     131.3718276046800
 2000.0     133.9166084790490
 2100.0     136.3382785779795
 2200.0     138.6483041411511
 2300.0     140.8563042450942
 2400.0     142.9710248936050
 2500.0     144.9998823095975
 2600.0     146.9495852380381
 2700.0     148.8261817781170
 2800.0     150.6347133309091
 2900.0     152.3801866526784
 3000.0     154.0667041568731
 3100.0     155.6980263297543
 3200.0     157.2776882401372
 3300.0     158.8090260743003
 3400.0     160.2949264853124
 3500.0     161.7375858352210
 3600.0     163.1400048374949
 3700.0     164.5038693591702
 3800.0     165.8314451116663
 3900.0     167.1248158104307
 4000.0     168.3852164812222
 4100.0     169.6147594459214
 4200.0     170.8147681681059
 4300.0     171.9862975930875
 4400.0     173.1311299006616
 4500.0     174.2503205613491
 4600.0     175.3447914954582
 4700.0     176.4160850635939
 4800.0     177.4645508739724
 4900.0     178.4914262930249
 5000.0     179.4977326716098
 5100.0     180.4839475743687
 5200.0     181.4511269491456
 5300.0     182.3999665830681
 5400.0     183.3310403403310
 5500.0     184.2449379500497
 5600.0     185.1423582871231
 5700.0     186.0241680790789
 5800.0     186.8904332817727
 5900.0     187.7418005566070
 6000.0     188.5792790099837
# V = 131.094979 (a.u.^3)
    0.0      -4.3351235725322
  100.0      10.2642240680788
  200.0      27.3256913760832
  300.0      43.2305696285223
  400.0      55.5901532128410
  500.0      65.8027803178531
  600.0      74.3519061777373
  700.0      81.7077891791424
  800.0      88.1455507233825
  900.0      93.8658347367425
 1000.0      99.0089375680892
 1100.0     103.6791640376039
 1200.0     107.9549887780394
 1300.0     111.8969721611668
 1400.0     115.5530767342742
 1500.0     118.9616212991668
 1600.0     122.1537358747680
 1700.0     125.1550654908797
 1800.0     127.9869384232897
 1900.0     130.6674825441982
 2000.0     133.2118801310586
 2100.0     135.6332223848582
 2200.0     137.9429562163786
 2300.0     140.1507067328349
 2400.0     142.2652045115957
 2500.0     144.2938689290548
 2600.0     146.2434027885006
 2700.0     148.1198436753291
 2800.0     149.9282452488129
 2900.0     151.6735950670767
 3000.0     153.3600039213617
 3100.0     154.9912345460686
 3200.0     156.5708202235776
 3300.0     158.1020814338304
 3400.0     159.5879028266056
 3500.0     161.0305113589123
 3600.0     162.4328650402077
 3700.0     163.7966868391574
 3800.0     165.1242248616208
 3900.0     166.4175482208074
 4000.0     167.6779263107987
 4100.0     168.9074367725003
 4200.0     170.1074137167564
 4300.0     171.2789348743149
 4400.0     172.4237483421553
 4500.0     173.5429201933551
 4600.0     174.6373853620999
 4700.0     175.7086534363042
 4800.0     176.7571161949657
 4900.0     177.7839895869089
 5000.0     178.7902876855264
 5100.0     179.7765068310232
 5200.0     180.7436873614803
 5300.0     181.6925239942630
 5400.0     182.6235987204921
 5500.0     183.5375074762082
 5600.0     184.4349401959120
 5700.0     185.3167473634298
 5800.0     186.1830243393755
 5900.0     187.0344130642959
 6000.0     187.8718777673014
# V = 130.259958 (a.u.^3)
    0.0      -4.2429842414601
  100.0      10.0584818417286
  200.0      26.8970131852686
  300.0      42.6696247646653
  400.0      54.9692541230164
  500.0      65.1509882782180
  600.0      73.6834535863173
  700.0      81.0292733761924
  800.0      87.4605467887812
  900.0      93.1763759815878
 1000.0      98.3162881809663
 1100.0     102.9841370435936
 1200.0     107.2581377414314
 1300.0     111.1986967799972
 1400.0     114.8536608545953
 1500.0     118.2612764483626
 1600.0     121.4526245187008
 1700.0     124.4533153539513
 1800.0     127.2846539570069
 1900.0     129.9647396638611
 2000.0     132.5087467234906
 2100.0     134.9297548821241
 2200.0     137.2391916980409
 2300.0     139.4466879446191
 2400.0     141.5609588039911
 2500.0     143.5894265935586
 2600.0     145.5387881301468
 2700.0     147.4150705356331
 2800.0     149.2233394456249
 2900.0     150.9685634464617
 3000.0     152.6548615049442
 3100.0     154.2859985297629
 3200.0     155.8655059588786
 3300.0     157.3966888240708
 3400.0     158.8824297769363
 3500.0     160.3249858003724
 3600.0     161.7272729155757
 3700.0     163.0910505227768
 3800.0     164.4185494174091
 3900.0     165.7118243415993
 4000.0     166.9721784568544
 4100.0     168.2016552936383
 4200.0     169.4015994261346
 4300.0     170.5731109718535
 4400.0     171.7179045161693
 4500.0     172.8370565412474
 4600.0     173.9315147761124
 4700.0     175.0027565740428
 4800.0     176.0512151832141
 4900.0     177.0780854912013
 5000.0     178.0843743741062
 5100.0     179.0705966812146
 5200.0     180.0377773516927
 5300.0     180.9866100860824
 5400.0     181.9176848571091
 5500.0     182.8316036737409
 5600.0     183.7290477142676
 5700.0     184.6108514514064
 5800.0     185.4771391902318
 5900.0     186.3285482207873
 6000.0     187.1659986175923
# V = 129.424936 (a.u.^3)
    0.0      -4.1515482830945
  100.0       9.8543072803989
  200.0      26.4710940663570
  300.0      42.1116798563984
  400.0      54.3511250050905
  500.0      64.5016923947823
  600.0      73.0172723826370
  700.0      80.3528632993010
  800.0      86.7775284965852
  900.0      92.4888153640221
 1000.0      97.6254720649499
 1100.0     102.2908945019911
 1200.0     106.5630337687700
 1300.0     110.5021392116362
 1400.0     114.1559396476611
 1500.0     117.5626077152831
 1600.0     120.7531741999700
 1700.0     123.7532138269523
 1800.0     126.5840076913196
 1900.0     129.2636262986084
 2000.0     131.8072354187310
 2100.0     134.2279030843563
 2200.0     136.5370374759046
 2300.0     138.7442746613387
 2400.0     140.8583144584389
 2500.0     142.8865819088144
 2600.0     144.8357677967727
 2700.0     146.7118888312247
 2800.0     148.5200223372465
 2900.0     150.2651181590990
 3000.0     151.9513032332728
 3100.0     153.5823445673606
 3200.0     155.1617716958459
 3300.0     156.6928744645641
 3400.0     158.1785335318586
 3500.0     159.6210353279737
 3600.0     161.0232546133255
 3700.0     162.3869865384896
 3800.0     163.7144448882379
 3900.0     165.0076702686340
 4000.0     166.2679989976654
 4100.0     167.4974410752740
 4200.0     168.6973513519499
 4300.0     169.8688519265813
 4400.0     171.0136244536119
 4500.0     172.1327556276080
 4600.0     173.2272057496750
 4700.0     174.2984204854429
 4800.0     175.3468738388979
 4900.0     176.3737399986523
 5000.0     177.3800187251283
 5100.0     178.3662431055452
 5200.0     179.3334228946418
 5300.0     180.2822508298580
 5400.0     181.2133247177811
 5500.0     182.1272525041072
 5600.0     183.0247067980244
 5700.0     183.9065062978268
 5800.0     184.7728037848470
 5900.0     185.6242319701281
 6000.0     186.4616675086384
# V = 128.589915 (a.u.^3)
    0.0      -4.0608283925423
  100.0       9.6517289035033
  200.0      26.0479844091207
