# T (K)     Gibbs free energy (Ry.)
# P= 0.000000 GPa
    0.0      -0.8231615740899
  100.0      -0.8233531470711
  200.0      -0.8246762242052
  300.0      -0.8272578030521
  400.0      -0.8308899239989
  500.0      -0.8353861492208
  600.0      -0.8406072694177
  700.0      -0.8464503176821
  800.0      -0.8528374223053
  900.0      -0.8597081089026
 1000.0      -0.8670142682069
 1100.0      -0.8747168299426
 1200.0      -0.8827835170343
 1300.0      -0.8911872272592
 1400.0      -0.8999049266637
 1500.0      -0.9089168199775
 1600.0      -0.9182057252454
 1700.0      -0.9277566011970
 1800.0      -0.9375561808963
 1900.0      -0.9475926862689
 2000.0      -0.9578556120666
 2100.0      -0.9683355079080
 2200.0      -0.9790238725745
 2300.0      -0.9899129980572
 2400.0      -1.0009958705063
 2500.0      -1.0122661066162
 2600.0      -1.0237178375018
 2700.0      -1.0353457080742
 2800.0      -1.0471447683979
 2900.0      -1.0591104546015
 3000.0      -1.0712385710250
 3100.0      -1.0835251923351
 3200.0      -1.0959666984001
 3300.0      -1.1085597097029
 3400.0      -1.1213011316520
 3500.0      -1.1341880220424
 3600.0      -1.1472176408087
 3700.0      -1.1603874872061
 3800.0      -1.1736950995079
 3900.0      -1.1871383273726
 4000.0      -1.2007150284029
 4100.0      -1.2144232575189
 4200.0      -1.2282611950567
 4300.0      -1.2422271051750
 4400.0      -1.2563193272535
 4500.0      -1.2705364162060
 4600.0      -1.2848768821439
 4700.0      -1.2993394339165
 4800.0      -1.3139228183299
 4900.0      -1.3286257926767
 5000.0      -1.3434473000314
 5100.0      -1.3583862693905
 5200.0      -1.3734417206331
 5300.0      -1.3886127550563
 5400.0      -1.4038985224403
 5500.0      -1.4192981957019
 5600.0      -1.4348110039762
 5700.0      -1.4504362700260
 5800.0      -1.4661733755731
 5900.0      -1.4820216164707
 6000.0      -1.4979805044125
# P= 1.000000 GPa
    0.0      -0.8144866908448
  100.0      -0.8146762865904
  200.0      -0.8159891213561
  300.0      -0.8185545330435
  400.0      -0.8221672883869
  500.0      -0.8266423977961
  600.0      -0.8318413198690
  700.0      -0.8376614033494
  800.0      -0.8440249368766
  900.0      -0.8508715284806
 1000.0      -0.8581531189220
 1100.0      -0.8658306601949
 1200.0      -0.8738718901034
 1300.0      -0.8822497202098
 1400.0      -0.8909411256516
 1500.0      -0.8999263170874
 1600.0      -0.9091881164179
 1700.0      -0.9187114848118
 1800.0      -0.9284831567704
 1900.0      -0.9384913548699
 2000.0      -0.9487255735551
 2100.0      -0.9591763623112
 2200.0      -0.9698352187443
 2300.0      -0.9806944336511
 2400.0      -0.9917469919527
 2500.0      -1.0029865084514
 2600.0      -1.0144071129902
 2700.0      -1.0260034481632
 2800.0      -1.0377705622620
 2900.0      -1.0497038894532
 3000.0      -1.0617992314133
 3100.0      -1.0740526611632
 3200.0      -1.0864605562045
 3300.0      -1.0990195350937
 3400.0      -1.1117264996489
 3500.0      -1.1245785058554
 3600.0      -1.1375728115142
 3700.0      -1.1507069121135
 3800.0      -1.1639783455503
 3900.0      -1.1773849567296
 4000.0      -1.1909246020871
 4100.0      -1.2045953335487
 4200.0      -1.2183953283651
 4300.0      -1.2323228483103
 4400.0      -1.2463762311711
 4500.0      -1.2605540271997
 4600.0      -1.2748547454021
 4700.0      -1.2892770905685
 4800.0      -1.3038198066445
 4900.0      -1.3184816495164
 5000.0      -1.3332615581945
 5100.0      -1.3481584595449
 5200.0      -1.3631713705907
 5300.0      -1.3782993894104
 5400.0      -1.3935416625401
 5500.0      -1.4088973606389
 5600.0      -1.4243657102749
 5700.0      -1.4399460306906
 5800.0      -1.4556376997896
 5900.0      -1.4714400125446
 6000.0      -1.4873524758443
# P= 2.000000 GPa
    0.0      -0.8058357624336
  100.0      -0.8060234110922
  200.0      -0.8073261535782
  300.0      -0.8098756292059
  400.0      -0.8134692907848
  500.0      -0.8179235732765
  600.0      -0.8231005998266
  700.0      -0.8288980313981
  800.0      -0.8352383128612
  900.0      -0.8420611391983
 1000.0      -0.8493184960566
 1100.0      -0.8569713651361
 1200.0      -0.8649874946629
 1300.0      -0.8733398035432
 1400.0      -0.8820052758164
 1500.0      -0.8909641280300
 1600.0      -0.9001991859131
 1700.0      -0.9096954130524
 1800.0      -0.9194395453707
 1900.0      -0.9294198060832
 2000.0      -0.9396256893256
 2100.0      -0.9500477444386
 2200.0      -0.9606774678562
 2300.0      -0.9715071491809
 2400.0      -0.9825297721017
 2500.0      -0.9937389495359
 2600.0      -1.0051288100486
 2700.0      -1.0166939939278
 2800.0      -1.0284295476919
 2900.0      -1.0403309035478
 3000.0      -1.0523938605215
 3100.0      -1.0646144899831
 3200.0      -1.0769891670737
 3300.0      -1.0895145084209
 3400.0      -1.1021874122804
 3500.0      -1.1150049328216
 3600.0      -1.1279643257127
 3700.0      -1.1410630827024
 3800.0      -1.1542987412800
 3900.0      -1.1676691416410
 4000.0      -1.1811721390361
 4100.0      -1.1948057824101
 4200.0      -1.2085682459418
