# T (K)     Gibbs free energy (Ry.)
    0.0      -0.8231615740899
    0.0      -0.8233531470711
    0.0      -0.8246762242052
    0.0      -0.8272578030521
    0.0      -0.8308899239989
    0.0      -0.8353861492208
    0.0      -0.8406072694177
    0.0      -0.8464503176821
    0.0      -0.8528374223053
    0.0      -0.8597081089026
    0.0      -0.8670142682069
    0.0      -0.8747168299426
    0.0      -0.8827835170343
    0.0      -0.8911872272592
    0.0      -0.8999049266637
    0.0      -0.9089168199775
    0.0      -0.9182057252454
    0.0      -0.9277566011970
    0.0      -0.9375561808963
    0.0      -0.9475926862689
    0.0      -0.9578556120666
    0.0      -0.9683355079080
    0.0      -0.9790238725745
    0.0      -0.9899129980572
    0.0      -1.0009958705063
    0.0      -1.0122661066162
    0.0      -1.0237178375018
    0.0      -1.0353457080742
    0.0      -1.0471447683979
    0.0      -1.0591104546015
    0.0      -1.0712385710250
    0.0      -1.0835251923351
    0.0      -1.0959666984001
    0.0      -1.1085597097029
    0.0      -1.1213011316520
    0.0      -1.1341880220424
    0.0      -1.1472176408087
    0.0      -1.1603874872061
    0.0      -1.1736950995079
    0.0      -1.1871383273726
    0.0      -1.2007150284029
    0.0      -1.2144232575189
    0.0      -1.2282611950567
    0.0      -1.2422271051750
    0.0      -1.2563193272535
    0.0      -1.2705364162060
    0.0      -1.2848768821439
    0.0      -1.2993394339165
    0.0      -1.3139228183299
    0.0      -1.3286257926767
    0.0      -1.3434473000314
    0.0      -1.3583862693905
    0.0      -1.3734417206331
    0.0      -1.3886127550563
    0.0      -1.4038985224403
    0.0      -1.4192981957019
    0.0      -1.4348110039762
    0.0      -1.4504362700260
    0.0      -1.4661733755731
    0.0      -1.4820216164707
    0.0      -1.4979805044125
    1.0      -0.8144866908448
    1.0      -0.8146762865904
    1.0      -0.8159891213561
    1.0      -0.8185545330435
    1.0      -0.8221672883869
    1.0      -0.8266423977961
    1.0      -0.8318413198690
    1.0      -0.8376614033494
    1.0      -0.8440249368766
    1.0      -0.8508715284806
    1.0      -0.8581531189220
    1.0      -0.8658306601949
    1.0      -0.8738718901034
    1.0      -0.8822497202098
    1.0      -0.8909411256516
    1.0      -0.8999263170874
    1.0      -0.9091881164179
    1.0      -0.9187114848118
    1.0      -0.9284831567704
    1.0      -0.9384913548699
    1.0      -0.9487255735551
    1.0      -0.9591763623112
    1.0      -0.9698352187443
    1.0      -0.9806944336511
    1.0      -0.9917469919527
    1.0      -1.0029865084514
    1.0      -1.0144071129902
    1.0      -1.0260034481632
    1.0      -1.0377705622620
    1.0      -1.0497038894532
    1.0      -1.0617992314133
    1.0      -1.0740526611632
    1.0      -1.0864605562045
    1.0      -1.0990195350937
    1.0      -1.1117264996489
    1.0      -1.1245785058554
    1.0      -1.1375728115142
    1.0      -1.1507069121135
    1.0      -1.1639783455503
    1.0      -1.1773849567296
    1.0      -1.1909246020871
    1.0      -1.2045953335487
    1.0      -1.2183953283651
    1.0      -1.2323228483103
    1.0      -1.2463762311711
    1.0      -1.2605540271997
    1.0      -1.2748547454021
    1.0      -1.2892770905685
    1.0      -1.3038198066445
    1.0      -1.3184816495164
    1.0      -1.3332615581945
    1.0      -1.3481584595449
    1.0      -1.3631713705907
    1.0      -1.3782993894104
    1.0      -1.3935416625401
    1.0      -1.4088973606389
    1.0      -1.4243657102749
    1.0      -1.4399460306906
    1.0      -1.4556376997896
    1.0      -1.4714400125446
    1.0      -1.4873524758443
    2.0      -0.8058357624336
    2.0      -0.8060234110922
    2.0      -0.8073261535782
    2.0      -0.8098756292059
    2.0      -0.8134692907848
    2.0      -0.8179235732765
    2.0      -0.8231005998266
    2.0      -0.8288980313981
    2.0      -0.8352383128612
    2.0      -0.8420611391983
    2.0      -0.8493184960566
    2.0      -0.8569713651361
    2.0      -0.8649874946629
    2.0      -0.8733398035432
    2.0      -0.8820052758164
    2.0      -0.8909641280300
    2.0      -0.9001991859131
    2.0      -0.9096954130524
    2.0      -0.9194395453707
    2.0      -0.9294198060832
    2.0      -0.9396256893256
    2.0      -0.9500477444386
    2.0      -0.9606774678562
    2.0      -0.9715071491809
    2.0      -0.9825297721017
    2.0      -0.9937389495359
    2.0      -1.0051288100486
    2.0      -1.0166939939278
    2.0      -1.0284295476919
    2.0      -1.0403309035478
    2.0      -1.0523938605215
    2.0      -1.0646144899831
    2.0      -1.0769891670737
    2.0      -1.0895145084209
    2.0      -1.1021874122804
    2.0      -1.1150049328216
    2.0      -1.1279643257127
    2.0      -1.1410630827024
    2.0      -1.1542987412800
    2.0      -1.1676691416410
    2.0      -1.1811721390361
    2.0      -1.1948057824101
    2.0      -1.2085682459418
    2.0      -1.2224577890225
    2.0      -1.2364727478340
    2.0      -1.2506116680073
    2.0      -1.2648730574211
    2.0      -1.2792556168371
    2.0      -1.2937580873453
    2.0      -1.3083792234141
    2.0      -1.3231179600144
    2.0      -1.3379732218767
    2.0      -1.3529440231779
    2.0      -1.3680294587897
    2.0      -1.3832286720163
    2.0      -1.3985408312557
    2.0      -1.4139651605132
    2.0      -1.4295009755241
    2.0      -1.4451476503988
    2.0      -1.4609044792015
    2.0      -1.4767709640513
    3.0      -0.7972085132167
    3.0      -0.7973942445982
    3.0      -0.7986870433391
    3.0      -0.8012208088570
    3.0      -0.8047956400808
    3.0      -0.8092293809627
    3.0      -0.8143848069829
    3.0      -0.8201598914559
    3.0      -0.8264772355969
    3.0      -0.8332766166303
    3.0      -0.8405100703789
    3.0      -0.8481386033247
    3.0      -0.8561299808787
    3.0      -0.8644571262952
    3.0      -0.8730970252938
    3.0      -0.8820299000474
    3.0      -0.8912385800839
    3.0      -0.9007080313861
    3.0      -0.9104249912810
    3.0      -0.9203776836104
    3.0      -0.9305556021983
    3.0      -0.9409492962292
    3.0      -0.9515502609676
    3.0      -0.9623507848218
    3.0      -0.9733438502452
    3.0      -0.9845230682774
    3.0      -0.9958825661988
    3.0      -1.0074169820024
    3.0      -1.0191213604329
    3.0      -1.0309911317394
    3.0      -1.0430220923112
    3.0      -1.0552103118612
    3.0      -1.0675521631772
    3.0      -1.0800442609548
    3.0      -1.0926834999154
    3.0      -1.1054669324063
    3.0      -1.1183918119631
    3.0      -1.1314556266234
    3.0      -1.1446559134363
    3.0      -1.1579905079331
    3.0      -1.1714572641606
    3.0      -1.1850542280952
    3.0      -1.1987795708579
    3.0      -1.2126315494592
    3.0      -1.2266084984642
    3.0      -1.2407089589219
    3.0      -1.2549314375633
    3.0      -1.2692746311500
    3.0      -1.2837372779249
    3.0      -1.2983181309222
    3.0      -1.3130161211014
    3.0      -1.3278301710529
    3.0      -1.3427592921147
    3.0      -1.3578025759633
    3.0      -1.3729591626865
    3.0      -1.3882282184157
    3.0      -1.4036089645957
    3.0      -1.4191007134724
    3.0      -1.4347028353813
    3.0      -1.4504146234546
    3.0      -1.4662355750791
    4.0      -0.7886046740335
    4.0      -0.7887885169515
    4.0      -0.7900715159544
    4.0      -0.7925897938746
    4.0      -0.7961460543052
    4.0      -0.8005595297898
    4.0      -0.8056936459207
    4.0      -0.8114466814017
    4.0      -0.8177413941101
    4.0      -0.8245176458165
    4.0      -0.8317275171827
    4.0      -0.8393320450086
    4.0      -0.8472990074114
    4.0      -0.8556013378481
    4.0      -0.8642160222193
    4.0      -0.8731232803816
    4.0      -0.8823059452833
    4.0      -0.8917489852801
    4.0      -0.9014391390852
    4.0      -0.9113646311532
    4.0      -0.9215149549936
    4.0      -0.9318806596219
    4.0      -0.9424532391361
    4.0      -0.9532249807488
    4.0      -0.9641888656751
    4.0      -0.9753385030834
    4.0      -0.9866680189624
    4.0      -0.9981720490213
    4.0      -1.0098456362302
    4.0      -1.0216842088826
    4.0      -1.0336835607437
    4.0      -1.0458397598642
    4.0      -1.0581491766845
    4.0      -1.0706084239660
    4.0      -1.0832143929227
    4.0      -1.0959641340746
    4.0      -1.1088548988247
    4.0      -1.1218841715269
    4.0      -1.1350494887592
    4.0      -1.1483486814324
    4.0      -1.1617796023709
    4.0      -1.1753402945964
    4.0      -1.1890289261849
    4.0      -1.2028437517686
    4.0      -1.2167831042836
    4.0      -1.2308455202371
    4.0      -1.2450295051910
    4.0      -1.2593337519362
    4.0      -1.2737569958750
    4.0      -1.2882979885942
    4.0      -1.3029556570672
    4.0      -1.3177289217405
    4.0      -1.3326167911213
    4.0      -1.3476183537022
    4.0      -1.3627327463679
    4.0      -1.3779591329809
    4.0      -1.3932967324269
    4.0      -1.4087448534789
    4.0      -1.4243028627181
    4.0      -1.4399700523208
    4.0      -1.4557459149740
    5.0      -0.7800239817946
    5.0      -0.7802059647276
    5.0      -0.7814793055036
    5.0      -0.7839823113591
    5.0      -0.7875202545786
    5.0      -0.7919137377563
    5.0      -0.7970268256910
    5.0      -0.8027581050917
    5.0      -0.8090304863706
    5.0      -0.8157839152712
    5.0      -0.8229705211227
    5.0      -0.8305513652556
    5.0      -0.8384942439418
    5.0      -0.8467720969675
    5.0      -0.8553619152368
    5.0      -0.8642439162745
    5.0      -0.8734009278643
    5.0      -0.8828179202018
    5.0      -0.8924816333671
    5.0      -0.9023802924133
    5.0      -0.9125033905317
    5.0      -0.9228414765558
    5.0      -0.9333860434189
    5.0      -0.9441293771372
    5.0      -0.9550644576835
    5.0      -0.9661848923613
    5.0      -0.9774848058613
    5.0      -0.9889588316188
    5.0      -1.0006020108293
    5.0      -1.0124097698316
    5.0      -1.0243778997806
    5.0      -1.0365024670586
    5.0      -1.0487798397651
    5.0      -1.0612066287248
    5.0      -1.0737797216715
    5.0      -1.0864961672920
    5.0      -1.0993532148566
    5.0      -1.1123483450637
    5.0      -1.1254790939883
    5.0      -1.1387432879649
    5.0      -1.1521387785777
    5.0      -1.1656636059054
    5.0      -1.1793159349938
    5.0      -1.1930940180980
    5.0      -1.2069961865146
    5.0      -1.2210209722460
    5.0      -1.2351668796667
    5.0      -1.2494325976237
    5.0      -1.2638168586882
    5.0      -1.2783184129831
    5.0      -1.2929361835232
    5.0      -1.3076690886076
    5.0      -1.3225161339173
    5.0      -1.3374764047757
    5.0      -1.3525490348782
    5.0      -1.3677331858139
    5.0      -1.3830280739124
    5.0      -1.3984330044890
    5.0      -1.4139473403897
    5.0      -1.4295703728142
    5.0      -1.4453015897826
    6.0      -0.7714661762792
    6.0      -0.7716463269715
    6.0      -0.7729101485260
    6.0      -0.7753980957803
    6.0      -0.7789179690720
    6.0      -0.7832917254217
    6.0      -0.7883840639368
    6.0      -0.7940938717045
    6.0      -0.8003442155359
    6.0      -0.8070751229716
    6.0      -0.8142387702857
    6.0      -0.8217962482675
    6.0      -0.8297153653522
    6.0      -0.8379690727348
    6.0      -0.8465343632103
    6.0      -0.8553914556768
    6.0      -0.8645231741799
    6.0      -0.8739144816185
    6.0      -0.8835521187104
    6.0      -0.8934243110924
    6.0      -0.9035205516327
    6.0      -0.9138313889697
    6.0      -0.9243483148736
    6.0      -0.9350636141620
    6.0      -0.9459702655623
    6.0      -0.9570618745187
    6.0      -0.9683325644173
    6.0      -0.9797769664295
    6.0      -0.9913901199753
    6.0      -1.0031674494409
    6.0      -1.0151047433833
    6.0      -1.0271980665108
    6.0      -1.0394437845886
    6.0      -1.0518385065016
    6.0      -1.0643791165306
    6.0      -1.0770626615233
    6.0      -1.0898863886181
    6.0      -1.1028477748841
    6.0      -1.1159443558634
    6.0      -1.1291739533571
    6.0      -1.1425344176912
    6.0      -1.1560237860148
    6.0      -1.1696402203562
    6.0      -1.1833819705957
    6.0      -1.1972473663787
    6.0      -1.2112349352422
    6.0      -1.2253431803525
    6.0      -1.2395707866414
    6.0      -1.2539164838558
    6.0      -1.2683790206417
    6.0      -1.2829573160804
    6.0      -1.2976502863188
    6.0      -1.3124569342225
    6.0      -1.3273763419546
    6.0      -1.3424076400354
    6.0      -1.3575499877772
    6.0      -1.3728025989556
    6.0      -1.3881647754452
    6.0      -1.4036358763767
    6.0      -1.4192151919487
    6.0      -1.4349022055500
    7.0      -0.7629310055436
    7.0      -0.7631093510917
    7.0      -0.7643637882253
    7.0      -0.7668368838668
    7.0      -0.7703389315940
    7.0      -0.7746932214872
    7.0      -0.7797650808386
    7.0      -0.7854536983840
    7.0      -0.7916822909027
    7.0      -0.7983909714177
    7.0      -0.8055319625771
    7.0      -0.8130663817813
    7.0      -0.8209620553346
    7.0      -0.8291919398737
    7.0      -0.8377330346004
    7.0      -0.8465655575374
    7.0      -0.8556723315350
    7.0      -0.8650383149975
    7.0      -0.8746502396990
    7.0      -0.8844963308922
    7.0      -0.8945660811171
    7.0      -0.9048500388027
    7.0      -0.9153396945574
    7.0      -0.9260273319985
    7.0      -0.9369059286034
    7.0      -0.9479690879632
    7.0      -0.9592109321519
    7.0      -0.9706260900876
    7.0      -0.9822095994135
    7.0      -0.9939568825648
    7.0      -1.0058637255132
    7.0      -1.0179261912875
    7.0      -1.0301406433244
    7.0      -1.0425036885669
    7.0      -1.0550122078689
    7.0      -1.0676632462339
    7.0      -1.0804540486681
    7.0      -1.0933820886387
    7.0      -1.1064449011244
    7.0      -1.1196403034352
    7.0      -1.1329661446220
    7.0      -1.1464204589164
    7.0      -1.1600014053431
    7.0      -1.1737072314094
    7.0      -1.1875362650982
    7.0      -1.2014870295188
    7.0      -1.2155580266107
    7.0      -1.2297479374177
    7.0      -1.2440554888702
    7.0      -1.2584794281230
    7.0      -1.2730186703499
    7.0      -1.2876721295421
    7.0      -1.3024388057567
    7.0      -1.3173177780089
    7.0      -1.3323081736572
    7.0      -1.3474091497337
    7.0      -1.3626199174620
    7.0      -1.3779397752928
    7.0      -1.3933680786610
    7.0      -1.4089041167408
    7.0      -1.4245473683237
    8.0      -0.7544182196340
    8.0      -0.7545947868192
    8.0      -0.7558399731642
    8.0      -0.7582984207217
    8.0      -0.7617828793405
    8.0      -0.7661179589614
    8.0      -0.7711696053039
    8.0      -0.7768373050741
    8.0      -0.7830444290419
    8.0      -0.7897311700043
    8.0      -0.7968497998875
    8.0      -0.8043614635529
    8.0      -0.8122340013518
    8.0      -0.8204403815230
    8.0      -0.8289576039907
    8.0      -0.8377658896838
    8.0      -0.8468480589417
    8.0      -0.8561890670467
    8.0      -0.8657756409167
    8.0      -0.8755959955144
    8.0      -0.8856396218049
    8.0      -0.8958970679938
    8.0      -0.9063598235277
    8.0      -0.9170201708217
    8.0      -0.9278710860987
    8.0      -0.9389061711022
    8.0      -0.9501195465871
    8.0      -0.9615058392275
    8.0      -0.9730600848892
    8.0      -0.9847777040578
    8.0      -0.9966544801317
    8.0      -1.0086864744551
    8.0      -1.0208700481420
    8.0      -1.0332018061911
    8.0      -1.0456786260556
    8.0      -1.0582975508891
    8.0      -1.0710558235659
    8.0      -1.0839509139780
    8.0      -1.0969803565107
    8.0      -1.1101419640257
    8.0      -1.1234335842806
    8.0      -1.1368532486027
    8.0      -1.1503991130259
    8.0      -1.1640694226867
    8.0      -1.1778625038947
    8.0      -1.1917768753695
    8.0      -1.2058110378037
    8.0      -1.2199636683811
    8.0      -1.2342334912234
    8.0      -1.2486192519800
    8.0      -1.2631198619431
    8.0      -1.2777342329449
    8.0      -1.2924613622402
    8.0      -1.3073003257091
    8.0      -1.3222502475608
    8.0      -1.3373102825448
    8.0      -1.3524796393363
    8.0      -1.3677576129755
    8.0      -1.3831435552224
    8.0      -1.3986367542048
    8.0      -1.4142366841485
    9.0      -0.7459275748528
    9.0      -0.7461023895618
    9.0      -0.7473384545531
    9.0      -0.7497824541845
    9.0      -0.7532495577008
    9.0      -0.7575656754904
    9.0      -0.7625973696061
    9.0      -0.7682444206747
    9.0      -0.7744303497767
    9.0      -0.7810954346925
    9.0      -0.7881919916816
    9.0      -0.7956811949162
    9.0      -0.8035309009304
    9.0      -0.8117140849370
    9.0      -0.8202077539333
    9.0      -0.8289921265694
    9.0      -0.8380500235907
    9.0      -0.8473663968132
    9.0      -0.8569279685257
    9.0      -0.8667229486607
    9.0      -0.8767408165165
    9.0      -0.8869721184819
    9.0      -0.8974083428420
    9.0      -0.9080417708068
    9.0      -0.9188653773404
    9.0      -0.9298727623433
    9.0      -0.9410580452446
    9.0      -0.9524158504837
    9.0      -0.9639412121477
    9.0      -0.9756295487741
    9.0      -0.9874766412004
    9.0      -0.9994785490802
    9.0      -1.0116316312110
    9.0      -1.0239324906447
    9.0      -1.0363780014594
    9.0      -1.0489652049539
    9.0      -1.0616913418706
    9.0      -1.0745538785528
    9.0      -1.0875503487623
    9.0      -1.1006785609548
    9.0      -1.1139363615776
    9.0      -1.1273217790656
    9.0      -1.1408329664757
    9.0      -1.1544681665756
    9.0      -1.1682257039902
    9.0      -1.1821040930874
    9.0      -1.1961018332935
    9.0      -1.2102175979601
    9.0      -1.2244501084073
    9.0      -1.2387981087656
    9.0      -1.2532605064715
    9.0      -1.2678362111932
    9.0      -1.2825242173928
    9.0      -1.2973235978249
    9.0      -1.3122334735644
    9.0      -1.3272529970742
    9.0      -1.3423813744833
    9.0      -1.3576178974379
    9.0      -1.3729619140422
    9.0      -1.3884127113549
    9.0      -1.4039697590716
   10.0      -0.7374588327371
   10.0      -0.7376319205785
   10.0      -0.7388589915861
   10.0      -0.7412887373316
   10.0      -0.7447387139142
   10.0      -0.7490361161425
   10.0      -0.7540481117523
   10.0      -0.7596747768244
   10.0      -0.7658397818381
   10.0      -0.7724834852645
   10.0      -0.7795582532973
   10.0      -0.7870252853718
   10.0      -0.7948524549047
   10.0      -0.8030127473385
   10.0      -0.8114831715272
   10.0      -0.8202439501359
   10.0      -0.8292778998076
   10.0      -0.8385699708548
   10.0      -0.8481068815736
   10.0      -0.8578768360014
   10.0      -0.8678693080720
   10.0      -0.8780748322060
   10.0      -0.8884848935577
   10.0      -0.8990917721289
   10.0      -0.9098884416202
   10.0      -0.9208685000941
   10.0      -0.9320260656461
   10.0      -0.9433557604904
   10.0      -0.9548526169343
   10.0      -0.9665120515681
   10.0      -0.9783298426807
   10.0      -0.9903020482293
   10.0      -1.0024250247010
   10.0      -1.0146953731979
   10.0      -1.0271099644494
   10.0      -1.0396658378936
   10.0      -1.0523602321414
   10.0      -1.0651906100134
   10.0      -1.0781545046188
   10.0      -1.0912497200487
   10.0      -1.1044741014233
   10.0      -1.1178256742975
   10.0      -1.1313025887641
   10.0      -1.1449030852239
   10.0      -1.1586254866070
   10.0      -1.1724683029660
   10.0      -1.1864300324428
   10.0      -1.2005093445834
   10.0      -1.2147049579142
   10.0      -1.2290156150330
   10.0      -1.2434402195459
   10.0      -1.2579776789544
   10.0      -1.2726269849336
   10.0      -1.2873872071261
   10.0      -1.3022574634852
   10.0      -1.3172369041835
   10.0      -1.3323247328074
   10.0      -1.3475202376237
   10.0      -1.3628227631013
   10.0      -1.3782315952068
   10.0      -1.3937461991390
   11.0      -0.7290117568162
   11.0      -0.7291831428223
   11.0      -0.7304013452851
   11.0      -0.7328170295957
   11.0      -0.7362501021434
   11.0      -0.7405290277943
   11.0      -0.7455215762848
   11.0      -0.7511281118067
   11.0      -0.7572724563323
   11.0      -0.7638950501674
   11.0      -0.7709483045257
   11.0      -0.7783934496348
   11.0      -0.7861983727708
   11.0      -0.7943360691211
   11.0      -0.8027835536261
   11.0      -0.8115210473685
   11.0      -0.8205313689089
   11.0      -0.8297994633653
   11.0      -0.8393120459952
   11.0      -0.8490573165431
   11.0      -0.8590247417062
   11.0      -0.8692048511050
   11.0      -0.8795891167322
   11.0      -0.8901698149632
   11.0      -0.9009399182302
   11.0      -0.9118930227620
   11.0      -0.9230232453134
   11.0      -0.9343252058820
   11.0      -0.9457939349942
   11.0      -0.9574248472943
   11.0      -0.9692137185340
   11.0      -0.9811566049690
   11.0      -0.9932498607813
   11.0      -1.0054900851214
   11.0      -1.0178741453946
   11.0      -1.0303990791734
   11.0      -1.0430621229374
   11.0      -1.0558607360104
   11.0      -1.0687924508201
   11.0      -1.0818550671340
   11.0      -1.0950464287283
   11.0      -1.1083645582904
   11.0      -1.1218076029621
   11.0      -1.1353738007793
   11.0      -1.1490614729666
   11.0      -1.1628691252985
   11.0      -1.1767952546136
   11.0      -1.1908385266793
   11.0      -1.2049976572359
   11.0      -1.2192713873354
   11.0      -1.2336586167778
   11.0      -1.2481582508951
   11.0      -1.2627692785831
   11.0      -1.2774907663835
   11.0      -1.2923218291410
   11.0      -1.3072616147362
   11.0      -1.3223093242133
   11.0      -1.3374642424774
   11.0      -1.3527257103799
   11.0      -1.3680930127751
   11.0      -1.3835656103963
