# P (GPa)             Gibbs free energy (Ry.)
# T= 0.000000 K
    0.0      -0.8231615740899
    1.0      -0.8144866908448
    2.0      -0.8058357624336
    3.0      -0.7972085132167
    4.0      -0.7886046740335
    5.0      -0.7800239817946
    6.0      -0.7714661762792
    7.0      -0.7629310055436
    8.0      -0.7544182196340
    9.0      -0.7459275748528
   10.0      -0.7374588327371
   11.0      -0.7290117568162
   12.0      -0.7205861182943
   13.0      -0.7121816904502
   14.0      -0.7037982506011
   15.0      -0.6954355824331
   16.0      -0.6870934705604
   17.0      -0.6787717052466
   18.0      -0.6704700811851
   19.0      -0.6621883939883
   20.0      -0.6539264455763
   21.0      -0.6456840408583
   22.0      -0.6374609858808
   23.0      -0.6292570930240
   24.0      -0.6210721768935
   25.0      -0.6129060532437
   26.0      -0.6047585439255
   27.0      -0.5966294728083
   28.0      -0.5885186646318
   29.0      -0.5804259498277
   30.0      -0.5723511611207
   31.0      -0.5642941316835
   32.0      -0.5562546996039
   33.0      -0.5482327060378
   34.0      -0.5402279922922
   35.0      -0.5322404031672
   36.0      -0.5242697877082
   37.0      -0.5163159952171
   38.0      -0.5083788765905
   39.0      -0.5004582878438
   40.0      -0.4925540860171
# T= 100.000000 K
    0.0      -0.8233531470711
    1.0      -0.8146762865904
    2.0      -0.8060234110922
    3.0      -0.7973942445982
    4.0      -0.7887885169515
    5.0      -0.7802059647276
    6.0      -0.7716463269715
    7.0      -0.7631093510917
    8.0      -0.7545947868192
    9.0      -0.7461023895618
   10.0      -0.7376319205785
   11.0      -0.7291831428223
   12.0      -0.7207558268317
   13.0      -0.7123497456866
   14.0      -0.7039646759379
   15.0      -0.6956004008996
   16.0      -0.6872567049080
   17.0      -0.6789333774683
   18.0      -0.6706302130487
   19.0      -0.6623470069053
   20.0      -0.6540835602848
   21.0      -0.6458396779350
   22.0      -0.6376151655046
   23.0      -0.6294098347829
   24.0      -0.6212235002395
   25.0      -0.6130559772407
   26.0      -0.6049070870895
   27.0      -0.5967766535294
   28.0      -0.5886645009701
   29.0      -0.5805704592963
   30.0      -0.5724943611066
   31.0      -0.5644360393333
   32.0      -0.5563953315034
   33.0      -0.5483720786271
   34.0      -0.5403661218607
   35.0      -0.5323773054698
   36.0      -0.5244054782905
   37.0      -0.5164504895244
   38.0      -0.5085121896736
   39.0      -0.5005904344035
   40.0      -0.4926850806608
# T= 200.000000 K
    0.0      -0.8246762242052
    1.0      -0.8159891213561
    2.0      -0.8073261535782
    3.0      -0.7986870433391
    4.0      -0.7900715159544
    5.0      -0.7814793055036
    6.0      -0.7729101485260
    7.0      -0.7643637882253
    8.0      -0.7558399731642
    9.0      -0.7473384545531
   10.0      -0.7388589915861
   11.0      -0.7304013452851
   12.0      -0.7219652821799
   13.0      -0.7135505743776
   14.0      -0.7051569953356
   15.0      -0.6967843256437
   16.0      -0.6884323487334
   17.0      -0.6801008504679
   18.0      -0.6717896236584
   19.0      -0.6634984624002
   20.0      -0.6552271643521
   21.0      -0.6469755331498
   22.0      -0.6387433731149
   23.0      -0.6305304926875
   24.0      -0.6223367054706
   25.0      -0.6141618255245
   26.0      -0.6060056710016
   27.0      -0.5978680648596
   28.0      -0.5897488304091
   29.0      -0.5816477945060
   30.0      -0.5735647889188
   31.0      -0.5654996457928
   32.0      -0.5574521997950
   33.0      -0.5494222908935
   34.0      -0.5414097597260
   35.0      -0.5334144481774
   36.0      -0.5254362035482
   37.0      -0.5174748746085
   38.0      -0.5095303104459
   39.0      -0.5016023644450
   40.0      -0.4936908930791
# T= 300.000000 K
    0.0      -0.8272578030521
    1.0      -0.8185545330435
    2.0      -0.8098756292059
    3.0      -0.8012208088570
    4.0      -0.7925897938746
    5.0      -0.7839823113591
    6.0      -0.7753980957803
    7.0      -0.7668368838668
    8.0      -0.7582984207217
    9.0      -0.7497824541845
   10.0      -0.7412887373316
   11.0      -0.7328170295957
   12.0      -0.7243670919844
   13.0      -0.7159386930134
   14.0      -0.7075316041293
   15.0      -0.6991455999453
   16.0      -0.6907804620888
   17.0      -0.6824359733236
   18.0      -0.6741119213666
   19.0      -0.6658080991956
   20.0      -0.6575243005614
   21.0      -0.6492603251065
   22.0      -0.6410159762097
   23.0      -0.6327910581041
   24.0      -0.6245853811412
   25.0      -0.6163987585105
   26.0      -0.6082310042683
   27.0      -0.6000819384172
   28.0      -0.5919513834981
   29.0      -0.5838391627136
   30.0      -0.5757451047698
   31.0      -0.5676690411339
   32.0      -0.5596108036181
   33.0      -0.5515702286866
   34.0      -0.5435471562893
   35.0      -0.5355414265276
   36.0      -0.5275528827102
   37.0      -0.5195813726944
   38.0      -0.5116267446829
   39.0      -0.5036888482807
   40.0      -0.4957675382916
# T= 400.000000 K
    0.0      -0.8308899239989
    1.0      -0.8221672883869
    2.0      -0.8134692907848
    3.0      -0.8047956400808
    4.0      -0.7961460543052
    5.0      -0.7875202545786
    6.0      -0.7789179690720
    7.0      -0.7703389315940
    8.0      -0.7617828793405
    9.0      -0.7532495577008
   10.0      -0.7447387139142
   11.0      -0.7362501021434
   12.0      -0.7277834811631
   13.0      -0.7193386123051
   14.0      -0.7109152646068
   15.0      -0.7025132087597
   16.0      -0.6941322203838
   17.0      -0.6857720808687
   18.0      -0.6774325725962
   19.0      -0.6691134843626
   20.0      -0.6608146085554
   21.0      -0.6525357389333
   22.0      -0.6442766760266
   23.0      -0.6360372225141
   24.0      -0.6278171829110
   25.0      -0.6196163682584
   26.0      -0.6114345910479
   27.0      -0.6032716657062
   28.0      -0.5951274128684
   29.0      -0.5870016544120
   30.0      -0.5788942138062
   31.0      -0.5708049205013
   32.0      -0.5627336053522
   33.0      -0.5546801001782
   34.0      -0.5466442423983
   35.0      -0.5386258714486
   36.0      -0.5306248271231
   37.0      -0.5226409538066
   38.0      -0.5146740990771
   39.0      -0.5067241106135
   40.0      -0.4987908388348
# T= 500.000000 K
    0.0      -0.8353861492208
    1.0      -0.8266423977961
    2.0      -0.8179235732765
    3.0      -0.8092293809627
    4.0      -0.8005595297898
    5.0      -0.7919137377563
    6.0      -0.7832917254217
    7.0      -0.7746932214872
    8.0      -0.7661179589614
    9.0      -0.7575656754904
   10.0      -0.7490361161425
   11.0      -0.7405290277943
   12.0      -0.7320441651306
   13.0      -0.7235812861542
   14.0      -0.7151401526171
   15.0      -0.7067205334199
   16.0      -0.6983221987056
   17.0      -0.6899449247627
   18.0      -0.6815884924226
   19.0      -0.6732526839263
   20.0      -0.6649372885803
   21.0      -0.6566420980767
   22.0      -0.6483669064119
   23.0      -0.6401115143393
   24.0      -0.6318757238649
   25.0      -0.6236593399554
   26.0      -0.6154621736930
   27.0      -0.6072840369455
   28.0      -0.5991247446541
   29.0      -0.5909841174625
   30.0      -0.5828619766491
   31.0      -0.5747581461447
   32.0      -0.5666724555076
   33.0      -0.5586047350154
   34.0      -0.5505548167441
   35.0      -0.5425225384643
   36.0      -0.5345077390707
   37.0      -0.5265102582851
   38.0      -0.5185299411373
   39.0      -0.5105666347536
   40.0      -0.5026201864427
# T= 600.000000 K
    0.0      -0.8406072694177
    1.0      -0.8318413198690
    2.0      -0.8231005998266
    3.0      -0.8143848069829
    4.0      -0.8056936459207
    5.0      -0.7970268256910
    6.0      -0.7883840639368
    7.0      -0.7797650808386
    8.0      -0.7711696053039
    9.0      -0.7625973696061
   10.0      -0.7540481117523
   11.0      -0.7455215762848
   12.0      -0.7370175098979
   13.0      -0.7285356674548
   14.0      -0.7200758062604
   15.0      -0.7116376884534
   16.0      -0.7032210825521
   17.0      -0.6948257583284
   18.0      -0.6864514924863
   19.0      -0.6780980652284
   20.0      -0.6697652588354
   21.0      -0.6614528627636
   22.0      -0.6531606680650
   23.0      -0.6448884690727
   24.0      -0.6366360664278
   25.0      -0.6284032615786
   26.0      -0.6201898599494
   27.0      -0.6119956723948
   28.0      -0.6038205102799
   29.0      -0.5956641890415
   30.0      -0.5875265290830
   31.0      -0.5794073511913
   32.0      -0.5713064797806
   33.0      -0.5632237442419
   34.0      -0.5551589743472
   35.0      -0.5471120025595
   36.0      -0.5390826666559
   37.0      -0.5310708050369
   38.0      -0.5230762575404
   39.0      -0.5150988695137
   40.0      -0.5071384876237
# T= 700.000000 K
    0.0      -0.8464503176821
    1.0      -0.8376614033494
    2.0      -0.8288980313981
    3.0      -0.8201598914559
    4.0      -0.8114466814017
    5.0      -0.8027581050917
    6.0      -0.7940938717045
    7.0      -0.7854536983840
    8.0      -0.7768373050741
    9.0      -0.7682444206747
   10.0      -0.7596747768244
   11.0      -0.7511281118067
   12.0      -0.7426041695614
   13.0      -0.7341026967409
   14.0      -0.7256234481555
   15.0      -0.7171661805201
   16.0      -0.7087306563018
   17.0      -0.7003166435341
   18.0      -0.6919239117607
   19.0      -0.6835522379128
   20.0      -0.6752014015705
   21.0      -0.6668711851758
   22.0      -0.6585613781043
   23.0      -0.6502717708598
   24.0      -0.6420021581266
   25.0      -0.6337523402738
   26.0      -0.6255221183008
   27.0      -0.6173112980454
   28.0      -0.6091196900147
   29.0      -0.6009471051843
   30.0      -0.5927933594248
   31.0      -0.5846582727906
   32.0      -0.5765416656827
   33.0      -0.5684433629591
   34.0      -0.5603631937180
   35.0      -0.5523009873098
   36.0      -0.5442565766115
   37.0      -0.5362297992351
   38.0      -0.5282204931310
   39.0      -0.5202284983929
   40.0      -0.5122536604448
# T= 800.000000 K
    0.0      -0.8528374223053
    1.0      -0.8440249368766
    2.0      -0.8352383128612
    3.0      -0.8264772355969
    4.0      -0.8177413941101
    5.0      -0.8090304863706
    6.0      -0.8003442155359
    7.0      -0.7916822909027
    8.0      -0.7830444290419
    9.0      -0.7744303497767
   10.0      -0.7658397818381
   11.0      -0.7572724563323
   12.0      -0.7487281117422
   13.0      -0.7402064913821
   14.0      -0.7317073419560
   15.0      -0.7232304180671
   16.0      -0.7147754759412
   17.0      -0.7063422783116
   18.0      -0.6979305926775
   19.0      -0.6895401884765
   20.0      -0.6811708427118
   21.0      -0.6728223343835
   22.0      -0.6644944461523
   23.0      -0.6561869671771
   24.0      -0.6478996874995
   25.0      -0.6396324021359
   26.0      -0.6313849110967
   27.0      -0.6231570150312
   28.0      -0.6149485201289
   29.0      -0.6067592364904
   30.0      -0.5985889748036
   31.0      -0.5904375512976
   32.0      -0.5823047856266
   33.0      -0.5741904979028
   34.0      -0.5660945133661
   35.0      -0.5580166607595
   36.0      -0.5499567690941
   37.0      -0.5419146716441
   38.0      -0.5338902057622
   39.0      -0.5258832089997
   40.0      -0.5178935217760
# T= 900.000000 K
    0.0      -0.8597081089026
    1.0      -0.8508715284806
    2.0      -0.8420611391983
    3.0      -0.8332766166303
    4.0      -0.8245176458165
    5.0      -0.8157839152712
    6.0      -0.8070751229716
    7.0      -0.7983909714177
    8.0      -0.7897311700043
    9.0      -0.7810954346925
   10.0      -0.7724834852645
   11.0      -0.7638950501674
   12.0      -0.7553298600667
   13.0      -0.7467876535715
   14.0      -0.7382681733766
   15.0      -0.7297711662893
   16.0      -0.7212963866043
   17.0      -0.7128435901481
   18.0      -0.7044125398548
   19.0      -0.6960030026657
   20.0      -0.6876147480178
   21.0      -0.6792475528510
   22.0      -0.6709011956416
   23.0      -0.6625754592925
   24.0      -0.6542701326576
   25.0      -0.6459850053957
   26.0      -0.6377198728194
   27.0      -0.6294745345289
   28.0      -0.6212487909140
   29.0      -0.6130424484461
   30.0      -0.6048553167883
   31.0      -0.5966872064355
   32.0      -0.5885379338932
   33.0      -0.5804073183903
   34.0      -0.5722951798426
   35.0      -0.5642013437981
   36.0      -0.5561256386125
   37.0      -0.5480678930376
   38.0      -0.5400279407047
   39.0      -0.5320056186515
   40.0      -0.5240007640872
# T= 1000.000000 K
    0.0      -0.8670142682069
    1.0      -0.8581531189220
    2.0      -0.8493184960566
    3.0      -0.8405100703789
    4.0      -0.8317275171827
    5.0      -0.8229705211227
    6.0      -0.8142387702857
    7.0      -0.8055319625771
    8.0      -0.7968497998875
    9.0      -0.7881919916816
   10.0      -0.7795582532973
   11.0      -0.7709483045257
   12.0      -0.7623618734467
   13.0      -0.7537986903690
   14.0      -0.7452584939544
   15.0      -0.7367410262996
   16.0      -0.7282460343424
   17.0      -0.7197732719971
   18.0      -0.7113224947733
   19.0      -0.7028934657370
   20.0      -0.6944859512689
   21.0      -0.6860997208803
   22.0      -0.6777345513429
   23.0      -0.6693902206675
   24.0      -0.6610665119997
   25.0      -0.6527632138276
   26.0      -0.6444801155038
   27.0      -0.6362170125881
   28.0      -0.6279737042396
   29.0      -0.6197499906751
   30.0      -0.6115456785703
   31.0      -0.6033605771365
   32.0      -0.5951944967664
   33.0      -0.5870472541531
   34.0      -0.5789186680914
   35.0      -0.5708085583893
   36.0      -0.5627167508210
   37.0      -0.5546430733394
   38.0      -0.5465873545172
   39.0      -0.5385494282863
   40.0      -0.5305291313370
# T= 1100.000000 K
    0.0      -0.8747168299426
    1.0      -0.8658306601949
    2.0      -0.8569713651361
    3.0      -0.8481386033247
    4.0      -0.8393320450086
    5.0      -0.8305513652556
    6.0      -0.8217962482675
    7.0      -0.8130663817813
    8.0      -0.8043614635529
    9.0      -0.7956811949162
   10.0      -0.7870252853718
   11.0      -0.7783934496348
   12.0      -0.7697854075358
   13.0      -0.7612008867241
   14.0      -0.7526396172303
   15.0      -0.7441013376935
   16.0      -0.7355857896449
   17.0      -0.7270927201624
   18.0      -0.7186218827258
   19.0      -0.7101730326073
   20.0      -0.7017459329314
   21.0      -0.6933403495310
   22.0      -0.6849560520411
   23.0      -0.6765928169845
   24.0      -0.6682504219641
   25.0      -0.6599286503536
   26.0      -0.6516272902320
   27.0      -0.6433461307198
   28.0      -0.6350849675667
   29.0      -0.6268435994716
   30.0      -0.6186218265635
