# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 131.9300     -0.826790138
 124.1700     -0.821392576
 116.7460     -0.806616868
 109.5930     -0.779970341
 102.7770     -0.738627893
  96.1639     -0.679039298
  89.9554     -0.597124393
  83.9494     -0.487838262
  78.2133     -0.345226583
  72.7471     -0.162216404
  67.5509      0.070183504
  62.6246      0.361818289
  57.9008      0.724812452
  53.4469      1.173007598
  49.2629      1.722849104
# T= 100.000000 K
 131.9300     -0.827035259
 124.1700     -0.821548214
 116.7460     -0.806732532
 109.5930     -0.780059217
 102.7770     -0.738697576
  96.1639     -0.679094618
  89.9554     -0.597169157
  83.9494     -0.487874505
  78.2133     -0.345256987
  72.7471     -0.162251636
  67.5509      0.070153880
  62.6246      0.361792026
  57.9008      0.724787660
  53.4469      1.172981443
  49.2629      1.722808833
# T= 200.000000 K
 131.9300     -0.828573852
 124.1700     -0.822721194
 116.7460     -0.807690566
 109.5930     -0.780859591
 102.7770     -0.739375584
  96.1639     -0.679675345
  89.9554     -0.597671378
  83.9494     -0.488309867
  78.2133     -0.345639527
  72.7471     -0.162639292
  67.5509      0.069815439
  62.6246      0.361490315
  57.9008      0.724511322
  53.4469      1.172716943
  49.2629      1.722525206
# T= 300.000000 K
 131.9300     -0.831434013
 124.1700     -0.825084168
 116.7460     -0.809720302
 109.5930     -0.782624802
 102.7770     -0.740921627
  96.1639     -0.681040320
  89.9554     -0.598884389
  83.9494     -0.489390813
  78.2133     -0.346611062
  72.7471     -0.163589446
  67.5509      0.068964171
  62.6246      0.360719013
  57.9008      0.723802165
  53.4469      1.172050893
  49.2629      1.721864296
# T= 400.000000 K
 131.9300     -0.835354984
 124.1700     -0.828452427
 116.7460     -0.812697744
 109.5930     -0.785278735
 102.7770     -0.743295466
  96.1639     -0.683175031
  89.9554     -0.600810908
  83.9494     -0.491131545
  78.2133     -0.348192349
  72.7471     -0.165113265
  67.5509      0.067583159
  62.6246      0.359457381
  57.9008      0.722637052
  53.4469      1.170959936
  49.2629      1.720805633
# T= 500.000000 K
 131.9300     -0.840132620
 124.1700     -0.832650571
 116.7460     -0.816475555
 109.5930     -0.788701023
 102.7770     -0.746401879
  96.1639     -0.686006556
  89.9554     -0.603396844
  83.9494     -0.493493376
  78.2133     -0.350356313
  72.7471     -0.167186862
  67.5509      0.065689747
  62.6246      0.357718869
  57.9008      0.721027369
  53.4469      1.169454735
  49.2629      1.719360219
# T= 600.000000 K
 131.9300     -0.845620695
 124.1700     -0.837544643
 116.7460     -0.820932744
 109.5930     -0.792784210
 102.7770     -0.750147408
  96.1639     -0.689455190
  89.9554     -0.606575684
  83.9494     -0.496422155
  78.2133     -0.353059818
  72.7471     -0.169774447
  67.5509      0.063311528
  62.6246      0.355524935
  57.9008      0.718990349
  53.4469      1.167550054
  49.2629      1.717541880
# T= 700.000000 K
 131.9300     -0.851712763
 124.1700     -0.843034118
 116.7460     -0.825975295
 109.5930     -0.797441364
 102.7770     -0.754452876
  96.1639     -0.693449746
  89.9554     -0.610284447
  83.9494     -0.499863196
  78.2133     -0.356256266
  72.7471     -0.172836097
  67.5509      0.060481108
  62.6246      0.352901828
  57.9008      0.716547012
  53.4469      1.165262928
  49.2629      1.715365036
# T= 800.000000 K
 131.9300     -0.858328902
 124.1700     -0.849042226
 116.7460     -0.831529994
 109.5930     -0.802603228
 102.7770     -0.759253527
  96.1639     -0.697930198
  89.9554     -0.614468181
  83.9494     -0.503766904
  78.2133     -0.359901572
  72.7471     -0.176332748
  67.5509      0.057231933
  62.6246      0.349877667
  57.9008      0.713720629
  53.4469      1.162612409
  49.2629      1.712845385
# T= 900.000000 K
 131.9300     -0.865407280
 124.1700     -0.855508956
 116.7460     -0.837538910
 109.5930     -0.808214226
 102.7770     -0.764496532
  96.1639     -0.702846628
  89.9554     -0.619080184
  83.9494     -0.508090069
  78.2133     -0.363956244
  72.7471     -0.180228482
  67.5509      0.053595830
  62.6246      0.346480177
  57.9008      0.710534958
  53.4469      1.159618509
  49.2629      1.709999631
# T= 1000.000000 K
 131.9300     -0.872898805
 124.1700     -0.862386327
 116.7460     -0.843955355
 109.5930     -0.814229146
 102.7770     -0.770138446
  96.1639     -0.708157455
  89.9554     -0.624080976
  83.9494     -0.512795539
  78.2133     -0.368385673
  72.7471     -0.184491219
  67.5509      0.049601939
  62.6246      0.342735434
  57.9008      0.707012992
  53.4469      1.156301141
  49.2629      1.706844781
# T= 1100.000000 K
 131.9300     -0.880763633
 124.1700     -0.869635213
 116.7460     -0.850741045
 109.5930     -0.820610669
 102.7770     -0.776143131
  96.1639     -0.713827780
  89.9554     -0.629437077
  83.9494     -0.517851432
  78.2133     -0.373159748
  72.7471     -0.189092653
  67.5509      0.045276443
  62.6246      0.338667346
  57.9008      0.703176289
  53.4469      1.152679418
  49.2629      1.703397527
