# T (K)               Helmholtz Free Energy (Ry.)
# V= 131.9300000000000
    0.00      -0.8215981749983
  100.00      -0.8218132910756
  200.00      -0.8232547057086
  300.00      -0.8260119329400
  400.00      -0.8298373444308
  500.00      -0.8345239785616
  600.00      -0.8399231828909
  700.00      -0.8459274004393
  800.00      -0.8524562596857
  900.00      -0.8594477374348
 1000.00      -0.8668526514985
 1100.00      -0.8746311066509
 1200.00      -0.8827501464457
 1300.00      -0.8911820777638
 1400.00      -0.8999033336428
 1500.00      -0.9088936229777
 1600.00      -0.9181352924897
 1700.00      -0.9276128462908
 1800.00      -0.9373125744767
 1900.00      -0.9472222639555
 2000.00      -0.9573309777312
 2100.00      -0.9676288400619
 2200.00      -0.9781069223006
 2300.00      -0.9887570908701
 2400.00      -0.9995719078720
 2500.00      -1.0105445610722
 2600.00      -1.0216687586568
 2700.00      -1.0329387120348
 2800.00      -1.0443490423691
 2900.00      -1.0558947540998
 3000.00      -1.0675712093589
 3100.00      -1.0793740521050
 3200.00      -1.0912992205504
 3300.00      -1.1033428980938
 3400.00      -1.1155015250355
 3500.00      -1.1277717186022
 3600.00      -1.1401502917988
 3700.00      -1.1526342653489
 3800.00      -1.1652207573208
 3900.00      -1.1779071143950
 4000.00      -1.1906907552757
 4100.00      -1.2035692587107
 4200.00      -1.2165403230128
 4300.00      -1.2296017418509
 4400.00      -1.2427513996112
 4500.00      -1.2559873246456
 4600.00      -1.2693075772674
 4700.00      -1.2827103454869
 4800.00      -1.2961938786255
 4900.00      -1.3097564708231
 5000.00      -1.3233965319462
 5100.00      -1.3371125034691
 5200.00      -1.3509028965462
 5300.00      -1.3647662897448
 5400.00      -1.3787013063130
 5500.00      -1.3927066157782
 5600.00      -1.4067809336363
 5700.00      -1.4209230374189
 5800.00      -1.4351317501123
 5900.00      -1.4494058943910
 6000.00      -1.4637443862523
# V= 131.0949787878788
    0.00      -0.8221563748749
  100.00      -0.8223666475107
  200.00      -0.8237832451964
  300.00      -0.8265018700570
  400.00      -0.8302817921037
  500.00      -0.8349196116583
  600.00      -0.8402682802599
  700.00      -0.8462209834784
  800.00      -0.8526977216195
  900.00      -0.8596366752965
 1000.00      -0.8669887830799
 1100.00      -0.8747142262657
 1200.00      -0.8827800982197
 1300.00      -0.8911587413205
 1400.00      -0.8998266137448
 1500.00      -0.9087634426906
 1600.00      -0.9179515887109
 1700.00      -0.9273755666857
 1800.00      -0.9370216753003
 1900.00      -0.9468777083496
 2000.00      -0.9569327337891
 2100.00      -0.9671768809905
 2200.00      -0.9776012244363
 2300.00      -0.9881976335680
 2400.00      -0.9989586733465
 2500.00      -1.0098775332223
 2600.00      -1.0209479240185
 2700.00      -1.0321640580378
 2800.00      -1.0435205581725
 2900.00      -1.0550124302474
 3000.00      -1.0666350366970
 3100.00      -1.0783840232854
 3200.00      -1.0902553289235
 3300.00      -1.1022451382918
 3400.00      -1.1143498906974
 3500.00      -1.1265662048234
 3600.00      -1.1388908946542
 3700.00      -1.1513209797507
 3800.00      -1.1638535813985
 3900.00      -1.1764860438978
 4000.00      -1.1892157881125
 4100.00      -1.2020403926502
 4200.00      -1.2149575556032
 4300.00      -1.2279650712797
 4400.00      -1.2410608255650
 4500.00      -1.2542428448358
 4600.00      -1.2675091914465
 4700.00      -1.2808580521913
 4800.00      -1.2942876765046
 4900.00      -1.3077963602184
 5000.00      -1.3213825120224
 5100.00      -1.3350445742764
 5200.00      -1.3487810582845
 5300.00      -1.3625905423632
 5400.00      -1.3764716496114
 5500.00      -1.3904230502621
 5600.00      -1.4044434602719
 5700.00      -1.4185316567146
 5800.00      -1.4326864619065
 5900.00      -1.4469067005196
 6000.00      -1.4611912870087
# V= 130.2599575757576
    0.00      -0.8225951006794
  100.00      -0.8228005689493
  200.00      -0.8241925183318
  300.00      -0.8268727614313
  400.00      -0.8306074106493
  500.00      -0.8351966124317
  600.00      -0.8404949232633
  700.00      -0.8463962756024
  800.00      -0.8528210455105
  900.00      -0.8597076203149
 1000.00      -0.8670070613872
 1100.00      -0.8746796279687
 1200.00      -0.8826924642593
 1300.00      -0.8910179488523
 1400.00      -0.8996325655916
 1500.00      -0.9085160603738
 1600.00      -0.9176508078822
 1700.00      -0.9270213339909
 1800.00      -0.9366139461483
 1900.00      -0.9464164451716
 2000.00      -0.9564179040849
 2100.00      -0.9666084574505
 2200.00      -0.9769791829605
 2300.00      -0.9875219531334
 2400.00      -0.9982293358327
 2500.00      -1.0090945222405
 2600.00      -1.0201112258382
 2700.00      -1.0312736598607
 2800.00      -1.0425764489476
 2900.00      -1.0540146003250
 3000.00      -1.0655834767591
 3100.00      -1.0772787258194
 3200.00      -1.0890962871299
 3300.00      -1.1010323466521
 3400.00      -1.1130833427391
 3500.00      -1.1252458955222
 3600.00      -1.1375168199652
 3700.00      -1.1498931344991
 3800.00      -1.1623719635843
 3900.00      -1.1749506491926
 4000.00      -1.1876266143207
 4100.00      -1.2003974374471
 4200.00      -1.2132608164545
 4300.00      -1.2262145462877
 4400.00      -1.2392565143113
 4500.00      -1.2523847449668
 4600.00      -1.2655973026192
 4700.00      -1.2788923728731
 4800.00      -1.2922682052767
 4900.00      -1.3057230973322
 5000.00      -1.3192554565737
 5100.00      -1.3328637262351
 5200.00      -1.3465464177715
 5300.00      -1.3603021092530
 5400.00      -1.3741294236380
 5500.00      -1.3880270318526
 5600.00      -1.4019936503102
 5700.00      -1.4160280556354
 5800.00      -1.4301290694876
 5900.00      -1.4442955185054
 6000.00      -1.4585263156278
# V= 129.4249363636364
    0.00      -0.8229111101946
  100.00      -0.8231118138853
  200.00      -0.8244792866757
  300.00      -0.8271213726580
  400.00      -0.8308109696544
  500.00      -0.8353517541048
  600.00      -0.8405998884014
  700.00      -0.8464500563005
  800.00      -0.8528230136193
  900.00      -0.8596573573590
 1000.00      -0.8669042737749
 1100.00      -0.8745241015066
 1200.00      -0.8824840366311
 1300.00      -0.8907564946890
 1400.00      -0.8993179857311
 1500.00      -0.9081482747568
 1600.00      -0.9172297508849
 1700.00      -0.9265469512153
 1800.00      -0.9360861921371
 1900.00      -0.9458352816283
 2000.00      -0.9557832979018
 2100.00      -0.9659203807894
 2200.00      -0.9762376112741
 2300.00      -0.9867268650122
 2400.00      -0.9973807128135
 2500.00      -1.0081923476404
 2600.00      -1.0191554856539
 2700.00      -1.0302643410611
 2800.00      -1.0415135402668
 2900.00      -1.0528980919165
 3000.00      -1.0644133591366
 3100.00      -1.0760549913029
 3200.00      -1.0878189287672
 3300.00      -1.0997013587715
 3400.00      -1.1116987187545
 3500.00      -1.1238076302878
 3600.00      -1.1360249093141
 3700.00      -1.1483475731686
 3800.00      -1.1607727494428
 3900.00      -1.1732977778334
 4000.00      -1.1859200834419
 4100.00      -1.1986372446298
 4200.00      -1.2114469590812
 4300.00      -1.2243470223744
 4400.00      -1.2373353233335
 4500.00      -1.2504098845052
 4600.00      -1.2635687722346
 4700.00      -1.2768101709633
 4800.00      -1.2901323303548
 4900.00      -1.3035335495584
 5000.00      -1.3170122349748
 5100.00      -1.3305668306996
 5200.00      -1.3441958483411
 5300.00      -1.3578978657273
 5400.00      -1.3716715056850
 5500.00      -1.3855154398205
 5600.00      -1.3994283850002
 5700.00      -1.4134091174082
 5800.00      -1.4274564580600
 5900.00      -1.4415692355301
 6000.00      -1.4557463612685
# V= 128.5899151515152
    0.00      -0.8231010515096
  100.00      -0.8232970311335
  200.00      -0.8246402021726
  300.00      -0.8272443597986
  400.00      -0.8308891292551
  500.00      -0.8353817005257
  600.00      -0.8405798428680
  700.00      -0.8463789958172
  800.00      -0.8527002990172
  900.00      -0.8594825621599
 1000.00      -0.8666770985082
 1100.00      -0.8742443275820
 1200.00      -0.8821514984010
 1300.00      -0.8903710642010
 1400.00      -0.8988795617920
 1500.00      -0.9076567756891
 1600.00      -0.9166851097590
 1700.00      -0.9259491125644
 1800.00      -0.9354351096164
 1900.00      -0.9451309161966
 2000.00      -0.9550256158288
 2100.00      -0.9651093536958
 2200.00      -0.9753732141549
 2300.00      -0.9858090760620
 2400.00      -0.9964095132183
 2500.00      -1.0071677204164
 2600.00      -1.0180774165190
 2700.00      -1.0291328167461
 2800.00      -1.0403285492865
 2900.00      -1.0516596242230
 3000.00      -1.0631214050722
 3100.00      -1.0747095430170
 3200.00      -1.0864199791518
 3300.00      -1.0982489019988
 3400.00      -1.1101927481229
 3500.00      -1.1222481405279
 3600.00      -1.1344118961354
 3700.00      -1.1466810312189
 3800.00      -1.1590526764572
 3900.00      -1.1715241693256
 4000.00      -1.1840929370028
 4100.00      -1.1967565577449
 4200.00      -1.2095127290489
 4300.00      -1.2223592471236
 4400.00      -1.2352940022323
 4500.00      -1.2483150150684
 4600.00      -1.2614203539257
 4700.00      -1.2746082021104
 4800.00      -1.2878768094018
 4900.00      -1.3012244765739
 5000.00      -1.3146496089161
 5100.00      -1.3281506513737
 5200.00      -1.3417261157099
 5300.00      -1.3553745795150
 5400.00      -1.3690946654933
 5500.00      -1.3828850459184
 5600.00      -1.3967444381056
 5700.00      -1.4106716178078
 5800.00      -1.4246654054094
 5900.00      -1.4387246313897
 6000.00      -1.4528482057370
# V= 127.7548939393940
    0.00      -0.8231614585644
  100.00      -0.8233527553747
  200.00      -0.8246718026958
  300.00      -0.8272382649280
  400.00      -0.8308384356859
  500.00      -0.8352830017188
  600.00      -0.8404313401026
  700.00      -0.8461796507046
  800.00      -0.8524494611402
  900.00      -0.8591797968657
 1000.00      -0.8663221003176
 1100.00      -0.8738368734093
 1200.00      -0.8816914191904
 1300.00      -0.8898582293569
 1400.00      -0.8983138680421
 1500.00      -0.9070381396992
 1600.00      -0.9160134632620
 1700.00      -0.9252243989988
 1800.00      -0.9346572817290
 1900.00      -0.9442999341826
 2000.00      -0.9541414453208
 2100.00      -0.9641719657601
 2200.00      -0.9743825833176
 2300.00      -0.9847651801125
 2400.00      -0.9953123329837
 2500.00      -1.0060172386049
 2600.00      -1.0168736185634
 2700.00      -1.0278756891337
 2800.00      -1.0390180803078
 2900.00      -1.0502958036247
 3000.00      -1.0617042230216
 3100.00      -1.0732389914892
 3200.00      -1.0848960508805
 3300.00      -1.0966715909969
 3400.00      -1.1085620475716
 3500.00      -1.1205640450320
 3600.00      -1.1326744012786
 3700.00      -1.1448901315584
 3800.00      -1.1572083695927
 3900.00      -1.1696264506901
 4000.00      -1.1821418040787
 4100.00      -1.1947520079209
 4200.00      -1.2074547595385
 4300.00      -1.2202478557676
 4400.00      -1.2331291882903
 4500.00      -1.2460967759888
 4600.00      -1.2591486890736
 4700.00      -1.2722831097437
 4800.00      -1.2854982878952
 4900.00      -1.2987925259037
 5000.00      -1.3121642279694
 5100.00      -1.3256118398757
 5200.00      -1.3391338735419
 5300.00      -1.3527289063256
 5400.00      -1.3663955608178
 5500.00      -1.3801325099462
 5600.00      -1.3939384714709
 5700.00      -1.4078122207230
 5800.00      -1.4217525774689
 5900.00      -1.4357583740609
 6000.00      -1.4498285190536
# V= 126.9198727272727
    0.00      -0.8230887464833
  100.00      -0.8232754024887
  200.00      -0.8245705073827
  300.00      -0.8270995114710
  400.00      -0.8306553166175
  500.00      -0.8350520892237
  600.00      -0.8401508151305
  700.00      -0.8458484591644
  800.00      -0.8520669411315
  900.00      -0.8587455053846
 1000.00      -0.8658357257436
 1100.00      -0.8732981880591
 1200.00      -0.8811002505219
 1300.00      -0.8892144440692
 1400.00      -0.8976173607341
 1500.00      -0.9062888253402
 1600.00      -0.9152112722154
 1700.00      -0.9243692735817
 1800.00      -0.9337491737570
 1900.00      -0.9433388030694
 2000.00      -0.9531272560458
 2100.00      -0.9631046888219
 2200.00      -0.9732621927623
 2300.00      -0.9835916533142
 2400.00      -0.9940856504021
 2500.00      -1.0047373826328
 2600.00      -1.0155405743422
 2700.00      -1.0264894429015
 2800.00      -1.0375786201261
 2900.00      -1.0488031190303
 3000.00      -1.0601583040029
 3100.00      -1.0716398298440
 3200.00      -1.0832436391805
 3300.00      -1.0949659230932
 3400.00      -1.1068031165257
 3500.00      -1.1187518453210
 3600.00      -1.1308089283583
 3700.00      -1.1429713798939
 3800.00      -1.1552363366465
 3900.00      -1.1676011318137
 4000.00      -1.1800631966440
 4100.00      -1.1926201092188
 4200.00      -1.2052695666967
 4300.00      -1.2180093665380
 4400.00      -1.2308374018227
 4500.00      -1.2437516896647
 4600.00      -1.2567503021592
 4700.00      -1.2698314204257
 4800.00      -1.2829932944789
 4900.00      -1.2962342282721
 5000.00      -1.3095526249395
 5100.00      -1.3229469310899
 5200.00      -1.3364156588008
 5300.00      -1.3499573852020
 5400.00      -1.3635707327799
 5500.00      -1.3772543751036
 5600.00      -1.3910070303738
 5700.00      -1.4048274735089
 5800.00      -1.4187145236714
 5900.00      -1.4326670150536
 6000.00      -1.4466838548053
# V= 126.0848515151515
    0.00      -0.8228792066849
  100.00      -0.8230612646648
  200.00      -0.8243326117459
  300.00      -0.8268243993151
  400.00      -0.8303360762711
  500.00      -0.8346852712112
  600.00      -0.8397345796803
  700.00      -0.8453817361660
  800.00      -0.8515490569603
  900.00      -0.8581760085052
 1000.00      -0.8652142982570
 1100.00      -0.8726245975802
 1200.00      -0.8803743209408
 1300.00      -0.8884360393159
 1400.00      -0.8967863732281
 1500.00      -0.9054051683134
 1600.00      -0.9142748746280
 1700.00      -0.9233800766020
 1800.00      -0.9327071282467
 1900.00      -0.9422438676410
 2000.00      -0.9519793950098
 2100.00      -0.9619038720950
 2200.00      -0.9720083938986
 2300.00      -0.9822848492630
 2400.00      -0.9927258212465
 2500.00      -1.0033245104429
 2600.00      -1.0140746439610
 2700.00      -1.0249704403124
 2800.00      -1.0360065331564
 2900.00      -1.0471779370024
 3000.00      -1.0584800167225
 3100.00      -1.0699084289276
 3200.00      -1.0814591170351
 3300.00      -1.0931282734050
