# T (K)     Thermal pressure (GPa)
# V= 131.9300000000000
    0.0       0.0000000000000
  100.0       0.0856667583517
  200.0       0.5243335923297
  300.0       1.2063097568608
  400.0       2.0095802870509
  500.0       2.8712570494668
  600.0       3.7630913030671
  700.0       4.6720394373615
  800.0       5.5915852081414
  900.0       6.5181633787492
 1000.0       7.4496642994639
 1100.0       8.3847522600178
 1200.0       9.3225586281885
 1300.0      10.2624642262825
 1400.0      11.2040308021834
 1500.0      12.1469393598291
 1600.0      13.0909487576643
 1700.0      14.0358712760114
 1800.0      14.9815571343622
 1900.0      15.9278861784044
 2000.0      16.8747721589978
 2100.0      17.8221256912639
 2200.0      18.7698922917465
 2300.0      19.7180193061705
 2400.0      20.6664567750357
 2500.0      21.6151753824539
 2600.0      22.5641288762824
 2700.0      23.5133018228084
 2800.0      24.4626639588893
 2900.0      25.4121909498879
 3000.0      26.3618777982209
 3100.0      27.3116927218724
 3200.0      28.2616234065361
 3300.0      29.2116473630875
 3400.0      30.1617824587032
 3500.0      31.1120029052006
 3600.0      32.0622914070221
 3700.0      33.0126688037631
 3800.0      33.9630780478480
 3900.0      34.9135614880783
 4000.0      35.8640808096493
 4100.0      36.8146386910045
 4200.0      37.7652390191529
 4300.0      38.7158705250344
 4400.0      39.6665066201998
 4500.0      40.6171824673832
 4600.0      41.5678618586044
 4700.0      42.5185664337252
 4800.0      43.4692942002452
 4900.0      44.4200151400012
 5000.0      45.3707502069123
 5100.0      46.3214836732903
 5200.0      47.2722129423516
 5300.0      48.2229424400606
 5400.0      49.1736748938563
 5500.0      50.1243977281210
 5600.0      51.0751028585288
 5700.0      52.0257983694056
 5800.0      52.9764961994223
 5900.0      53.9271608428735
 6000.0      54.8778197701347
# V= 131.0949787878788
    0.0       0.0000000000000
  100.0       0.0849846045770
  200.0       0.5207070617841
  300.0       1.1988318045255
  400.0       1.9983209117548
  500.0       2.8565621623607
  600.0       3.7452898300517
  700.0       4.6513844586632
  800.0       5.5682611607114
  900.0       6.4923040050999
 1000.0       7.4213677547425
 1100.0       8.3540918584431
 1200.0       9.2895898331350
 1300.0      10.2272300398303
 1400.0      11.1665650478451
 1500.0      12.1072688383695
 1600.0      13.0490952232689
 1700.0      13.9918524815330
 1800.0      14.9353877785751
 1900.0      15.8795786409426
 2000.0      16.8243367779992
 2100.0      17.7695714493126
 2200.0      18.7152268158732
 2300.0      19.6612491781594
 2400.0      20.6075877600728
 2500.0      21.5542125924461
 2600.0      22.5010768841817
 2700.0      23.4481646462798
 2800.0      24.3954452236304
 2900.0      25.3428940856125
 3000.0      26.2905056466922
 3100.0      27.2382480758574
 3200.0      28.1861089444780
 3300.0      29.1340657470977
 3400.0      30.0821355996223
 3500.0      31.0302928771890
 3600.0      31.9785203822320
 3700.0      32.9268382357399
 3800.0      33.8751902067356
 3900.0      34.8236177130984
 4000.0      35.7720830279746
 4100.0      36.7205884215082
 4200.0      37.6691377480445
 4300.0      38.6177197711871
 4400.0      39.5663081964625
 4500.0      40.5149375659898
 4600.0      41.4635720964200
 4700.0      42.4122330356477
 4800.0      43.3609183421765
 4900.0      44.3095984714704
 5000.0      45.2582938548255
 5100.0      46.2069891075247
 5200.0      47.1556815347930
 5300.0      48.1043754972665
