#T (K)      V (a.u.^3)
# P= 0.000000 GPa
    0.0     127.7896981218062
  100.0     127.8190112051621
  200.0     127.9708154577115
  300.0     128.2103730229955
  400.0     128.4972594488285
  500.0     128.8100574633984
  600.0     129.1388608060214
  700.0     129.4790029937439
  800.0     129.8281477607288
  900.0     130.1850484231840
 1000.0     130.5490090904938
 1100.0     130.9196369420142
 1200.0     131.2967245716123
 1300.0     131.6801641784035
 1400.0     132.0699208700964
 1500.0     132.4660087823744
 1600.0     132.8684746332373
 1700.0     133.2773881276956
 1800.0     133.6928360118249
 1900.0     134.1149173312129
 2000.0     134.5437487697153
 2100.0     134.9794434496993
 2200.0     135.4221363119537
 2300.0     135.8719580002559
 2400.0     136.3290498852144
 2500.0     136.7935543703591
 2600.0     137.2656165410846
 2700.0     137.7453909836054
 2800.0     138.2330328153664
 2900.0     138.7286890341456
 3000.0     139.2325509669909
 3100.0     139.7447468502428
 3200.0     140.2654686661617
 3300.0     140.7948559434913
 3400.0     141.3330923785970
 3500.0     141.8803896919480
 3600.0     142.4368638719707
 3700.0     143.0027561456918
 3800.0     143.5782201032525
 3900.0     144.1634413021820
 4000.0     144.7585363133712
 4100.0     145.3638677922627
 4200.0     145.9794421296119
 4300.0     146.6055614788656
 4400.0     147.2424012536503
 4500.0     147.8901354235786
 4600.0     148.5490019111458
 4700.0     149.2191427743674
 4800.0     149.9009483095942
 4900.0     150.5943041157516
 5000.0     151.2997695343620
 5100.0     152.0172862676409
 5200.0     152.7471739719076
 5300.0     153.4896756447124
 5400.0     154.2450316081522
 5500.0     155.0133720067970
 5600.0     155.7952323052086
 5700.0     156.5903018050449
 5800.0     157.3990414756408
 5900.0     158.2220438607692
 6000.0     159.0588852186265
# P= 1.000000 GPa
    0.0     127.4352706856676
  100.0     127.4641333080292
  200.0     127.6136921682730
  300.0     127.8498093770702
  400.0     128.1326735090672
  500.0     128.4411570760492
  600.0     128.7654634468383
  700.0     129.1009661921006
  800.0     129.4453438774010
  900.0     129.7973527396150
 1000.0     130.1562978692323
