# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 131.930000 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.0925165433733
  200.0      36.9572599152200
  300.0      40.7883967627677
  400.0      44.9699643618704
  500.0      46.2200568648181
  600.0      47.3227230314512
  700.0      47.9111302673657
  800.0      48.3505354516430
  900.0      48.6494047518973
 1000.0      48.8697057449287
 1100.0      49.0395629666362
 1200.0      49.1649884738032
 1300.0      49.2657867569465
 1400.0      49.3467662507241
 1500.0      49.4121270158364
 1600.0      49.4654544159119
 1700.0      49.5094675082410
 1800.0      49.5445063048734
 1900.0      49.5807951183490
 2000.0      49.6009243238665
 2100.0      49.6291736150229
 2200.0      49.6486571828567
 2300.0      49.6625904538505
 2400.0      49.6847576114585
 2500.0      49.6879149543544
 2600.0      49.7091207263806
 2700.0      49.7152031791758
 2800.0      49.7212599557320
 2900.0      49.7404334227520
 3000.0      49.7354294695253
 3100.0      49.7486976001245
 3200.0      49.7448679676026
 3300.0      49.7689019631774
 3400.0      49.7641774413051
 3500.0      49.7583247746156
 3600.0      49.7941769669671
 3700.0      49.7486260545903
 3800.0      49.8025736741813
 3900.0      49.7697467853810
 4000.0      49.7861595244724
 4100.0      49.7917095927438
 4200.0      49.7945911294674
 4300.0      49.7713539158747
 4400.0      49.8164158037615
 4500.0      49.7785523898501
 4600.0      49.8065834950722
 4700.0      49.8122600945770
 4800.0      49.7806223805969
 4900.0      49.8160723869531
 5000.0      49.7979109330300
 5100.0      49.8000509297131
 5200.0      49.8101324602314
 5300.0      49.8089815728607
 5400.0      49.8071921063858
 5500.0      49.7991895532837
 5600.0      49.8064483888823
 5700.0      49.8304670299971
 5800.0      49.7820777626563
 5900.0      49.8209489822242
 6000.0      49.8320425588771
# V= 131.094979 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.0649263269664
  200.0      36.9181348168680
  300.0      40.7635774324552
  400.0      44.9529939428344
  500.0      46.2092570492222
  600.0      47.3151035853465
  700.0      47.9055801054865
  800.0      48.3462703664054
  900.0      48.6460222891440
 1000.0      48.8669602832786
 1100.0      49.0372533295853
 1200.0      49.1630473061829
 1300.0      49.2641162962526
 1400.0      49.3453101611484
 1500.0      49.4108450625820
 1600.0      49.4643193819360
 1700.0      49.5084569620324
 1800.0      49.5436132254714
 1900.0      49.5799586953769
 2000.0      49.6002094339708
 2100.0      49.6284915666998
 2200.0      49.6480355548907
 2300.0      49.6620456020810
 2400.0      49.6842126275729
 2500.0      49.6874784820336
 2600.0      49.7086599986175
 2700.0      49.7148067306523
 2800.0      49.7209143034666
 2900.0      49.7400460074440
 3000.0      49.7351521868161
 3100.0      49.7483944742885
 3200.0      49.7446749653833
 3300.0      49.7685756483225
 3400.0      49.7639543194807
 3500.0      49.7581867687410
 3600.0      49.7938295933745
 3700.0      49.7486564660735
 3800.0      49.8022465695359
 3900.0      49.7696990502807
 4000.0      49.7860242263884
 4100.0      49.7915729550758
 4200.0      49.7944551073182
 4300.0      49.7714240942830
 4400.0      49.8161745667611
 4500.0      49.7786258311529
 4600.0      49.8064579109955
 4700.0      49.8121404347757
 4800.0      49.7807188989729
 4900.0      49.8159579835332
 5000.0      49.7979452707698
 5100.0      49.8000666234061
 5200.0      49.8101341520665
 5300.0      49.8089510390883
 5400.0      49.8072390038609
 5500.0      49.7992762051517
 5600.0      49.8065114355925
 5700.0      49.8303758878434
 5800.0      49.7823194786433
 5900.0      49.8209752397452
 6000.0      49.8318459129835
# V= 130.259958 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.0371757673100
  200.0      36.8787693866189
  300.0      40.7385906114853
  400.0      44.9358998980188
  500.0      46.1983724222914
  600.0      47.3074215896730
  700.0      47.8999828790634
  800.0      48.3419684772317
  900.0      48.6426103458477
 1000.0      48.8641907341527
 1100.0      49.0349234960873
 1200.0      49.1610891158067
 1300.0      49.2624312282380
 1400.0      49.3438413879879
 1500.0      49.4095519929450
 1600.0      49.4631745373665
 1700.0      49.5074377026351
 1800.0      49.5427124172964
 1900.0      49.5791151714553
 2000.0      49.5994883292899
 2100.0      49.6278037218508
 2200.0      49.6474086477146
 2300.0      49.6614960329483
 2400.0      49.6836630973590
 2500.0      49.6870381354131
 2600.0      49.7081954120820
 2700.0      49.7144068476510
 2800.0      49.7205655668599
 2900.0      49.7396553978467
 3000.0      49.7348723198434
 3100.0      49.7480887227683
 3200.0      49.7444799015158
 3300.0      49.7682467360802
 3400.0      49.7637291217868
 3500.0      49.7580471468392
 3600.0      49.7934796646863
 3700.0      49.7486861273221
 3800.0      49.8019170870138
 3900.0      49.7696502738486
 4000.0      49.7858875130830
 4100.0      49.7914349141534
 4200.0      49.7943177227071
 4300.0      49.7714938856088
 4400.0      49.8159315212057
 4500.0      49.7786989360558
 4600.0      49.8063311006916
 4700.0      49.8120195594084
 4800.0      49.7808152734838
 4900.0      49.8158424257775
 5000.0      49.7979791654791
 5100.0      49.8000818237434
 5200.0      49.8101352390592
 5300.0      49.8089198308448
 5400.0      49.8072855337543
 5500.0      49.7993627251624
 5600.0      49.8065742247458
 5700.0      49.8302837635458
 5800.0      49.7825618057267
 5900.0      49.8210010852377
 6000.0      49.8316477968971
# V= 129.424936 (a.u.^3)
    0.0       0.0000000000000
  100.0      16.0092698870142
  200.0      36.8391705845013
  300.0      40.7134405270638
  400.0      44.9186850015941
  500.0      46.1874046701781
  600.0      47.2996781980100
  700.0      47.8943394080556
  800.0      48.3376304052393
  900.0      48.6391694102436
 1000.0      48.8613974913918
 1100.0      49.0325737980481
 1200.0      49.1591141808160
 1300.0      49.2607317926669
 1400.0      49.3423601407877
 1500.0      49.4082479920156
 1600.0      49.4620200464628
 1700.0      49.5064098765666
 1800.0      49.5418040094702
 1900.0      49.5782646693131
 2000.0      49.5987611128600
 2100.0      49.6271101805339
 2200.0      49.6467765525996
 2300.0      49.6609418253418
 2400.0      49.6831091019839
 2500.0      49.6865939765525
 2600.0      49.7077270352982
 2700.0      49.7140035877236
 2800.0      49.7202137950176
 2900.0      49.7392616523751
 3000.0      49.7345899067224
 3100.0      49.7477803897800
 3200.0      49.7442827993487
 3300.0      49.7679152770524
 3400.0      49.7635018791697
 3500.0      49.7579059239903
 3600.0      49.7931272375892
 3700.0      49.7487150215082
 3800.0      49.8015852804506
 3900.0      49.7696004556076
 4000.0      49.7857494017249
 4100.0      49.7912954876936
 4200.0      49.7941789937397
 4300.0      49.7715632677389
 4400.0      49.8156867064818
 4500.0      49.7787716823416
 4600.0      49.8062030814881
 4700.0      49.8118974844823
 4800.0      49.7809114785462
 4900.0      49.8157257292035
 5000.0      49.7980126037518
 5100.0      49.8000965214622
 5200.0      49.8101357141734
 5300.0      49.8088879484337
 5400.0      49.8073316805703
 5500.0      49.7994490906634
 5600.0      49.8066367381640
 5700.0      49.8301906691650
 5800.0      49.7828046911764
 5900.0      49.8210265080625
 6000.0      49.8314482435273
# V= 128.589915 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.9812137086890
  200.0      36.7993453705442
  300.0      40.6881314063964
  400.0      44.9013520277308
  500.0      46.1763554790347
  600.0      47.2918745639369
  700.0      47.8886505124222
  800.0      48.3332567715456
  900.0      48.6356999705669
 1000.0      48.8585809488361
 1100.0      49.0302045673735
 1200.0      49.1571227793522
 1300.0      49.2590182293033
 1400.0      49.3408666290931
 1500.0      49.4069332448844
 1600.0      49.4608560734839
 1700.0      49.5053736303442
 1800.0      49.5408881311143
 1900.0      49.5774073116792
