# T (K)       gamma
# P = 0.000000 (GPa)
    1.0     -13.1333303338626
  100.0       1.9199977529143
  200.0       1.7490320427082
  300.0       2.0831559972664
  400.0       2.1028906499833
  500.0       2.1584003512650
  600.0       2.1719450901512
  700.0       2.1868973355343
  800.0       2.1967407723182
  900.0       2.2062535280243
 1000.0       2.2152085844635
 1100.0       2.2238622280410
 1200.0       2.2328023828767
 1300.0       2.2416421774979
 1400.0       2.2505395473760
 1500.0       2.2595348739763
 1600.0       2.2686187387996
 1700.0       2.2777758769512
 1800.0       2.2870498989149
 1900.0       2.2960582618912
 2000.0       2.3056200629771
 2100.0       2.3146452961461
 2200.0       2.3239432660412
 2300.0       2.3333897158776
 2400.0       2.3423025056981
 2500.0       2.3520173022941
 2600.0       2.3607191666207
 2700.0       2.3700886361850
 2800.0       2.3792596840721
 2900.0       2.3877747957256
 3000.0       2.3972324285828
 3100.0       2.4057326077389
 3200.0       2.4148763888125
 3300.0       2.4223527223062
 3400.0       2.4315247772762
 3500.0       2.4403043390895
 3600.0       2.4468420604415
 3700.0       2.4576063915768
 3800.0       2.4625691850214
 3900.0       2.4719731991062
 4000.0       2.4791954490050
 4100.0       2.4860439827736
 4200.0       2.4931879513311
 4300.0       2.5017210257135
 4400.0       2.5057977988780
 4500.0       2.5145749946317
 4600.0       2.5190912479152
 4700.0       2.5255530575857
 4800.0       2.5324609815841
 4900.0       2.5365039957191
 5000.0       2.5428542350826
 5100.0       2.5478256273139
 5200.0       2.5525904734892
 5300.0       2.5578138826111
 5400.0       2.5623158583486
 5500.0       2.5678870493818
 5600.0       2.5697187884808
 5700.0       2.5715258772066
 5800.0       2.5806797291391
 5900.0       2.5808425836925
 6000.0       2.5821273982148
# P = 1.000000 (GPa)
    1.0     -13.0516551769411
  100.0       1.9093764057524
  200.0       1.7397871528506
  300.0       2.0727395158982
  400.0       2.0929642015340
  500.0       2.1486417889501
  600.0       2.1624154858621
  700.0       2.1774863806984
  800.0       2.1873942791844
  900.0       2.1969247408491
 1000.0       2.2058634308455
 1100.0       2.2144641568942
 1200.0       2.2233394262693
 1300.0       2.2321171016244
