# T (K)               Helmholtz Free Energy (Ry.)
# V= 131.9300000000000
    0.00      -0.8267901380971
  100.00      -0.8270352588034
  200.00      -0.8285738518872
  300.00      -0.8314340130148
  400.00      -0.8353549839863
  500.00      -0.8401326204936
  600.00      -0.8456206951887
  700.00      -0.8517127633133
  800.00      -0.8583289020531
  900.00      -0.8654072800043
 1000.00      -0.8728988046376
 1100.00      -0.8807636328247
 1200.00      -0.8889688234935
 1300.00      -0.8974867102929
 1400.00      -0.9062937422001
 1500.00      -0.9153696372262
 1600.00      -0.9246967512773
 1700.00      -0.9342595984555
 1800.00      -0.9440444802742
 1900.00      -0.9540391947284
 2000.00      -0.9642328049362
 2100.00      -0.9746154529220
 2200.00      -0.9851782080881
 2300.00      -0.9959129426901
 2400.00      -1.0068122285773
 2500.00      -1.0178692508588
 2600.00      -1.0290777351751
 2700.00      -1.0404318860019
 2800.00      -1.0519263339781
 2900.00      -1.0635560906674
 3000.00      -1.0753165094924
 3100.00      -1.0872032518224
 3200.00      -1.0992122573963
 3300.00      -1.1113397184083
 3400.00      -1.1235820567091
 3500.00      -1.1359359036679
 3600.00      -1.1483980823182
 3700.00      -1.1609655914741
 3800.00      -1.1736355915523
 3900.00      -1.1864053918766
 4000.00      -1.1992724392775
 4100.00      -1.2122343078247
 4200.00      -1.2252886895567
 4300.00      -1.2384333860879
 4400.00      -1.2516663009933
 4500.00      -1.2649854328819
 4600.00      -1.2783888690837
 4700.00      -1.2918747798822
 4800.00      -1.3054414132370
 4900.00      -1.3190870899437
 5000.00      -1.3328101991875
 5100.00      -1.3466091944517
 5200.00      -1.3604825897455
 5300.00      -1.3744289561212
 5400.00      -1.3884469184536
 5500.00      -1.4025351524568
 5600.00      -1.4166923819178
 5700.00      -1.4309173761271
 5800.00      -1.4452089474884
 5900.00      -1.4595659492937
 6000.00      -1.4739872736484
# V= 124.1700000000000
    0.00      -0.8213925761415
  100.00      -0.8215482141530
  200.00      -0.8227211940541
  300.00      -0.8250841682255
  400.00      -0.8284524273915
  500.00      -0.8326505713667
  600.00      -0.8375446431075
  700.00      -0.8430341175692
  800.00      -0.8490422264644
  900.00      -0.8555089558372
 1000.00      -0.8623863267597
 1100.00      -0.8696352129243
 1200.00      -0.8772231535628
 1300.00      -0.8851228149966
 1400.00      -0.8933108831023
 1500.00      -0.9017672485986
 1600.00      -0.9104743958538
 1700.00      -0.9194169361897
 1800.00      -0.9285812458075
 1900.00      -0.9379551808364
 2000.00      -0.9475278501671
 2100.00      -0.9572894322277
 2200.00      -0.9672310256322
 2300.00      -0.9773445262604
 2400.00      -0.9876225251992
 2500.00      -0.9980582233187
 2600.00      -1.0086453592395
 2700.00      -1.0193781481768
 2800.00      -1.0302512296897
 2900.00      -1.0412596227753
 3000.00      -1.0523986870667
 3100.00      -1.0636640891334
 3200.00      -1.0750517730737
 3300.00      -1.0865579347401
 3400.00      -1.0981789990530
 3500.00      -1.1099115999559
 3600.00      -1.1217525626379
 3700.00      -1.1336988877139
 3800.00      -1.1457477370995
 3900.00      -1.1578964213599
 4000.00      -1.1701423883469
 4100.00      -1.1824832129632
 4200.00      -1.1949165879179
 4300.00      -1.2074403153571
 4400.00      -1.2200522992678
 4500.00      -1.2327505385673
 4600.00      -1.2455331208046
 4700.00      -1.2583982164056
 4800.00      -1.2713440734051
 4900.00      -1.2843690126167
 5000.00      -1.2974714231938
 5100.00      -1.3106497585449
 5200.00      -1.3239025325672
 5300.00      -1.3372283161694
 5400.00      -1.3506257340547
 5500.00      -1.3640934617425
 5600.00      -1.3776302228047
 5700.00      -1.3912347862993
 5800.00      -1.4049059643832
 5900.00      -1.4186426100892
 6000.00      -1.4324436152529
# V= 116.7460000000000
    0.00      -0.8066168675173
  100.00      -0.8067325318518
  200.00      -0.8076905659082
  300.00      -0.8097203022334
  400.00      -0.8126977435078
  500.00      -0.8164755551387
  600.00      -0.8209327442447
  700.00      -0.8259752954730
  800.00      -0.8315299944758
  900.00      -0.8375389096165
 1000.00      -0.8439553546767
 1100.00      -0.8507410447887
 1200.00      -0.8578640887584
 1300.00      -0.8652975512883
 1400.00      -0.8730184047261
 1500.00      -0.8810067507274
 1600.00      -0.8892452321900
 1700.00      -0.8977185817204
 1800.00      -0.9064132697734
 1900.00      -0.9153172267444
 2000.00      -0.9244196207659
 2100.00      -0.9337106780452
 2200.00      -0.9431815361137
 2300.00      -0.9528241228344
 2400.00      -0.9626310557921
 2500.00      -0.9725955579724
 2600.00      -0.9827113865777
 2700.00      -0.9929727725329
 2800.00      -1.0033743687526
 2900.00      -1.0139112056477
 3000.00      -1.0245786526522
 3100.00      -1.0353723847881
 3200.00      -1.0462883534739
 3300.00      -1.0573227609248
 3400.00      -1.0684720376114
 3500.00      -1.0797328223338
 3600.00      -1.0911019445443
 3700.00      -1.1025764086096
 3800.00      -1.1141533797559
 3900.00      -1.1258301714769
 4000.00      -1.1376042342200
 4100.00      -1.1494731451935
 4200.00      -1.1614345991581
 4300.00      -1.1734864000889
 4400.00      -1.1856264536054
 4500.00      -1.1978527600848
 4600.00      -1.2101634083829
 4700.00      -1.2225565700963
 4800.00      -1.2350304943107
 4900.00      -1.2475835027828
 5000.00      -1.2602139855135
 5100.00      -1.2729203966733
 5200.00      -1.2857012508449
 5300.00      -1.2985551195535
 5400.00      -1.3114806280575
 5500.00      -1.3244764523757
 5600.00      -1.3375413165294
 5700.00      -1.3506739899810
 5800.00      -1.3638732852508
 5900.00      -1.3771380556984
 6000.00      -1.3904671934527
# V= 109.5930000000000
    0.00      -0.7799703412437
  100.00      -0.7800592174128
  200.00      -0.7808595909470
  300.00      -0.7826248019411
  400.00      -0.7852787352986
  500.00      -0.7887010233793
  600.00      -0.7927842100320
  700.00      -0.7974413636276
  800.00      -0.8026032284929
  900.00      -0.8082142262699
 1000.00      -0.8142291457612
 1100.00      -0.8206106686747
 1200.00      -0.8273275613006
 1300.00      -0.8343533499081
 1400.00      -0.8416653396999
 1500.00      -0.8492438779791
 1600.00      -0.8570717925998
 1700.00      -0.8651339578877
 1800.00      -0.8734169545723
 1900.00      -0.8819088000356
 2000.00      -0.8905987318648
 2100.00      -0.8994770323314
 2200.00      -0.9085348846668
 2300.00      -0.9177642543178
 2400.00      -0.9271577900268
 2500.00      -0.9367087407990
 2600.00      -0.9464108857123
 2700.00      -0.9562584741944
 2800.00      -0.9662461748990
 2900.00      -0.9763690316943
 3000.00      -0.9866224255753
 3100.00      -0.9970020415401
 3200.00      -1.0075038396502
 3300.00      -1.0181240296373
 3400.00      -1.0288590485318
 3500.00      -1.0397055408772
 3600.00      -1.0506603411689
 3700.00      -1.0617204582150
 3800.00      -1.0728830611626
 3900.00      -1.0841454669754
 4000.00      -1.0955051291785
 4100.00      -1.1069596277153
 4200.00      -1.1185066597822
 4300.00      -1.1301440315266
 4400.00      -1.1418696505089
 4500.00      -1.1536815188424
 4600.00      -1.1655777269385
 4700.00      -1.1775564477891
 4800.00      -1.1896159317322
 4900.00      -1.2017545016501
 5000.00      -1.2139705485563
 5100.00      -1.2262625275322
 5200.00      -1.2386289539809
 5300.00      -1.2510684001667
 5400.00      -1.2635794920137
 5500.00      -1.2761609061408
 5600.00      -1.2888113671100
 5700.00      -1.3015296448709
 5800.00      -1.3143145523826
 5900.00      -1.3271649433996
 6000.00      -1.3400797104060
# V= 102.7770000000000
    0.00      -0.7386278927525
  100.00      -0.7386975757242
  200.00      -0.7393755839976
  300.00      -0.7409216270027
  400.00      -0.7432954662536
  500.00      -0.7464018789036
  600.00      -0.7501474076679
  700.00      -0.7544528761885
  800.00      -0.7592535271836
  900.00      -0.7644965324866
 1000.00      -0.7701384458579
 1100.00      -0.7761431306859
 1200.00      -0.7824801738127
 1300.00      -0.7891236894664
 1400.00      -0.7960514157448
 1500.00      -0.8032440263013
 1600.00      -0.8106846001701
 1700.00      -0.8183582085690
 1800.00      -0.8262515890929
 1900.00      -0.8343528859253
 2000.00      -0.8426514404980
 2100.00      -0.8511376211324
 2200.00      -0.8598026831290
 2300.00      -0.8686386528826
 2400.00      -0.8776382311381
 2500.00      -0.8867947116327
 2600.00      -0.8961019122103
 2700.00      -0.9055541161272
 2800.00      -0.9151460217450
 2900.00      -0.9248726991761
 3000.00      -0.9347295527264
 3100.00      -0.9447122882057
 3200.00      -0.9548168843441
 3300.00      -0.9650395676942
 3400.00      -0.9753767905052
 3500.00      -0.9858252111432
 3600.00      -0.9963816767049
 3700.00      -1.0070432075243
 3800.00      -1.0178069833259
 3900.00      -1.0286703308091
 4000.00      -1.0396307124860
 4100.00      -1.0506857166183
 4200.00      -1.0618330481210
 4300.00      -1.0730705203214
 4400.00      -1.0843960474732
 4500.00      -1.0958076379443
 4600.00      -1.1073033880011
 4700.00      -1.1188814761279
 4800.00      -1.1305401578249
 4900.00      -1.1422777608340
 5000.00      -1.1540926807516
 5100.00      -1.1659833769877
 5200.00      -1.1779483690404
 5300.00      -1.1899862330528
 5400.00      -1.2020955986296
 5500.00      -1.2142751458850
 5600.00      -1.2265236027062
 5700.00      -1.2388397422087
 5800.00      -1.2512223803704
 5900.00      -1.2636703738266
 6000.00      -1.2761826178143
# V=  96.1639000000000
    0.00      -0.6790392976564
  100.00      -0.6790946181764
  200.00      -0.6796753447063
  300.00      -0.6810403198114
  400.00      -0.6831750308702
  500.00      -0.6860065556846
  600.00      -0.6894551901804
  700.00      -0.6934497462291
  800.00      -0.6979301979014
  900.00      -0.7028466284328
 1000.00      -0.7081574554329
 1100.00      -0.7138277795192
 1200.00      -0.7198280354047
 1300.00      -0.7261329346761
 1400.00      -0.7327206465188
 1500.00      -0.7395721622374
 1600.00      -0.7466707992232
 1700.00      -0.7540018104181
 1800.00      -0.7615520739128
 1900.00      -0.7693098438588
 2000.00      -0.7772645487040
 2100.00      -0.7854066262924
 2200.00      -0.7937273879480
 2300.00      -0.8022189055563
 2400.00      -0.8108739170504
 2500.00      -0.8196857467503
