# T (K)      B_S (GPa)
# P = 0.000000 (GPa)
    1.0     180.8408874116483
  100.0     180.6510924668101
  200.0     179.7946264601028
  300.0     178.7273883760239
  400.0     177.4740835745792
  500.0     176.1834777920511
  600.0     174.8388949821723
  700.0     173.4771639289692
  800.0     172.0993104085075
  900.0     170.7142031060614
 1000.0     169.3244376928544
 1100.0     167.9329169331168
 1200.0     166.5412862984831
 1300.0     165.1509367437914
 1400.0     163.7627757522523
 1500.0     162.3777049353850
 1600.0     160.9962416021641
 1700.0     159.6191283757119
 1800.0     158.2465019684544
 1900.0     156.8792584807896
 2000.0     155.5172420990837
 2100.0     154.1613765024349
 2200.0     152.8114283196795
 2300.0     151.4681746293465
 2400.0     150.1319243861650
 2500.0     148.8025415118780
 2600.0     147.4808654995289
 2700.0     146.1670770408068
 2800.0     144.8615748324417
 2900.0     143.5641528407255
 3000.0     142.2763529922026
 3100.0     140.9971207115998
 3200.0     139.7281313693163
 3300.0     138.4687411670887
 3400.0     137.2199656756736
 3500.0     135.9825568252017
 3600.0     134.7561836406869
 3700.0     133.5414562808859
 3800.0     132.3398062723411
 3900.0     131.1502711893050
 4000.0     129.9751975290459
 4100.0     128.8137805678338
 4200.0     127.6665790558295
 4300.0     126.5365265250766
 4400.0     125.4206592052065
 4500.0     124.3232878178906
 4600.0     123.2428872834070
 4700.0     122.1804065268608
 4800.0     121.1368597694501
 4900.0     120.1064020879066
 5000.0     119.0925743604457
 5100.0     118.0800848121792
 5200.0     117.1048283193215
 5300.0     116.0996378070935
 5400.0     115.1328803261455
 5500.0     114.1160209818706
 5600.0     113.1736292556964
 5700.0     112.1705781008124
 5800.0     111.1938372240894
 5900.0     110.1450716980958
 6000.0     109.1013971076978
# P = 1.000000 (GPa)
    1.0     184.7806660718784
  100.0     184.5849372390648
  200.0     183.7205472121797
  300.0     182.6430999550706
  400.0     181.3827754654389
  500.0     180.0843846146293
  600.0     178.7322870729158
  700.0     177.3626968971133
  800.0     175.9768466391438
  900.0     174.5835339275642
 1000.0     173.1853863309149
 1100.0     171.7852970868488
 1200.0     170.3849188655417
 1300.0     168.9856322534759
 1400.0     167.5883451370718
 1500.0     166.1939455905529
 1600.0     164.8029372026438
 1700.0     163.4160566389567
 1800.0     162.0334173480527
 1900.0     160.6559086849767
 2000.0     159.2833553243908
 2100.0     157.9166582918564
 2200.0     156.5555931196435
 2300.0     155.2008673797350
 2400.0     153.8528392732539
 2500.0     152.5113043398503
 2600.0     151.1770782914072
 2700.0     149.8503453489105
 2800.0     148.5314591027996
 2900.0     147.2202026037060
 3000.0     145.9180746601452
 3100.0     144.6240279567410
 3200.0     143.3396572173314
 3300.0     142.0643290824312
 3400.0     140.7990088150392
 3500.0     139.5443714042179
 3600.0     138.3001227962761
 3700.0     137.0668109812252
 3800.0     135.8457778571132
 3900.0     134.6360591520146
 4000.0     133.4399013525815
 4100.0     132.2564912608270
 4200.0     131.0863375381626
 4300.0     129.9321822679135
 4400.0     128.7912299898144
 4500.0     127.6674664702549
 4600.0     126.5593839966513
 4700.0     125.4685123139212
 4800.0     124.3978133684932
 4900.0     123.3432430753103
 5000.0     122.3087953315657
 5100.0     121.2826695579250
 5200.0     120.2924553126527
 5300.0     119.2821598510649
 5400.0     118.3171410295124
 5500.0     117.3173772593485
 5600.0     116.3706543614895
 5700.0     115.3916664020493
 5800.0     114.4335442558597
 5900.0     113.4317858054568
 6000.0     112.4417041104727
# P = 2.000000 (GPa)
    1.0     188.7204522113178
  100.0     188.5189153744811
  200.0     187.6468725087520
  300.0     186.5594439115564
  400.0     185.2922031937025
  500.0     183.9861690707083
  600.0     182.6267090404573
  700.0     181.2494360581218
  800.0     179.8557707904704
  900.0     178.4544527875715
 1000.0     177.0481393307157
 1100.0     175.6397159178156
 1200.0     174.2308417359584
 1300.0     172.8228885763270
 1400.0     171.4167595981144
 1500.0     170.0133178955608
 1600.0     168.6130866218726
 1700.0     167.2167527761528
 1800.0     165.8244607893159
 1900.0     164.4370394881612
 2000.0     163.0543428829054
 2100.0     161.6772289334660
 2200.0     160.3054739223565
 2300.0     158.9397631541119
 2400.0     157.5803882706245
 2500.0     156.2272351956566
 2600.0     154.8809887110255
 2700.0     153.5418818792196
 2800.0     152.2102173186989
 2900.0     150.8857741913531
 3000.0     149.5699792620452
 3100.0     148.2618487963024
 3200.0     146.9628349392271
 3300.0     145.6723746025250
 3400.0     144.3913716337608
 3500.0     143.1204316264690
 3600.0     141.8592670172764
 3700.0     140.6083762881479
 3800.0     139.3690522783130
 3900.0     138.1403196099001
 4000.0     136.9243223747459
 4100.0     135.7202309601446
 4200.0     134.5285508594392
 4300.0     133.3518256945541
 4400.0     132.1873891554691
 4500.0     131.0389965545752
 4600.0     129.9051549015809
 4700.0     128.7872959008778
 4800.0     127.6881682153205
 4900.0     126.6041676295264
 5000.0     125.5408391571171
 5100.0     124.4900782404809
 5200.0     123.4766908355287
 5300.0     122.4503891887590
 5400.0     121.4735656769544
 5500.0     120.4740593987902
 5600.0     119.5178430496864
 5700.0     118.5482495974593
 5800.0     117.5986553412266
 5900.0     116.6260720182160
 6000.0     115.6727500879330
# P = 3.000000 (GPa)
    1.0     192.6602369502638
  100.0     192.4530352362573
  200.0     191.5735689917297
  300.0     190.4763933582223
  400.0     189.2023389970864
  500.0     187.8887965364365
  600.0     186.5221129829417
  700.0     185.1373239342958
  800.0     183.7360176044465
  900.0     182.3268943429196
 1000.0     180.9126200057553
 1100.0     179.4960922242096
 1200.0     178.0789586755883
 1300.0     176.6625845219200
 1400.0     175.2478737508971
 1500.0     173.8356847137902
 1600.0     172.4265127851630
 1700.0     171.0210481620669
 1800.0     169.6194266675701
 1900.0     168.2224471744406
 2000.0     166.8299740325788
 2100.0     165.4428147432667
 2200.0     164.0607730260805
 2300.0     162.6844841738602
 2400.0     161.3142633033353
 2500.0     159.9499233500684
 2600.0     158.5922022563632
 2700.0     157.2412293523464
 2800.0     155.8973364002125
 2900.0     154.5603324205114
 3000.0     153.2314888462550
 3100.0     151.9099133958521
 3200.0     150.5970076871752
 3300.0     149.2921498625795
 3400.0     147.9962188366948
 3500.0     146.7098239596944
 3600.0     145.4326349207048
 3700.0     144.1651042218935
 3800.0     142.9084843642849
 3900.0     141.6617986123880
 4000.0     140.4270914078612
 4100.0     139.2035431785985
 4200.0     137.9916238146280
 4300.0     136.7936918127755
 4400.0     135.6072396158900
 4500.0     134.4357956594900
 4600.0     133.2778830029480
 4700.0     132.1348375432621
 4800.0     131.0092599275219
 4900.0     129.8976469758699
 5000.0     128.8052705305194
 5100.0     127.7243652981202
 5200.0     126.6800110911967
 5300.0     125.6273119896817
 5400.0     124.6266664041359
 5500.0     123.6122807374985
 5600.0     122.6389972268384
 5700.0     121.6643757417895
 5800.0     120.7117563304173
 5900.0     119.7508363581652
 6000.0     118.8167423120191
# P = 4.000000 (GPa)
    1.0     196.6000293594852
  100.0     196.3872814867832
  200.0     195.5006344302728
  300.0     194.3939397532397
  400.0     193.1131585897481
  500.0     191.7922407697021
  600.0     190.4184599987290
  700.0     189.0263045456940
  800.0     187.6175384027441
  900.0     186.2007868320930
 1000.0     184.7787581431775
 1100.0     183.3543315013777
 1200.0     181.9291640154281
 1300.0     180.5046074806400
 1400.0     179.0815769934640
 1500.0     177.6608944015229
 1600.0     176.2430720485154
 1700.0     174.8287716231934
 1800.0     173.4181327805355
 1900.0     172.0119256494158
 2000.0     170.6100118618073
 2100.0     169.2131821535126
 2200.0     167.8212457837998
 2300.0     166.4347937319255
 2400.0     165.0541209133307
 2500.0     163.6790781581222
 2600.0     162.3103100083960
 2700.0     160.9479909185073
 2800.0     159.5924181768579
 2900.0     158.2433376901916
 3000.0     156.9020671506162
 3100.0     155.5676756672924
 3200.0     154.2414771722403
 3300.0     152.9229642097813
 3400.0     151.6128435110292
 3500.0     150.3117327602154
 3600.0     149.0193509066884
 3700.0     147.7360679047225
 3800.0     146.4630528545416
 3900.0     145.1993909229422
 4000.0     143.9470120353657
 4100.0     142.7051143741865
 4200.0     141.4741132843392
 4300.0     140.2562507374745
 4400.0     139.0491132418439
 4500.0     137.8560187016438
 4600.0     136.6755526785090
 4700.0     135.5089517566728
 4800.0     134.3586677054514
 4900.0     133.2213223409334
 5000.0     132.1019026094611
 5100.0     130.9929690109577
 5200.0     129.9182435264622
 5300.0     128.8351859362020
 5400.0     127.8018987543439
 5500.0     126.7595842893053
 5600.0     125.7600843215189
 5700.0     124.7667761277908
 5800.0     123.7989787489390
 5900.0     122.8331050644797
 6000.0     121.9009190147964
# P = 5.000000 (GPa)
    1.0     200.5398322296806
  100.0     200.3216623352025
  200.0     199.4280765769241
  300.0     198.3120664230337
