# T (K)      B_T_P (GPa)
# P = 0.000000 (GPa)
    1.0     180.8399485484271
  100.0     180.5784928214921
  200.0     179.4628418493951
  300.0     177.8716112767734
  400.0     176.1036496864408
  500.0     174.2668429333161
  600.0     172.3980510385715
  700.0     170.5118080611790
  800.0     168.6147296643431
  900.0     166.7101847371067
 1000.0     164.8000605276832
 1100.0     162.8854779242326
 1200.0     160.9671276739416
 1300.0     159.0454612932750
 1400.0     157.1207832747394
 1500.0     155.1932853554286
 1600.0     153.2631090009665
 1700.0     151.3303297401260
 1800.0     149.3950277979278
 1900.0     147.4572116999891
 2000.0     145.5169150045982
 2100.0     143.5741272984234
 2200.0     141.6288537841656
 2300.0     139.6810801141698
 2400.0     137.7307689118677
 2500.0     135.7779276338256
 2600.0     133.8225144788565
 2700.0     131.8644937566484
 2800.0     129.9038339585845
 2900.0     127.9405211099781
 3000.0     125.9744869399230
 3100.0     124.0057276714578
 3200.0     122.0341901672769
 3300.0     120.0598480984131
 3400.0     118.0826470450786
 3500.0     116.1025542352163
 3600.0     114.1195237236385
 3700.0     112.1335263722205
 3800.0     110.1445188498705
 3900.0     108.1524695117713
 4000.0     106.1573138270353
 4100.0     104.1590329469498
 4200.0     102.1575933492345
 4300.0     100.1529132583473
 4400.0      98.1450074727826
 4500.0      96.1337679075984
 4600.0      94.1192272506809
 4700.0      92.1022361142073
 4800.0      90.0837151134034
 4900.0      88.0649877968799
 5000.0      86.0464382655641
 5100.0      84.0281741637127
 5200.0      82.0158783247309
 5300.0      80.0050499764609
 5400.0      77.9955612123431
 5500.0      75.9883021860046
 5600.0      74.0084165253247
 5700.0      72.0177400443845
 5800.0      70.0503283670059
 5900.0      68.0709087600499
 6000.0      66.1106317372742
# P = 1.000000 (GPa)
    1.0     184.7798034315596
  100.0     184.5164268966036
  200.0     183.4023393442642
  300.0     181.8132399322381
  400.0     180.0463437474637
  500.0     178.2099554670778
  600.0     176.3413109441041
  700.0     174.4551446634415
  800.0     172.5581731128664
  900.0     170.6538052546529
 1000.0     168.7439479246545
 1100.0     166.8297303043068
 1200.0     164.9118501778254
 1300.0     162.9907578397905
 1400.0     161.0667577212176
 1500.0     159.1400413324762
 1600.0     157.2107407533816
 1700.0     155.2789361116305
 1800.0     153.3446963079795
 1900.0     151.4080305196501
 2000.0     149.4689755743131
 2100.0     147.5275021550763
 2200.0     145.5836332042293
 2300.0     143.6373327380365
 2400.0     141.6885842802085
 2500.0     139.7373742648945
