# T (K)      C_P (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    1.0       1.0000051916804
  100.0      15.0320267602626
  200.0      33.7901371051038
  300.0      39.3987954189129
  400.0      44.0466660721280
  500.0      45.9808512308475
  600.0      47.4440681990543
  700.0      48.3503198858833
  800.0      49.0430098979220
  900.0      49.5727193379551
 1000.0      50.0107236915063
 1100.0      50.3859236434609
 1200.0      50.7206860206536
 1300.0      51.0278688334807
 1400.0      51.3175898458197
 1500.0      51.5954564944813
 1600.0      51.8672201516028
 1700.0      52.1348220244922
 1800.0      52.4034086675759
 1900.0      52.6721381089217
 2000.0      52.9459023049077
 2100.0      53.2231499261833
 2200.0      53.5079767029610
 2300.0      53.7999454902986
 2400.0      54.0995272465608
 2500.0      54.4100007113039
 2600.0      54.7306157393124
 2700.0      55.0626163493167
 2800.0      55.4065413328650
 2900.0      55.7658332709683
 3000.0      56.1372608822679
 3100.0      56.5263321532470
 3200.0      56.9304851597675
 3300.0      57.3537645616488
 3400.0      57.7961537281493
 3500.0      58.2577659785312
 3600.0      58.7418699761095
 3700.0      59.2500707900689
 3800.0      59.7816668391319
 3900.0      60.3420487321508
 4000.0      60.9290997966166
 4100.0      61.5474478339246
 4200.0      62.2004461915149
 4300.0      62.8853688441723
 4400.0      63.6117730485909
 4500.0      64.3767861037536
 4600.0      65.1875061894327
 4700.0      66.0455362085958
 4800.0      66.9483126339682
 4900.0      67.9054901628595
 5000.0      68.9111106593306
 5100.0      69.9852099919325
 5200.0      71.0810025499191
 5300.0      72.2835734891135
 5400.0      73.4915289898826
 5500.0      74.8022315107295
 5600.0      76.1521866447339
 5700.0      77.5753821443139
 5800.0      79.0513731728701
 5900.0      80.6004924133582
 6000.0      82.1748548476974
# P = 1.000000 (GPa)
    1.0       1.0000046684773
  100.0      15.0129950431011
  200.0      33.7589174424910
  300.0      39.3719698976149
  400.0      44.0179332107405
  500.0      45.9498588729953
  600.0      47.4089352582400
  700.0      48.3103524891895
  800.0      48.9974624864313
  900.0      49.5210551761072
 1000.0      49.9524304616832
 1100.0      50.3205247687373
 1200.0      50.6477063623017
 1300.0      50.9468380113206
 1400.0      51.2279989892799
 1500.0      51.4968028129897
 1600.0      51.7589458133125
 1700.0      52.0163906911208
 1800.0      52.2741794394776
 1900.0      52.5315257113974
 2000.0      52.7931855809410
 2100.0      53.0576594257457
 2200.0      53.3289165495748
 2300.0      53.6064996211709
 2400.0      53.8908669501471
 2500.0      54.1851461308368
 2600.0      54.4885865231554
 2700.0      54.8023469579808
 2800.0      55.1269001273315
 2900.0      55.4655246723531
 3000.0      55.8150365579645
 3100.0      56.1806931041300
 3200.0      56.5599304848781
 3300.0      56.9565938681458
 3400.0      57.3705583592411
 3500.0      57.8018271584516
 3600.0      58.2534478190586
 3700.0      58.7268651378542
 3800.0      59.2211972022719
 3900.0      59.7415597557141
 4000.0      60.2856709970550
 4100.0      60.8578529765731
 4200.0      61.4610644753125
 4300.0      62.0924631446334
 4400.0      62.7610054098977
 4500.0      63.4635143686045
 4600.0      64.2065688719182
 4700.0      64.9922519115447
 4800.0      65.8196299857520
 4900.0      66.6992393958584
 5000.0      67.6250755210098
 5100.0      68.6176809186956
 5200.0      69.6310472876462
 5300.0      70.7483040312746
 5400.0      71.8720501696827
 5500.0      73.0992747110953
 5600.0      74.3602201160920
 5700.0      75.6977506930268
 5800.0      77.0879434092493
 5900.0      78.5552268032270
 6000.0      80.0536359274783
# P = 2.000000 (GPa)
    1.0       1.0000041955913
  100.0      14.9960894898272
  200.0      33.7309095120789
  300.0      39.3474392924810
  400.0      43.9912797210208
  500.0      45.9208195328342
  600.0      47.3758445370482
  700.0      48.2726069992066
  800.0      48.9543947124987
  900.0      49.4721854563411
 1000.0      49.8972941827751
 1100.0      50.2586909297071
 1200.0      50.5787412677105
 1300.0      50.8703170146923
 1400.0      51.1434626504580
 1500.0      51.4037994894638
 1600.0      51.6569697177262
 1700.0      51.9049507171573
 1800.0      52.1526940201219
 1900.0      52.3994560219864
 2000.0      52.6498832516386
 2100.0      52.9025111041912
 2200.0      53.1612025826792
 2300.0      53.4254901929725
 2400.0      53.6957999319808
 2500.0      53.9751535887291
 2600.0      54.2627809727796
 2700.0      54.5597651889685
 2800.0      54.8665431782475
 2900.0      55.1862281062637
 3000.0      55.5156858077931
 3100.0      55.8599628681517
 3200.0      56.2164874794525
 3300.0      56.5889265140181
 3400.0      56.9770756972530
 3500.0      57.3808413044645
 3600.0      57.8030768282817
 3700.0      58.2450884499762
 3800.0      58.7058510600864
 3900.0      59.1902420243926
 4000.0      59.6958418837499
 4100.0      60.2267175966619
 4200.0      60.7854890288818
 4300.0      61.3692455723626
 4400.0      61.9863970502590
 4500.0      62.6335766335668
 4600.0      63.3168984664019
 4700.0      64.0380275725227
 4800.0      64.7955720020728
 4900.0      65.6000401585892
 5000.0      66.4469607078722
 5100.0      67.3578301459353
 5200.0      68.2884235831219
 5300.0      69.3194427454862
 5400.0      70.3569759257669
 5500.0      71.4967737796496
 5600.0      72.6670413017039
 5700.0      73.9146091889828
 5800.0      75.2143072706637
 5900.0      76.5927522273332
 6000.0      78.0058373803267
# P = 3.000000 (GPa)
    1.0       1.0000037681416
  100.0      14.9814288403008
  200.0      33.7063612540154
  300.0      39.3253988836593
  400.0      43.9668586886574
  500.0      45.8938135221480
  600.0      47.3448221245753
  700.0      48.2370589966392
  800.0      48.9137391851258
  900.0      49.4259998443190
 1000.0      49.8451639256843
 1100.0      50.2002268452893
 1200.0      50.5135515821440
 1300.0      50.7980154214243
 1400.0      51.0636300333437
 1500.0      51.3160265331742
 1600.0      51.5607959391473
 1700.0      51.7999391297306
 1800.0      52.0383114974938
 1900.0      52.2752216274339
 2000.0      52.5151992668207
 2100.0      52.7568250452233
 2200.0      53.0038599944095
 2300.0      53.2558225305951
 2400.0      53.5131352553485
 2500.0      53.7786873407668
 2600.0      54.0517285907461
 2700.0      54.3332577836601
 2800.0      54.6236732882722
 2900.0      54.9259665531822
 3000.0      55.2370300415774
 3100.0      55.5617177833897
 3200.0      55.8974867999710
 3300.0      56.2478211754049
 3400.0      56.6124440938792
 3500.0      56.9912025079849
 3600.0      57.3867689259408
 3700.0      57.8003292045813
 3800.0      58.2307420646160
 3900.0      58.6826779698135
 4000.0      59.1536098167447
 4100.0      59.6473823784796
 4200.0      60.1663222546002
 4300.0      60.7074819804652
 4400.0      61.2787909181308
 4500.0      61.8767499342420
 4600.0      62.5070684298382
 4700.0      63.1710622795417
 4800.0      63.8670424849512
 4900.0      64.6049570984146
 5000.0      65.3798936593018
 5100.0      66.2124903965733
 5200.0      67.0613832721784
 5300.0      68.0062966140733
 5400.0      68.9571137370791
 5500.0      70.0074604641392
 5600.0      71.0862068524233
 5700.0      72.2411471421310
 5800.0      73.4470960262988
 5900.0      74.7317537427667
 6000.0      76.0524176539232
# P = 4.000000 (GPa)
    1.0       1.0000033816970
  100.0      14.9687126431479
  200.0      33.6848699690118
  300.0      39.3056516973560
  400.0      43.9445879653370
  500.0      45.8688206464137
  600.0      47.3158582878134
  700.0      48.2036739963164
  800.0      48.8754271314579
  900.0      49.3823914372969
 1000.0      49.7958961723185
 1100.0      50.1449511554408
