# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 188.447500 (a.u.^3)
    5.0       0.0089737093542
  100.0      17.3646638012111
  200.0      32.7288273774817
  300.0      40.3404269142257
  400.0      43.9982567058231
  500.0      45.9344783966734
  600.0      47.0607958485729
  700.0      47.7672903350934
  800.0      48.2373521281272
  900.0      48.5650169013089
 1000.0      48.8021372665383
 1100.0      48.9790728922929
 1200.0      49.1145060253230
 1300.0      49.2204224209104
 1400.0      49.3047881140357
 1500.0      49.3730601583916
 1600.0      49.4290759811161
 1700.0      49.4755964312958
 1800.0      49.5146481396689
 1900.0      49.5477455180019
 2000.0      49.5760383510529
 2100.0      49.6004121309578
 2200.0      49.6215576433733
 2300.0      49.6400201073415
 2400.0      49.6562344491234
 2500.0      49.6705510028942
 2600.0      49.6832544934023
 2700.0      49.6945782331883
 2800.0      49.7047148638344
 2900.0      49.7138245695194
 3000.0      49.7220414200076
 3100.0      49.7294783142080
 3200.0      49.7362308661218
 3300.0      49.7423804839129
 3400.0      49.7479968279373
 3500.0      49.7531397867874
 3600.0      49.7578610763589
 3700.0      49.7622055419039
 3800.0      49.7662122244590
 3900.0      49.7699152391235
 4000.0      49.7733445021784
 4100.0      49.7765263360475
 4200.0      49.7794839749999
 4300.0      49.7822379897686
 4400.0      49.7848066456063
 4500.0      49.7872062054386
 4600.0      49.7894511875241
 4700.0      49.7915545852589
 4800.0      49.7935280553479
 4900.0      49.7953820794404
 5000.0      49.7971261034192
 5100.0      49.7987686578069
 5200.0      49.8003174621562
 5300.0      49.8017795158143
 5400.0      49.8031611770559
 5500.0      49.8044682322574
 5600.0      49.8057059565189
 5700.0      49.8068791669204
 5800.0      49.8079922694189
 5900.0      49.8090493002385
 6000.0      49.8100539624793
# V = 183.116500 (a.u.^3)
    5.0       0.0076134985955
  100.0      16.6263219203666
  200.0      31.8558768709900
  300.0      39.7247332709114
  400.0      43.5874741337022
  500.0      45.6527299709456
  600.0      46.8605161166155
  700.0      47.6204886872128
  800.0      48.1271389546373
  900.0      48.4807820286863
 1000.0      48.7369439119315
 1100.0      48.9282200210209
 1200.0      49.0747059779718
 1300.0      49.1893122196204
 1400.0      49.2806284455475
 1500.0      49.3545438153284
 1600.0      49.4152023433760
 1700.0      49.4655870432632
 1800.0      49.5078885859696
 1900.0      49.5437445584673
 2000.0      49.5743986434212
 2100.0      49.6008088954304
 2200.0      49.6237228729279
 2300.0      49.6437307170403
 2400.0      49.6613032669633
 2500.0      49.6768198398751
 2600.0      49.6905887550223
 2700.0      49.7028626875237
 2800.0      49.7138502871601
 2900.0      49.7237250646596
 3000.0      49.7326322553726
 3100.0      49.7406941694552
 3200.0      49.7480143980232
 3300.0      49.7546811463524
 3400.0      49.7607698950771
 3500.0      49.7663455397812
 3600.0      49.7714641225722
 3700.0      49.7761742421474
 3800.0      49.7805182087768
 3900.0      49.7845329955816
 4000.0      49.7882510261391
 4100.0      49.7917008298088
 4200.0      49.7949075895652
 4300.0      49.7978936020166
 4400.0      49.8006786653297
 4500.0      49.8032804076859
 4600.0      49.8057145664599
 4700.0      49.8079952263893
 4800.0      49.8101350234762
 4900.0      49.8121453201398
 5000.0      49.8140363561600
 5100.0      49.8158173791601
 5200.0      49.8174967577381
 5300.0      49.8190820798330
 5400.0      49.8205802384877
 5500.0      49.8219975068202
 5600.0      49.8233396037277
 5700.0      49.8246117516088
 5800.0      49.8258187271940
 5900.0      49.8269649064076
 6000.0      49.8280543040498
# V = 177.886500 (a.u.^3)
    5.0       0.0064964468251
  100.0      15.8709851117092
  200.0      30.9053427625506
  300.0      39.0339364132205
  400.0      43.1220329009034
  500.0      45.3331819343261
  600.0      46.6342980708899
  700.0      47.4559855813647
  800.0      48.0050513671081
  900.0      48.3889003762459
 1000.0      48.6672487934253
 1100.0      48.8752592440537
 1200.0      49.0346576790825
 1300.0      49.1594246719321
 1400.0      49.2588734701375
 1500.0      49.3393954936612
 1600.0      49.4054916516704
 1700.0      49.4604038861899
 1800.0      49.5065142402674
 1900.0      49.5456041147906
 2000.0      49.5790268972434
 2100.0      49.6078254681628
 2200.0      49.6328137858611
 2300.0      49.6546345530028
 2400.0      49.6738006442486
 2500.0      49.6907253115611
 2600.0      49.7057445074677
 2700.0      49.7191335895786
 2800.0      49.7311199646997
 2900.0      49.7418927614671
 3000.0      49.7516103028779
 3100.0      49.7604059321110
 3200.0      49.7683925933447
 3300.0      49.7756664623881
 3400.0      49.7823098457224
 3500.0      49.7883935115957
 3600.0      49.7939785767817
 3700.0      49.7991180431716
 3800.0      49.8038580565053
 3900.0      49.8082389431877
 4000.0      49.8122960687781
 4100.0      49.8160605523479
 4200.0      49.8195598636987
 4300.0      49.8228183248816
 4400.0      49.8258575331429
 4500.0      49.8286967190494
 4600.0      49.8313530509010
 4700.0      49.8338418944392
 4800.0      49.8361770351973
 4900.0      49.8383708695087
 5000.0      49.8404345691204
 5100.0      49.8423782234978
 5200.0      49.8442109632093
 5300.0      49.8459410672126
 5400.0      49.8475760563950
 5500.0      49.8491227753485
 5600.0      49.8505874640361
 5700.0      49.8519758207545
 5800.0      49.8532930575811
 5900.0      49.8545439493108
 6000.0      49.8557328767430
# V = 172.724000 (a.u.^3)
    5.0       0.0055920107350
  100.0      15.1971471322722
  200.0      29.9287644460743
  300.0      38.2523155568350
  400.0      42.5474229739867
  500.0      44.8997818618172
  600.0      46.2933488627281
  700.0      47.1769418231229
  800.0      47.7688793644531
  900.0      48.1834118968650
 1000.0      48.4843755565980
 1100.0      48.7094862242157
 1200.0      48.8821039664296
 1300.0      49.0172879491050
 1400.0      49.1250836958248
 1500.0      49.2123925499589
 1600.0      49.2840786562000
 1700.0      49.3436480056740
 1800.0      49.3936781112181
 1900.0      49.4360974612384
 2000.0      49.4723717689974
 2100.0      49.5036308483575
 2200.0      49.5307567610430
 2300.0      49.5544461564382
 2400.0      49.5752550778552
 2500.0      49.5936316447298
 2600.0      49.6099402151354
 2700.0      49.6244794723277
 2800.0      49.6374961187679
 2900.0      49.6491953545170
 3000.0      49.6597489740335
 3100.0      49.6693016799353
 3200.0      49.6779760483615
 3300.0      49.6858764650113
 3400.0      49.6930922685045
 3500.0      49.6997002782628
 3600.0      49.7057668407899
 3700.0      49.7113494963599
 3800.0      49.7164983444558
 3900.0      49.7212571685841
 4000.0      49.7256643677058
 4100.0      49.7297537313489
 4200.0      49.7335550876669
 4300.0      49.7370948476867
 4400.0      49.7403964643173
 4500.0      49.7434808210340
 4600.0      49.7463665622832
 4700.0      49.7490703753811
 4800.0      49.7516072318725
 4900.0      49.7539905948784
 5000.0      49.7562325977969
 5100.0      49.7583441987936
 5200.0      49.7603353147553
 5300.0      49.7622149377707
 5400.0      49.7639912366912
 5500.0      49.7656716459189
 5600.0      49.7672629432219
 5700.0      49.7687713181019
 5800.0      49.7702024320004
 5900.0      49.7715614714388
 6000.0      49.7728531950245
# V = 167.696500 (a.u.^3)
    5.0       0.0050998716274
  100.0      14.6552128588939
  200.0      29.0985891056530
  300.0      37.5995016032522
  400.0      42.0968462503864
  500.0      44.5903801168895
  600.0      46.0774192625624
