# T (K)      C_V_P (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.0259857239405
  200.0      33.7277823634416
  300.0      39.2101472930497
  400.0      43.7065429249678
  500.0      45.4806425653825
  600.0      46.7817237788654
  700.0      47.5238370132336
  800.0      48.0500115673621
  900.0      48.4100153847000
 1000.0      48.6744288284223
 1100.0      48.8715101434682
 1200.0      49.0230580287695
 1300.0      49.1414163155739
 1400.0      49.2362191304400
 1500.0      49.3126097944171
 1600.0      49.3758819247204
 1700.0      49.4275334553806
 1800.0      49.4722385469178
 1900.0      49.5086902821473
 2000.0      49.5412872653457
 2100.0      49.5679753002480
 2200.0      49.5923210199734
 2300.0      49.6132901486250
 2400.0      49.6308131391940
 2500.0      49.6475198882682
 2600.0      49.6619584676512
 2700.0      49.6746885606267
 2800.0      49.6855163548315
 2900.0      49.6970143844704
 3000.0      49.7051160584913
 3100.0      49.7144120098704
 3200.0      49.7213094043283
 3300.0      49.7287994612054
 3400.0      49.7356400552871
 3500.0      49.7407578741114
 3600.0      49.7460973084837
 3700.0      49.7517367304993
 3800.0      49.7554221629204
 3900.0      49.7607936804171
 4000.0      49.7638756568363
 4100.0      49.7673666472239
 4200.0      49.7722108257868
 4300.0      49.7733979589001
 4400.0      49.7779072504806
 4500.0      49.7797566534816
 4600.0      49.7829760742260
 4700.0      49.7865553331271
 4800.0      49.7862726020773
 4900.0      49.7899866999305
 5000.0      49.7894655565439
 5100.0      49.8028894833547
 5200.0      49.7824977842710
 5300.0      49.8111020732260
 5400.0      49.7860648641950
 5500.0      49.8097858943733
 5600.0      49.7987277211406
 5700.0      49.8063199789511
 5800.0      49.8010931798529
 5900.0      49.8120222766140
 6000.0      49.7943354615096
# P = 1.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.0074228363590
  200.0      33.7004462844985
  300.0      39.1930788042956
  400.0      43.6936082468535
  500.0      45.4715844519136
  600.0      46.7747262165989
  700.0      47.5183884756354
  800.0      48.0455967662743
  900.0      48.4063778290492
 1000.0      48.6713717774669
 1100.0      48.8689062352957
 1200.0      49.0208113434127
 1300.0      49.1394660378612
 1400.0      49.2344959609242
 1500.0      49.3110822962217
 1600.0      49.3744975061917
 1700.0      49.4262924525782
 1800.0      49.4710801147703
 1900.0      49.5076397330092
 2000.0      49.5402884376552
 2100.0      49.5670567623622
 2200.0      49.5914407874202
 2300.0      49.6124458129990
 2400.0      49.6300274981460
 2500.0      49.6467463658319
 2600.0      49.6612124090994
 2700.0      49.6739640252751
 2800.0      49.6848311026534
 2900.0      49.6963108435856
 3000.0      49.7044657533400
 3100.0      49.7137480906740
 3200.0      49.7206779362357
 3300.0      49.7281641555367
 3400.0      49.7350000430407
 3500.0      49.7401461588352
 3600.0      49.7454879870253
 3700.0      49.7511244291272
 3800.0      49.7548232006068
 3900.0      49.7601745780802
 4000.0      49.7632751915679
 4100.0      49.7667826936363
 4200.0      49.7715667440495
 4300.0      49.7728263472858
 4400.0      49.7772864171856
 4500.0      49.7791492128017
 4600.0      49.7823528178602
 4700.0      49.7858986987239
 4800.0      49.7856717942207
 4900.0      49.7893569051039
 5000.0      49.7888982227327
 5100.0      49.8019272859241
 5200.0      49.7822928983543
 5300.0      49.8099532785728
 5400.0      49.7858488262367
 5500.0      49.8087645890731
 5600.0      49.7981579889104
 5700.0      49.8055140260757
 5800.0      49.8004696468906
 5900.0      49.8112524951090
 6000.0      49.7934071915127
# P = 2.000000 (GPa)
    1.0       1.0000000000000
  100.0      14.9909541826098
  200.0      33.6760794521227
  300.0      39.1777456084276
  400.0      43.6818874427343
  500.0      45.4632978432831
  600.0      46.7682628981555
  700.0      47.5133063948320
  800.0      48.0414381199870
  900.0      48.4029168115692
 1000.0      48.6684331315775
 1100.0      48.8663765206933
 1200.0      49.0186046293149
 1300.0      49.1375311608196
 1400.0      49.2327751247002
 1500.0      49.3095545046736
 1600.0      49.3731158162714
 1700.0      49.4250581887748
 1800.0      49.4699325345498
 1900.0      49.5066032145669
 2000.0      49.5393073519968
 2100.0      49.5661586461609
 2200.0      49.5905843342925
 2300.0      49.6116284653213
 2400.0      49.6292706153009
 2500.0      49.6460040245853
 2600.0      49.6604979114205
 2700.0      49.6732707712206
 2800.0      49.6841757507043
 2900.0      49.6956383035710
 3000.0      49.7038444210484
 3100.0      49.7131140267260
 3200.0      49.7200752066573
 3300.0      49.7275580364993
 3400.0      49.7343897778715
 3500.0      49.7395634497857
 3600.0      49.7449081896039
 3700.0      49.7505423551875
 3800.0      49.7542546308222
 3900.0      49.7595873889805
 4000.0      49.7627065109902
 4100.0      49.7662303978872
 4200.0      49.7709579527816
 4300.0      49.7722872144681
 4400.0      49.7767012794985
 4500.0      49.7785775571096
 4600.0      49.7817669811985
 4700.0      49.7852819841937
 4800.0      49.7851090031796
 4900.0      49.7887672829604
 5000.0      49.7883685759588
 5100.0      49.8010252754966
 5200.0      49.7821067797501
 5300.0      49.8088768768013
 5400.0      49.7856530435452
 5500.0      49.8078099749103
 5600.0      49.7976295411301
 5700.0      49.8047635009873
 5800.0      49.7998913898739
 5900.0      49.8105367206346
 6000.0      49.7925422603832
# P = 3.000000 (GPa)
    1.0       1.0000000000000
  100.0      14.9767007716974
  200.0      33.6549473910530
  300.0      39.1643826913825
  400.0      43.6715946557999
  500.0      45.4559463961794
  600.0      46.7624665690347
  700.0      47.5086995887109
  800.0      48.0376286962709
  900.0      48.3997135740024
 1000.0      48.6656854759718
 1100.0      48.8639869821647
 1200.0      49.0164986389428
 1300.0      49.1356650471081
 1400.0      49.2310973340413
 1500.0      49.3080486066046
 1600.0      49.3717419357724
 1700.0      49.4238255505466
 1800.0      49.4687871300197
 1900.0      49.5055717848587
 2000.0      49.5383348737752
 2100.0      49.5652719436557
 2200.0      49.5897424310770
 2300.0      49.6108286721079
 2400.0      49.6285334669098
 2500.0      49.6452846818335
 2600.0      49.6598090277638
 2700.0      49.6726053199429
 2800.0      49.6835485054633
 2900.0      49.6949954729547
 3000.0      49.7032509084212
 3100.0      49.7125086180519
 3200.0      49.7195000399689
 3300.0      49.7269798872074
 3400.0      49.7338079247380
 3500.0      49.7390082195773
 3600.0      49.7443560743564
 3700.0      49.7499883926623
 3800.0      49.7537142019639
 3900.0      49.7590296983143
 4000.0      49.7621671644685
 4100.0      49.7657072747487
 4200.0      49.7703816446247
 4300.0      49.7717779174097
 4400.0      49.7761488915278
 4500.0      49.7780386774576
 4600.0      49.7812153638360
 4700.0      49.7847017268657
 4800.0      49.7845808714580
 4900.0      49.7882143062275
 5000.0      49.7878733321527
 5100.0      49.8001785182087
 5200.0      49.7819376783117
 5300.0      49.8078673834240
 5400.0      49.7854756903426
 5500.0      49.8069172953751
 5600.0      49.7971393253526
 5700.0      49.8040646239929
 5800.0      49.7993553135372
 5900.0      49.8098715293874
 6000.0      49.7917369577103
# P = 4.000000 (GPa)
    1.0       1.0000000000000
  100.0      14.9643642376367
  200.0      33.6366634098025
  300.0      39.1528292329620
  400.0      43.6627031874102
  500.0      45.4495860529565
  600.0      46.7574247524867
  700.0      47.5046545601741
  800.0      48.0342452891729
  900.0      48.3968352910427
 1000.0      48.6631889129930
 1100.0      48.8617923243695
 1200.0      49.0145439963668
 1300.0      49.1339149740407
 1400.0      49.2295075265546
 1500.0      49.3066066303302
 1600.0      49.3704122342077
 1700.0      49.4226191965019
 1800.0      49.4676546934617
 1900.0      49.5045447881817
 2000.0      49.5373649050939
 2100.0      49.5643892732200
 2200.0      49.5889074471188
 2300.0      49.6100386214951
 2400.0      49.6278083090098
 2500.0      49.6445802307020
 2600.0      49.6591375396506
 2700.0      49.6719598549664
 2800.0      49.6829431822579
 2900.0      49.6943780767289
 3000.0      49.7026829931962
 3100.0      49.7119304512718
 3200.0      49.7189512648238
 3300.0      49.7264285126890
 3400.0      49.7332532582775
 3500.0      49.7384792581537
 3600.0      49.7438303639046
 3700.0      49.7494611008259
 3800.0      49.7532002120660
 3900.0      49.7584994811298
 4000.0      49.7616549827928
 4100.0      49.7652110975237
 4200.0      49.7698353064665
 4300.0      49.7712960952764
 4400.0      49.7756266264158
 4500.0      49.7775298961550
 4600.0      49.7806951234760
 4700.0      49.7841548543793
 4800.0      49.7840844061703
 4900.0      49.7876947671403
 5000.0      49.7874094137045
 5100.0      49.7993821904212
 5200.0      49.7817839365739
 5300.0      49.8069192468661
 5400.0      49.7853150164552
 5500.0      49.8060817002938
 5600.0      49.7966842687958
 5700.0      49.8034135195123
 5800.0      49.7988582489180
 5900.0      49.8092533542898
 6000.0      49.7909873441283
# P = 5.000000 (GPa)
    1.0       1.0000000000000
  100.0      14.9536222011731
  200.0      33.6207496642253
  300.0      39.1427843808463
  400.0      43.6549898489620
  500.0      45.4440799895360
  600.0      46.7530696486536
  700.0      47.5011639693924
  800.0      48.0313196290981
  900.0      48.3943293646196
 1000.0      48.6609920885262
 1100.0      48.8598376639629
 1200.0      49.0127825195693
 1300.0      49.1323200495399
 1400.0      49.2280429215450
 1500.0      49.3052640817934
 1600.0      49.3691612487436
 1700.0      49.4214722581263
 1800.0      49.4665666052704
 1900.0      49.5035470999764
 2000.0      49.5364122821014
 2100.0      49.5635144388256
 2200.0      49.5880760835552
 2300.0      49.6092522651059
 2400.0      49.6270887424355
 2500.0      49.6438839678152
 2600.0      49.6584765705774
 2700.0      49.6713272802105
 2800.0      49.6823526624035
 2900.0      49.6937786544654
 3000.0      49.7021343821753
 3100.0      49.7113747141827
 3200.0      49.7184260831179
 3300.0      49.7259022728277
 3400.0      49.7327245264129
 3500.0      49.7379753808059
 3600.0      49.7433298504224
 3700.0      49.7489592534862
 3800.0      49.7527113990403
 3900.0      49.7579953420956
 4000.0      49.7611683733376
 4100.0      49.7647400518294
 4200.0      49.7693167450725
 4300.0      49.7708396390605
 4400.0      49.7751321340210
 4500.0      49.7770488222322
 4600.0      49.7802037269455
 4700.0      49.7836386333169
 4800.0      49.7836169512963
 4900.0      49.7872058232535
 5000.0      49.7869740891091
 5100.0      49.7986319332275
 5200.0      49.7816440519973
 5300.0      49.8060270830893
 5400.0      49.7851693737323
 5500.0      49.8052983150019
 5600.0      49.7962613214911
 5700.0      49.8028062784751
 5800.0      49.7983970104013
 5900.0      49.8086785583963
 6000.0      49.7902893441268
# P = 6.000000 (GPa)
    1.0       1.0000000000000
  100.0      14.9441904321241
  200.0      33.6067850777506
  300.0      39.1339824079850
  400.0      43.6482499276102
  500.0      45.4392819326120
  600.0      46.7492856296447
  700.0      47.4981393322015
  800.0      48.0287910186981
  900.0      48.3921683170929
 1000.0      48.6590984041011
 1100.0      48.8581468408093
 1200.0      49.0112457475211
 1300.0      49.1309122883547
 1400.0      49.2267341848663
 1500.0      49.3040502610753
 1600.0      49.3680175181581
 1700.0      49.4204122096293
 1800.0      49.4655502916310
 1900.0      49.5026053206262
 2000.0      49.5355035337641
