# T (K)      C_V_V (J K^-1 mol^-1)
# V = 188.447500 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.5377357893534
  200.0      34.4524105194324
  300.0      39.6384977528068
  400.0      44.0172444001063
  500.0      45.6879881844698
  600.0      46.9352391196516
  700.0      47.6385249453535
  800.0      48.1395030649605
  900.0      48.4812263848528
 1000.0      48.7324335004758
 1100.0      48.9195725452165
 1200.0      49.0635626088237
 1300.0      49.1758449643023
 1400.0      49.2660332725300
 1500.0      49.3384601910705
 1600.0      49.3987654355532
 1700.0      49.4475045887658
 1800.0      49.4903660121410
 1900.0      49.5246110051571
 2000.0      49.5559206274237
 2100.0      49.5809295778043
 2200.0      49.6042376234717
 2300.0      49.6242210827378
 2400.0      49.6404991867713
 2500.0      49.6565808396603
 2600.0      49.6702371798520
 2700.0      49.6822870395819
 2800.0      49.6922885331033
 2900.0      49.7035451483641
 3000.0      49.7107682927902
 3100.0      49.7197920271052
 3200.0      49.7260621444605
 3300.0      49.7332159856015
 3400.0      49.7397258702462
 3500.0      49.7443220785305
 3600.0      49.7493105048079
 3700.0      49.7546295141310
 3800.0      49.7579311112368
 3900.0      49.7630567312302
 4000.0      49.7657584978716
 4100.0      49.7688987785435
 4200.0      49.7735755111627
 4300.0      49.7743288956663
 4400.0      49.7786185130324
 4500.0      49.7801666340414
 4600.0      49.7831102790015
 4700.0      49.7864026968807
 4800.0      49.7858710316381
 4900.0      49.7892990842692
 5000.0      49.7886132935701
 5100.0      49.8010569275617
 5200.0      49.7820375040249
 5300.0      49.8080319753277
 5400.0      49.7854312257180
 5500.0      49.8063254449134
 5600.0      49.7966249238232
 5700.0      49.8030619255718
 5800.0      49.7983947199597
 5900.0      49.8084385702050
 6000.0      49.7897180420717
# V = 187.664626 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.4271158088854
  200.0      34.2968654384799
  300.0      39.5469857392286
  400.0      43.9500931866088
  500.0      45.6426558560017
  600.0      46.9010954534429
  700.0      47.6125532620251
  800.0      48.1188252747135
  900.0      48.4644215004897
 1000.0      48.7184375408019
 1100.0      48.9077054477371
 1200.0      49.0533209310364
 1300.0      49.1669263760730
 1400.0      49.2581136776522
 1500.0      49.3314168249006
 1600.0      49.3923632975943
 1700.0      49.4417669070785
 1800.0      49.4850094843586
 1900.0      49.5197723091788
 2000.0      49.5513385377184
 2100.0      49.5767486453936
 2200.0      49.6002670603121
 2300.0      49.6204560013667
 2400.0      49.6370460841736
 2500.0      49.6532304972773
 2600.0      49.6670571692342
 2700.0      49.6792482357995
 2800.0      49.6894623369860
 2900.0      49.7006939115424
 3000.0      49.7081787030704
 3100.0      49.7171972591039
 3200.0      49.7236392725189
 3300.0      49.7308262922552
 3400.0      49.7373672625958
 3500.0      49.7421131217879
 3600.0      49.7471572538736
 3700.0      49.7525152837073
 3800.0      49.7559089912413
 3900.0      49.7610182291858
 4000.0      49.7638289848891
 4100.0      49.7670697638032
 4200.0      49.7716125602332
 4300.0      49.7726326766660
 4400.0      49.7768280727176
 4500.0      49.7784650271245
 4600.0      49.7814157545375
 4700.0      49.7846704477598
 4800.0      49.7843380475916
 4900.0      49.7877415677118
 5000.0      49.7872612813474
 5100.0      49.7988085947373
 5200.0      49.7816195613170
 5300.0      49.8055072934362
 5400.0      49.7850326136774
 5500.0      49.8042365781260
 5600.0      49.7955396569450
 5700.0      49.8015476691373
 5800.0      49.7972912134609
 5900.0      49.8071033018667
 6000.0      49.7881438005087
# V = 186.881753 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.3173628979415
  200.0      34.1415138858964
  300.0      39.4548676631884
  400.0      43.8824571940993
  500.0      45.5969149118286
  600.0      46.8666626767137
  700.0      47.5863710300264
  800.0      48.0980010102667
  900.0      48.4475161616896
 1000.0      48.7043768010265
 1100.0      48.8958008532195
 1200.0      49.0430636094479
 1300.0      49.1580083563679
 1400.0      49.2502094344439
 1500.0      49.3243990599136
 1600.0      49.3859974458047
 1700.0      49.4360709248048
 1800.0      49.4797039409536
 1900.0      49.5149873452833
 2000.0      49.5468174778949
 2100.0      49.5726303296006
 2200.0      49.5963639310600
 2300.0      49.6167622460893
 2400.0      49.6336639703635
 2500.0      49.6499557259479
 2600.0      49.6639542379904
 2700.0      49.6762885691061
 2800.0      49.6867145981231
 2900.0      49.6979262985483
 3000.0      49.7056696533300
 3100.0      49.7146868417944
 3200.0      49.7212995755263
 3300.0      49.7285217193985
 3400.0      49.7350955772338
 3500.0      49.7399895982324
 3600.0      49.7450904544361
 3700.0      49.7504875730397
 3800.0      49.7539739167802
 3900.0      49.7590680246746
 4000.0      49.7619869046957
 4100.0      49.7653265277316
 4200.0      49.7697403796065
 4300.0      49.7710212038434
 4400.0      49.7751261607694
 4500.0      49.7768503763208
 4600.0      49.7798089868684
 4700.0      49.7830269879346
 4800.0      49.7828909226421
 4900.0      49.7862695181811
 5000.0      49.7859911174228
 5100.0      49.7966647928508
 5200.0      49.7812607794742
 5300.0      49.8030947863065
 5400.0      49.7846933329173
 5500.0      49.8022498602765
 5600.0      49.7945310837169
 5700.0      49.8001217417229
 5800.0      49.7962655943003
 5900.0      49.8058517672603
 6000.0      49.7866592917325
# V = 186.098879 (a.u.^3)
    0.0      -0.0000000000000
  100.0      15.2084904955053
  200.0      33.9863590315003
  300.0      39.3621370711498
  400.0      43.8143290545393
  500.0      45.5507585328881
