# T/K      Debye temperature
# V= 188.4475000000000
 100.000               517.7
 200.000               608.0
 300.000               632.7
 400.000               642.6
 500.000               648.1
 600.000               652.1
 700.000               655.3
 800.000               658.4
 900.000               661.5
1000.000               664.6
1100.000               668.0
1200.000               671.5
1300.000               675.2
1400.000               679.1
1500.000               683.3
1600.000               687.7
1700.000               692.3
1800.000               697.2
1900.000               702.2
2000.000               707.6
2100.000               713.1
2200.000               718.8
2300.000               724.8
2400.000               730.9
2500.000               737.3
2600.000               743.9
2700.000               750.6
2800.000               757.6
2900.000               764.7
3000.000               772.0
3100.000               779.5
3200.000               787.1
3300.000               795.0
3400.000               802.9
3500.000               811.1
3600.000               819.4
3700.000               827.8
3800.000               836.4
3900.000               845.1
4000.000               853.9
4100.000               862.9
4200.000               872.0
4300.000               881.2
4400.000               890.5
4500.000               900.0
4600.000               909.5
4700.000               919.2
4800.000               929.0
4900.000               938.8
5000.000               948.8
5100.000               958.9
5200.000               969.0
5300.000               979.3
5400.000               989.6

# V= 183.1165000000000
 100.000               531.1
 200.000               629.1
 300.000               656.3
 400.000               666.9
 500.000               672.3
 600.000               675.8
 700.000               678.4
 800.000               680.6
 900.000               682.6
1000.000               684.6
1100.000               686.7
1200.000               688.7
1300.000               690.9
1400.000               693.2
1500.000               695.6
1600.000               698.1
1700.000               700.7
1800.000               703.5
1900.000               706.4
2000.000               709.4
2100.000               712.6
2200.000               715.9
2300.000               719.3
2400.000               722.8
2500.000               726.5
2600.000               730.3
2700.000               734.2
2800.000               738.3
2900.000               742.4
3000.000               746.7
3100.000               751.1
3200.000               755.7
3300.000               760.3
3400.000               765.0
3500.000               769.9
3600.000               774.9
3700.000               779.9
3800.000               785.1
3900.000               790.4
4000.000               795.8
4100.000               801.2
4200.000               806.8
4300.000               812.5
4400.000               818.2
4500.000               824.1
4600.000               830.0
4700.000               836.0
4800.000               842.2
4900.000               848.3
5000.000               854.6
5100.000               861.0
5200.000               867.4
5300.000               873.9
5400.000               880.5
5500.000               887.1
5600.000               893.9
5700.000               900.7
5800.000               907.5
5900.000               914.4
6000.000               921.4

# V= 177.8865000000000
 100.000               545.3
 200.000               652.3
 300.000               682.4
 400.000               693.7
 500.000               699.0
 600.000               701.8
 700.000               703.4
 800.000               704.4
 900.000               705.1
1000.000               705.4
1100.000               705.6
1200.000               705.7
1300.000               705.7
1400.000               705.6
1500.000               705.5
1600.000               705.3
1700.000               705.1
1800.000               704.8
1900.000               704.5
2000.000               704.1
2100.000               703.7
2200.000               703.3
2300.000               702.9
2400.000               702.5
2500.000               702.0
2600.000               701.5
2700.000               700.9
2800.000               700.4
2900.000               699.8
3000.000               699.2
3100.000               698.5
3200.000               697.9
3300.000               697.2
3400.000               696.5
3500.000               695.8
3600.000               695.0
3700.000               694.3
3800.000               693.5
3900.000               692.7
4000.000               691.8
4100.000               691.0
4200.000               690.1
4300.000               689.2
4400.000               688.2
4500.000               687.3
4600.000               686.3
4700.000               685.3
4800.000               684.3
4900.000               683.2
