# P (GPa)      H (Ry.)
     0.00      -0.8841038108421
     1.00      -0.8729603559145
     2.00      -0.8618770498581
     3.00      -0.8508523221701
     4.00      -0.8398846745886
     5.00      -0.8289726763510
     6.00      -0.8181149598935
     7.00      -0.8073102169031
     8.00      -0.7965571946830
     9.00      -0.7858546927986
    10.00      -0.7752015599791
    11.00      -0.7645966912596
    12.00      -0.7540390253815
    13.00      -0.7435275423433
    14.00      -0.7330612611141
    15.00      -0.7226392374923
    16.00      -0.7122605620842
    17.00      -0.7019243584028
    18.00      -0.6916297814655
    19.00      -0.6813760162725
    20.00      -0.6711622759271
    21.00      -0.6609878000442
    22.00      -0.6508518539740
    23.00      -0.6407537279413
    24.00      -0.6306927348686
    25.00      -0.6206682093390
    26.00      -0.6106795080866
    27.00      -0.6007260075461
    28.00      -0.5908071026260
    29.00      -0.5809222080341
    30.00      -0.5710707552345
    31.00      -0.5612521921452
    32.00      -0.5514659842813
    33.00      -0.5417116108312
    34.00      -0.5319885671845
    35.00      -0.5222963625330
    36.00      -0.5126345190324
    37.00      -0.5030025735833
    38.00      -0.4934000734322
    39.00      -0.4838265804699
    40.00      -0.4742816657371
