# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 188.447500 (a.u.^3)
    5.0       0.0054771741783
  100.0      10.0382214439440
  200.0      27.3018256943718
  300.0      42.2061123132741
  400.0      54.3719317113375
  500.0      64.4187507225993
  600.0      72.9016628078429
  700.0      80.2130919628057
  800.0      86.6242015140586
  900.0      92.3257533698165
 1000.0      97.4554983064351
 1100.0     102.1155282495675
 1200.0     106.3833223436088
 1300.0     110.3189293296104
 1400.0     113.9697565278054
 1500.0     117.3738436450804
 1600.0     120.5621537171549
 1700.0     123.5602109474814
 1800.0     126.3892945979594
 1900.0     129.0673247008875
 2000.0     131.6095296813320
 2100.0     134.0289569036024
 2200.0     136.3368682525705
 2300.0     138.5430503246952
 2400.0     140.6560603352675
 2500.0     142.6834230289237
 2600.0     144.6317898174163
 2700.0     146.5070684898321
 2800.0     148.3145297727455
 2900.0     150.0588955137253
 3000.0     151.7444121545743
 3100.0     153.3749123368814
 3200.0     154.9538668631002
 3300.0     156.4844287662272
 3400.0     157.9694708810784
 3500.0     159.4116180320145
 3600.0     160.8132747354355
 3700.0     162.1766491454928
 3800.0     163.5037738373141
 3900.0     164.7965239153131
 4000.0     166.0566328487925
 4100.0     167.2857063683041
 4200.0     168.4852347005765
 4300.0     169.6566033745396
 4400.0     170.8011027939032
 4500.0     171.9199367412913
 4600.0     173.0142299537693
 4700.0     174.0850348887208
 4800.0     175.1333377816493
 4900.0     176.1600640829227
 5000.0     177.1660833482704
 5100.0     178.1522136475361
 5200.0     179.1192255474946
 5300.0     180.0678457171342
 5400.0     180.9987601975208
 5500.0     181.9126173729817
 5600.0     182.8100306757346
 5700.0     183.6915810521404
 5800.0     184.5578192153299
 5900.0     185.4092677060277
 6000.0     186.2464227808240
# V = 183.116500 (a.u.^3)
    5.0       0.0043043554045
  100.0       9.4493113271496
  200.0      26.1139832899940
  300.0      40.7117570646373
  400.0      52.7306329358275
  500.0      62.7007828063204
  600.0      71.1400719641542
  700.0      78.4249172684893
  800.0      84.8189587622065
  900.0      90.5091120342712
 1000.0      95.6310168541303
 1100.0     100.2855365867791
 1200.0     104.5493997846118
 1300.0     108.4821776046009
 1400.0     112.1309628897145
 1500.0     115.5335821270424
 1600.0     118.7208501037591
 1700.0     121.7181856752428
 1800.0     124.5467918015993
 1900.0     127.2245323186014
 2000.0     129.7665936463914
 2100.0     132.1859913380771
 2200.0     134.4939629048137
 2300.0     136.7002760727699
 2400.0     138.8134733113872
 2500.0     140.8410677463121
 2600.0     142.7897015658891
 2700.0     144.6652751887869
 2800.0     146.4730534170664
 2900.0     148.2177533111224
 3000.0     149.9036174268263
 3100.0     151.5344752388401
 3200.0     153.1137949598869
 3300.0     154.6447274992520
 3400.0     156.1301439462857
 3500.0     157.5726676883754
 3600.0     158.9747020576714
 3700.0     160.3384542319626
 3800.0     161.6659559816510
 3900.0     162.9590817486203
 4000.0     164.2195644578076
 4100.0     165.4490093938632
 4200.0     166.6489064198703
 4300.0     167.8206407699718
 4400.0     168.9655026108443
 4500.0     170.0846955365961
 4600.0     171.1793441365806
 4700.0     172.2505007548247
 4800.0     173.2991515424132
 4900.0     174.3262218896787
 5000.0     175.3325813128574
 5100.0     176.3190478595955
 5200.0     177.2863920890186
 5300.0     178.2353406746810
 5400.0     179.1665796724515
 5500.0     180.0807574900104
 5600.0     180.9784875900446
 5700.0     181.8603509552760
 5800.0     182.7268983400444
 5900.0     183.5786523302383
 6000.0     184.4161092308053
# V = 177.886500 (a.u.^3)
    5.0       0.0037106878542
  100.0       8.8486084500236
  200.0      24.8824571087803
  300.0      39.1412028063784
  400.0      50.9943216196437
  500.0      60.8775175381056
  600.0      69.2674067495306
  700.0      76.5223260930554
  800.0      82.8973378017782
  900.0      88.5749507210489
 1000.0      93.6883803493857
 1100.0      98.3370780520309
 1200.0     102.5969099468028
 1300.0     106.5268990286193
 1400.0     110.1737778079184
 1500.0     113.5751290172730
 1600.0     116.7615984374472
 1700.0     119.7584852184917
 1800.0     122.5869059462004
 1900.0     125.2646611120348
 2000.0     127.8068900141339
 2100.0     130.2265727084500
 2200.0     132.5349196682327
 2300.0     134.7416778229416
 2400.0     136.8553735076575
 2500.0     138.8835072359532
 2600.0     140.8327112723580
 2700.0     142.7088781825225
 2800.0     144.5172665241325
 2900.0     146.2625883724545
 3000.0     147.9490822908740
 3100.0     149.5805745490338
 3200.0     151.1605307829576
 3300.0     152.6920998292009
 3400.0     154.1781511105283
 3500.0     155.6213066764512
 3600.0     157.0239687882926
 3700.0     158.3883437707003
 3800.0     159.7164627189068
 3900.0     161.0101995454905
 4000.0     162.2712867658839
 4100.0     163.5013293537898
 4200.0     164.7018169425133
 4300.0     165.8741346033240
 4400.0     167.0195723951764
 4500.0     168.1393338499024
 4600.0     169.2345435319900
 4700.0     170.3062537913392
 4800.0     171.3554508101015
 4900.0     172.3830600302468
 5000.0     173.3899510363595
 5100.0     174.3769419579239
 5200.0     175.3448034466959
 5300.0     176.2942622773949
 5400.0     177.2260046136988
 5500.0     178.1406789761586
 5600.0     179.0388989440666
 5700.0     179.9212456193752
 5800.0     180.7882698773536
 5900.0     181.6404944257438
 6000.0     182.4784156916258
# V = 172.724000 (a.u.^3)
    5.0       0.0030573280921
  100.0       8.3437356419000
  200.0      23.7744618199750
  300.0      37.6688675414380
  400.0      49.3270191514835
  500.0      59.0982758910407
  600.0      67.4179015968534
  700.0      74.6252169398258
  800.0      80.9659328375846
  900.0      86.6175960636534
 1000.0      91.7106035510602
 1100.0      96.3427098520459
 1200.0     100.5887080498997
 1300.0     104.5069135812729
 1400.0     108.1435753747993
 1500.0     111.5359352747272
 1600.0     114.7143922037611
 1700.0     117.7040622763173
 1800.0     120.5259235062138
 1900.0     123.1976695152514
 2000.0     125.7343558075929
 2100.0     128.1488957563358
 2200.0     130.4524460544023
 2300.0     132.6547097287670
 2400.0     134.7641768794054
 2500.0     136.7883178119099
 2600.0     138.7337393756805
 2700.0     140.6063125733023
 2800.0     142.4112775258221
 2900.0     144.1533304324403
 3000.0     145.8366960952846
 3100.0     147.4651887830573
 3200.0     149.0422636067549
 3300.0     150.5710601237706
 3400.0     152.0544395360473
 3500.0     153.4950165766525
 3600.0     154.8951869675766
 3700.0     156.2571511653768
 3800.0     157.5829349798355
 3900.0     158.8744075461551
 4000.0     160.1332970473714
 4100.0     161.3612045161128
 4200.0     162.5596159900887
 4300.0     163.7299132510951
 4400.0     164.8733833408114
 4500.0     165.9912270166259
 4600.0     167.0845662858986
 4700.0     168.1544511364616
 4800.0     169.2018655639780
 4900.0     170.2277329824018
 5000.0     171.2329210917035
 5100.0     172.2182462668350
 5200.0     173.1844775232951
 5300.0     174.1323401073293
 5400.0     175.0625187525735
 5500.0     175.9756606396114
 5600.0     176.8723780903610
 5700.0     177.7532510252700
 5800.0     178.6188292079283
 5900.0     179.4696342987693
 6000.0     180.3061617370061
# V = 167.696500 (a.u.^3)
    5.0       0.0026724976195
  100.0       7.9781040886974
  200.0      22.9078150608984
  300.0      36.4934196239278
  400.0      47.9928063934354
  500.0      57.6797582039235
  600.0      65.9518133271463
  700.0      73.1308793555967
  800.0      79.4542006113262
  900.0      85.0949204852520
 1000.0      90.1809997689054
 1100.0      94.8087719410652
 1200.0      99.0521632807305
 1300.0     102.9689402418867
 1400.0     106.6049928259290
 1500.0     109.9973217819690
 1600.0     113.1761603088767
 1700.0     116.1665083346675
 1800.0     118.9892610263422
 1900.0     121.6620520692819
 2000.0     124.1998930668043
 2100.0     126.6156648989328
 2200.0     128.9204999990894
 2300.0     131.1240831541574
 2400.0     133.2348906752968
 2500.0     135.2603824045989
 2600.0     137.2071572346779
 2700.0     139.0810801161290
 2800.0     140.8873865756326
 2900.0     142.6307693403030
 3000.0     144.3154506088175
 3100.0     145.9452427217161
 3200.0     147.5235993886828
 3300.0     149.0536591779498
 3400.0     150.5382826253030
 3500.0     151.9800840510004
 3600.0     153.3814589628863
 3700.0     154.7446077589208
 3800.0     156.0715563117228
 3900.0     157.3641739136804
 4000.0     158.6241889778065
 4100.0     159.8532028223007
 4200.0     161.0527018122954
 4300.0     162.2240680878716
 4400.0     163.3685890710613
 4500.0     164.4874659146365
 4600.0     165.5818210307513
 4700.0     166.6527048169585
 4800.0     167.7011016800028
 4900.0     168.7279354434619
 5000.0     169.7340742132480
 5100.0     170.7203347648458
 5200.0     171.6874865075385
 5300.0     172.6362550735951
 5400.0     173.5673255741599
 5500.0     174.4813455582665
 5600.0     175.3789277068534
 5700.0     176.2606522897280
 5800.0     177.1270694100555
 5900.0     177.9787010580285
 6000.0     178.8160429928450
# V = 162.770000 (a.u.^3)
    5.0       0.0017889052543
  100.0       7.5049944845637
  200.0      21.8202844207436
  300.0      35.0100319302997
  400.0      46.2977851767469
  500.0      55.8676228224667
  600.0      64.0703142017329
  700.0      71.2056703305423
  800.0      77.5000088596511
  900.0      83.1207065516665
 1000.0      88.1924883902632
 1100.0      92.8097726792470
 1200.0      97.0452993557599
 1300.0     100.9560709081240
 1400.0     104.5874687252391
 1500.0     107.9761450846015
 1600.0     111.1520884002600
 1700.0     114.1401228527908
 1800.0     116.9610149751187
 1900.0     119.6323026802795
 2000.0     122.1689251712898
 2100.0     124.5837078434927
 2200.0     126.8877400825652
 2300.0     129.0906729028763
 2400.0     131.2009558505032
 2500.0     133.2260273594764
 2600.0     135.1724690542162
 2700.0     137.0461318483384
 2800.0     138.8522397767493
 2900.0     140.5954760966690
 3000.0     142.2800551556858
 3100.0     143.9097827488035
 3200.0     145.4881071002557
 3300.0     147.0181621590488
 3400.0     148.5028045537543
 3500.0     149.9446452859136
 3600.0     151.3460770335928
 3700.0     152.7092977731780
 3800.0     154.0363312980783
 3900.0     155.3290451098579
