# T (K)    Entropy (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    0.0      -3.1434485052790
  100.0       8.3076321306580
  200.0      22.0790303046598
  300.0      35.6731909200324
  400.0      47.0653059552316
  500.0      56.7943253671231
  600.0      65.1316565398620
  700.0      72.4051723291719
  800.0      78.8366338297473
  900.0      84.5960804273023
 1000.0      89.8083260114735
 1100.0      94.5682471126915
 1200.0      98.9487839693743
 1300.0     103.0071367074623
 1400.0     106.7888277718655
 1500.0     110.3306440073260
 1600.0     113.6626949683839
 1700.0     116.8099312880676
 1800.0     119.7932332873741
 1900.0     122.6302548702765
 2000.0     125.3360662641533
 2100.0     127.9236093489403
 2200.0     130.4041143171579
 2300.0     132.7873558158053
 2400.0     135.0819355535258
 2500.0     137.2954400455382
 2600.0     139.4345985771588
 2700.0     141.5054296761277
 2800.0     143.5133330560086
 2900.0     145.4631686580071
 3000.0     147.3593414861238
 3100.0     149.2058623812117
 3200.0     151.0063880916463
 3300.0     152.7642789031481
 3400.0     154.4826302957086
 3500.0     156.1643048563721
 3600.0     157.8119593018354
 3700.0     159.4280832993796
 3800.0     161.0149956998237
 3900.0     162.5748873720694
 4000.0     164.1098304142533
 4100.0     165.6217801722726
 4200.0     167.1126263797651
 4300.0     168.5841556748672
 4400.0     170.0380980156873
 4500.0     171.4761487811096
 4600.0     172.8999300119399
 4700.0     174.3108581046133
 4800.0     175.7101169738762
 4900.0     177.0988925387308
 5000.0     178.4783025355696
 5100.0     179.8495900728915
 5200.0     181.2135147242820
 5300.0     182.5713143265150
 5400.0     183.9238837132204
 5500.0     185.2721153417395
 5600.0     186.6171426488994
 5700.0     187.9596204311855
 5800.0     189.3005060708075
 5900.0     190.6407040367391
 6000.0     191.9809060348405
# P = 1.000000 (GPa)
    0.0      -3.1227052610056
  100.0       8.2394411773735
  200.0      21.9229494176721
  300.0      35.4497856562429
  400.0      46.8036588759430
  500.0      56.5085848374698
  600.0      64.8294888350950
  700.0      72.0905807353314
  800.0      78.5119074295095
  900.0      84.2625501590466
 1000.0      89.4667903462438
 1100.0      94.2191814331063
 1200.0      98.5924611070796
 1300.0     102.6436953692347
 1400.0     106.4183156347882
 1500.0     109.9530421023332
 1600.0     113.2779349255053
 1700.0     116.4179095712581
 1800.0     119.3938100004898
 1900.0     122.2232725776915
 2000.0     124.9213351023568
 2100.0     127.5009291592342
 2200.0     129.9732603729715
 2300.0     132.3480830733369
 2400.0     134.6339913366640
 2500.0     136.8385433358826
 2600.0     138.9684551919915
 2700.0     141.0297301320918
 2800.0     143.0277436530006
 2900.0     144.9673380974806
 3000.0     146.8529011977269
 3100.0     148.6884181877534
 3200.0     150.4775226832687
 3300.0     152.2235537352745
 3400.0     153.9295771660849
 3500.0     155.5984291414069
 3600.0     157.2327375999001
 3700.0     158.8349585172500
 3800.0     160.4073768955157
 3900.0     161.9521450088735
 4000.0     163.4712947727407
 4100.0     164.9667405699631
 4200.0     166.4403199015516
 4300.0     167.8937697949479
 4400.0     169.3287702149357
 4500.0     170.7469398329645
 4600.0     172.1498444835028
 4700.0     173.5390291045893
 4800.0     174.9159844340328
 4900.0     176.2820514909563
 5000.0     177.6383378137292
 5100.0     178.9860491363374
 5200.0     180.3259865465863
 5300.0     181.6593392349394
 5400.0     182.9870035163050
 5500.0     184.3098730977583
 5600.0     185.6290346385904
 5700.0     186.9451733643820
 5800.0     188.2592175476960
 5900.0     189.5720657921435
 6000.0     190.8843786297170
# P = 2.000000 (GPa)
    0.0      -3.1032981002558
  100.0       8.1748342191729
  200.0      21.7738291825487
  300.0      35.2351529648706
  400.0      46.5516170383561
  500.0      56.2329960968564
  600.0      64.5378857475970
  700.0      71.7869212258780
  800.0      78.1984541478640
  900.0      83.9406304894307
 1000.0      89.1372003027743
 1100.0      93.8824035974563
 1200.0      98.2487747856060
 1300.0     102.2932506816247
 1400.0     106.0611716257143
 1500.0     109.5891928781283
 1600.0     112.9073286594660
 1700.0     116.0404546013934
 1800.0     119.0093899758663
 1900.0     121.8317398727045
 2000.0     124.5225286831472
 2100.0     127.0946621670960
 2200.0     129.5593327799636
 2300.0     131.9262781681715
 2400.0     134.2040711301193
 2500.0     136.4002644406260
 2600.0     138.5215471328325
 2700.0     140.5739101247504
 2800.0     142.5627186038650
 2900.0     144.4927867730608
 3000.0     146.3684895798371
 3100.0     148.1937968504510
 3200.0     149.9723153247646
 3300.0     151.7073648939869
 3400.0     153.4019893894016
 3500.0     155.0590008111718
 3600.0     156.6810008968720
 3700.0     158.2704167089538
 3800.0     159.8295050828167
 3900.0     161.3603845718580
 4000.0     162.8650524293423
 4100.0     164.3453882763540
 4200.0     165.8031845907539
 4300.0     167.2401380600953
 4400.0     168.6578817789682
 4500.0     170.0579792248152
 4600.0     171.4419411895906
 4700.0     172.8112511119235
 4800.0     174.1673189904631
 4900.0     175.5115421789740
 5000.0     176.8453219219882
 5100.0     178.1700589104153
 5200.0     179.4866254247636
 5300.0     180.7961578311456
 5400.0     182.0995552771175
 5500.0     183.3977110138290
 5600.0     184.6916689713597
 5700.0     185.9821407856792
 5800.0     187.2700277472567
 5900.0     188.5562220883025
 6000.0     189.8413556254352
# P = 3.000000 (GPa)
    0.0      -3.0851421561963
  100.0       8.1136337830813
  200.0      21.6313195051297
  300.0      35.0288580790377
  400.0      46.3087059009288
  500.0      55.9670564036287
  600.0      64.2563215094069
  700.0      71.4936435728267
  800.0      77.8957031903077
  900.0      83.6297247605490
 1000.0      88.8189373379440
 1100.0      93.5572680559394
 1200.0      97.9170548843519
 1300.0     101.9551042103167
 1400.0     105.7166688592380
 1500.0     109.2383403535586
 1600.0     112.5500859614302
 1700.0     115.6767473470673
 1800.0     118.6391127412911
 1900.0     121.4547665953921
 2000.0     124.1387107587815
 2100.0     126.7038345719597
 2200.0     129.1613156539713
 2300.0     131.5208704443304
 2400.0     133.7910670646553
 2500.0     135.9794327379091
 2600.0     138.0926509489999
 2700.0     140.1366932429459
