# T (K)      Entropy (J K^-1 mol^-1)
# V = 188.447500 (a.u.^3)
    0.0      -4.0090536449985
  100.0      10.6844474091734
  200.0      27.0664179337082
  300.0      42.2859368557007
  400.0      54.3945086978485
  500.0      64.4654630663088
  600.0      72.9455318113934
  700.0      80.2595535198420
  800.0      86.6710242432130
  900.0      92.3731446505982
 1000.0      97.5031677914471
 1100.0     102.1634064003444
 1200.0     106.4313384429189
 1300.0     110.3670322040930
 1400.0     114.0179120448708
 1500.0     117.4220285728778
 1600.0     120.6103553324412
 1700.0     123.6084051225600
 1800.0     126.4374758820440
 1900.0     129.1154875082480
 2000.0     131.6576647609114
 2100.0     134.0770610998780
 2200.0     136.3849284600561
 2300.0     138.5910849117953
 2400.0     140.7040493930286
 2500.0     142.7313580762128
 2600.0     144.6796865618493
 2700.0     146.5549257832775
 2800.0     148.3623304310964
 2900.0     150.1066504013021
 3000.0     151.7921208811537
 3100.0     153.4225658155030
 3200.0     155.0014676659796
 3300.0     156.5319709625263
 3400.0     158.0169710949811
 3500.0     159.4590708244469
 3600.0     160.8606666428974
 3700.0     162.2239891470966
 3800.0     163.5510586252804
 3900.0     164.8437561519758
 4000.0     166.1038160400098
 4100.0     167.3328258112154
 4200.0     168.5323061668067
 4300.0     169.7036199986445
 4400.0     170.8480573843394
 4500.0     171.9668364664061
 4600.0     173.0610701929088
 4700.0     174.1318335386927
 4800.0     175.1800789438206
 4900.0     176.2067358393553
 5000.0     177.2126760445795
 5100.0     178.1988078336678
 5200.0     179.1657269273591
 5300.0     180.1142874590046
 5400.0     181.0451507681644
 5500.0     181.9589117599893
 5600.0     182.8563092592954
 5700.0     183.7377909460889
 5800.0     184.6039564165549
 5900.0     185.4553583343733
 6000.0     186.2923780630025
# V = 187.664626 (a.u.^3)
    0.0      -3.9726987460377
  100.0      10.5937586076704
  200.0      26.8815328717331
  300.0      42.0469135212245
  400.0      54.1318394594221
  500.0      64.1898666933483
  600.0      72.6625569000687
  700.0      79.9718781827622
  800.0      86.3802014240050
  900.0      92.0800958648129
 1000.0      97.2084856029913
 1100.0     101.8674850003831
 1200.0     106.1344508928613
 1300.0     110.0693748948368
 1400.0     113.7196288703162
 1500.0     117.1232277767766
 1600.0     120.3111196906565
 1700.0     123.3088006586204
 1800.0     126.1375538703222
 1900.0     128.8152893699830
 2000.0     131.3572247362991
 2100.0     133.7764069770134
 2200.0     136.0840845511099
 2300.0     138.2900689131823
 2400.0     140.4028796051830
 2500.0     142.4300493418822
 2600.0     144.3782496666207
 2700.0     146.2533714598544
 2800.0     148.0606693657413
 2900.0     149.8048897089037
 3000.0     151.4902678696712
 3100.0     153.1206277930950
 3200.0     154.6994499351007
 3300.0     156.2298791667983
 3400.0     157.7148084063716
 3500.0     159.1568418939059
 3600.0     160.5583762495685
 3700.0     161.9216402768234
 3800.0     163.2486545774836
 3900.0     164.5412993626953
 4000.0     165.8013089971755
 4100.0     167.0302723444110
 4200.0     168.2297070264811
 4300.0     169.4009777663787
 4400.0     170.5453750826842
 4500.0     171.6641149120948
 4600.0     172.7583113131097
 4700.0     173.8290378119673
 4800.0     174.8772488203293
 4900.0     175.9038738542540
 5000.0     176.9097846463299
 5100.0     177.8958808728173
 5200.0     178.8627739053500
 5300.0     179.8113066005620
 5400.0     180.7421424011159
 5500.0     181.6558807123905
 5600.0     182.5532495321156
 5700.0     183.4347082460751
 5800.0     184.3008509206029
 5900.0     185.1522320096009
 6000.0     185.9892273037170
# V = 186.881753 (a.u.^3)
    0.0      -3.9368666842823
  100.0      10.5037991911558
  200.0      26.6978591116006
  300.0      41.8090488602728
  400.0      53.8701672867333
  500.0      63.9151659271785
  600.0      72.3804126414209
  700.0      79.6849943666251
  800.0      86.0901459319115
  900.0      91.7877996707026
 1000.0      96.9145471864033
 1100.0     101.5723024288737
 1200.0     105.8382998150198
 1300.0     109.7724534278378
 1400.0     113.4220821081591
 1500.0     116.8251647947197
 1600.0     120.0126238502315
 1700.0     123.0099383564366
 1800.0     125.8383766630423
 1900.0     128.5158388663949
 2000.0     131.0575352861129
 2100.0     133.4765064451936
 2200.0     135.7839972566693
 2300.0     137.9898126122309
 2400.0     140.1024725444994
 2500.0     142.1295063250676
 2600.0     144.0775814826249
 2700.0     145.9525887954614
 2800.0     147.7597828259404
 2900.0     149.5039063848720
 3000.0     151.1891950106784
 3100.0     152.8194726260048
 3200.0     154.3982177196432
 3300.0     155.9285754758047
 3400.0     157.4134363904697
 3500.0     158.8554061348156
 3600.0     160.2568814488797
 3700.0     161.6200893690913
 3800.0     162.9470508067500
 3900.0     164.2396451278337
 4000.0     165.4996067336895
 4100.0     166.7285257959462
 4200.0     167.9279169311752
 4300.0     169.0991466451520
 4400.0     170.2435058834930
 4500.0     171.3622084324305
 4600.0     172.4563694280150
 4700.0     173.5270609783915
 4800.0     174.5752394289201
 4900.0     175.6018343677131
 5000.0     176.6077174372361
 5100.0     177.5937799444187
 5200.0     178.5606485094604
 5300.0     179.5091549953457
 5400.0     180.4399648949099
 5500.0     181.3536820036246
 5600.0     182.2510237571603
 5700.0     183.1324609578665
 5800.0     183.9985822827146
 5900.0     184.8499439239426
 6000.0     185.6869162409267
# V = 186.098879 (a.u.^3)
    0.0      -3.9015620769159
  100.0      10.4145839084670
  200.0      26.5154189140947
  300.0      41.5723648504947
  400.0      53.6095121608371
  500.0      63.6413791459433
  600.0      72.0991162606213
  700.0      79.3989184922987
  800.0      85.8008736152053
  900.0      91.4962715006047
 1000.0      96.6213676643907
 1100.0     101.2778735731667
 1200.0     105.5428999145035
 1300.0     109.4762823644948
 1400.0     113.1252862049018
 1500.0     116.5278539801239
 1600.0     119.7148820884057
 1700.0     122.7118324300604
 1800.0     125.5399584215276
 1900.0     128.2171501145135
 2000.0     130.7586104898339
 2100.0     133.1773735519409
 2200.0     135.4846805967312
 2300.0     137.6903300056097
 2400.0     139.8028421873078
 2500.0     141.8297429843989
 2600.0     143.7776959533338
 2700.0     145.6525917205033
 2800.0     147.4596847305144
 2900.0     149.2037143381148
 3000.0     150.8889162045281
 3100.0     152.5191142070017
 3200.0     154.0977849059224
 3300.0     155.6280737702385
 3400.0     157.1128689234041
 3500.0     158.5547774193941
 3600.0     159.9561961096340
 3700.0     161.3193502899498
 3800.0     162.6462611768939
 3900.0     163.9388073095545
 4000.0     165.1987231105339
 4100.0     166.4276000257845
 4200.0     167.6269497404941
 4300.0     168.7981404944591
 4400.0     169.9424636462822
 4500.0     171.0611308874632
 4600.0     172.1552583984131
 4700.0     173.2259168999978
 4800.0     174.2740646328975
 4900.0     175.3006312443452
 5000.0     176.3064882832366
 5100.0     177.2925189173229
 5200.0     178.2593646100841
 5300.0     179.2078465160197
 5400.0     180.1386321248415
 5500.0     181.0523295109740
 5600.0     181.9496458152142
 5700.0     182.8310629650421
 5800.0     183.6971643895110
 5900.0     184.5485079669939
 6000.0     185.3854587680917
# V = 185.316005 (a.u.^3)
    0.0      -3.8667895253543
  100.0      10.3261278701869
  200.0      26.3342350376056
  300.0      41.3368839770872
  400.0      53.3498945489151
  500.0      63.3685251843579
  600.0      71.8186854145772
  700.0      79.1136673923883
  800.0      85.5124007180765
  900.0      91.2055271699770
 1000.0      96.3289625323338
 1100.0     100.9842136845938
 1200.0     105.2482662530039
 1300.0     109.1808766164312
 1400.0     112.8292559516845
 1500.0     116.2313100261271
 1600.0     119.4179090177392
 1700.0     122.4144974248620
 1800.0     125.2423136348405
 1900.0     127.9192375557818
 2000.0     130.4604647482782
 2100.0     132.8790226633205
 2200.0     135.1861489072056
 2300.0     137.3916354034747
 2400.0     139.5040028210693
 2500.0     141.5307735874080
 2600.0     143.4786073291750
 2700.0     145.3533944703560
 2800.0     147.1603893013758
 2900.0     148.9043277789256
 3000.0     150.5894456512469
 3100.0     152.2195667269776
 3200.0     153.7981656768342
 3300.0     155.3283882258814
 3400.0     156.8131201750281
 3500.0     158.2549699122238
 3600.0     159.6563343917080
 3700.0     161.0194371952778
 3800.0     162.3462998403441
 3900.0     163.6388000574761
 4000.0     164.8986722750368
 4100.0     166.1275091791590
 4200.0     167.3268195982535
 4300.0     168.4979734570082
 4400.0     169.6422625128335
 4500.0     170.7608964185459
 4600.0     171.8549923654969
 4700.0     172.9256197182896
 4800.0     173.9737385742166
 4900.0     175.0002786265904
 5000.0     176.0061113272612
 5100.0     176.9921119366319
 5200.0     177.9589363530937
 5300.0     178.9073953099833
 5400.0     179.8381582401678
 5500.0     180.7518373850711
 5600.0     181.6491298597593
 5700.0     182.5305284231664
 5800.0     183.3966113989619
 5900.0     184.2479382990605
 6000.0     185.0848690489217
# V = 184.533131 (a.u.^3)
    0.0      -3.8325536115156
  100.0      10.2384465590957
  200.0      26.1543307512140
  300.0      41.1026292466257
  400.0      53.0913354182121
  500.0      63.0966233470033
  600.0      71.5391382046703
  700.0      78.8292583233747
  800.0      85.2247438922165
  900.0      90.9155828885992
 1000.0      96.0373476691258
 1100.0     100.6913383889434
 1200.0     104.9544142589731
 1300.0     108.8862514553970
 1400.0     112.5340064939865
 1500.0     115.9355479750807
 1600.0     119.1217195953787
 1700.0     122.1179482266696
 1800.0     124.9454571287090
 1900.0     127.6221159648492
 2000.0     130.1631127923031
 2100.0     132.5814684724256
 2200.0     134.8884168482970
 2300.0     137.0937434376669
 2400.0     139.2059690525310
 2500.0     141.2326127186952
 2600.0     143.1803301754066
 2700.0     145.0550115931937
 2800.0     146.8619110713383
 2900.0     148.6057612266139
 3000.0     150.2907978581422
 3100.0     151.9208446823797
 3200.0     153.4993745192454
 3300.0     155.0295333209825
 3400.0     156.5142046161284
 3500.0     157.9559980774419
 3600.0     159.3573107531356
 3700.0     160.7203645377942
 3800.0     162.0471812451313
 3900.0     163.3396378155906
 4000.0     164.5994686677068
 4100.0     165.8282676933339
 4200.0     167.0275409392318
 4300.0     168.1986599653923
 4400.0     169.3429169137788
 4500.0     170.4615194548743
 4600.0     171.5555857573329
 4700.0     172.6261838607417
 4800.0     173.6742756798757
 4900.0     174.7007909410686
 5000.0     175.7066009955697
 5100.0     176.6925734298862
 5200.0     177.6593781660226
 5300.0     178.6078158055551
 5400.0     179.5385576703232
 5500.0     180.4522200559433
 5600.0     181.3494903229402
 5700.0     182.2308717658058
 5800.0     183.0969377463672
 5900.0     183.9482493571439
 6000.0     184.7851615231327
# V = 183.750258 (a.u.^3)
    0.0      -3.7988588937788
  100.0      10.1515558409555
  200.0      25.9757298482275
  300.0      40.8696242013364
  400.0      52.8338562504354
  500.0      62.8256934221282
  600.0      71.2604931898768
  700.0      78.5457089781398
  800.0      84.9379202088372
  900.0      90.6264552721255
 1000.0      95.7465393482934
 1100.0     100.3992636972798
 1200.0     104.6613597381773
 1300.0     108.5924225235514
 1400.0     112.2395533416358
 1500.0     115.6405832283088
 1600.0     118.8263291326800
 1700.0     121.8222000711571
 1800.0     124.6494040747557
 1900.0     127.3258004586515
 2000.0     129.8665696916791
 2100.0     132.2847260082005
 2200.0     134.5914994131515
 2300.0     136.7966690702619
 2400.0     138.9087558161362
 2500.0     140.9352752881166
 2600.0     142.8828793803282
 2700.0     144.7574579580833
 2800.0     146.5642648920178
 2900.0     148.3080295173942
 3000.0     149.9929876475860
 3100.0     151.6229628829531
 3200.0     153.2014262316096
 3300.0     154.7315238437328
 3400.0     156.2161370259099
 3500.0     157.6578766860697
 3600.0     159.0591399574263
 3700.0     160.4221470743126
 3800.0     161.7489201420300
 3900.0     163.0413353293358
 4000.0     164.3011270292670
 4100.0     165.5298903046190
 4200.0     166.7291284960400
 4300.0     167.9002147489137
 4400.0     169.0444415753682
 4500.0     170.1630147202391
 4600.0     171.2570532955439
 4700.0     172.3276240473875
 4800.0     173.3756906684833
 4900.0     174.4021829050433
 5000.0     175.4079720042062
 5100.0     176.3939181135364
 5200.0     177.3607047644646
 5300.0     178.3091227182446
 5400.0     179.2398451311306
 5500.0     180.1534922392634
 5600.0     181.0507419217786
 5700.0     181.9321077106748
 5800.0     182.7981581504499
 5900.0     183.6494558609687
 6000.0     184.4863509124306
# V = 182.967384 (a.u.^3)
    0.0      -3.7657099026395
  100.0      10.0654719756893
  200.0      25.7984566600760
  300.0      40.6378929337965
  400.0      52.5774790566064
  500.0      62.5557556958960
  600.0      70.9827694003509
  700.0      78.2630374989187
  800.0      84.6519471710944
  900.0      90.3381613540256
 1000.0      95.4565542495898
 1100.0     100.1080060171393
 1200.0     104.3691188845288
 1300.0     108.2994058440365
 1400.0     111.9459123791501
 1500.0     115.3464315562376
 1600.0     118.5317533050712
 1700.0     121.5272685535656
 1800.0     124.3541700000397
 1900.0     127.0303065057413
 2000.0     129.5708508643163
 2100.0     131.9888106444542
 2200.0     134.2954119367525
 2300.0     136.5004276023418
 2400.0     138.6123783826677
 2500.0     140.6387765393721
 2600.0     142.5862701636628
 2700.0     144.4607487632783
 2800.0     146.2674659421245
 2900.0     148.0111478124764
 3000.0     149.6960301649764
 3100.0     151.3259364596342
 3200.0     152.9043359318036
 3300.0     154.4343749000374
 3400.0     155.9189324996375
 3500.0     157.3606208236369
 3600.0     158.7618370810465
 3700.0     160.1247998731477
 3800.0     161.4515315919158
 3900.0     162.7439076529015
 4000.0     164.0036624078566
 4100.0     165.2323920554484
 4200.0     166.4315973062239
 4300.0     167.6026528406135
 4400.0     168.7468515264717
 4500.0     169.8653972399145
 4600.0     170.9594100021434
 4700.0     172.0299552976079
 4800.0     173.0779985569771
 4900.0     174.1044695331314
 5000.0     175.1102393656167
 5100.0     176.0961609994764
 5200.0     177.0629311585608
 5300.0     178.0113310572764
 5400.0     178.9420356312331
 5500.0     179.8556689427276
 5600.0     180.7528996644910
 5700.0     181.6342512658634
 5800.0     182.5002876195872
 5900.0     183.3515728191801
 6000.0     184.1884522267787
# V = 182.184510 (a.u.^3)
    0.0      -3.7331111362145
  100.0       9.9802116288796
  200.0      25.6225360706459
  300.0      40.4074601021496
  400.0      52.3222263924283
  500.0      62.2868309670988
  600.0      70.7059863514880
  700.0      77.9812624907159
  800.0      84.3668427269149
  900.0      90.0507185979372
 1000.0      95.1674094708970
 1100.0      99.8175821640674
 1200.0     104.0777082913515
 1300.0     108.0072178319130
 1400.0     111.6530998764108
 1500.0     115.0531091088407
 1600.0     118.2380081622885
 1700.0     121.2331696387005
 1800.0     124.0597707968593
 1900.0     126.7356499359621
 2000.0     129.2759720857368
 2100.0     131.6937381092072
 2200.0     134.0001701051273
 2300.0     136.2050346830417
 2400.0     138.3168523681500
 2500.0     140.3431320587754
 2600.0     142.2905180852707
 2700.0     144.1648995447673
 2800.0     145.9715297358383
 2900.0     147.7151316064256
 3000.0     149.3999408870179
 3100.0     151.0297808727124
 3200.0     152.6081190651598
 3300.0     154.1381019214624
 3400.0     155.6226064565284
 3500.0     157.0642458979355
 3600.0     158.4654175211450
 3700.0     159.8283383217657
 3800.0     161.1550309733169
 3900.0     162.4473701566803
 4000.0     163.7070901664611
 4100.0     164.9357883017589
 4200.0     166.1349627195213
 4300.0     167.3059895844935
 4400.0     168.4501621056785
 4500.0     169.5686823476906
 4600.0     170.6626712065728
 4700.0     171.7331929371043
 4800.0     172.7812146674947
 4900.0     173.8076661441574
 5000.0     174.8134183954076
 5100.0     175.7993174017827
 5200.0     176.7660726596926
 5300.0     177.7144561321407
 5400.0     178.6451444787181
 5500.0     179.5587654725335
 5600.0     180.4559788569733
 5700.0     181.3373177363598
 5800.0     182.2033414581702
 5900.0     183.0546155356784
 6000.0     183.8914807705781
# V = 181.401636 (a.u.^3)
    0.0      -3.7010670554540
  100.0       9.8957918836974
  200.0      25.4479935310841
  300.0      40.1783509457312
  400.0      52.0681213741879
  500.0      62.0189405624084
  600.0      70.4301640584198
  700.0      77.7004030351367
  800.0      84.0826252822854
  900.0      89.7641449104442
 1000.0      94.8791225405570
 1100.0      99.5280093736133
 1200.0     103.7871449629647
 1300.0     107.7158753054748
 1400.0     111.3611324996953
 1500.0     114.7606324263981
 1600.0     117.9451101389133
 1700.0     120.9399196712630
 1800.0     123.7662227329026
 1900.0     126.4418469503846
 2000.0     128.9819494988597
 2100.0     131.3995244943051
 2200.0     133.7057899648038
 2300.0     135.9105063188692
 2400.0     138.0221937430508
 2500.0     140.0483577843103
 2600.0     141.9956390540468
 2700.0     143.8699261850967
 2800.0     145.6764721315338
 2900.0     147.4199967357449
 3000.0     149.1047356301984
 3100.0     150.7345119201872
 3200.0     152.3127914127672
 3300.0     153.8427206734594
 3400.0     155.3271746478206
 3500.0     156.7687676470344
 3600.0     158.1698970034929
 3700.0     159.5327781346042
 3800.0     160.8594339901690
 3900.0     162.1517385349762
 4000.0     163.4114259904860
 4100.0     164.6400947205276
 4200.0     165.8392404053344
 4300.0     167.0102406428739
 4400.0     168.1543889686214
 4500.0     169.2728856932182
 4600.0     170.3668525528765
 4700.0     171.4373526049732
 4800.0     172.4853546345043
 4900.0     173.5117883681225
 5000.0     174.5175247193476
 5100.0     175.5034029436014
 5200.0     176.4701448873229
 5300.0     177.4185135594406
 5400.0     178.3491872877672
 5500.0     179.2627974401398
 5600.0     180.1599951093847
 5700.0     181.0413227305363
 5800.0     181.9073352732002
 5900.0     182.7585996161023
 6000.0     183.5954521491539
# V = 180.618763 (a.u.^3)
    0.0      -3.6695820789832
  100.0       9.8122302532050
  200.0      25.2748550750045
  300.0      39.9505913012927
  400.0      51.8151876951357
  500.0      61.7521063520910
  600.0      70.1553230510895
  700.0      77.4204787047662
  800.0      83.7993137149617
  900.0      89.4784586542842
 1000.0      94.5917114301364
 1100.0      99.2393053136191
 1200.0     103.4974463266982
 1300.0     107.4253954979306
 1400.0     111.0700273230560
 1500.0     114.4690184506236
 1600.0     117.6530760652699
 1700.0     120.6475353865445
 1800.0     123.4735424617150
 1900.0     126.1489141315850
 2000.0     128.6887996240836
 2100.0     131.1061862653436
 2200.0     133.4122879325650
 2300.0     135.6168588833013
 2400.0     137.7284188417551
 2500.0     139.7544700149584
 2600.0     141.7016493371433
 2700.0     143.5758449224577
 2800.0     145.3823093407257
 2900.0     147.1257593877002
 3000.0     148.8104305595174
 3100.0     150.4401457464163
 3200.0     152.0183690999822
 3300.0     153.5482472637343
 3400.0     155.0326531651266
 3500.0     156.4742021475411
 3600.0     157.8752915905656
 3700.0     159.2381353611500
 3800.0     160.5647566798187
 3900.0     161.8570288138781
 4000.0     163.1166858956070
 4100.0     164.3453273174912
 4200.0     165.5444463603776
 4300.0     166.7154220039982
 4400.0     167.8595480955281
 4500.0     168.9780232493703
 4600.0     170.0719700070726
 4700.0     171.1424502611008
 4800.0     172.1904344120116
 4900.0     173.2168521534234
 5000.0     174.2225742804645
 5100.0     175.2084335642178
 5200.0     176.1751637759756
 5300.0     177.1235192698407
 5400.0     178.0541799856138
 5500.0     178.9677807690312
 5600.0     179.8649643430113
 5700.0     180.7462821669289
 5800.0     181.6122849808866
 5900.0     182.4635409744705
 6000.0     183.3003822753509
# V = 179.835889 (a.u.^3)
    0.0      -3.6386605778429
  100.0       9.7295446931243
  200.0      25.1031473342132
  300.0      39.7242076196290
  400.0      51.5634496424854
  500.0      61.4863507663298
  600.0      69.8814843897434
  700.0      77.1415095779668
  800.0      83.5169273887174
  900.0      89.1936786620068
 1000.0      94.3051945675943
 1100.0      98.9514880970455
 1200.0     103.2086302452766
 1300.0     107.1357960694503
 1400.0     110.7798018401135
 1500.0     114.1782845361790
 1600.0     117.3619231786706
 1700.0     120.3560339214039
 1800.0     123.1817470334791
 1900.0     125.8568684542474
 2000.0     128.3965393697202
 2100.0     130.8137402718946
 2200.0     133.1196808055231
 2300.0     135.3241091267371
 2400.0     137.4355443722883
 2500.0     139.4614854203319
 2600.0     141.4085655694098
 2700.0     143.2826723600005
 2800.0     145.0890579373280
 2900.0     146.8324361094298
 3000.0     148.5170421974565
 3100.0     150.1466988509681
 3200.0     151.7248686052085
 3300.0     153.2546981509522
 3400.0     154.7390584489627
 3500.0     156.1805658230424
 3600.0     157.5816176900124
 3700.0     158.9444263941862
 3800.0     160.2710154211876
 3900.0     161.5632573593948
 4000.0     162.8228862357538
 4100.0     164.0515024350929
 4200.0     165.2505969165660
 4300.0     166.4215499898310
 4400.0     167.5656557989004
 4500.0     168.6841113199420
 4600.0     169.7780398647451
 4700.0     170.8485021936042
 4800.0     171.8964702809905
 4900.0     172.9228737742009
 5000.0     173.9285833463430
 5100.0     174.9144255263211
 5200.0     175.8811455824644
 5300.0     176.8294895151397
 5400.0     177.7601388195753
 5500.0     178.6737317017522
 5600.0     179.5709027971500
 5700.0     180.4522122811358
 5800.0     181.3182068135375
 5900.0     182.1694558399409
 6000.0     183.0062873762511
# V = 179.053015 (a.u.^3)
    0.0      -3.6083068696914
  100.0       9.6477536149819
  200.0      24.9328975548954
  300.0      39.4992269828502
  400.0      51.3129321149238
  500.0      61.2216968120735
  600.0      69.6086696810714
  700.0      76.8635162542301
  800.0      83.2354861680038
  900.0      88.9098242501033
 1000.0      94.0195908509465
 1100.0      98.6645762951433
 1200.0     102.9207150296523
 1300.0     106.8470951196674
 1400.0     110.4904739761804
 1500.0     113.8884484625342
 1600.0     117.0716691350179
 1700.0     120.0654328256695
 1800.0     122.8908539061842
 1900.0     125.5657272960969
 2000.0     128.1051860427054
 2100.0     130.5222037580793
 2200.0     132.8279857715050
 2300.0     135.0322741866532
 2400.0     137.1435874264236
 2500.0     139.1694210505416
 2600.0     141.1164047632170
 2700.0     142.9904254754846
 2800.0     144.7967348670756
 2900.0     146.5400438173423
 3000.0     148.2245874332567
 3100.0     149.8541880977712
 3200.0     151.4323067688947
 3300.0     152.9620901536248
 3400.0     154.4464072976096
 3500.0     155.8878754528163
 3600.0     157.2888920631650
 3700.0     158.6516679783624
 3800.0     159.9782269431965
 3900.0     161.2704408857425
 4000.0     162.5300437113949
 4100.0     163.7586367606450
 4200.0     164.9577087490686
 4300.0     166.1286412640461
 4400.0     167.2727287314530
 4500.0     168.3911665474716
 4600.0     169.4850787587947
 4700.0     170.5555250265478
 4800.0     171.6034788570376
 4900.0     172.6298698379088
 5000.0     173.6355685166424
 5100.0     174.6213954233642
 5200.0     175.5881068932007
 5300.0     176.5364408756081
 5400.0     177.4670803642809
 5500.0     178.3806668071101
 5600.0     179.2778270362363
 5700.0     180.1591296328363
 5800.0     181.0251173265569
 5900.0     181.8763607637733
 6000.0     182.7131840000362
# V = 178.270141 (a.u.^3)
    0.0      -3.5785252128315
  100.0       9.5668758997348
  200.0      24.7641336143142
  300.0      39.2756771221506
  400.0      51.0636606407761
  500.0      60.9581680904400
  600.0      69.3369010948161
  700.0      76.5865198700845
  800.0      82.9550104331864
