# T (K)     Gibbs free energy (Ry.)
# P= 0.000000 GPa
    0.0      -0.8841038108421
  100.0      -0.8842858394649
  200.0      -0.8854288827696
  300.0      -0.8876463155644
  400.0      -0.8908097592159
  500.0      -0.8947771093010
  600.0      -0.8994302085326
  700.0      -0.9046765467506
  800.0      -0.9104438068532
  900.0      -0.9166746579786
 1000.0      -0.9233228630687
 1100.0      -0.9303505019896
 1200.0      -0.9377260006770
 1300.0      -0.9454227129208
 1400.0      -0.9534178854927
 1500.0      -0.9616918848111
 1600.0      -0.9702276164691
 1700.0      -0.9790100743319
 1800.0      -0.9880259942721
 1900.0      -0.9972635738782
 2000.0      -1.0067122559113
 2100.0      -1.0163625463196
 2200.0      -1.0262058708687
 2300.0      -1.0362344535626
 2400.0      -1.0464412170609
 2500.0      -1.0568197003270
 2600.0      -1.0673639862640
 2700.0      -1.0780686431396
 2800.0      -1.0889286734523
 2900.0      -1.0999394704270
 3000.0      -1.1110967794015
 3100.0      -1.1223966664935
 3200.0      -1.1338354893354
 3300.0      -1.1454098728193
 3400.0      -1.1571166875096
 3500.0      -1.1689530308790
 3600.0      -1.1809162104538
 3700.0      -1.1930037295926
 3800.0      -1.2052132751665
 3900.0      -1.2175427050290
 4000.0      -1.2299900401868
 4100.0      -1.2425534543450
 4200.0      -1.2552312678160
 4300.0      -1.2680219413597
 4400.0      -1.2809240687617
 4500.0      -1.2939363749996
 4600.0      -1.3070577112606
 4700.0      -1.3202870463702
 4800.0      -1.3336234467015
 4900.0      -1.3470660674718
 5000.0      -1.3606141540128
 5100.0      -1.3742670368081
 5200.0      -1.3880241351796
 5300.0      -1.4018849198053
 5400.0      -1.4158489778000
 5500.0      -1.4299159248719
 5600.0      -1.4440854903334
 5700.0      -1.4583574443561
 5800.0      -1.4727316358912
 5900.0      -1.4872079719914
 6000.0      -1.5017864353939
# P= 1.000000 GPa
    0.0      -0.8729603559145
  100.0      -0.8731405700763
  200.0      -0.8742750616525
  300.0      -0.8764777808880
  400.0      -0.8796226285082
  500.0      -0.8835690574058
  600.0      -0.8881997239665
  700.0      -0.8934225443522
  800.0      -0.8991654347655
  900.0      -0.9053711991147
 1000.0      -0.9119936792275
 1100.0      -0.9189950030944
 1200.0      -0.9263436240395
 1300.0      -0.9340129117838
 1400.0      -0.9419801194023
 1500.0      -0.9502256148957
 1600.0      -0.9587322998218
 1700.0      -0.9674851620227
 1800.0      -0.9764709275843
 1900.0      -0.9856777830389
 2000.0      -0.9950951578314
 2100.0      -1.0047135428519
 2200.0      -1.0145243480563
 2300.0      -1.0245197791166
 2400.0      -1.0346927400004
 2500.0      -1.0450367493278
 2600.0      -1.0555458679017
 2700.0      -1.0662146412004
 2800.0      -1.0770380471184
 2900.0      -1.0880114527947
 3000.0      -1.0991305761212
 3100.0      -1.1103914542776
 3200.0      -1.1217904138220
 3300.0      -1.1333240471685
 3400.0      -1.1449891903087
 3500.0      -1.1567829040133
 3600.0      -1.1687024570673
 3700.0      -1.1807453116763
 3800.0      -1.1929091109558
 3900.0      -1.2051916663312
 4000.0      -1.2175909492519
 4100.0      -1.2301050808911
 4200.0      -1.2427323254945
 4300.0      -1.2554710836824
 4400.0      -1.2683198855366
 4500.0      -1.2812773876067
 4600.0      -1.2943423668846
 4700.0      -1.3075137193741
 4800.0      -1.3207904566789
 4900.0      -1.3341716995742
 5000.0      -1.3476566619154
 5100.0      -1.3612446416980
 5200.0      -1.3749350237661
 5300.0      -1.3887272483425
 5400.0      -1.4026208642135
 5500.0      -1.4166154555788
 5600.0      -1.4307107123986
 5700.0      -1.4449063693880
 5800.0      -1.4592022373101
 5900.0      -1.4735981854272
 6000.0      -1.4880941561615
# P= 2.000000 GPa
    0.0      -0.8618770498581
  100.0      -0.8620555450088
  200.0      -0.8631818964247
  300.0      -0.8653705116324
  400.0      -0.8684974658091
  500.0      -0.8724237275607
  600.0      -0.8770327512067
  700.0      -0.8822328729635
  800.0      -0.8879522399285
  900.0      -0.8941337892619
 1000.0      -0.9007314421002
 1100.0      -0.9077073739783
 1200.0      -0.9150300670224
 1300.0      -0.9226729066013
 1400.0      -0.9306131539894
 1500.0      -0.9388311786507
 1600.0      -0.9473098802642
 1700.0      -0.9560342408070
 1800.0      -0.9649909786449
 1900.0      -0.9741682701303
 2000.0      -0.9835555328428
 2100.0      -0.9931432446801
 2200.0      -1.0029228004335
 2300.0      -1.0128863903648
 2400.0      -1.0230269007070
 2500.0      -1.0333378319471
 2600.0      -1.0438132253764
 2700.0      -1.0544476051382
 2800.0      -1.0652359274149
 2900.0      -1.0761735359353
 3000.0      -1.0872561234336
 3100.0      -1.0984797012742
 3200.0      -1.1098405682846
 3300.0      -1.1213352874548
 3400.0      -1.1329606638578
 3500.0      -1.1447137255055
 3600.0      -1.1565917065846
 3700.0      -1.1685920325315
 3800.0      -1.1807123075450
 3900.0      -1.1929503018283
 4000.0      -1.2053039428919
 4100.0      -1.2177713054257
 4200.0      -1.2303506041803
 4300.0      -1.2430401868106
 4400.0      -1.2558385274704
 4500.0      -1.2687442225549
 4600.0      -1.2817559849317
 4700.0      -1.2948726418933
 4800.0      -1.3080931312216
 4900.0      -1.3214164966457
 5000.0      -1.3348418893327
 5100.0      -1.3483685664571
 5200.0      -1.3619958792515
 5300.0      -1.3757232379616
 5400.0      -1.3895501542755
 5500.0      -1.4034761813500
 5600.0      -1.4175009709875
 5700.0      -1.4316242231780
 5800.0      -1.4458457114395
 5900.0      -1.4601652680767
 6000.0      -1.4745827962044
# P= 3.000000 GPa
    0.0      -0.8508523221701
  100.0      -0.8510291896616
  200.0      -0.8521477918145
  300.0      -0.8543228820743
  400.0      -0.8574326107262
  500.0      -0.8613394220133
  600.0      -0.8659275533711
  700.0      -0.8711057546654
  800.0      -0.8768024017012
  900.0      -0.8829605633740
 1000.0      -0.8895342402126
 1100.0      -0.8964856551953
 1200.0      -0.9037833198275
 1300.0      -0.9114006357017
 1400.0      -0.9193148730067
 1500.0      -0.9275064036064
 1600.0      -0.9359581262025
 1700.0      -0.9446550179196
 1800.0      -0.9535837907141
 1900.0      -0.9627326115449
 2000.0      -0.9720908881238
 2100.0      -0.9816490857236
 2200.0      -0.9913985866503
 2300.0      -1.0013315660773
 2400.0      -1.0114408951020
 2500.0      -1.0217200574602
 2600.0      -1.0321630764518
 2700.0      -1.0427644577639
 2800.0      -1.0535191370708
 2900.0      -1.0644224373096
 3000.0      -1.0754700288025
 3100.0      -1.0866578990405
 3200.0      -1.0979823221340
 3300.0      -1.1094398348253
 3400.0      -1.1210272140441
 3500.0      -1.1327414584880
 3600.0      -1.1445797714624
 3700.0      -1.1565395454633
 3800.0      -1.1686183498506
 3900.0      -1.1808139181312
 4000.0      -1.1931241387296
 4100.0      -1.2055470450444
 4200.0      -1.2180808079429
 4300.0      -1.2307237282340
 4400.0      -1.2434742307147
 4500.0      -1.2563308588117
 4600.0      -1.2692922690582
 4700.0      -1.2823572285169
 4800.0      -1.2955246106050
 4900.0      -1.3087933904868
 5000.0      -1.3221626459306
 5100.0      -1.3356315542310
 5200.0      -1.3491993949814
 5300.0      -1.3628655325559
 5400.0      -1.3766294417868
 5500.0      -1.3904906452716
 5600.0      -1.4044487578207
 5700.0      -1.4185034454329
 5800.0      -1.4326544453124
 5900.0      -1.4469015536372
 6000.0      -1.4612446352090
# P= 4.000000 GPa
    0.0      -0.8398846745886
  100.0      -0.8400600019359
  200.0      -0.8411712264409
  300.0      -0.8433333424325
  400.0      -0.8464264811310
  500.0      -0.8503145239171
  600.0      -0.8548824771100
  700.0      -0.8600394980724
  800.0      -0.8657141888447
  900.0      -0.8718497490149
 1000.0      -0.8784002579832
 1100.0      -0.8853279866617
 1200.0      -0.8926014757572
 1300.0      -0.9001941442976
 1400.0      -0.9080832712877
 1500.0      -0.9162492325859
 1600.0      -0.9246749258911
 1700.0      -0.9333453253524
 1800.0      -0.9422471365034
 1900.0      -0.9513685190950
 2000.0      -0.9606988709463
 2100.0      -0.9702286471485
 2200.0      -0.9799492176555
 2300.0      -0.9898527449169
 2400.0      -0.9999320857590
 2500.0      -1.0101807088068
 2600.0      -1.0205926215389
 2700.0      -1.0311623119635
 2800.0      -1.0418846982475
 2900.0      -1.0527550837551
 3000.0      -1.0637691185745
 3100.0      -1.0749227691857
 3200.0      -1.0862122866593
 3300.0      -1.0976341843089
 3400.0      -1.1091852140174
 3500.0      -1.1208623476553
 3600.0      -1.1326627608692
 3700.0      -1.1445838167945
 3800.0      -1.1566230534293
 3900.0      -1.1687781714059
 4000.0      -1.1810470243106
 4100.0      -1.1934276087576
 4200.0      -1.2059180565358
 4300.0      -1.2185166268352
 4400.0      -1.2312217007298
 4500.0      -1.2440317748103
 4600.0      -1.2569454558973
 4700.0      -1.2699614580309
 4800.0      -1.2830785980820
 4900.0      -1.2962957912242
 5000.0      -1.3096120508977
 5100.0      -1.3230264852939
 5200.0      -1.3365382993244
 5300.0      -1.3501467794915
 5400.0      -1.3638513205483
 5500.0      -1.3776513904297
 5600.0      -1.3915465646189
 5700.0      -1.4055364758595
 5800.0      -1.4196208259624
 5900.0      -1.4337993758060
 6000.0      -1.4480719528609
# P= 5.000000 GPa
    0.0      -0.8289726763510
  100.0      -0.8291465474766
  200.0      -0.8302507479696
  300.0      -0.8324004138614
  400.0      -0.8354775679673
  500.0      -0.8393474918915
  600.0      -0.8438959469618
  700.0      -0.8490324922391
  800.0      -0.8546859533701
  900.0      -0.8607996597764
 1000.0      -0.8673277690739
 1100.0      -0.8742326005018
 1200.0      -0.8814827239699
 1300.0      -0.8890515766180
 1400.0      -0.8969164467705
 1500.0      -0.9050577149281
 1600.0      -0.9134582787276
 1700.0      -0.9221031098893
 1800.0      -0.9309789088182
 1900.0      -0.9400738285742
 2000.0      -0.9493772585885
 2100.0      -0.9588796444431
 2200.0      -0.9685723452146
 2300.0      -0.9784475117699
 2400.0      -0.9884979877894
 2500.0      -0.9987172287296
 2600.0      -1.0090992268028
 2700.0      -1.0196384551145
 2800.0      -1.0303298147615
 2900.0      -1.0411685921946
 3000.0      -1.0521504189032
 3100.0      -1.0632712418687
 3200.0      -1.0745272921776
 3300.0      -1.0859150611963
 3400.0      -1.0974312783108
 3500.0      -1.1090728916444
 3600.0      -1.1208370513750
 3700.0      -1.1327210943096
 3800.0      -1.1447225305463
 3900.0      -1.1568390309777
 4000.0      -1.1690684179494
 4100.0      -1.1814086552651
 4200.0      -1.1938578398490
 4300.0      -1.2064141937139
 4400.0      -1.2190760590498
 4500.0      -1.2318418908866
 4600.0      -1.2447102519978
 4700.0      -1.2576798095340
 4800.0      -1.2707493304724
 4900.0      -1.2839176772120
 5000.0      -1.2971838067003
 5100.0      -1.3105467666541
 5200.0      -1.3240056965437
 5300.0      -1.3375598158905
 5400.0      -1.3512084430539
 5500.0      -1.3649509686022
 5600.0      -1.3787868831550
 5700.0      -1.3927157541644
 5800.0      -1.4067372404227
 5900.0      -1.4208510682805
 6000.0      -1.4350570288464
# P= 6.000000 GPa
    0.0      -0.8181149598935
  100.0      -0.8182874553423
  200.0      -0.8193849686687
  300.0      -0.8215226838572
  400.0      -0.8245844304903
