# T (K)     Gibbs free energy (Ry.)
    0.0      -0.8841038108421
    0.0      -0.8842858394649
    0.0      -0.8854288827696
    0.0      -0.8876463155644
    0.0      -0.8908097592159
    0.0      -0.8947771093010
    0.0      -0.8994302085326
    0.0      -0.9046765467506
    0.0      -0.9104438068532
    0.0      -0.9166746579786
    0.0      -0.9233228630687
    0.0      -0.9303505019896
    0.0      -0.9377260006770
    0.0      -0.9454227129208
    0.0      -0.9534178854927
    0.0      -0.9616918848111
    0.0      -0.9702276164691
    0.0      -0.9790100743319
    0.0      -0.9880259942721
    0.0      -0.9972635738782
    0.0      -1.0067122559113
    0.0      -1.0163625463196
    0.0      -1.0262058708687
    0.0      -1.0362344535626
    0.0      -1.0464412170609
    0.0      -1.0568197003270
    0.0      -1.0673639862640
    0.0      -1.0780686431396
    0.0      -1.0889286734523
    0.0      -1.0999394704270
    0.0      -1.1110967794015
    0.0      -1.1223966664935
    0.0      -1.1338354893354
    0.0      -1.1454098728193
    0.0      -1.1571166875096
    0.0      -1.1689530308790
    0.0      -1.1809162104538
    0.0      -1.1930037295926
    0.0      -1.2052132751665
    0.0      -1.2175427050290
    0.0      -1.2299900401868
    0.0      -1.2425534543450
    0.0      -1.2552312678160
    0.0      -1.2680219413597
    0.0      -1.2809240687617
    0.0      -1.2939363749996
    0.0      -1.3070577112606
    0.0      -1.3202870463702
    0.0      -1.3336234467015
    0.0      -1.3470660674718
    0.0      -1.3606141540128
    0.0      -1.3742670368081
    0.0      -1.3880241351796
    0.0      -1.4018849198053
    0.0      -1.4158489778000
    0.0      -1.4299159248719
    0.0      -1.4440854903334
    0.0      -1.4583574443561
    0.0      -1.4727316358912
    0.0      -1.4872079719914
    0.0      -1.5017864353939
    1.0      -0.8729603559145
    1.0      -0.8731405700763
    1.0      -0.8742750616525
    1.0      -0.8764777808880
    1.0      -0.8796226285082
    1.0      -0.8835690574058
    1.0      -0.8881997239665
    1.0      -0.8934225443522
    1.0      -0.8991654347655
    1.0      -0.9053711991147
    1.0      -0.9119936792275
    1.0      -0.9189950030944
    1.0      -0.9263436240395
    1.0      -0.9340129117838
    1.0      -0.9419801194023
    1.0      -0.9502256148957
    1.0      -0.9587322998218
    1.0      -0.9674851620227
    1.0      -0.9764709275843
    1.0      -0.9856777830389
    1.0      -0.9950951578314
    1.0      -1.0047135428519
    1.0      -1.0145243480563
    1.0      -1.0245197791166
    1.0      -1.0346927400004
    1.0      -1.0450367493278
    1.0      -1.0555458679017
    1.0      -1.0662146412004
    1.0      -1.0770380471184
    1.0      -1.0880114527947
    1.0      -1.0991305761212
    1.0      -1.1103914542776
    1.0      -1.1217904138220
    1.0      -1.1333240471685
    1.0      -1.1449891903087
    1.0      -1.1567829040133
    1.0      -1.1687024570673
    1.0      -1.1807453116763
    1.0      -1.1929091109558
    1.0      -1.2051916663312
    1.0      -1.2175909492519
    1.0      -1.2301050808911
    1.0      -1.2427323254945
    1.0      -1.2554710836824
    1.0      -1.2683198855366
    1.0      -1.2812773876067
    1.0      -1.2943423668846
    1.0      -1.3075137193741
    1.0      -1.3207904566789
    1.0      -1.3341716995742
    1.0      -1.3476566619154
    1.0      -1.3612446416980
    1.0      -1.3749350237661
    1.0      -1.3887272483425
    1.0      -1.4026208642135
    1.0      -1.4166154555788
    1.0      -1.4307107123986
    1.0      -1.4449063693880
    1.0      -1.4592022373101
    1.0      -1.4735981854272
    1.0      -1.4880941561615
    2.0      -0.8618770498581
    2.0      -0.8620555450088
    2.0      -0.8631818964247
    2.0      -0.8653705116324
    2.0      -0.8684974658091
    2.0      -0.8724237275607
    2.0      -0.8770327512067
    2.0      -0.8822328729635
    2.0      -0.8879522399285
    2.0      -0.8941337892619
    2.0      -0.9007314421002
    2.0      -0.9077073739783
    2.0      -0.9150300670224
    2.0      -0.9226729066013
    2.0      -0.9306131539894
    2.0      -0.9388311786507
    2.0      -0.9473098802642
    2.0      -0.9560342408070
    2.0      -0.9649909786449
    2.0      -0.9741682701303
    2.0      -0.9835555328428
    2.0      -0.9931432446801
    2.0      -1.0029228004335
    2.0      -1.0128863903648
    2.0      -1.0230269007070
    2.0      -1.0333378319471
    2.0      -1.0438132253764
    2.0      -1.0544476051382
    2.0      -1.0652359274149
    2.0      -1.0761735359353
    2.0      -1.0872561234336
    2.0      -1.0984797012742
    2.0      -1.1098405682846
    2.0      -1.1213352874548
    2.0      -1.1329606638578
    2.0      -1.1447137255055
    2.0      -1.1565917065846
    2.0      -1.1685920325315
    2.0      -1.1807123075450
    2.0      -1.1929503018283
    2.0      -1.2053039428919
    2.0      -1.2177713054257
    2.0      -1.2303506041803
    2.0      -1.2430401868106
    2.0      -1.2558385274704
    2.0      -1.2687442225549
    2.0      -1.2817559849317
    2.0      -1.2948726418933
    2.0      -1.3080931312216
    2.0      -1.3214164966457
    2.0      -1.3348418893327
    2.0      -1.3483685664571
    2.0      -1.3619958792515
    2.0      -1.3757232379616
    2.0      -1.3895501542755
    2.0      -1.4034761813500
    2.0      -1.4175009709875
    2.0      -1.4316242231780
    2.0      -1.4458457114395
    2.0      -1.4601652680767
    2.0      -1.4745827962044
    3.0      -0.8508523221701
    3.0      -0.8510291896616
    3.0      -0.8521477918145
    3.0      -0.8543228820743
    3.0      -0.8574326107262
    3.0      -0.8613394220133
    3.0      -0.8659275533711
    3.0      -0.8711057546654
    3.0      -0.8768024017012
    3.0      -0.8829605633740
    3.0      -0.8895342402126
    3.0      -0.8964856551953
    3.0      -0.9037833198275
    3.0      -0.9114006357017
    3.0      -0.9193148730067
    3.0      -0.9275064036064
    3.0      -0.9359581262025
    3.0      -0.9446550179196
    3.0      -0.9535837907141
    3.0      -0.9627326115449
    3.0      -0.9720908881238
    3.0      -0.9816490857236
    3.0      -0.9913985866503
    3.0      -1.0013315660773
    3.0      -1.0114408951020
    3.0      -1.0217200574602
    3.0      -1.0321630764518
    3.0      -1.0427644577639
    3.0      -1.0535191370708
    3.0      -1.0644224373096
    3.0      -1.0754700288025
    3.0      -1.0866578990405
    3.0      -1.0979823221340
    3.0      -1.1094398348253
    3.0      -1.1210272140441
    3.0      -1.1327414584880
    3.0      -1.1445797714624
    3.0      -1.1565395454633
    3.0      -1.1686183498506
    3.0      -1.1808139181312
    3.0      -1.1931241387296
    3.0      -1.2055470450444
    3.0      -1.2180808079429
    3.0      -1.2307237282340
    3.0      -1.2434742307147
    3.0      -1.2563308588117
    3.0      -1.2692922690582
    3.0      -1.2823572285169
    3.0      -1.2955246106050
    3.0      -1.3087933904868
    3.0      -1.3221626459306
    3.0      -1.3356315542310
    3.0      -1.3491993949814
    3.0      -1.3628655325559
    3.0      -1.3766294417868
    3.0      -1.3904906452716
    3.0      -1.4044487578207
    3.0      -1.4185034454329
    3.0      -1.4326544453124
    3.0      -1.4469015536372
    3.0      -1.4612446352090
    4.0      -0.8398846745886
    4.0      -0.8400600019359
    4.0      -0.8411712264409
    4.0      -0.8433333424325
    4.0      -0.8464264811310
    4.0      -0.8503145239171
    4.0      -0.8548824771100
    4.0      -0.8600394980724
    4.0      -0.8657141888447
    4.0      -0.8718497490149
    4.0      -0.8784002579832
    4.0      -0.8853279866617
    4.0      -0.8926014757572
    4.0      -0.9001941442976
    4.0      -0.9080832712877
    4.0      -0.9162492325859
    4.0      -0.9246749258911
    4.0      -0.9333453253524
    4.0      -0.9422471365034
    4.0      -0.9513685190950
    4.0      -0.9606988709463
    4.0      -0.9702286471485
    4.0      -0.9799492176555
    4.0      -0.9898527449169
    4.0      -0.9999320857590
    4.0      -1.0101807088068
    4.0      -1.0205926215389
    4.0      -1.0311623119635
    4.0      -1.0418846982475
    4.0      -1.0527550837551
    4.0      -1.0637691185745
    4.0      -1.0749227691857
    4.0      -1.0862122866593
    4.0      -1.0976341843089
    4.0      -1.1091852140174
    4.0      -1.1208623476553
    4.0      -1.1326627608692
    4.0      -1.1445838167945
    4.0      -1.1566230534293
    4.0      -1.1687781714059
    4.0      -1.1810470243106
    4.0      -1.1934276087576
    4.0      -1.2059180565358
    4.0      -1.2185166268352
    4.0      -1.2312217007298
    4.0      -1.2440317748103
    4.0      -1.2569454558973
    4.0      -1.2699614580309
    4.0      -1.2830785980820
    4.0      -1.2962957912242
    4.0      -1.3096120508977
    4.0      -1.3230264852939
    4.0      -1.3365382993244
    4.0      -1.3501467794915
    4.0      -1.3638513205483
    4.0      -1.3776513904297
    4.0      -1.3915465646189
    4.0      -1.4055364758595
    4.0      -1.4196208259624
    4.0      -1.4337993758060
    4.0      -1.4480719528609
    5.0      -0.8289726763510
    5.0      -0.8291465474766
    5.0      -0.8302507479696
    5.0      -0.8324004138614
    5.0      -0.8354775679673
    5.0      -0.8393474918915
    5.0      -0.8438959469618
    5.0      -0.8490324922391
    5.0      -0.8546859533701
    5.0      -0.8607996597764
    5.0      -0.8673277690739
    5.0      -0.8742326005018
    5.0      -0.8814827239699
    5.0      -0.8890515766180
    5.0      -0.8969164467705
    5.0      -0.9050577149281
    5.0      -0.9134582787276
    5.0      -0.9221031098893
    5.0      -0.9309789088182
    5.0      -0.9400738285742
    5.0      -0.9493772585885
    5.0      -0.9588796444431
    5.0      -0.9685723452146
    5.0      -0.9784475117699
    5.0      -0.9884979877894
    5.0      -0.9987172287296
    5.0      -1.0090992268028
    5.0      -1.0196384551145
    5.0      -1.0303298147615
    5.0      -1.0411685921946
    5.0      -1.0521504189032
    5.0      -1.0632712418687
    5.0      -1.0745272921776
    5.0      -1.0859150611963
    5.0      -1.0974312783108
    5.0      -1.1090728916444
    5.0      -1.1208370513750
    5.0      -1.1327210943096
    5.0      -1.1447225305463
    5.0      -1.1568390309777
    5.0      -1.1690684179494
    5.0      -1.1814086552651
    5.0      -1.1938578398490
    5.0      -1.2064141937139
    5.0      -1.2190760590498
    5.0      -1.2318418908866
    5.0      -1.2447102519978
    5.0      -1.2576798095340
    5.0      -1.2707493304724
    5.0      -1.2839176772120
    5.0      -1.2971838067003
    5.0      -1.3105467666541
    5.0      -1.3240056965437
    5.0      -1.3375598158905
    5.0      -1.3512084430539
