# P (GPa)             Gibbs free energy (Ry.)
# T= 0.000000 K
    0.0      -0.8841038108421
    1.0      -0.8729603559145
    2.0      -0.8618770498581
    3.0      -0.8508523221701
    4.0      -0.8398846745886
    5.0      -0.8289726763510
    6.0      -0.8181149598935
    7.0      -0.8073102169031
    8.0      -0.7965571946830
    9.0      -0.7858546927986
   10.0      -0.7752015599791
   11.0      -0.7645966912596
   12.0      -0.7540390253815
   13.0      -0.7435275423433
   14.0      -0.7330612611141
   15.0      -0.7226392374923
   16.0      -0.7122605620842
   17.0      -0.7019243584028
   18.0      -0.6916297814655
   19.0      -0.6813760162725
   20.0      -0.6711622759271
   21.0      -0.6609878000442
   22.0      -0.6508518539740
   23.0      -0.6407537279413
   24.0      -0.6306927348686
   25.0      -0.6206682093390
   26.0      -0.6106795080866
   27.0      -0.6007260075461
   28.0      -0.5908071026260
   29.0      -0.5809222080341
   30.0      -0.5710707552345
   31.0      -0.5612521921452
   32.0      -0.5514659842813
   33.0      -0.5417116108312
   34.0      -0.5319885671845
   35.0      -0.5222963625330
   36.0      -0.5126345190324
   37.0      -0.5030025735833
   38.0      -0.4934000734322
   39.0      -0.4838265804699
   40.0      -0.4742816657371
# T= 100.000000 K
    0.0      -0.8842858394649
    1.0      -0.8731405700763
    2.0      -0.8620555450088
    3.0      -0.8510291896616
    4.0      -0.8400600019359
    5.0      -0.8291465474766
    6.0      -0.8182874553423
    7.0      -0.8074814140416
    8.0      -0.7967271678825
    9.0      -0.7860235136052
   10.0      -0.7753692972706
   11.0      -0.7647634113993
   12.0      -0.7542047923525
   13.0      -0.7436924178708
   14.0      -0.7332253047804
   15.0      -0.7228025068443
   16.0      -0.7124231127332
   17.0      -0.7020862441256
   18.0      -0.6917910543173
   19.0      -0.6815367266413
   20.0      -0.6713224726062
   21.0      -0.6611475303098
   22.0      -0.6510111636888
   23.0      -0.6409126615848
   24.0      -0.6308513355898
   25.0      -0.6208265190429
   26.0      -0.6108375674830
   27.0      -0.6008838561762
   28.0      -0.5909647789370
   29.0      -0.5810797494194
   30.0      -0.5712281980615
   31.0      -0.5614095718180
   32.0      -0.5516233352629
   33.0      -0.5418689666882
   34.0      -0.5321459606173
   35.0      -0.5224538254156
   36.0      -0.5127920824327
   37.0      -0.5031602678040
   38.0      -0.4935579280346
   39.0      -0.4839846242928
   40.0      -0.4744399269470
# T= 200.000000 K
    0.0      -0.8854288827696
    1.0      -0.8742750616525
    2.0      -0.8631818964247
    3.0      -0.8521477918145
    4.0      -0.8411712264409
    5.0      -0.8302507479696
    6.0      -0.8193849686687
    7.0      -0.8085725613298
    8.0      -0.7978122555287
    9.0      -0.7871028341812
   10.0      -0.7764431303744
   11.0      -0.7658320244452
   12.0      -0.7552684412749
   13.0      -0.7447513477775
   14.0      -0.7342797505574
   15.0      -0.7238526937136
   16.0      -0.7134692567693
   17.0      -0.7031285528086
   18.0      -0.6928297270799
   19.0      -0.6825719551420
   20.0      -0.6723544411038
   21.0      -0.6621764160718
   22.0      -0.6520371375499
   23.0      -0.6419358880388
   24.0      -0.6318719730430
   25.0      -0.6218447203373
   26.0      -0.6118534800937
   27.0      -0.6018976222691
   28.0      -0.5919765358619
   29.0      -0.5820896298780
   30.0      -0.5722363301168
   31.0      -0.5624160794219
   32.0      -0.5526283382028
   33.0      -0.5428725807785
   34.0      -0.5331482980706
   35.0      -0.5234549946979
   36.0      -0.5137921887177
   37.0      -0.5041594128773
   38.0      -0.4945562105633
   39.0      -0.4849821399251
   40.0      -0.4754367683785
# T= 300.000000 K
    0.0      -0.8876463155644
    1.0      -0.8764777808880
    2.0      -0.8653705116324
    3.0      -0.8543228820743
    4.0      -0.8433333424325
    5.0      -0.8324004138614
    6.0      -0.8215226838572
    7.0      -0.8106988020405
    8.0      -0.7999274762849
    9.0      -0.7892074691562
   10.0      -0.7785375946353
   11.0      -0.7679167150940
   12.0      -0.7573437384978
   13.0      -0.7468176158096
   14.0      -0.7363373385697
   15.0      -0.7259019366296
   16.0      -0.7155104760526
   17.0      -0.7051620574268
   18.0      -0.6948558140208
   19.0      -0.6845909099089
   20.0      -0.6743665382611
   21.0      -0.6641819200388
   22.0      -0.6540363032609
   23.0      -0.6439289609826
   24.0      -0.6338591897094
   25.0      -0.6238263092348
   26.0      -0.6138296616756
   27.0      -0.6038686090753
   28.0      -0.5939425335737
   29.0      -0.5840508371888
   30.0      -0.5741929387965
   31.0      -0.5643682754141
   32.0      -0.5545763011126
   33.0      -0.5448164844136
   34.0      -0.5350883110245
   35.0      -0.5253912798226
   36.0      -0.5157249042842
   37.0      -0.5060887119063
   38.0      -0.4964822416649
   39.0      -0.4869050471628
   40.0      -0.4773566914360
# T= 400.000000 K
    0.0      -0.8908097592159
    1.0      -0.8796226285082
    2.0      -0.8684974658091
    3.0      -0.8574326107262
    4.0      -0.8464264811310
    5.0      -0.8354775679673
    6.0      -0.8245844304903
    7.0      -0.8137456918950
    8.0      -0.8029600352991
    9.0      -0.7922262000500
   10.0      -0.7815429783230
   11.0      -0.7709092119832
   12.0      -0.7603237896828
   13.0      -0.7497856441674
   14.0      -0.7392937497671
   15.0      -0.7288471201030
   16.0      -0.7184448061021
   17.0      -0.7080858939294
   18.0      -0.6977695030454
   19.0      -0.6874947843766
   20.0      -0.6772609186791
   21.0      -0.6670671156202
