# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 188.4475     -0.867058221
 183.1165     -0.873068662
 177.8865     -0.877889790
 172.7240     -0.881455158
 167.6965     -0.883538492
 162.7700     -0.883903030
 153.2210     -0.879069198
 144.0095     -0.865038470
 135.2030     -0.839972779
 126.7675     -0.801247549
 118.6695     -0.746169975
 110.9430     -0.671313492
# T= 100.000000 K
 188.4475     -0.867304702
 183.1165     -0.873298274
 177.8865     -0.878102104
 172.7240     -0.881653312
 167.6965     -0.883727087
 162.7700     -0.884077426
 153.2210     -0.879235715
 144.0095     -0.865195436
 135.2030     -0.840144539
 126.7675     -0.801433687
 118.6695     -0.746391446
 110.9430     -0.671625177
# T= 200.000000 K
 188.4475     -0.868734230
 183.1165     -0.874658154
 177.8865     -0.879390375
 172.7240     -0.882878949
 167.6965     -0.884904969
 162.7700     -0.885195081
 153.2210     -0.880293381
 144.0095     -0.866193923
 135.2030     -0.841156730
 126.7675     -0.802459278
 118.6695     -0.747480182
 110.9430     -0.672868285
# T= 300.000000 K
 188.4475     -0.871400342
 183.1165     -0.877220645
 177.8865     -0.881844587
 172.7240     -0.885233429
 167.6965     -0.887180406
 162.7700     -0.887371076
 153.2210     -0.882348992
 144.0095     -0.868132295
 135.2030     -0.843065947
 126.7675     -0.804342090
 118.6695     -0.749395188
 110.9430     -0.674910139
# T= 400.000000 K
 188.4475     -0.875094312
 183.1165     -0.880794542
 177.8865     -0.885291818
 172.7240     -0.888560344
 167.6965     -0.890411073
 162.7700     -0.890479855
 153.2210     -0.885297832
 144.0095     -0.870922795
 135.2030     -0.845788392
 126.7675     -0.806999032
 118.6695     -0.752046742
 110.9430     -0.677650279
# T= 500.000000 K
 188.4475     -0.879630261
 183.1165     -0.885202254
 177.8865     -0.889563624
 172.7240     -0.892700521
 167.6965     -0.894446086
 162.7700     -0.894380877
 153.2210     -0.889016206
 144.0095     -0.874458433
 135.2030     -0.849230196
 126.7675     -0.810348068
 118.6695     -0.755361466
 110.9430     -0.681021888
# T= 600.000000 K
 188.4475     -0.884868991
 183.1165     -0.890308311
 177.8865     -0.894528747
 172.7240     -0.897527244
 167.6965     -0.899162778
 162.7700     -0.898956673
 153.2210     -0.893395914
 144.0095     -0.878640934
 135.2030     -0.853302403
 126.7675     -0.814309688
 118.6695     -0.759268648
 110.9430     -0.684962779
# T= 700.000000 K
 188.4475     -0.890707240
 183.1165     -0.896011279
 177.8865     -0.900087835
 172.7240     -0.902943526
 167.6965     -0.904466214
 162.7700     -0.904115001
 153.2210     -0.898349729
 144.0095     -0.883388622
 135.2030     -0.857928979
 126.7675     -0.818813886
 118.6695     -0.763704437
 110.9430     -0.689415606
# T= 800.000000 K
 188.4475     -0.897066722
 183.1165     -0.902233851
 177.8865     -0.906164699
 172.7240     -0.908874505
 167.6965     -0.910282648
 162.7700     -0.909783606
 153.2210     -0.903808249
 144.0095     -0.888635283
 135.2030     -0.863047127
 126.7675     -0.823801607
 118.6695     -0.768613806
 110.9430     -0.694329806
# T= 900.000000 K
 188.4475     -0.903886530
 183.1165     -0.908915681
 177.8865     -0.912699640
 172.7240     -0.915261290
 167.6965     -0.916553827
 162.7700     -0.915905117
 153.2210     -0.909715815
 144.0095     -0.894327181
 135.2030     -0.868605243
 126.7675     -0.829223619
 118.6695     -0.773950166
 110.9430     -0.699661819
# T= 1000.000000 K
 188.4475     -0.911118131
 183.1165     -0.916008582
 177.8865     -0.919644862
 172.7240     -0.922056603
 167.6965     -0.923232866
 162.7700     -0.922433196
 153.2210     -0.916027172
 144.0095     -0.900420267
 135.2030     -0.874560664
 126.7675     -0.835038808
 118.6695     -0.779674181
 110.9430     -0.705374393
# T= 1100.000000 K
 188.4475     -0.918722042
 183.1165     -0.923473291
 177.8865     -0.926961355
 172.7240     -0.929221785
 167.6965     -0.930281352
 162.7700     -0.929329786
 153.2210     -0.922704977
 144.0095     -0.906877985
 135.2030     -0.880877771
 126.7675     -0.841212600
 118.6695     -0.785752507
 110.9430     -0.711435650
# T= 1200.000000 K
 188.4475     -0.926665564
 183.1165     -0.931277255
 177.8865     -0.934616731
 172.7240     -0.936724698
 167.6965     -0.937667308
 162.7700     -0.936563154
 153.2210     -0.929717986
 144.0095     -0.913669621
 135.2030     -0.887526499
 126.7675     -0.847715658
 118.6695     -0.792156681
 110.9430     -0.717818186
# T= 1300.000000 K
 188.4475     -0.934921197
 183.1165     -0.939393075
 177.8865     -0.942583706
 172.7240     -0.944538238
 167.6965     -0.945363741
 162.7700     -0.944106475
 153.2210     -0.937039720
 144.0095     -0.920769066
 135.2030     -0.894481204
 126.7675     -0.854522857
 118.6695     -0.798862216
 110.9430     -0.724498297
# T= 1400.000000 K
 188.4475     -0.943465513
 183.1165     -0.947797393
 177.8865     -0.950839003
 172.7240     -0.952639264
 167.6965     -0.953347583
 162.7700     -0.951936802
 153.2210     -0.944647483
 144.0095     -0.928153884
 135.2030     -0.901719796
 126.7675     -0.861612486
 118.6695     -0.805847876
 110.9430     -0.731455341
# T= 1500.000000 K
 188.4475     -0.952278317
 183.1165     -0.956470067
 177.8865     -0.959362536
 172.7240     -0.961007796
 167.6965     -0.961598909
 162.7700     -0.960034297
 153.2210     -0.952521623
 144.0095     -0.935804616
 135.2030     -0.909223071
 126.7675     -0.868965626
 118.6695     -0.813095104
 110.9430     -0.738671218
# T= 1600.000000 K
 188.4475     -0.961342032
 183.1165     -0.965393558
 177.8865     -0.968136808
 172.7240     -0.969626421
 167.6965     -0.970100342
 162.7700     -0.968381652
 153.2210     -0.960644973
 144.0095     -0.943704231
 135.2030     -0.916974198
 126.7675     -0.876565661
 118.6695     -0.820587568
 110.9430     -0.746129954
# T= 1700.000000 K
 188.4475     -0.970641225
 183.1165     -0.974552459
 177.8865     -0.977146444
 172.7240     -0.978479830
 167.6965     -0.978836600
 162.7700     -0.976963634
