# T (K)               Helmholtz Free Energy (Ry.)
# V= 188.4475000000000
    0.00      -0.8667191007639
  100.00      -0.8669627211790
  200.00      -0.8683903641740
  300.00      -0.8710582799657
  400.00      -0.8747559761859
  500.00      -0.8792965754134
  600.00      -0.8845404935933
  700.00      -0.8903842980528
  800.00      -0.8967496105616
  900.00      -0.9035754695328
 1000.00      -0.9108133061373
 1100.00      -0.9184236105921
 1200.00      -0.9263736638404
 1300.00      -0.9346359528157
 1400.00      -0.9431870342872
 1500.00      -0.9520067060142
 1600.00      -0.9610773822476
 1700.00      -0.9703836223586
 1800.00      -0.9799117605503
 1900.00      -0.9896496233849
 2000.00      -0.9995862935130
 2100.00      -1.0097119311486
 2200.00      -1.0200176177613
 2300.00      -1.0304952377671
 2400.00      -1.0411373723915
 2500.00      -1.0519372124243
 2600.00      -1.0628884907532
 2700.00      -1.0739854174982
 2800.00      -1.0852226271310
 2900.00      -1.0965951339571
 3000.00      -1.1080982961095
 3100.00      -1.1197277759900
 3200.00      -1.1314795162959
 3300.00      -1.1433497102677
 3400.00      -1.1553347821033
 3500.00      -1.1674313652136
 3600.00      -1.1796362826666
 3700.00      -1.1919465341387
 3800.00      -1.2043592815263
 3900.00      -1.2168718342159
 4000.00      -1.2294816405992
 4100.00      -1.2421862743817
 4200.00      -1.2549834279346
 4300.00      -1.2678709044162
 4400.00      -1.2808466060696
 4500.00      -1.2939085326910
 4600.00      -1.3070547713311
 4700.00      -1.3202834931137
 4800.00      -1.3335929467741
 4900.00      -1.3469814511218
 5000.00      -1.3604473956642
 5100.00      -1.3739892344706
 5200.00      -1.3876054866097
 5300.00      -1.4012947114455
 5400.00      -1.4150555467607
 5500.00      -1.4288866559211
 5600.00      -1.4427867727197
 5700.00      -1.4567546620726
 5800.00      -1.4707891372562
 5900.00      -1.4848890495177
 6000.00      -1.4990532932037
# V= 187.6646262626263
    0.00      -0.8677243386230
  100.00      -0.8679656802444
  200.00      -0.8693826148679
  300.00      -0.8720340789399
  400.00      -0.8757125728111
  500.00      -0.8802326142703
  600.00      -0.8854552285999
  700.00      -0.8912772778439
  800.00      -0.8976205415486
  900.00      -0.9044241495700
 1000.00      -0.9116395897640
 1100.00      -0.9192273892896
 1200.00      -0.9271548541872
 1300.00      -0.9353944890387
 1400.00      -0.9439228635100
 1500.00      -0.9527197848221
 1600.00      -0.9617676745196
 1700.00      -0.9710510975171
 1800.00      -0.9805563925875
 1900.00      -0.9902713896621
 2000.00      -1.0001851744033
 2100.00      -1.0102879092500
 2200.00      -1.0205706777575
 2300.00      -1.0310253658818
 2400.00      -1.0416445561889
 2500.00      -1.0524214408140
 2600.00      -1.0633497535463
 2700.00      -1.0744237053497
 2800.00      -1.0856379314878
 2900.00      -1.0969874470136
 3000.00      -1.1084676104925
 3100.00      -1.1200740850026
 3200.00      -1.1318028136280
 3300.00      -1.1436499900900
 3400.00      -1.1556120388943
 3500.00      -1.1676855937278
 3600.00      -1.1798674780571
 3700.00      -1.1921546918396
 3800.00      -1.2045443971993
 3900.00      -1.2170339037679
 4000.00      -1.2296206600865
 4100.00      -1.2423022401232
 4200.00      -1.2550763364579
 4300.00      -1.2679407522793
 4400.00      -1.2808933901581
 4500.00      -1.2939322499565
 4600.00      -1.3070554188679
