#T (K)      V (a.u.^3)
# P= 0.000000 GPa
    0.0     164.3765426325319
  100.0     164.4039573803869
  200.0     164.5328912765581
  300.0     164.7539751215424
  400.0     165.0328815376877
  500.0     165.3463820270298
  600.0     165.6823889912415
  700.0     166.0345890005678
  800.0     166.3995230940560
  900.0     166.7752090451237
 1000.0     167.1604767356655
 1100.0     167.5546284025348
 1200.0     167.9572571103759
 1300.0     168.3681425222447
 1400.0     168.7871899218748
 1500.0     169.2143929664271
 1600.0     169.6498099142241
 1700.0     170.0935481323957
 1800.0     170.5457531474719
 1900.0     171.0066043062603
 2000.0     171.4763066071327
 2100.0     171.9550916843188
 2200.0     172.4432111612264
 2300.0     172.9409409057806
 2400.0     173.4485764790653
 2500.0     173.9664319436181
 2600.0     174.4948453666130
 2700.0     175.0341750776280
 2800.0     175.5848003291886
 2900.0     176.1471228272844
 3000.0     176.7215713361030
 3100.0     177.3085952422868
 3200.0     177.9086742286347
 3300.0     178.5223140726295
 3400.0     179.1500531728168
 3500.0     179.7924624117414
 3600.0     180.4501444608655
 3700.0     181.1237411011734
 3800.0     181.8139352861366
 3900.0     182.5214522624892
 4000.0     183.2470665574385
 4100.0     183.9916003899426
 4200.0     184.7559321319552
 4300.0     185.5410054061787
 4400.0     186.3478202312210
 4500.0     187.1774554346217
 4600.0     188.0310678362806
 4700.0     188.9098881343616
 4800.0     189.8151929022257
 4900.0     190.7482948920224
 5000.0     191.7105577883733
 5100.0     192.7034088290629
 5200.0     193.7283088004624
 5300.0     194.7867444917365
 5400.0     195.8803367043474
 5500.0     197.0106601963080
 5600.0     198.1793477115243
 5700.0     199.3883218753235
 5800.0     200.6391942463124
 5900.0     201.9339577764586
 6000.0     203.2744105996862
# P= 1.000000 GPa
    0.0     163.4797962426150
  100.0     163.5057755932157
  200.0     163.6284963218926
  300.0     163.8403790205471
  400.0     164.1086806380169
  500.0     164.4108025905481
  600.0     164.7348891837742
  700.0     165.0747208895566
  800.0     165.4268776900169
  900.0     165.7893932482053
 1000.0     166.1610999646998
 1100.0     166.5412969035347
 1200.0     166.9295683768744
 1300.0     167.3256836694669
 1400.0     167.7295341299391
 1500.0     168.1410990350053
 1600.0     168.5604192395888
 1700.0     168.9875846495198
 1800.0     169.4227206679546
 1900.0     169.8659859757752
 2000.0     170.3175630467437
 2100.0     170.7776592263107
 2200.0     171.2465012942986
 2300.0     171.7243370809028
 2400.0     172.2114335842973
 2500.0     172.7080741539604
 2600.0     173.2145633195735
 2700.0     173.7312246710214
 2800.0     174.2583999169490
 2900.0     174.7964504752277
 3000.0     175.3457622066633
 3100.0     175.9067390242489
 3200.0     176.4798110296042
 3300.0     177.0654315368297
 3400.0     177.6640821924730
 3500.0     178.2762730016081
 3600.0     178.9025412061494
 3700.0     179.5434580509205
 3800.0     180.1996304163312
 3900.0     180.8717011424456
 4000.0     181.5603556453339
 4100.0     182.2663198202036
 4200.0     182.9903673652502
 4300.0     183.7333276363004
 4400.0     184.4960771384864
 4500.0     185.2795595845477
 4600.0     186.0847823234682
 4700.0     186.9128261845113
 4800.0     187.7648515807008
 4900.0     188.6420950260231
 5000.0     189.5458484290441
 5100.0     190.4774556994885
 5200.0     191.4383191794639
 5300.0     192.4298328247562
 5400.0     193.4535361379742
 5500.0     194.5109204956361
 5600.0     195.6035804199573
 5700.0     196.7332426722442
 5800.0     197.9015287006005
 5900.0     199.1102702436729
 6000.0     200.3612322446752
# P= 2.000000 GPa
    0.0     162.6067084804943
  100.0     162.6313145640675
  200.0     162.7481369831964
  300.0     162.9512828939847
  400.0     163.2095092973324
  500.0     163.5008206405669
  600.0     163.8135847246856
  700.0     164.1416733513798
  800.0     164.4817051934718
  900.0     164.8317294994809
 1000.0     165.1905826222354
 1100.0     165.5575606070053
 1200.0     165.9322412567897
 1300.0     166.3143837036112
 1400.0     166.7038680858018
 1500.0     167.1006597300494
 1600.0     167.5047850990331
 1700.0     167.9163174406999
 1800.0     168.3353650633994
 1900.0     168.7620677074174
 2000.0     169.1965877807955
 2100.0     169.6391115372740
 2200.0     170.0898425563737
 2300.0     170.5490050871957
 2400.0     171.0168397578326
 2500.0     171.4936029608083
 2600.0     171.9795701601982
 2700.0     172.4750333448017
