# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 188.447500 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.5377357893534
  200.0      34.4524105194324
  300.0      39.6384977528068
  400.0      44.0172444001063
  500.0      45.6879881844698
  600.0      46.9352391196516
  700.0      47.6385249453535
  800.0      48.1395030649605
  900.0      48.4812263848528
 1000.0      48.7324335004758
 1100.0      48.9195725452165
 1200.0      49.0635626088237
 1300.0      49.1758449643023
 1400.0      49.2660332725300
 1500.0      49.3384601910705
 1600.0      49.3987654355532
 1700.0      49.4475045887658
 1800.0      49.4903660121410
 1900.0      49.5246110051571
 2000.0      49.5559206274237
 2100.0      49.5809295778043
 2200.0      49.6042376234717
 2300.0      49.6242210827378
 2400.0      49.6404991867713
 2500.0      49.6565808396603
 2600.0      49.6702371798520
 2700.0      49.6822870395819
 2800.0      49.6922885331033
 2900.0      49.7035451483641
 3000.0      49.7107682927902
 3100.0      49.7197920271052
 3200.0      49.7260621444605
 3300.0      49.7332159856015
 3400.0      49.7397258702462
 3500.0      49.7443220785305
 3600.0      49.7493105048079
 3700.0      49.7546295141310
 3800.0      49.7579311112368
 3900.0      49.7630567312302
 4000.0      49.7657584978716
 4100.0      49.7688987785435
 4200.0      49.7735755111627
 4300.0      49.7743288956663
 4400.0      49.7786185130324
 4500.0      49.7801666340414
 4600.0      49.7831102790015
 4700.0      49.7864026968807
 4800.0      49.7858710316381
 4900.0      49.7892990842692
 5000.0      49.7886132935701
 5100.0      49.8010569275617
 5200.0      49.7820375040249
 5300.0      49.8080319753277
 5400.0      49.7854312257180
 5500.0      49.8063254449134
 5600.0      49.7966249238232
 5700.0      49.8030619255718
 5800.0      49.7983947199597
 5900.0      49.8084385702050
 6000.0      49.7897180420717
# V= 187.664626 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.5215777226442
  200.0      34.4297520292422
  300.0      39.6252104926035
  400.0      44.0074965710100
  500.0      45.6814125037379
  600.0      46.9302852518519
  700.0      47.6347561553089
  800.0      48.1365011869756
  900.0      48.4787856182145
 1000.0      48.7303995565043
 1100.0      48.9178469148559
 1200.0      49.0620723193971
 1300.0      49.1745463375466
 1400.0      49.2648792065755
 1500.0      49.3374330851873
 1600.0      49.3978310476012
 1700.0      49.4466666190066
 1800.0      49.4895829779599
 1900.0      49.5239032017951
 2000.0      49.5552497454815
 2100.0      49.5803170088583
 2200.0      49.6036553938487
 2300.0      49.6236685363232
 2400.0      49.6399920856394
 2500.0      49.6560884235876
 2600.0      49.6697694735174
 2700.0      49.6818397692209
 2800.0      49.6918722596369
 2900.0      49.7031249173297
 3000.0      49.7103863444336
 3100.0      49.7194090947332
 3200.0      49.7257043118752
 3300.0      49.7328628664610
 3400.0      49.7393771689175
 3500.0      49.7439952566886
 3600.0      49.7489917326074
 3700.0      49.7543164198898
 3800.0      49.7576313966492
 3900.0      49.7627545564229
 4000.0      49.7654722445010
 4100.0      49.7686272581815
 4200.0      49.7732841886717
 4300.0      49.7740767735970
 4400.0      49.7783524445020
 4500.0      49.7799135950856
 4600.0      49.7828582233417
 4700.0      49.7861450872221
 4800.0      49.7856426113323
 4900.0      49.7890671176237
 5000.0      49.7884114664358
 5100.0      49.8007232275583
 5200.0      49.7819730487529
 5300.0      49.8076575785560
 5400.0      49.7853695761972
 5500.0      49.8060151087275
 5600.0      49.7964622506615
 5700.0      49.8028360886856
 5800.0      49.7982293199454
 5900.0      49.8082390730333
 6000.0      49.7894833885755
# V= 186.881753 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.5053887592023
  200.0      34.4070294359244
  300.0      39.6118709597696
  400.0      43.9977096211417
  500.0      45.6748087877344
  600.0      46.9253106612513
  700.0      47.6309718018794
  800.0      48.1334873535440
  900.0      48.4763355172458
 1000.0      48.7283582253002
 1100.0      48.9161153775890
 1200.0      49.0605772738327
 1300.0      49.1732438593333
 1400.0      49.2637220236185
 1500.0      49.3364034514677
 1600.0      49.3968946273223
 1700.0      49.4458270158455
 1800.0      49.4887986642879
 1900.0      49.5231943999369
 2000.0      49.5545781244752
 2100.0      49.5797039075705
 2200.0      49.6030728208422
 2300.0      49.6231158147965
 2400.0      49.6394849380783
 2500.0      49.6555960986882
 2600.0      49.6693019628469
 2700.0      49.6813927974518
 2800.0      49.6914563635287
 2900.0      49.7027051571931
 3000.0      49.7100049182008
 3100.0      49.7190267593619
 3200.0      49.7253471270169
 3300.0      49.7325104488338
 3400.0      49.7390292188692
 3500.0      49.7436692209753
 3600.0      49.7486737912442
 3700.0      49.7540041745338
 3800.0      49.7573325816561
 3900.0      49.7624532991338
 4000.0      49.7651869384185
 4100.0      49.7683566951155
 4200.0      49.7729938660123
 4300.0      49.7738256453411
 4400.0      49.7780874050604
 4500.0      49.7796615918455
 4600.0      49.7826072224846
 4700.0      49.7858885363344
 4800.0      49.7854152775444
 4900.0      49.7888362179565
 5000.0      49.7882107227345
 5100.0      49.8003906792973
 5200.0      49.7819096237769
 5300.0      49.8072843673333
 5400.0      49.7853089681296
 5500.0      49.8057059446942
 5600.0      49.7963006705697
 5700.0      49.8026113937070
 5800.0      49.7980650287878
 5900.0      49.8080407019479
 6000.0      49.7892498783311
# V= 186.098879 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.4891695282599
  200.0      34.3842432594321
  300.0      39.5984792142894
  400.0      43.9878835727413
  500.0      45.6681770203072
