# T (K)      fittedE (Ry.)      P (GPa)
# V = 188.447500 (a.u.^3)
    0.0      -0.8667191007639     -19.1096046184107
  100.0      -0.8661485338895     -19.0666680293426
  200.0      -0.8642652779417     -18.8647216452668
  300.0      -0.8613913301477     -18.5547311136242
  400.0      -0.8581758702040     -18.1931537235167
  500.0      -0.8547342566380     -17.8061982874503
  600.0      -0.8511884693552     -17.4052822088747
  700.0      -0.8475721486883     -16.9959206719877
  800.0      -0.8439128517817     -16.5810644638589
  900.0      -0.8402234461224     -16.1624232723995
 1000.0      -0.8365129358310     -15.7410569282192
 1100.0      -0.8327868358169     -15.3176561757094
 1200.0      -0.8290489753698     -14.8926903712258
 1300.0      -0.8253020202620     -14.4664896002389
 1400.0      -0.8215478856347     -14.0392952002878
 1500.0      -0.8177879867249     -13.6112842426047
 1600.0      -0.8140233856736     -13.1825933114650
 1700.0      -0.8102549227612     -12.7533261883800
 1800.0      -0.8064832178213     -12.3235685753688
 1900.0      -0.8027087821002     -11.8933835465042
 2000.0      -0.7989320282831     -11.4628276675688
 2100.0      -0.7951532805798     -11.0319426340849
 2200.0      -0.7913728257993     -10.6007676182858
 2300.0      -0.7875908370622     -10.1693315685903
 2400.0      -0.7838075675789      -9.7376596199022
 2500.0      -0.7800231556918      -9.3057771194410
 2600.0      -0.7762376897570      -8.8737010034606
 2700.0      -0.7724513149978      -8.4414471793013
 2800.0      -0.7686641629023      -8.0090305417206
 2900.0      -0.7648762586391      -7.5764651852099
 3000.0      -0.7610877000486      -7.1437592594226
 3100.0      -0.7572985697799      -6.7109255522925
 3200.0      -0.7535088978978      -6.2779713315465
 3300.0      -0.7497187533112      -5.8449056777608
 3400.0      -0.7459281228931      -5.4117344541129
 3500.0      -0.7421371006516      -4.9784628541699
 3600.0      -0.7383457427588      -4.5450983906384
 3700.0      -0.7345540192587      -4.1116464367369
 3800.0      -0.7307619914961      -3.6781112714420
 3900.0      -0.7269696662293      -3.2444975656974
 4000.0      -0.7231770631949      -2.8108081449341
 4100.0      -0.7193842574266      -2.3770479577395
 4200.0      -0.7155911725887      -1.9432210381104
 4300.0      -0.7117978967034      -1.5093279413338
 4400.0      -0.7080044455931      -1.0753748572268
 4500.0      -0.7042107860772      -0.6413630433513
 4600.0      -0.7004169696671      -0.2072952598103
 4700.0      -0.6966229287101       0.2268268601989
 4800.0      -0.6928287937006       0.6610019284590
 4900.0      -0.6890345608065       1.0952251270382
 5000.0      -0.6852402331010       1.5294940061411
 5100.0      -0.6814454708020       1.9638080431444
 5200.0      -0.6776509607843       2.3981738361646
 5300.0      -0.6738562049688       2.8325702189669
 5400.0      -0.6700613166840       3.2670170348963
 5500.0      -0.6662665116951       3.7014923174517
 5600.0      -0.6624712807017       4.1360114513498
 5700.0      -0.6586761849325       4.5705655193344
 5800.0      -0.6548810260826       5.0051551910163
 5900.0      -0.6510856720614       5.4397757464559
 6000.0      -0.6472906486348       5.8744297334405
# V = 187.664626 (a.u.^3)
    0.0      -0.8677243386230     -18.6665744288386
  100.0      -0.8671584037166     -18.6238734039577
  200.0      -0.8652857062402     -18.4233945781535
  300.0      -0.8624217720304     -18.1151206591779
  400.0      -0.8592125315989     -17.7550622567195
  500.0      -0.8557753018913     -17.3694436659929
  600.0      -0.8522325856395     -16.9697469895519
  700.0      -0.8486185806101     -16.5615328471384
  800.0      -0.8449610754138     -16.1477799289947
  900.0      -0.8412731070141     -15.7302150471039
 1000.0      -0.8375637762205     -15.3099087050188
 1100.0      -0.8338386657020     -14.8875584902271
 1200.0      -0.8301016504949     -14.4636382177122
 1300.0      -0.8263554275487     -14.0384810760195
 1400.0      -0.8226019360103     -13.6123303870224
 1500.0      -0.8188426084329     -13.1853646754986
 1600.0      -0.8150785205574     -12.7577214648119
 1700.0      -0.8113105209859     -12.3295052877442
 1800.0      -0.8075392392593     -11.9008021974519
 1900.0      -0.8037651925367     -11.4716757253032
 2000.0      -0.7999887979904     -11.0421825024084
 2100.0      -0.7962103845528     -10.6123644447716
 2200.0      -0.7924302405930     -10.1822607572898
 2300.0      -0.7886485468088      -9.7519004128800
 2400.0      -0.7848655526010      -9.3213085791099
 2500.0      -0.7810814000607      -8.8905105052069
 2600.0      -0.7772961830910      -8.4595231110933
 2700.0      -0.7735100454020      -8.0283622714452
