# T (K)       gamma
# P = 0.000000 (GPa)
    1.0      -3.7104003260364
  100.0       0.8417857752196
  200.0       0.8496602050694
  300.0       1.0340418176636
  400.0       1.0742633208873
  500.0       1.1149834648189
  600.0       1.1336895171098
  700.0       1.1490332922976
  800.0       1.1600033634704
  900.0       1.1692963602694
 1000.0       1.1773225295882
 1100.0       1.1846477058243
 1200.0       1.1915106032621
 1300.0       1.1981022387428
 1400.0       1.2045151055766
 1500.0       1.2108477976855
 1600.0       1.2171291910377
 1700.0       1.2234337876673
 1800.0       1.2297332327205
 1900.0       1.2361217154528
 2000.0       1.2425395097879
 2100.0       1.2490750574504
 2200.0       1.2556687303680
 2300.0       1.2623769173636
 2400.0       1.2692138873129
 2500.0       1.2761333502284
 2600.0       1.2831916543313
 2700.0       1.2903837807050
 2800.0       1.2977236747289
 2900.0       1.3051616696596
 3000.0       1.3128102363729
 3100.0       1.3205567590538
 3200.0       1.3285082913186
 3300.0       1.3365918834163
 3400.0       1.3448547643450
 3500.0       1.3533291075706
 3600.0       1.3619690801175
 3700.0       1.3707862125539
 3800.0       1.3798492746044
 3900.0       1.3890691069071
 4000.0       1.3985651186639
 4100.0       1.4082660366562
 4200.0       1.4181669669658
 4300.0       1.4284133532392
 4400.0       1.4388143377623
 4500.0       1.4495648627081
 4600.0       1.4605557015375
 4700.0       1.4717965146959
 4800.0       1.4833462529786
 4900.0       1.4949160724955
 5000.0       1.5067087484451
 5100.0       1.5181083474247
 5200.0       1.5305284327997
 5300.0       1.5413434399540
 5400.0       1.5536371626017
 5500.0       1.5639622905977
 5600.0       1.5757089088860
 5700.0       1.5860906798039
 5800.0       1.5967054280391
 5900.0       1.6059019063880
 6000.0       1.6153366008837
# P = 1.000000 (GPa)
    1.0      -3.5468809004111
  100.0       0.8160020393986
  200.0       0.8301408551897
  300.0       1.0156574571237
  400.0       1.0580346691266
  500.0       1.0996243005920
  600.0       1.1189195121650
  700.0       1.1345505799643
  800.0       1.1456705428185
  900.0       1.1550127848426
 1000.0       1.1630259182055
 1100.0       1.1702931719018
 1200.0       1.1770662285783
 1300.0       1.1835432737426
 1400.0       1.1898229726308
 1500.0       1.1960064171104
 1600.0       1.2021256658746
 1700.0       1.2082560577080
 1800.0       1.2143712851282
 1900.0       1.2205653474748
 2000.0       1.2267796649701
 2100.0       1.2331023832239
 2200.0       1.2394754857910
 2300.0       1.2459530449463
 2400.0       1.2525513962930
 2500.0       1.2592236538280
 2600.0       1.2660248653721
 2700.0       1.2729514875054
 2800.0       1.2800150688988
 2900.0       1.2871684216650
 3000.0       1.2945201623840
 3100.0       1.3019613379212
 3200.0       1.3095942460917
 3300.0       1.3173491395654
 3400.0       1.3252708439008
 3500.0       1.3333896838426
 3600.0       1.3416617019440
 3700.0       1.3500972723588
 3800.0       1.3587624983058
 3900.0       1.3675700165040
 4000.0       1.3766351292516
 4100.0       1.3858878916968
 4200.0       1.3953241155429
 4300.0       1.4050803200849
 4400.0       1.4149759542656
 4500.0       1.4251935125215
 4600.0       1.4356284103225
 4700.0       1.4463261944962
 4800.0       1.4574144073029
 4900.0       1.4686564879500
 5000.0       1.4802375492599
 5100.0       1.4916106581412
 5200.0       1.5040399152724
 5300.0       1.5150984381688
 5400.0       1.5277156025211
 5500.0       1.5386916228388
 5600.0       1.5508551988325
 5700.0       1.5620428329662
 5800.0       1.5734706786802
 5900.0       1.5838353386739
 6000.0       1.5946092051271
# P = 2.000000 (GPa)
    1.0      -3.3890195484758
  100.0       0.7904216055699
  200.0       0.8108638472205
  300.0       0.9975425982957
  400.0       1.0420576147110
  500.0       1.0845205878000
  600.0       1.1044075889549
  700.0       1.1203334288803
  800.0       1.1316103278063
  900.0       1.1410104819202
 1000.0       1.1490190290208
 1100.0       1.1562379490626
 1200.0       1.1629306228146
 1300.0       1.1693031059578
 1400.0       1.1754597382596
 1500.0       1.1815040150771
 1600.0       1.1874719808485
 1700.0       1.1934384122118
 1800.0       1.1993816803539
 1900.0       1.2053921059463
 2000.0       1.2114162726752
 2100.0       1.2175383468412
 2200.0       1.2237040846171
 2300.0       1.2299660270824
 2400.0       1.2363386188326
 2500.0       1.2427798968657
 2600.0       1.2493398755892
 2700.0       1.2560167476131
 2800.0       1.2628220436372
 2900.0       1.2697090075461
 3000.0       1.2767823178731
 3100.0       1.2839386101663
 3200.0       1.2912737784195
 3300.0       1.2987215716629
 3400.0       1.3063253755102
 3500.0       1.3141132763269
 3600.0       1.3220430256015
 3700.0       1.3301237319435
 3800.0       1.3384196764821
 3900.0       1.3468451824565
 4000.0       1.3555112534212
 4100.0       1.3643495928097
 4200.0       1.3733569502016
 4300.0       1.3826616251035
 4400.0       1.3920917711669
 4500.0       1.4018205662798
 4600.0       1.4117465990597
 4700.0       1.4219135589451
 4800.0       1.4324395130349
 4900.0       1.4431191433095
 5000.0       1.4541956069062
 5100.0       1.4652146768975
 5200.0       1.4773642476631
 5300.0       1.4883584807370
 5400.0       1.5009746399666
 5500.0       1.5122327299827
 5600.0       1.5245963900629
 5700.0       1.5362751792462
 5800.0       1.5482539131890
 5900.0       1.5594498201353
 6000.0       1.5712267016913
# P = 3.000000 (GPa)
    1.0      -3.2365994681112
  100.0       0.7650344010517
  200.0       0.7918139383941
  300.0       0.9796801891228
  400.0       1.0263156435771
  500.0       1.0696567707494
  600.0       1.0901389477671
  700.0       1.1063665170580
  800.0       1.1178077764710
  900.0       1.1272739546698
 1000.0       1.1352866126785
 1100.0       1.1424657455236
 1200.0       1.1490873550310
 1300.0       1.1553645749463
 1400.0       1.1614076874438
 1500.0       1.1673229569261
 1600.0       1.1731494864304
 1700.0       1.1789628826644
 1800.0       1.1847441813189
 1900.0       1.1905824890290
 2000.0       1.1964275305081
 2100.0       1.2023608957612
 2200.0       1.2083318553737
 2300.0       1.2143899465920
 2400.0       1.2205517509089
 2500.0       1.2267744245994
 2600.0       1.2331084800375
 2700.0       1.2395509642116
 2800.0       1.2461127721886
 2900.0       1.2527510494343
 3000.0       1.2595632182196
 3100.0       1.2664516546684
 3200.0       1.2735091300228
 3300.0       1.2806700532066
 3400.0       1.2879760879387
 3500.0       1.2954553111116
 3600.0       1.3030661079256
 3700.0       1.3108161938609
 3800.0       1.3187684284249
 3900.0       1.3268389189908
 4000.0       1.3351346945877
 4100.0       1.3435890364276
 4200.0       1.3521994717971
 4300.0       1.3610865302616
 4400.0       1.3700869944922
 4500.0       1.3793655828901
 4600.0       1.3888235080911
 4700.0       1.3985026059831
 4800.0       1.4085150879050
 4900.0       1.4186636434241
 5000.0       1.4291780414766
 5100.0       1.4396322235366
 5200.0       1.4512161109397
 5300.0       1.4618263725746
 5400.0       1.4741198672529
 5500.0       1.4852980485914
 5600.0       1.4975997504836
 5700.0       1.5094428147669
 5800.0       1.5216785013858
 5900.0       1.5333609316298
 6000.0       1.5457875725143
# P = 4.000000 (GPa)
    1.0      -3.0893903978988
  100.0       0.7398513237561
  200.0       0.7729923417896
  300.0       0.9620642738302
  400.0       1.0107992276106
  500.0       1.0550205325336
  600.0       1.0761006576129
  700.0       1.0926361303682
  800.0       1.1042494849548
  900.0       1.1137888866818
 1000.0       1.1218142882802
 1100.0       1.1289617743392
 1200.0       1.1355210987226
 1300.0       1.1417116829249
 1400.0       1.1476507446664
 1500.0       1.1534461566817
 1600.0       1.1591409926842
 1700.0       1.1648110823792
 1800.0       1.1704408512496
 1900.0       1.1761174381024
 2000.0       1.1817937717512
 2100.0       1.1875499175086
 2200.0       1.1933368840613
 2300.0       1.1992040558632
 2400.0       1.2051659410058
 2500.0       1.2111842271101
 2600.0       1.2173047683340
 2700.0       1.2235266502343
 2800.0       1.2298608831851
 2900.0       1.2362634687762
 3000.0       1.2428315672380
 3100.0       1.2494691994722
 3200.0       1.2562649127466
 3300.0       1.2631581173216
 3400.0       1.2701856582312
 3500.0       1.2773753320835
 3600.0       1.2846885359537
 3700.0       1.2921304272613
 3800.0       1.2997618561994
 3900.0       1.3075016583343
 4000.0       1.3154529725245
 4100.0       1.3235506343949
 4200.0       1.3317923781919
 4300.0       1.3402926953828
 4400.0       1.3488955698309
 4500.0       1.3577575828036
 4600.0       1.3667835924671
 4700.0       1.3760131047992
 4800.0       1.3855534115918
 4900.0       1.3952138991494
 5000.0       1.4052145288792
 5100.0       1.4151474152552
 5200.0       1.4261436856371
 5300.0       1.4362032507072
 5400.0       1.4478932395492
 5500.0       1.4586403261258
 5600.0       1.4705847723697
 5700.0       1.4822573440543
 5800.0       1.4944345095371
 5900.0       1.5062541267039
 6000.0       1.5189685376041
# P = 5.000000 (GPa)
    1.0      -2.9472376722186
  100.0       0.7148848501216
  200.0       0.7544024485847
  300.0       0.9446920549016
  400.0       0.9955039478132
  500.0       1.0406050297073
  600.0       1.0622840602315
  700.0       1.0791319090843
  800.0       1.0909234172853
  900.0       1.1005430203842
 1000.0       1.1085888323530
 1100.0       1.1157126009722
 1200.0       1.1222176807651
 1300.0       1.1283304632515
 1400.0       1.1341735370539
 1500.0       1.1398581457130
 1600.0       1.1454301363765
 1700.0       1.1509665301995
 1800.0       1.1564540910223
 1900.0       1.1619787814087
 2000.0       1.1674968147810
 2100.0       1.1730858886643
 2200.0       1.1787000959422
 2300.0       1.1843865227948
 2400.0       1.1901607421496
 2500.0       1.1959856475795
 2600.0       1.2019055443334
 2700.0       1.2079200008240
 2800.0       1.2140385790951
 2900.0       1.2202213205840
 3000.0       1.2265584995237
 3100.0       1.2329606746195
 3200.0       1.2395116457013
 3300.0       1.2461517340467
 3400.0       1.2529190617037
 3500.0       1.2598381333978
 3600.0       1.2668716436907
 3700.0       1.2740256168690
 3800.0       1.2813579386927
 3900.0       1.2887887670850
 4000.0       1.2964186854091
 4100.0       1.3041842799565
 4200.0       1.3120832996960
 4300.0       1.3202238092290
 4400.0       1.3284577640950
 4500.0       1.3369339637400
 4600.0       1.3455602075458
 4700.0       1.3543741681030
 4800.0       1.3634786284821
 4900.0       1.3726893206575
 5000.0       1.3822176739289
 5100.0       1.3916713454759
 5200.0       1.4021298003407
