# T (K)               Helmholtz Free Energy (Ry.)
# V= 376.8950000000000
    0.00      -0.8670582206056
  100.00      -0.8673047017485
  200.00      -0.8687342301024
  300.00      -0.8714003417126
  400.00      -0.8750943117030
  500.00      -0.8796302612652
  600.00      -0.8848689910786
  700.00      -0.8907072401606
  800.00      -0.8970667221367
  900.00      -0.9038865296846
 1000.00      -0.9111181308313
 1100.00      -0.9187220420851
 1200.00      -0.9266655637142
 1300.00      -0.9349211974015
 1400.00      -0.9434655127680
 1500.00      -0.9522783167286
 1600.00      -0.9613420321822
 1700.00      -0.9706412247007
 1800.00      -0.9801622360179
 1900.00      -0.9898928960322
 2000.00      -0.9998222935093
 2100.00      -1.0099405913385
 2200.00      -1.0202388760811
 2300.00      -1.0307090342419
 2400.00      -1.0413436496086
 2500.00      -1.0521359173749
 2600.00      -1.0630795717630
 2700.00      -1.0741688246022
 2800.00      -1.0853983128728
 2900.00      -1.0967630536393
 3000.00      -1.1082584051221
 3100.00      -1.1198800328971
 3200.00      -1.1316238804082
 3300.00      -1.1434861431284
 3400.00      -1.1554632458219
 3500.00      -1.1675518224568
 3600.00      -1.1797486983938
 3700.00      -1.1920508745386
 3800.00      -1.2044555131933
 3900.00      -1.2169599253871
 4000.00      -1.2295615594977
 4100.00      -1.2422579910024
 4200.00      -1.2550469132233
 4300.00      -1.2679261289492
 4400.00      -1.2808935428317
 4500.00      -1.2939471544693
 4600.00      -1.3070850521030
 4700.00      -1.3203054068575
 4800.00      -1.3336064674703
 4900.00      -1.3469865554578
 5000.00      -1.3604440606747
 5100.00      -1.3739774372268
 5200.00      -1.3875851997034
 5300.00      -1.4012659196983
 5400.00      -1.4150182225922
 5500.00      -1.4288407845733
 5600.00      -1.4427323298730
 5700.00      -1.4566916281986
 5800.00      -1.4707174923464
 5900.00      -1.4848087759778
 6000.00      -1.4989643715463
# V= 366.2330000000000
    0.00      -0.8730686620813
  100.00      -0.8732982739391
  200.00      -0.8746581540189
  300.00      -0.8772206447570
  400.00      -0.8807945420313
  500.00      -0.8852022538389
  600.00      -0.8903083107207
  700.00      -0.8960112791915
  800.00      -0.9022338507689
  900.00      -0.9089156812022
 1000.00      -0.9160085824318
 1100.00      -0.9234732912481
 1200.00      -0.9312772545807
 1300.00      -0.9393930749176
 1400.00      -0.9477973930269
