#T (K)    alpha (10^(-5) K^(-1))
#P= 0.000000 GPa
    0.0       0.0000000000000
  100.0       0.7076426496475
  200.0       1.4566318581487
  300.0       1.9830037873818
  400.0       2.2966978132788
  500.0       2.5077502471254
  600.0       2.6667205261612
  700.0       2.7998428121137
  800.0       2.9198446685830
  900.0       3.0337833698564
 1000.0       3.1457812733333
 1100.0       3.2584775861686
 1200.0       3.3736853973149
 1300.0       3.4928010785987
 1400.0       3.6169521453017
 1500.0       3.7471458500535
 1600.0       3.8843509189426
 1700.0       4.0295174926141
 1800.0       4.1836528303136
 1900.0       4.3478233629668
 2000.0       4.5231945324669
 2100.0       4.7110843997589
 2200.0       4.9129702810630
 2300.0       5.1305239035329
 2400.0       5.3656310236264
 2500.0       5.6205139387233
 2600.0       5.8978473948835
 2700.0       6.2005300148410
 2800.0       6.5322664135606
 2900.0       6.8973083158236
 3000.0       7.3006101394193
 3100.0       7.7487094685044
 3200.0       8.2491583507434
 3300.0       8.8103978428422
 3400.0       9.4389701529762
 3500.0      10.1412224378829
 3600.0      10.9254690174679
 3700.0      11.7966412258241
 3800.0      12.7649205228995
 3900.0      13.8364514613342
 4000.0      15.0184070812850
 4100.0      16.3189774271512
 4200.0      17.7453515756662
 4300.0      19.3062334226583
 4400.0      21.0141998232045
 4500.0      22.8212404488705
 4600.0      24.9083093516958
 4700.0      26.7399877540513
 4800.0      30.1360940485420
 4900.0      28.5318588621301
 5000.0      13.4039476644826
 5100.0       3.6462625189425
 5200.0       4.5761239680717
 5300.0       4.6267875835110
 5400.0       4.3829115210501
 5500.0       4.2013568357671
 5600.0       4.0596663557085
 5700.0       4.0591779639141
 5800.0       3.9245654086415
 5900.0       3.7967833285351
 6000.0       5.5488496927095

#P= 1.000000 GPa
    0.0       0.0000000000000
  100.0       0.6626808047023
  200.0       1.3785184665113
  300.0       1.8899191497854
  400.0       2.1952827899321
  500.0       2.3998905331590
  600.0       2.5529632400948
  700.0       2.6802222104893
  800.0       2.7941721527941
  900.0       2.9017532123900
 1000.0       3.0069983281231
 1100.0       3.1124739358350
 1200.0       3.2199325080018
 1300.0       3.3306973680228
 1400.0       3.4458205855171
 1500.0       3.5662289938439
 1600.0       3.6927981804899
 1700.0       3.8263734691360
 1800.0       3.9678389459436
 1900.0       4.1181215099681
 2000.0       4.2782250646336
 2100.0       4.4492734628465
 2200.0       4.6325188583797
 2300.0       4.8293669146989
 2400.0       5.0413904210082
 2500.0       5.2704301987517
 2600.0       5.5186877670736
 2700.0       5.7885249321129
 2800.0       6.0829404447178
 2900.0       6.4053430914849
 3000.0       6.7596431947874
 3100.0       7.1510364123525
 3200.0       7.5852256896022
 3300.0       8.0696886736093
 3400.0       8.6130719957516
 3500.0       9.2239142262700
 3600.0       9.9098623493951
 3700.0      10.6770059096203
 3800.0      11.5347156386676
 3900.0      12.4894015148612
 4000.0      13.5499029987284
 4100.0      14.7240155840249
 4200.0      16.0200611624939
 4300.0      17.4473732051316
 4400.0      19.0190464912805
 4500.0      20.6982476549082
 4600.0      22.6404440618424
 4700.0      24.3810159643385
 4800.0      27.5293016602731
 4900.0      26.2803875774839
 5000.0      12.9393508793561
 5100.0       4.2624860187794
 5200.0       5.0779559832136
 5300.0       5.1176171480917
 5400.0       4.8838455106839
 5500.0       4.7149616844260
 5600.0       4.5733038708171
 5700.0       4.5586344872533
 5800.0       4.4241699790660
 5900.0       4.2981185832708
 6000.0       5.8927456968270

#P= 2.000000 GPa
    0.0       0.0000000000000
  100.0       0.6200822113494
  200.0       1.3045180753274
  300.0       1.8017255030510
  400.0       2.0992396376582
  500.0       2.2978306172823
  600.0       2.4454349394853
  700.0       2.5672796837678
  800.0       2.6756657671780
  900.0       2.7774147165634
 1000.0       2.8764812396732
 1100.0       2.9753719176657
 1200.0       3.0757765485069
 1300.0       3.1789579477322
 1400.0       3.2859086625309
 1500.0       3.3974833006723
 1600.0       3.5144755407821
 1700.0       3.6376444352582
 1800.0       3.7677730080556
 1900.0       3.9056705398238
 2000.0       4.0522061448006
 2100.0       4.2083457091717
 2200.0       4.3751561338278
 2300.0       4.5538268458852
 2400.0       4.7456786900600
 2500.0       4.9522489172132
