# T (K)      B_S (GPa)
# P = 0.000000 (GPa)
    1.0     178.3108915422721
  100.0     177.8828393603526
  200.0     176.2531086072598
  300.0     174.2973799220193
  400.0     172.0866839818223
  500.0     169.8209206623551
  600.0     167.4837547022888
  700.0     165.1245723491266
  800.0     162.7462475926958
  900.0     160.3617015605834
 1000.0     157.9753833729490
 1100.0     155.5927447967288
 1200.0     153.2171307262871
 1300.0     150.8518761393191
 1400.0     148.5003997349760
 1500.0     146.1649893388424
 1600.0     143.8491075082743
 1700.0     141.5555036843010
 1800.0     139.2872020105441
 1900.0     137.0478937820254
 2000.0     134.8406572857357
 2100.0     132.6694290030996
 2200.0     130.5385987805487
 2300.0     128.4527957674328
 2400.0     126.4175402724273
 2500.0     124.4365495365776
 2600.0     122.5169242968899
 2700.0     120.6705380385391
 2800.0     118.8923761345228
 2900.0     117.2104216060160
 3000.0     115.6171759363230
 3100.0     114.1278860587033
 3200.0     112.7740186644154
 3300.0     111.5262192954896
 3400.0     110.4364689422709
 3500.0     109.3742797163655
 3600.0     108.4147575587503
 3700.0     107.3519575249990
 3800.0     106.2385722429539
 3900.0     104.9314446204053
 4000.0     103.1486751014874
 4100.0     101.1785300554579
 4200.0      98.5337664249024
 4300.0      95.2048264153880
 4400.0      90.7801908379602
 4500.0      86.8461744915870
 4600.0      76.5987163256450
 4700.0     120.5016932613927
 4800.0      33.0368002144049
 4900.0      10.7725994691421
 5000.0      13.2674609133361
 5100.0      13.0486974263916
 5200.0      13.3102514741748
 5300.0      13.6920181832982
 5400.0      22.0681059933879
 5500.0      14.4095750851566
 5600.0       8.3611844299938
 5700.0      16.2282015817702
 5800.0      13.4019067598429
 5900.0      15.6042164955554
 6000.0      16.6105762924195
# P = 1.000000 (GPa)
    1.0     182.3400891135095
  100.0     181.9037579724543
  200.0     180.2681765506395
  300.0     178.3028977483814
  400.0     176.0879697901117
  500.0     173.8158287025757
  600.0     171.4722001104317
  700.0     169.1049646723780
  800.0     166.7172833309462
  900.0     164.3217596987611
 1000.0     161.9227859108426
 1100.0     159.5256126080374
 1200.0     157.1334992857537
 1300.0     154.7495875591863
 1400.0     152.3770864878773
 1500.0     150.0181314793958
 1600.0     147.6759282810521
 1700.0     145.3529898994514
 1800.0     143.0520484867363
 1900.0     140.7764923617096
 2000.0     138.5290594195467
 2100.0     136.3132731008955
 2200.0     134.1330682350687
 2300.0     131.9925767936569
 2400.0     129.8967028289772
 2500.0     127.8486220420015
 2600.0     125.8545455202750
 2700.0     123.9252712473811
 2800.0     122.0554118826884
 2900.0     120.2706154545414
 3000.0     118.5629796819960
 3100.0     116.9461101813841
 3200.0     115.4466616168719
 3300.0     114.0433489242778
 3400.0     112.8102646766945
 3500.0     111.6647834751992
 3600.0     110.6703071268430
 3700.0     109.7108971454534
 3800.0     108.7566305053623
 3900.0     107.7808967980775
 4000.0     106.4757708452509
 4100.0     105.0936326753285
 4200.0     103.1313206551365
 4300.0     100.6623066899014
 4400.0      97.2631786475274
 4500.0      93.9760797213357
 4600.0      85.3849176698718
 4700.0     110.8466574553831
 4800.0      42.8348605254456
 4900.0      10.6827929217659
 5000.0      15.2315503095328
 5100.0      15.4984789107697
 5200.0      16.1706823753611
 5300.0      16.2603082807468
 5400.0      19.8782281866320
 5500.0      16.6940043095373
 5600.0      24.8600753316195
 5700.0      18.1029721946358
 5800.0       6.0373382436810
 5900.0      17.5839563329703
 6000.0      18.3516229438546
# P = 2.000000 (GPa)
    1.0     186.3693048737411
  100.0     185.9254526233713
  200.0     184.2852595853164
  300.0     182.3117157099586
  400.0     180.0935437364174
  500.0     177.8161892141061
  600.0     175.4672800271978
  700.0     173.0933216632160
  800.0     170.6977152182582
  900.0     168.2927758036109
 1000.0     165.8828362250141
 1100.0     163.4729901742993
 1200.0     161.0663622305707
 1300.0     158.6659551179113
 1400.0     156.2748145372325
 1500.0     153.8949065211734
 1600.0     151.5292061880549
 1700.0     149.1800229010419
 1800.0     146.8498540255233
 1900.0     144.5417693695185
 2000.0     142.2582563214131
 2100.0     140.0024514087405
 2200.0     137.7779050610454
 2300.0     135.5882992601024
 2400.0     133.4380253717922
 2500.0     131.3298116271359
 2600.0     129.2690925288823
 2700.0     127.2657156809192
 2800.0     125.3140837943941
 2900.0     123.4378028242701
 3000.0     121.6287920280301
 3100.0     119.8989345787105
 3200.0     118.2722015524420
 3300.0     116.7276172903955
 3400.0     115.3319581853882
 3500.0     114.0245183628003
 3600.0     112.8959165899921
 3700.0     111.8860649795159
 3800.0     110.9521236117362
 3900.0     110.1242475754655
 4000.0     109.1137197344813
 4100.0     108.1519935807978
 4200.0     106.7554415925186
 4300.0     105.0468012304514
 4400.0     102.6213958360782
 4500.0     100.1531318691404
 4600.0      93.2689744224862
 4700.0     109.8173172473983
 4800.0      54.0927798245493
 4900.0       9.1115656514268
 5000.0      17.5552807146666
 5100.0      18.6348441473800
 5200.0      19.7586063241935
 5300.0      19.5644898226196
 5400.0      22.4427115844596
 5500.0      19.6785655198148
 5600.0      24.4076386938022
 5700.0      20.6665152253620
 5800.0      30.5055920763066
 5900.0      20.1746749973465
 6000.0      20.6836858458587
# P = 3.000000 (GPa)
    1.0     190.3985324928289
  100.0     189.9478843255225
  200.0     188.3042441968189
  300.0     186.3236483817853
  400.0     184.1031955901430
  500.0     181.8216937421918
  600.0     179.4686548250268
  700.0     177.0892162109363
  800.0     174.6870378829105
  900.0     172.2741459195288
 1000.0     169.8548289902797
 1100.0     167.4340165373325
 1200.0     165.0147645618811
 1300.0     162.5999121626254
 1400.0     160.1923244237904
 1500.0     157.7938595644571
 1600.0     155.4072835095614
 1700.0     153.0347104631847
 1800.0     150.6784209182752
 1900.0     148.3412435446994
 2000.0     146.0253826358160
 2100.0     143.7337122003900
 2200.0     141.4693854578187
 2300.0     139.2356948871968
 2400.0     137.0366246459931
 2500.0     134.8744695674924
 2600.0     132.7540536856136
 2700.0     130.6844027373698
 2800.0     128.6597378239447
 2900.0     126.7018816437938
 3000.0     124.8027564336578
 3100.0     122.9727114332890
 3200.0     121.2335698714210
 3300.0     119.5645846433075
 3400.0     118.0274077165509
 3500.0     116.5629988193783
 3600.0     115.2567727479474
 3700.0     114.0833011058394
 3800.0     113.0409269405407
 3900.0     112.1923728006514
 4000.0     111.2880014448144
 4100.0     110.5506405096227
 4200.0     109.5400688910193
 4300.0     108.4082595552222
 4400.0     106.7923929080892
 4500.0     105.1402142322755
 4600.0      99.8511436923112
 4700.0     111.6373259640520
 4800.0      65.7113671754475
 4900.0       4.7258834465060
 5000.0      20.0417915810638
 5100.0      22.4883343943951
 5200.0      24.0598726504915
 5300.0      23.6124309812278
 5400.0      26.1366810436218
 5500.0      23.3907443938209
 5600.0      27.1656527185421
 5700.0      23.9438811925507
 5800.0      29.0914650953151
 5900.0      23.4072602059850
 6000.0      23.6382003044240
# P = 4.000000 (GPa)
    1.0     194.4277724125794
  100.0     193.9710177620147
  200.0     192.3250585983194
  300.0     190.3385488613397
  400.0     188.1167043818922
  500.0     185.8320895665561
  600.0     183.4759949643916
  700.0     181.0922531051702
  800.0     178.6847691514848
  900.0     176.2653079293461
 1000.0     173.8381014664064
 1100.0     171.4079570659938
 1200.0     168.9778227285353
 1300.0     166.5504006090901
 1400.0     164.1284321549711
 1500.0     161.7136475860721
 1600.0     159.3086139646377
 1700.0     156.9152986101481
 1800.0     154.5357869484556
 1900.0     152.1726454090164
 2000.0     149.8278996743763
 2100.0     147.5041056275281
