# T (K)      C_P (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    1.0       1.0000090058065
  100.0      15.9185801096219
  200.0      34.4683559624416
  300.0      40.1284704635314
  400.0      44.6254170531525
  500.0      46.5633252360834
  600.0      48.0460994006859
  700.0      49.0172366795264
  800.0      49.7998104879870
  900.0      50.4444066735955
 1000.0      51.0217390432637
 1100.0      51.5588634886208
 1200.0      52.0806036021603
 1300.0      52.6025216742494
 1400.0      53.1339840592362
 1500.0      53.6875850642160
 1600.0      54.2693299329743
 1700.0      54.8877056449707
 1800.0      55.5508791510403
 1900.0      56.2652228307697
 2000.0      57.0405571879681
 2100.0      57.8860883633082
 2200.0      58.8117142264094
 2300.0      59.8290901585965
 2400.0      60.9502312238013
 2500.0      62.1952079941287
 2600.0      63.5825292443757
 2700.0      65.1226527016730
 2800.0      66.8674093932953
 2900.0      68.8161553426957
 3000.0      71.0332237439331
 3100.0      73.5659560186886
 3200.0      76.4484425770779
 3300.0      79.8007188519830
 3400.0      83.6026680092034
 3500.0      88.0169105628260
 3600.0      93.0211501811472
 3700.0      98.6853679499750
 3800.0     105.1394096242188
 3900.0     112.2108374471884
 4000.0     120.2156743897869
 4100.0     128.7138535371634
 4200.0     138.2115151841290
 4300.0     147.9760282128329
 4400.0     158.1969193958867
 4500.0     167.0635375895000
 4600.0     184.8584102432692
 4700.0     163.9899945384709
 4800.0     316.4400727870005
 4900.0    -376.2571899898915
 5000.0   -1217.2788731686003
 5100.0     226.7770174103384
 5200.0      58.4900623309486
 5300.0     110.0671915840849
 5400.0       9.2927647771350
 5500.0     140.5803432631088
 5600.0      -3.9307911660895
 5700.0     169.0988827458023
 5800.0     -26.1931481419390
 5900.0     178.6630646384337
 6000.0     410.4350591380653
# P = 1.000000 (GPa)
    1.0       1.0000078884546
  100.0      15.8853660955371
  200.0      34.4266498386837
  300.0      40.0853682195943
  400.0      44.5744293186241
  500.0      46.5015278520644
  600.0      47.9706087718480
  700.0      48.9258862362306
  800.0      49.6904115391089
  900.0      50.3147817517962
 1000.0      50.8694962216825
 1100.0      51.3814321095724
 1200.0      51.8750983592483
 1300.0      52.3657089775981
 1400.0      52.8622568404481
 1500.0      53.3768307122588
 1600.0      53.9149026383480
 1700.0      54.4843066702974
 1800.0      55.0924275178286
 1900.0      55.7447544639287
 2000.0      56.4500238236386
 2100.0      57.2161579395952
 2200.0      58.0515286610315
 2300.0      58.9659576109532
 2400.0      59.9692699100537
 2500.0      61.0787910352342
 2600.0      62.3096354504694
 2700.0      63.6683862828566
 2800.0      65.2013949289072
 2900.0      66.9019672424444
 3000.0      68.8260985986594
 3100.0      71.0105168018192
 3200.0      73.4754091396565
 3300.0      76.3292214356334
 3400.0      79.5634373446962
 3500.0      83.3542755722263
 3600.0      87.6788751265221
 3700.0      92.6407544025916
 3800.0      98.3446729838311
 3900.0     104.6963724621674
 4000.0     111.9927723923627
 4100.0     119.8938484494607
 4200.0     128.8296945060726
 4300.0     138.3108150864634
 4400.0     148.5119295338988
 4500.0     157.9671621960077
 4600.0     174.2081148108166
 4700.0     162.3907720491033
 4800.0     275.4125377177552
 4900.0    -208.4717101447397
 5000.0    -809.2360576461940
 5100.0     173.3596334529788
 5200.0      58.8429740628240
 5300.0      94.8088250774468
 5400.0      23.7102315156349
 5500.0     115.9813734901843
 5600.0      14.8657209913867
 5700.0     137.5291351550938
 5800.0      -2.4473008780447
 5900.0     145.7301260847236
 6000.0     316.6958693152672
# P = 2.000000 (GPa)
    1.0       1.0000068930782
  100.0      15.8531354800631
  200.0      34.3864693104327
  300.0      40.0443552496255
  400.0      44.5263430408568
  500.0      46.4436213623612
  600.0      47.9001704891493
  700.0      48.8409236689002
  800.0      49.5889321068499
  900.0      50.1948199872519
 1000.0      50.7289036481050
 1100.0      51.2179343992881
 1200.0      51.6861381467707
 1300.0      52.1484315837681
 1400.0      52.6134989706275
 1500.0      53.0929812021476
 1600.0      53.5919004626912
 1700.0      54.1175449370166
 1800.0      54.6766481235744
 1900.0      55.2739648894401
 2000.0      55.9173276285333
 2100.0      56.6136076991338
 2200.0      57.3699277560459
 2300.0      58.1946196281140
 2400.0      59.0957492150650
 2500.0      60.0884452053254
 2600.0      61.1851363198441
 2700.0      62.3893565198444
 2800.0      63.7432090758411
 2900.0      65.2353584083324
 3000.0      66.9155049707499
 3100.0      68.8122304368616
 3200.0      70.9362208197264
 3300.0      73.3819509481318
 3400.0      76.1250992968639
 3500.0      79.3357743941928
 3600.0      83.0079024692514
 3700.0      87.2649515384790
 3800.0      92.2045523320459
 3900.0      97.7724038519846
 4000.0     104.2615319748047
 4100.0     111.4015040246003
 4200.0     119.5924716248840
 4300.0     128.5025711534834
 4400.0     138.3253414091911
 4500.0     147.8979965791595
 4600.0     162.9303695822503
 4700.0     157.2758162440476
 4800.0     243.7173281158953
 4900.0     -97.8143505202987
 5000.0    -532.3690950374707
 5100.0     137.4112172322998
 5200.0      59.6817397425438
 5300.0      84.7710108691806
 5400.0      34.3848483426176
 5500.0      99.1226275690661
 5600.0      28.7876287149288
 5700.0     115.3350238901785
 5800.0      15.2592248958531
 5900.0     122.2032198592735
 6000.0     248.3460413656842
# P = 3.000000 (GPa)
    1.0       1.0000060071748
  100.0      15.8222167407826
  200.0      34.3481596813945
  300.0      40.0056015388952
  400.0      44.4811715958568
  500.0      46.3894582454067
  600.0      47.8344852462259
  700.0      48.7618945097498
  800.0      49.4947429029194
  900.0      50.0836998077158
 1000.0      50.5989261070090
 1100.0      51.0670643758869
 1200.0      51.5121070145899
 1300.0      51.9487177371595
 1400.0      52.3853141966387
 1500.0      52.8331530816494
 1600.0      53.2968829650049
 1700.0      53.7833180659534
 1800.0      54.2986350850846
 1900.0      54.8469888468692
 2000.0      55.4354528158361
 2100.0      56.0700309765959
