# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 188.616000 (a.u.^3)
    5.0       0.0029726568002
  100.0      17.8459143448282
  200.0      33.2201137963777
  300.0      40.7273132059688
  400.0      44.2796425460660
  500.0      46.1447149917660
  600.0      47.2247324137472
  700.0      47.9003385044030
  800.0      48.3490604022844
  900.0      48.6614772947386
 1000.0      48.8873724620936
 1100.0      49.0558276709427
 1200.0      49.1847093378742
 1300.0      49.2854657238945
 1400.0      49.3656984600027
 1500.0      49.4306111222434
 1600.0      49.4838607335027
 1700.0      49.5280770922570
 1800.0      49.5651898710260
 1900.0      49.5966405570364
 2000.0      49.6235232673295
 2100.0      49.6466804252398
 2200.0      49.6667690862017
 2300.0      49.6843077572447
 2400.0      49.6997099940850
 2500.0      49.7133088731127
 2600.0      49.7253750619942
 2700.0      49.7361303317886
 2800.0      49.7457577778785
 2900.0      49.7544096343075
 3000.0      49.7622133075402
 3100.0      49.7692760783713
 3200.0      49.7756887974634
 3300.0      49.7815288132189
 3400.0      49.7868623088690
 3500.0      49.7917461811225
 3600.0      49.7962295602887
 3700.0      49.8003550479569
 3800.0      49.8041597306277
 3900.0      49.8076760144571
 4000.0      49.8109323162919
 4100.0      49.8139536385797
 4200.0      49.8167620499247
 4300.0      49.8193770885738
 4400.0      49.8218161026384
 4500.0      49.8240945381353
 4600.0      49.8262261837940
 4700.0      49.8282233798892
 4800.0      49.8300971970133
 4900.0      49.8318575896339
 5000.0      49.8335135284178
 5100.0      49.8350731146132
 5200.0      49.8365436792151
 5300.0      49.8379318691843
 5400.0      49.8392437226162
 5500.0      49.8404847344480
 5600.0      49.8416599140409
 5700.0      49.8427738357659
 5800.0      49.8438306835478
 5900.0      49.8448342901770
 6000.0      49.8457881720824
# V = 178.021000 (a.u.^3)
    5.0       0.0029265145783
  100.0      16.3504416001750
  200.0      31.3712732238680
  300.0      39.4063579255340
  400.0      43.3844913437906
  500.0      45.5176446243025
  600.0      46.7667627515163
  700.0      47.5532860298350
  800.0      48.0778525901641
  900.0      48.4440983699262
 1000.0      48.7094371055250
 1100.0      48.9075912156683
 1200.0      49.0593591212612
 1300.0      49.1781064590049
 1400.0      49.2727276128378
 1500.0      49.3493215951337
 1600.0      49.4121806160432
 1700.0      49.4643946702017
 1800.0      49.5082331751210
 1900.0      49.5453926948280
 2000.0      49.5771617735939
 2100.0      49.6045330705956
 2200.0      49.6282811763745
 2300.0      49.6490175925953
 2400.0      49.6672302150847
 2500.0      49.6833121122107
 2600.0      49.6975827877102
 2700.0      49.7103040878301
 2800.0      49.7216922393112
 2900.0      49.7319270565924
 3000.0      49.7411590535755
 3100.0      49.7495149873411
 3200.0      49.7571022165567
 3300.0      49.7640121554077
 3400.0      49.7703230312386
 3500.0      49.7761021017251
 3600.0      49.7814074492608
 3700.0      49.7862894421969
 3800.0      49.7907919317563
 3900.0      49.7949532378606
 4000.0      49.7988069653477
 4100.0      49.8023826831133
 4200.0      49.8057064918563
 4300.0      49.8088015008249
 4400.0      49.8116882298482
 4500.0      49.8143849497411
 4600.0      49.8169079716398
 4700.0      49.8192718938387
 4800.0      49.8214898131132
 4900.0      49.8235735062485
 5000.0      49.8255335864785
 5100.0      49.8273796387201
 5200.0      49.8291203368242
 5300.0      49.8307635455256
 5400.0      49.8323164093288
 5500.0      49.8337854302119
 5600.0      49.8351765357233
 5700.0      49.8364951388087
 5800.0      49.8377461904927
 5900.0      49.8389342263766
 6000.0      49.8400634077663
# V = 167.899000 (a.u.^3)
    5.0       0.0010672999548
  100.0      13.3296579359921
  200.0      28.6513228048880
  300.0      37.5043091740368
  400.0      42.0998301062706
  500.0      44.6225923606420
  600.0      46.1187849072823
  700.0      47.0680372000869
  800.0      47.7042028005382
  900.0      48.1498191257216
 1000.0      48.4734063535306
 1100.0      48.7154687566414
 1200.0      48.9011024862977
 1300.0      49.0464901149996
 1400.0      49.1624286767173
 1500.0      49.2563369297133
 1600.0      49.3334443216468
 1700.0      49.3975205081190
 1800.0      49.4513370572005
 1900.0      49.4969677824767
 2000.0      49.5359889339023
 2100.0      49.5696155854772
 2200.0      49.5987963995292
 2300.0      49.6242806513695
 2400.0      49.6466664059266
 2500.0      49.6664356603148
 2600.0      49.6839803266195
 2700.0      49.6996216818200
 2800.0      49.7136250946342
 2900.0      49.7262112945847
 3000.0      49.7375650800176
 3100.0      49.7478421086656
 3200.0      49.7571742381098
 3300.0      49.7656737592503
 3400.0      49.7734367772654
 3500.0      49.7805459306151
 3600.0      49.7870725920678
 3700.0      49.7930786614545
 3800.0      49.7986180344081
 3900.0      49.8037378122874
 4000.0      49.8084793040977
 4100.0      49.8128788602714
 4200.0      49.8169685697841
 4300.0      49.8207768456071
 4400.0      49.8243289184714
 4500.0      49.8276472549853
 4600.0      49.8307519130628
 4700.0      49.8336608451724
 4800.0      49.8363901579794
 4900.0      49.8389543354001
 5000.0      49.8413664308416
 5100.0      49.8436382333963
 5200.0      49.8457804119467
 5300.0      49.8478026404712
 5400.0      49.8497137073017
 5500.0      49.8515216106401
 5600.0      49.8532336422713
 5700.0      49.8548564611124
 5800.0      49.8563961579820
 5900.0      49.8578583127686
 6000.0      49.8592480449996
# V = 162.905000 (a.u.^3)
    5.0       0.0012081667632
  100.0      13.2249639887513
  200.0      27.9362130863693
  300.0      36.8365866006458
  400.0      41.5975208376942
  500.0      44.2502682102335
  600.0      45.8362871317913
  700.0      46.8473602124492
  800.0      47.5270328234409
  900.0      48.0041098871060
 1000.0      48.3510487778455
 1100.0      48.6108571091819
 1200.0      48.8102603929935
 1300.0      48.9665293737546
 1400.0      49.0912062373525
 1500.0      49.1922320104684
 1600.0      49.2752100492818
 1700.0      49.3441829058323
 1800.0      49.4021248209711
 1900.0      49.4512625205217
 2000.0      49.4932892858141
 2100.0      49.5295109338864
 2200.0      49.5609473268742
 2300.0      49.5884042155976
 2400.0      49.6125249098154
 2500.0      49.6338279880611
 2600.0      49.6527351906902
 2700.0      49.6695923077394
 2800.0      49.6846849998577
 2900.0      49.6982509081852
 3000.0      49.7104890145887
 3100.0      49.7215669425609
 3200.0      49.7316267002660
 3300.0      49.7407892340212
 3400.0      49.7491580654581
 3500.0      49.7568222170306
 3600.0      49.7638585805460
 3700.0      49.7703338466084
 3800.0      49.7763060855313
 3900.0      49.7818260498130
 4000.0      49.7869382528076
 4100.0      49.7916818664593
 4200.0      49.7960914719554
 4300.0      49.8001976901907
 4400.0      49.8040277135333
 4500.0      49.8076057561540
 4600.0      49.8109534368599
 4700.0      49.8140901057469
 4800.0      49.8170331238952
 4900.0      49.8197981036624
 5000.0      49.8223991157927
 5100.0      49.8248488684731
 5200.0      49.8271588625979
 5300.0      49.8293395267839
 5400.0      49.8314003350981
 5500.0      49.8333499099826
 5600.0      49.8351961124646
 5700.0      49.8369461214149
 5800.0      49.8386065033482
 5900.0      49.8401832740340
 6000.0      49.8416819529952
# V = 158.114000 (a.u.^3)
    5.0       0.0010600562781
  100.0      12.5530963364657
  200.0      26.9063847107838
  300.0      35.9780328675397
  400.0      40.9724505332113
  500.0      43.7961619334630
  600.0      45.4979028724989
  700.0      46.5879180007062
  800.0      47.3228922002859
  900.0      47.8398508827943
 1000.0      48.2163405639510
 1100.0      48.4985793014243
 1200.0      48.7153722857762
 1300.0      48.8853748517311
 1400.0      49.0210752624628
 1500.0      49.1310765959239
 1600.0      49.2214556312660
 1700.0      49.2966001317707
 1800.0      49.3597405322821
 1900.0      49.4132967391505
 2000.0      49.4591098141361
