# T (K)      C_V_P (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.9055122100900
  200.0      34.3587688761987
  300.0      39.8279816765976
  400.0      44.0959981348018
  500.0      45.7866524786218
  600.0      47.0091875961988
  700.0      47.7058645705347
  800.0      48.1977181958467
  900.0      48.5328114036495
 1000.0      48.7792544392754
 1100.0      48.9613644824360
 1200.0      49.1010820274038
 1300.0      49.2107996398245
 1400.0      49.2964459849009
 1500.0      49.3667872025282
 1600.0      49.4235104752290
 1700.0      49.4702766060044
 1800.0      49.5097252652001
 1900.0      49.5419555299846
 2000.0      49.5695968366440
 2100.0      49.5934916969110
 2200.0      49.6138600820456
 2300.0      49.6311097919138
 2400.0      49.6442114366856
 2500.0      49.6577085940294
 2600.0      49.6712955451045
 2700.0      49.6740894204034
 2800.0      49.6909396396091
 2900.0      49.6893411728422
 3000.0      49.6955953446336
 3100.0      49.7071680783503
 3200.0      49.6986612200651
 3300.0      49.7206035459133
 3400.0      49.6920516368020
 3500.0      49.7178913025930
 3600.0      49.7002954634778
 3700.0      49.6917507777440
 3800.0      49.7130656368820
 3900.0      49.6319269678077
 4000.0      49.7117895182128
 4100.0      49.5574731003180
 4200.0      49.6302485256901
 4300.0      49.5164838240509
 4400.0      49.5324276792891
 4500.0      48.4212202530903
 4600.0      53.8056487115914
 4700.0      26.3666522184355
 4800.0     159.0638916731250
 4900.0    -505.6946789932912
 5000.0   -1245.2141443666969
 5100.0     224.7546884177164
 5200.0      55.3151444738814
 5300.0     106.5675289061037
 5400.0       5.8970293767370
 5500.0     137.3715756733482
 5600.0      -7.3168819475550
 5700.0     165.5672540525902
 5800.0     -29.3849587733503
 5900.0     175.5525795813692
 6000.0     403.2119713526172
# P = 1.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.8737109972693
  200.0      34.3268005562753
  300.0      39.8075900442015
  400.0      44.0819482998171
  500.0      45.7769812240163
  600.0      47.0021141784156
  700.0      47.7005957466381
  800.0      48.1936881994186
  900.0      48.5297140270713
 1000.0      48.7768409327620
 1100.0      48.9595039299625
 1200.0      49.0996454801608
 1300.0      49.2096871610941
 1400.0      49.2956102531638
 1500.0      49.3661602790335
 1600.0      49.4230590740949
 1700.0      49.4699719093689
 1800.0      49.5095349465116
 1900.0      49.5418708380960
 2000.0      49.5695960717529
 2100.0      49.5935599103165
 2200.0      49.6139890394309
 2300.0      49.6312970821067
 2400.0      49.6444730395930
 2500.0      49.6580284483060
 2600.0      49.6716642498714
 2700.0      49.6746194927539
 2800.0      49.6915018414061
 2900.0      49.6901761168813
 3000.0      49.6966814166169
 3100.0      49.7084473726770
 3200.0      49.7006719567725
 3300.0      49.7227887527022
 3400.0      49.6960641546189
 3500.0      49.7222416156739
 3600.0      49.7071513001257
 3700.0      49.7015924209322
 3800.0      49.7238883044021
 3900.0      49.6550234022270
 4000.0      49.7299205084656
 4100.0      49.6044286902006
 4200.0      49.6723083999846
 4300.0      49.5903403609870
 4400.0      49.6113596716139
 4500.0      48.7937317362181
 4600.0      52.7285446398965
 4700.0      33.1922545681457
 4800.0     126.0583268501164
 4900.0    -332.7237392147816
 5000.0    -838.2715714332512
 5100.0     170.2383064316223
 5200.0      54.3858561356401
 5300.0      90.0184821174839
 5400.0      19.0809123911304
 5500.0     111.5498261229736
 5600.0      10.2930772776617
 5700.0     132.8115303206368
 5800.0      -6.8167452365856
 5900.0     141.4542736591256
 6000.0     308.1038025474263
# P = 2.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.8427608120915
  200.0      34.2955379591203
  300.0      39.7875252205271
  400.0      44.0680243256682
  500.0      45.7673159743312
  600.0      46.9949771236393
  700.0      47.6952202420250
  800.0      48.1895232602021
  900.0      48.5264637613665
 1000.0      48.7742620373122
 1100.0      48.9574774814220
 1200.0      49.0980572779166
 1300.0      49.2084466113917
 1400.0      49.2946727065731
 1500.0      49.3654525660271
 1600.0      49.4225457122796
 1700.0      49.4696219026559
 1800.0      49.5093128525611
 1900.0      49.5417671263073
 2000.0      49.5695860835819
 2100.0      49.5936258937172
 2200.0      49.6141199372901
 2300.0      49.6314871626530
 2400.0      49.6447342820726
 2500.0      49.6583378018322
 2600.0      49.6720061669108
 2700.0      49.6750886469029
 2800.0      49.6919741181058
 2900.0      49.6908420613124
 3000.0      49.6975076082247
 3100.0      49.7093832627424
 3200.0      49.7020930013250
 3300.0      49.7242994342067
 3400.0      49.6987775008846
 3500.0      49.7251531341973
 3600.0      49.7116948273038
 3700.0      49.7080800107571
 3800.0      49.7310138912235
 3900.0      49.6701807003108
 4000.0      49.7418546095883
 4100.0      49.6352942229152
 4200.0      49.7000444260792
 4300.0      49.6391270846289
 4400.0      49.6636734766722
 4500.0      49.0409669660864
 4600.0      52.0117677241232
 4700.0      37.7527225883933
 4800.0     103.9216602794302
 4900.0    -216.2446015421303
 5000.0    -562.5387863960234
 5100.0     132.9692300677457
 5200.0      53.7460088777325
 5300.0      78.5013735465850
 5400.0      28.3378624559282
 5500.0      93.2775276525231
 5600.0      22.8568591780027
 5700.0     109.2647862709587
 5800.0       9.5304713193432
 5900.0     116.5805405929395
 6000.0     238.2417920629241
# P = 3.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.8130020883207
  200.0      34.2653988216888
  300.0      39.7681099447383
  400.0      44.0544791486902
  500.0      45.7578476679930
  600.0      46.9879301412051
  700.0      47.6898651693473
  800.0      48.1853323307679
  900.0      48.5231553736379
 1000.0      48.7716019764457
 1100.0      48.9553542413128
 1200.0      49.0963618515836
 1300.0      49.2070953766087
 1400.0      49.2936344155539
 1500.0      49.3646608058028
 1600.0      49.4219669650931
 1700.0      49.4692235037738
 1800.0      49.5090564131599
 1900.0      49.5416428293821
 2000.0      49.5695666605575
 2100.0      49.5936912644152
 2200.0      49.6142569206084
 2300.0      49.6316877285396
 2400.0      49.6450086308939
 2500.0      49.6586564992049
 2600.0      49.6723479911311
 2700.0      49.6755415540816
 2800.0      49.6924081869940
 2900.0      49.6914233601705
 3000.0      49.6981897961972
 3100.0      49.7101163089525
 3200.0      49.7031527068273
 3300.0      49.7253848863836
 3400.0      49.7006598743699
 3500.0      49.7271313536090
 3600.0      49.7147248348560
 3700.0      49.7123556277081
 3800.0      49.7356844725153
 3900.0      49.6800449436049
 4000.0      49.7496329429966
 4100.0      49.6553377805526
 4200.0      49.7181013719087
 4300.0      49.6709128189135
 4400.0      49.6978604224781
 4500.0      49.2026300074391
 4600.0      51.5420155563992
 4700.0      40.7536264711518
 4800.0      89.2998181234647
 4900.0    -138.9934874187241
 5000.0    -378.4834846978947
 5100.0     107.8548801219481
 5200.0      53.3116903270891
 5300.0      70.5914053667586
 5400.0      34.7563531927062
 5500.0      80.5035555721304
 5600.0      31.7170723568620
 5700.0      92.5257413652562
 5800.0      21.2459681089611
 5900.0      98.6210753132245
 6000.0     187.4272769453182
# P = 4.000000 (GPa)
    1.0       1.0000000000000
  100.0      15.7843347640528
