# T/K      Debye temperature
# V= 188.6160000000000
 100.000               268.4

# V= 178.0210000000000
 100.000               304.4

# V= 167.8990000000000
 100.000               379.4

# V= 162.9050000000000
 100.000               382.1

# V= 158.1140000000000
 100.000               399.9

# V= 153.3900000000000
 100.000               399.7

# V= 148.7330000000000
 100.000               412.2

# V= 144.1450000000000
 100.000               410.8
 200.000                83.9

# V= 139.6910000000000
 100.000               419.6
 200.000               179.4

# V= 135.3720000000000
 100.000               414.8
 200.000               224.2

# V= 131.0530000000000
 100.000               417.5
 200.000               268.6

# V= 126.8690000000000
 100.000               409.9
 200.000               295.6

# V= 122.7520000000000
 100.000               411.6
 200.000               331.3

# V= 118.7710000000000
 100.000               395.2
 200.000               342.0

# V= 114.8570000000000
 100.000               391.1
 200.000               367.0

