# P (GPa)      H (Ry.)
     0.00      -0.8830990094987
     1.00      -0.8719445720001
     2.00      -0.8608511469776
     3.00      -0.8498170920427
     4.00      -0.8388408427599
     5.00      -0.8279209074452
     6.00      -0.8170558623831
     7.00      -0.8062443473944
     8.00      -0.7954850618211
     9.00      -0.7847767608407
    10.00      -0.7741182520709
    11.00      -0.7635083924350
    12.00      -0.7529460852656
    13.00      -0.7424302776208
    14.00      -0.7319599578114
    15.00      -0.7215341531519
    16.00      -0.7111519278200
    17.00      -0.7008123808567
    18.00      -0.6905146442883
    19.00      -0.6802578813474
    20.00      -0.6700412848359
    21.00      -0.6598640759959
    22.00      -0.6497255029686
    23.00      -0.6396248391756
    24.00      -0.6295613819635
    25.00      -0.6195344521820
    26.00      -0.6095433929442
    27.00      -0.5995875677943
    28.00      -0.5896663602320
    29.00      -0.5797791737722
    30.00      -0.5699254294840
    31.00      -0.5601045656765
    32.00      -0.5503160385491
    33.00      -0.5405593191616
    34.00      -0.5308338942840
    35.00      -0.5211392661447
    36.00      -0.5114749495381
    37.00      -0.5018404745342
    38.00      -0.4922353829853
    39.00      -0.4826592295695
    40.00      -0.4731115815816
