# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 188.616000 (a.u.^3)
    5.0       0.0008540555497
  100.0      10.9979456000856
  200.0      28.5930560411107
  300.0      43.6790885822460
  400.0      55.9409334727573
  500.0      66.0423282918339
  600.0      74.5591834611755
  700.0      81.8934107791880
  800.0      88.3208099713125
  900.0      94.0345909952679
 1000.0      99.1738893117172
 1100.0     103.8416272632490
 1200.0     108.1158072471758
 1300.0     112.0568218387535
 1400.0     115.7123125520708
 1500.0     119.1204836274225
 1600.0     122.3124168517612
 1700.0     125.3137241864721
 1800.0     128.1457511148181
 1900.0     130.8264685744405
 2000.0     133.3711447759333
 2100.0     135.7928586445578
 2200.0     138.1028974401893
 2300.0     140.3110684104547
 2400.0     142.4259457642798
 2500.0     144.4550683720137
 2600.0     146.4050994961418
 2700.0     148.2819569525294
 2800.0     150.0909200177370
 2900.0     151.8367178826912
 3000.0     153.5236033383226
 3100.0     155.1554145496820
 3200.0     156.7356271519827
 3300.0     158.2673984292341
 3400.0     159.7536049741571
 3500.0     161.1968749485421
 3600.0     162.5996158456637
 3700.0     163.9640384857501
 3800.0     165.2921778407644
 3900.0     166.5859111776279
 4000.0     167.8469739233108
 4100.0     169.0769735862195
 4200.0     170.2774020124783
 4300.0     171.4496462102464
 4400.0     172.5949979380397
 4500.0     173.7146622224739
 4600.0     174.8097649455898
 4700.0     175.8813596210129
 4800.0     176.9304334607337
 4900.0     177.9579128197292
 5000.0     178.9646680933870
 5100.0     179.9515181323734
 5200.0     180.9192342308602
 5300.0     181.8685437366102
 5400.0     182.8001333251157
 5500.0     183.7146519745957
 5600.0     184.6127136740379
 5700.0     185.4948998925087
 5800.0     186.3617618345327
 5900.0     187.2138225033905
 6000.0     188.0515785916271
# V = 178.021000 (a.u.^3)
    5.0       0.0008377142364
  100.0       9.7759107976721
  200.0      26.1244219442872
  300.0      40.5574757557492
  400.0      52.5020086162705
  500.0      62.4348130048100
  600.0      70.8534197133326
  700.0      78.1259481328668
  800.0      84.5122592588350
  900.0      90.1973761648304
 1000.0      95.3159151852677
 1100.0      99.9681508199302
 1200.0     104.2304552150018
 1300.0     108.1621746048399
 1400.0     111.8102548339901
 1500.0     115.2124234335620
 1600.0     118.3994268713992
 1700.0     121.3966357982273
 1800.0     124.2252185151596
 1900.0     126.9030135260677
 2000.0     129.4451884688334
 2100.0     131.8647447944111
 2200.0     134.1729093084021
 2300.0     136.3794415310766
 2400.0     138.4928775887154
 2500.0     140.5207256676731
 2600.0     142.4696240858891
 2700.0     144.3454702130186
 2800.0     146.1535264386172
 2900.0     147.8985079075766
 3000.0     149.5846556510179
 3100.0     151.2157979279897
 3200.0     152.7954019815532
 3300.0     154.3266179480061
 3400.0     155.8123163016928
 3500.0     157.2551199424131
 3600.0     158.6574318178577
