# T (K)    Entropy (J K^-1 mol^-1)
# P = 0.000000 (GPa)
    0.0      -2.8570784999551
  100.0       7.6983420609532
  200.0      21.1697267449017
  300.0      34.7996174050544
  400.0      46.2685476553972
  500.0      56.0772314261142
  600.0      64.4943464534588
  700.0      71.8494082920979
  800.0      78.3657723334245
  900.0      84.2147424298692
 1000.0      89.5221093254945
 1100.0      94.3836011462406
 1200.0      98.8729706055835
 1300.0     103.0481589097038
 1400.0     106.9554965908353
 1500.0     110.6326065961351
 1600.0     114.1104850358338
 1700.0     117.4150546393981
 1800.0     120.5682696493739
 1900.0     123.5889730183810
 2000.0     126.4935463663485
 2100.0     129.2964115711957
 2200.0     132.0104467604571
 2300.0     134.6473102466649
 2400.0     137.2177095054288
 2500.0     139.7316410679519
 2600.0     142.1986243710397
 2700.0     144.6278015185986
 2800.0     147.0282863920216
 2900.0     149.4091883363329
 3000.0     151.7798219123144
 3100.0     154.1501970656292
 3200.0     156.5309252854362
 3300.0     158.9329528781950
 3400.0     161.3653474460899
 3500.0     163.8373389652948
 3600.0     166.3587749213195
 3700.0     168.9389672978638
 3800.0     171.5894323439143
 3900.0     174.3196019974372
 4000.0     177.1427630411440
 4100.0     180.0699746827128
 4200.0     183.1147048144060
 4300.0     186.2919753660849
 4400.0     189.6200362483294
 4500.0     193.0864075762773
 4600.0     196.8280631883131
 4700.0     200.4272218716861
 4800.0     205.4987561982972
 4900.0     206.1710913770641
 5000.0     194.0316597640557
 5100.0     186.3181791719300
 5200.0     188.5164539515625
 5300.0     189.9238487297364
 5400.0     190.9337997582212
 5500.0     192.0487008710986
 5600.0     193.1387031014947
 5700.0     194.3514112366953
 5800.0     195.4100299489686
 5900.0     196.4877137739512
 6000.0     199.8131063572662
# P = 1.000000 (GPa)
    0.0      -2.8295309931184
  100.0       7.5980493371486
  200.0      20.9619986614161
  300.0      34.5153589093402
  400.0      45.9381563497280
  500.0      55.7154155980620
  600.0      64.1085487948615
  700.0      71.4432839843486
  800.0      77.9411222671691
  900.0      83.7723486246037
 1000.0      89.0621401412203
 1100.0      93.9058298758876
 1200.0      98.3769022662170
 1300.0     102.5330785269090
 1400.0     106.4205059891868
 1500.0     110.0766452197212
 1600.0     113.5323320387670
 1700.0     116.8133259961376
 1800.0     119.9414069584446
 1900.0     122.9352308912257
 2000.0     125.8109731008572
 2100.0     128.5828211043829
 2200.0     131.2633882475108
 2300.0     133.8640311250159
 2400.0     136.3951156271675
 2500.0     138.8662321264790
 2600.0     141.2864123113606
 2700.0     143.6642661747036
 2800.0     146.0082240416983
 2900.0     148.3266097440863
 3000.0     150.6278059141549
 3100.0     152.9206395870899
 3200.0     155.2142019341712
 3300.0     157.5186199336891
 3400.0     159.8445911553910
 3500.0     162.2025253642773
 3600.0     164.6017370449598
 3700.0     167.0510735835213
 3800.0     169.5612238360640
 3900.0     172.1412434995061
 4000.0     174.8034109307363
 4100.0     177.5582277701448
 4200.0     180.4183031317432
 4300.0     183.3975557324871
 4400.0     186.5129234819182
 4500.0     189.7550077416971
 4600.0     193.2422030395869
 4700.0     196.6192756768724
 4800.0     201.2671813402475
 4900.0     202.1724642261148
 5000.0     192.0582828846470
 5100.0     185.6465092939140
 5200.0     187.7123975772241
 5300.0     189.1073965790912
 5400.0     190.1511766040742
 5500.0     191.2835141499932
 5600.0     192.3906508217793
 5700.0     193.6052115608309
 5800.0     194.6790929166756
 5900.0     195.7709953231287
 6000.0     198.8374667415500
# P = 2.000000 (GPa)
    0.0      -2.8041192363370
  100.0       7.5046798837594
  200.0      20.7665043442651
  300.0      34.2459317484661
  400.0      45.6240948796862
  500.0      55.3710923531074
  600.0      63.7412988046109
  700.0      71.0567416408954
  800.0      77.5371250386292
  900.0      83.3517220027995
 1000.0      88.6251209320323
 1100.0      93.4522825888196
 1200.0      97.9064178700810
 1300.0     102.0450488536824
 1400.0     105.9141616994759
 1500.0     109.5510631546481
 1600.0     112.9864431266381
 1700.0     116.2459210422861
 1800.0     119.3511267094830
 1900.0     122.3205546671203
 2000.0     125.1702043275033
 2100.0     127.9140652723724
 2200.0     130.5645289556959
 2300.0     133.1327010463434
 2400.0     135.6286641319362
 2500.0     138.0616777917609
 2600.0     140.4403773367802
 2700.0     142.7729366918833
 2800.0     145.0672473621636
 2900.0     147.3310046240455
 3000.0     149.5718663154813
 3100.0     151.7977133067197
 3200.0     154.0165687869467
 3300.0     156.2371849072468
 3400.0     158.4686062129868
 3500.0     160.7212556806257
 3600.0     163.0063993221789
 3700.0     165.3335711218421
 3800.0     167.7125800241199
 3900.0     170.1521260732231
 4000.0     172.6635399253998
 4100.0     175.2567765921608
 4200.0     177.9436232127156
 4300.0     180.7369655381073
 4400.0     183.6524935191676
 4500.0     186.6835142183500
 4600.0     189.9317097143901
 4700.0     193.0978087459443
 4800.0     197.3530887630293
 4900.0     198.4529416569345
 5000.0     190.1480504371920
 5100.0     184.9052361658685
 5200.0     186.8536598196592
 5300.0     188.2384243449491
 5400.0     189.3140249789693
 5500.0     190.4629965523699
 5600.0     191.5870878420658
 5700.0     192.8045537255201
 5800.0     193.8936469654351
 5900.0     194.9996593909805
 6000.0     197.8300336399883
# P = 3.000000 (GPa)
    0.0      -2.7807026771966
  100.0       7.4178209951332
  200.0      20.5825165378288
  300.0      33.9904591762618
  400.0      45.3253949780287
  500.0      55.0432110449774
  600.0      63.3914610651890
  700.0      70.6885667689180
  800.0      77.1524682898524
  900.0      82.9514521615662
 1000.0      88.2095407852384
 1100.0      93.0213163772209
 1200.0      97.4597468742102
 1300.0     101.5821627500908
 1400.0     105.4343878400523
 1500.0     109.0535994318704
 1600.0     112.4703599709093
 1700.0     115.7101584241189
 1800.0     118.7944921469866
 1900.0     121.7417191559241
 2000.0     124.5676888546741
 2100.0     127.2862219299561
 2200.0     129.9095225257358
 2300.0     132.4484861348274
 2400.0     134.9129598628013
 2500.0     137.3119291357094
 2600.0     139.6537047023988
 2700.0     141.9461092770097
 2800.0     144.1965904587180
 2900.0     146.4123468124996
 3000.0     148.6004621543528
 3100.0     150.7680654288478
 3200.0     152.9223590686881
 3300.0     155.0710204483584
 3400.0     157.2218964175216
 3500.0     159.3837409901145
 3600.0     161.5662304843800
 3700.0     163.7800377871652
 3800.0     166.0367731345919
 3900.0     168.3452672479864
 4000.0     170.7158825197863
 4100.0     173.1580601091616
 4200.0     175.6827958784086
 4300.0     178.3020108036182
 4400.0     181.0302095825461
 4500.0     183.8630524033443
 4600.0     186.8872691537157
 4700.0     189.8533489894498
 4800.0     193.7457315655077
