# T (K)      Entropy (J K^-1 mol^-1)
# V = 188.616000 (a.u.^3)
    0.0      -4.1051031727561
  100.0      11.7173831494445
  200.0      28.5867215520584
  300.0      43.9646031829734
  400.0      56.1796607356902
  500.0      66.3032702338338
  600.0      74.8174247536179
  700.0      82.1531947339728
  800.0      88.5798785294015
  900.0      94.2929313048697
 1000.0      99.4311467542954
 1100.0     104.0976852943862
 1200.0     108.3705135487284
 1300.0     112.3101251958572
 1400.0     115.9641446852946
 1500.0     119.3707826633132
 1600.0     122.5611623137129
 1700.0     125.5608728296107
 1800.0     128.3912820808030
 1900.0     131.0703527192885
 2000.0     133.6133414841845
 2100.0     136.0333548920990
 2200.0     138.3416888590870
 2300.0     140.5481418749664
 2400.0     142.6612429504008
 2500.0     144.6885484109588
 2600.0     146.6368154338424
 2700.0     148.5118122868040
 2800.0     150.3189334731063
 2900.0     152.0628857605131
 3000.0     153.7477654675137
 3100.0     155.3776853354280
 3200.0     156.9559170521358
 3300.0     158.4858005465952
 3400.0     159.9699747692190
 3500.0     161.4111365037461
 3600.0     162.8119246146439
 3700.0     164.1741468351485
 3800.0     165.5003551226498
 3900.0     166.7917902266683
 4000.0     168.0507509184556
 4100.0     169.2785323768595
 4200.0     170.4765098689115
 4300.0     171.6467432101187
 4400.0     172.7901430526777
 4500.0     173.9049098420557
 4600.0     175.0065324160471
 4700.0     176.0441758611079
 4800.0     177.2065004094148
 4900.0     177.8022889347931
 5000.0     177.1316006987251
 5100.0     177.1589712815541
 5200.0     178.2809624469921
 5300.0     179.3099968464895
 5400.0     180.2726306313700
 5500.0     181.2086991376483
 5600.0     182.1539757807712
 5700.0     183.0992660700276
 5800.0     184.0024435225751
 5900.0     184.8994684746096
 6000.0     185.9677584665010
# V = 187.870960 (a.u.^3)
    0.0      -4.0533220735164
  100.0      11.5578008589047
  200.0      28.3019556726084
  300.0      43.6217347720095
  400.0      55.8110480156802
  500.0      65.9212295106699
  600.0      74.4277661345922
  700.0      81.7588166785148
  800.0      88.1824172999435
  900.0      93.8933662097229
 1000.0      99.0301008088350
 1100.0     103.6955722055094
 1200.0     107.9676239310904
 1300.0     111.9066630029814
 1400.0     115.5602620071522
 1500.0     118.9665951276288
 1600.0     122.1567568128666
 1700.0     125.1563192668922
 1800.0     127.9866353013704
 1900.0     130.6656578849828
 2000.0     133.2086368947657
 2100.0     135.6286707507613
 2200.0     137.9370499613604
 2300.0     140.1435697217079
 2400.0     142.2567596597079
 2500.0     144.2841726280683
 2600.0     146.2325562746091
 2700.0     148.1076884406269
 2800.0     149.9149539959386
