# T (K)     Gibbs free energy (Ry.)
# P= 0.000000 GPa
    0.0      -0.8830990094987
  100.0      -0.8832649518711
  200.0      -0.8843463519499
  300.0      -0.8864953728189
  400.0      -0.8895951340997
  500.0      -0.8935048081300
  600.0      -0.8981062969864
  700.0      -0.9033071604191
  800.0      -0.9090352787558
  900.0      -0.9152336268766
 1000.0      -0.9218563589381
 1100.0      -0.9288660135504
 1200.0      -0.9362315398405
 1300.0      -0.9439268733486
 1400.0      -0.9519299004981
 1500.0      -0.9602216916251
 1600.0      -0.9687859199711
 1700.0      -0.9776084193268
 1800.0      -0.9866768417803
 1900.0      -0.9959803888556
 2000.0      -1.0055096009308
 2100.0      -1.0152561889288
 2200.0      -1.0252129017761
 2300.0      -1.0353734213286
 2400.0      -1.0457322801427
 2500.0      -1.0562847980520
 2600.0      -1.0670270370848
 2700.0      -1.0779557704287
 2800.0      -1.0890684622919
 2900.0      -1.1003632754743
 3000.0      -1.1118390678316
 3100.0      -1.1234954342101
 3200.0      -1.1353327556580
 3300.0      -1.1473522375019
 3400.0      -1.1595558728478
 3500.0      -1.1719463008254
 3600.0      -1.1845269328059
 3700.0      -1.1973018794478
 3800.0      -1.2102760409179
 3900.0      -1.2234551740868
 4000.0      -1.2368457674664
 4100.0      -1.2504554484140
 4200.0      -1.2642925086974
 4300.0      -1.2783666065534
 4400.0      -1.2926883657030
 4500.0      -1.3072693632182
 4600.0      -1.3221228976533
 4700.0      -1.3372635341093
 4800.0      -1.3527066215497
 4900.0      -1.3684710466582
 5000.0      -1.3838029143362
 5100.0      -1.3981550719045
 5200.0      -1.4124507033384
 5300.0      -1.4268660335583
 5400.0      -1.4413861541698
 5500.0      -1.4559681683622
 5600.0      -1.4706549083694
 5700.0      -1.4854067948227
 5800.0      -1.5002713280228
 5900.0      -1.5151889526878
 6000.0      -1.5302743412394
# P= 1.000000 GPa
    0.0      -0.8719445720001
  100.0      -0.8721076130934
  200.0      -0.8731771475363
  300.0      -0.8753071600384
  400.0      -0.8783833790974
  500.0      -0.8822666153163
  600.0      -0.8868395881096
  700.0      -0.8920102625479
  800.0      -0.8977067198161
  900.0      -0.9038720296242
 1000.0      -0.9104603807761
 1100.0      -0.9174343084463
 1200.0      -0.9247627338665
 1300.0      -0.9324195462602
 1400.0      -0.9403825703357
 1500.0      -0.9486328017855
 1600.0      -0.9571538269127
 1700.0      -0.9659313803086
 1800.0      -0.9749530020425
 1900.0      -0.9842077678272
 2000.0      -0.9936860773531
 2100.0      -1.0033794840672
 2200.0      -1.0132805604299
 2300.0      -1.0233827903014
 2400.0      -1.0336804837139
 2500.0      -1.0441687098179
 2600.0      -1.0548432457845
 2700.0      -1.0657005407280
 2800.0      -1.0767376901822
 2900.0      -1.0879524299529
 3000.0      -1.0993431283749
 3100.0      -1.1109088086127
 3200.0      -1.1226491797158
 3300.0      -1.1345646699996
 3400.0      -1.1466565201097
 3500.0      -1.1589267669317
 3600.0      -1.1713782171118
 3700.0      -1.1840143430761
 3800.0      -1.1968393585059
 3900.0      -1.2098582766149
 4000.0      -1.2230768145701
 4100.0      -1.2365017298921
 4200.0      -1.2501404389240
 4300.0      -1.2640016006250
 4400.0      -1.2780947960604
 4500.0      -1.2924305199640
 4600.0      -1.3070208360423
 4700.0      -1.3218790063618
 4800.0      -1.3370190864598
 4900.0      -1.3524582789441
 5000.0      -1.3675514905162
 5100.0      -1.3818231708565
 5200.0      -1.3960604855315
 5300.0      -1.4104146373284
 5400.0      -1.4248726782598
 5500.0      -1.4393970792298
