# T (K)     Gibbs free energy (Ry.)
    0.0      -0.8830990094987
    0.0      -0.8832649518711
    0.0      -0.8843463519499
    0.0      -0.8864953728189
    0.0      -0.8895951340997
    0.0      -0.8935048081300
    0.0      -0.8981062969864
    0.0      -0.9033071604191
    0.0      -0.9090352787558
    0.0      -0.9152336268766
    0.0      -0.9218563589381
    0.0      -0.9288660135504
    0.0      -0.9362315398405
    0.0      -0.9439268733486
    0.0      -0.9519299004981
    0.0      -0.9602216916251
    0.0      -0.9687859199711
    0.0      -0.9776084193268
    0.0      -0.9866768417803
    0.0      -0.9959803888556
    0.0      -1.0055096009308
    0.0      -1.0152561889288
    0.0      -1.0252129017761
    0.0      -1.0353734213286
    0.0      -1.0457322801427
    0.0      -1.0562847980520
    0.0      -1.0670270370848
    0.0      -1.0779557704287
    0.0      -1.0890684622919
    0.0      -1.1003632754743
    0.0      -1.1118390678316
    0.0      -1.1234954342101
    0.0      -1.1353327556580
    0.0      -1.1473522375019
    0.0      -1.1595558728478
    0.0      -1.1719463008254
    0.0      -1.1845269328059
    0.0      -1.1973018794478
    0.0      -1.2102760409179
    0.0      -1.2234551740868
    0.0      -1.2368457674664
    0.0      -1.2504554484140
    0.0      -1.2642925086974
    0.0      -1.2783666065534
    0.0      -1.2926883657030
    0.0      -1.3072693632182
    0.0      -1.3221228976533
    0.0      -1.3372635341093
    0.0      -1.3527066215497
    0.0      -1.3684710466582
    0.0      -1.3838029143362
    0.0      -1.3981550719045
    0.0      -1.4124507033384
    0.0      -1.4268660335583
    0.0      -1.4413861541698
    0.0      -1.4559681683622
    0.0      -1.4706549083694
    0.0      -1.4854067948227
    0.0      -1.5002713280228
    0.0      -1.5151889526878
    0.0      -1.5302743412394
    1.0      -0.8719445720001
    1.0      -0.8721076130934
    1.0      -0.8731771475363
    1.0      -0.8753071600384
    1.0      -0.8783833790974
    1.0      -0.8822666153163
    1.0      -0.8868395881096
    1.0      -0.8920102625479
    1.0      -0.8977067198161
    1.0      -0.9038720296242
    1.0      -0.9104603807761
    1.0      -0.9174343084463
    1.0      -0.9247627338665
    1.0      -0.9324195462602
    1.0      -0.9403825703357
    1.0      -0.9486328017855
    1.0      -0.9571538269127
    1.0      -0.9659313803086
    1.0      -0.9749530020425
    1.0      -0.9842077678272
    1.0      -0.9936860773531
    1.0      -1.0033794840672
    1.0      -1.0132805604299
    1.0      -1.0233827903014
    1.0      -1.0336804837139
    1.0      -1.0441687098179
    1.0      -1.0548432457845
    1.0      -1.0657005407280
    1.0      -1.0767376901822
    1.0      -1.0879524299529
    1.0      -1.0993431283749
    1.0      -1.1109088086127
    1.0      -1.1226491797158
    1.0      -1.1345646699996
    1.0      -1.1466565201097
    1.0      -1.1589267669317
    1.0      -1.1713782171118
    1.0      -1.1840143430761
    1.0      -1.1968393585059
    1.0      -1.2098582766149
    1.0      -1.2230768145701
    1.0      -1.2365017298921
    1.0      -1.2501404389240
    1.0      -1.2640016006250
    1.0      -1.2780947960604
    1.0      -1.2924305199640
    1.0      -1.3070208360423
    1.0      -1.3218790063618
    1.0      -1.3370190864598
    1.0      -1.3524582789441
    1.0      -1.3675514905162
    1.0      -1.3818231708565
    1.0      -1.3960604855315
    1.0      -1.4104146373284
    1.0      -1.4248726782598
    1.0      -1.4393970792298
    1.0      -1.4540248056919
    1.0      -1.4687213098123
    1.0      -1.4835278406181
    1.0      -1.4983920419209
    1.0      -1.5134146835708
    2.0      -0.8608511469776
    2.0      -0.8610114930076
    2.0      -0.8620699155310
    2.0      -0.8641819615390
    2.0      -0.8672358289712
    2.0      -0.8710939170211
    2.0      -0.8756397473500
    2.0      -0.8807816854443
    2.0      -0.8864480143327
    2.0      -0.8925819018614
    2.0      -0.8991375752599
    2.0      -0.9060775728642
    2.0      -0.9133707946035
    2.0      -0.9209910905549
    2.0      -0.9289162328489
    2.0      -0.9371271526906
    2.0      -0.9456073603763
    2.0      -0.9543425037183
    2.0      -0.9633200250239
    2.0      -0.9725288903205
    2.0      -0.9819593768557
    2.0      -0.9916029013912
    2.0      -1.0014518837294
    2.0      -1.0114996370987
    2.0      -1.0217402805457
    2.0      -1.0321686690282
    2.0      -1.0427803378571
    2.0      -1.0535714622014
    2.0      -1.0645388276736
    2.0      -1.0756798143453
    2.0      -1.0869923846692
    2.0      -1.0984750924340
    2.0      -1.1101270991347
    2.0      -1.1219481962440
    2.0      -1.1339388680486
    2.0      -1.1461003120511
    2.0      -1.1584345874633
    2.0      -1.1709445433875
    2.0      -1.1836337430518
    2.0      -1.1965064953496
    2.0      -1.2095677844361
    2.0      -1.2228235443024
    2.0      -1.2362803577884
    2.0      -1.2499459366846
    2.0      -1.2638288710212
    2.0      -1.2779386240551
    2.0      -1.2922860871549
    2.0      -1.3068832830879
    2.0      -1.3217430305115
    2.0      -1.3368809395884
    2.0      -1.3517495722949
    2.0      -1.3659384354419
    2.0      -1.3801129163217
    2.0      -1.3944017488261
    2.0      -1.4087937406534
    2.0      -1.4232562179886
    2.0      -1.4378208243711
    2.0      -1.4524576238291
    2.0      -1.4672021467914
    2.0      -1.4820086212230
    2.0      -1.4969650779549
    3.0      -0.8498170920427
    3.0      -0.8499749373400
    3.0      -0.8510229567098
    3.0      -0.8531180164013
    3.0      -0.8561506523483
    3.0      -0.8599848049877
    3.0      -0.8645047831490
    3.0      -0.8696193479517
    3.0      -0.8752569851739
    3.0      -0.8813609624155
    3.0      -0.8878855502410
    3.0      -0.8947932945595
    3.0      -0.9020530796246
    3.0      -0.9096387239188
    3.0      -0.9175279541348
    3.0      -0.9257016452345
    3.0      -0.9341432415621
    3.0      -0.9428383151338
    3.0      -0.9517742224474
    3.0      -0.9609398334950
    3.0      -0.9703253186686
    3.0      -0.9799219756953
    3.0      -0.9897220917931
    3.0      -0.9997188324956
    3.0      -1.0099061521710
    3.0      -1.0202787218539
    3.0      -1.0308318700960
    3.0      -1.0415615392814
    3.0      -1.0524642530591
    3.0      -1.0635370920750
    3.0      -1.0747776804941
    3.0      -1.0861841826400
    3.0      -1.0977553098922
    3.0      -1.1094903344662
    3.0      -1.1213891300607
    3.0      -1.1334521835368
    3.0      -1.1456807031425
    3.0      -1.1580766523549
    3.0      -1.1706428645306
    3.0      -1.1833829782048
    3.0      -1.1963012820980
    3.0      -1.2094029317307
    3.0      -1.2226937176047
    3.0      -1.2361804550843
    3.0      -1.2498707936306
    3.0      -1.2637732149132
    3.0      -1.2778974989114
    3.0      -1.2922544913389
    3.0      -1.3068558296536
    3.0      -1.3217156203968
    3.0      -1.3363735645191
    3.0      -1.3504779986636
    3.0      -1.3645859446988
    3.0      -1.3788060787961
    3.0      -1.3931287734881
    3.0      -1.4075257265531
    3.0      -1.4220237781324
    3.0      -1.4365972055084
    3.0      -1.4512763296425
    3.0      -1.4660213781071
    3.0      -1.4809087540666
    4.0      -0.8388408427599
    4.0      -0.8389963706253
    4.0      -0.8400346539415
    4.0      -0.8421136505722
    4.0      -0.8451261099152
    4.0      -0.8489374690343
    4.0      -0.8534328083982
    4.0      -0.8585212809550
    4.0      -0.8641315744447
    4.0      -0.8702070588916
    4.0      -0.8767020512878
    4.0      -0.8835791091864
