# P (GPa)             Gibbs free energy (Ry.)
# T= 0.000000 K
    0.0      -0.8830990094987
    1.0      -0.8719445720001
    2.0      -0.8608511469776
    3.0      -0.8498170920427
    4.0      -0.8388408427599
    5.0      -0.8279209074452
    6.0      -0.8170558623831
    7.0      -0.8062443473944
    8.0      -0.7954850618211
    9.0      -0.7847767608407
   10.0      -0.7741182520709
   11.0      -0.7635083924350
   12.0      -0.7529460852656
   13.0      -0.7424302776208
   14.0      -0.7319599578114
   15.0      -0.7215341531519
   16.0      -0.7111519278200
   17.0      -0.7008123808567
   18.0      -0.6905146442883
   19.0      -0.6802578813474
   20.0      -0.6700412848359
   21.0      -0.6598640759959
   22.0      -0.6497255029686
   23.0      -0.6396248391756
   24.0      -0.6295613819635
   25.0      -0.6195344521820
   26.0      -0.6095433929442
   27.0      -0.5995875677943
   28.0      -0.5896663602320
   29.0      -0.5797791737722
   30.0      -0.5699254294840
   31.0      -0.5601045656765
   32.0      -0.5503160385491
   33.0      -0.5405593191616
   34.0      -0.5308338942840
   35.0      -0.5211392661447
   36.0      -0.5114749495381
   37.0      -0.5018404745342
   38.0      -0.4922353829853
   39.0      -0.4826592295695
   40.0      -0.4731115815816
# T= 100.000000 K
    0.0      -0.8832649518711
    1.0      -0.8721076130934
    2.0      -0.8610114930076
    3.0      -0.8499749373400
    4.0      -0.8389963706253
    5.0      -0.8280742909278
    6.0      -0.8172072650016
    7.0      -0.8063939238085
    8.0      -0.7956329584289
    9.0      -0.7849231163274
   10.0      -0.7742631979121
   11.0      -0.7636520533607
   12.0      -0.7530885796862
   13.0      -0.7425717180204
   14.0      -0.7321004511194
   15.0      -0.7216738010754
   16.0      -0.7112908271502
   17.0      -0.7009506237554
   18.0      -0.6906523185543
   19.0      -0.6803950706642
   20.0      -0.6701780690118
   21.0      -0.6600005311848
   22.0      -0.6498617018520
   23.0      -0.6397608511522
   24.0      -0.6296972733305
   25.0      -0.6196702863019
   26.0      -0.6096792303869
   27.0      -0.5997234664879
   28.0      -0.5898023755916
   29.0      -0.5799153588245
   30.0      -0.5700618350011
   31.0      -0.5602412402607
   32.0      -0.5504530287495
   33.0      -0.5406966695980
   34.0      -0.5309716476779
   35.0      -0.5212774634684
   36.0      -0.5116136300765
   37.0      -0.5019796759220
   38.0      -0.4923751413755
   39.0      -0.4827995795712
   40.0      -0.4732525564649
# T= 200.000000 K
    0.0      -0.8843463519499
    1.0      -0.8731771475363
    2.0      -0.8620699155310
    3.0      -0.8510229567098
    4.0      -0.8400346539415
    5.0      -0.8291034666300
    6.0      -0.8182279256112
    7.0      -0.8074066284673
    8.0      -0.7966382352263
    9.0      -0.7859214644089
   10.0      -0.7752550894046
   11.0      -0.7646379351409
   12.0      -0.7540688750084
   13.0      -0.7435468280310
   14.0      -0.7330707562538
   15.0      -0.7226396623180
   16.0      -0.7122525872062
   17.0      -0.7019086081352
   18.0      -0.6916068365780
   19.0      -0.6813464163944
   20.0      -0.6711265222036
   21.0      -0.6609463581056
   22.0      -0.6508051559392
   23.0      -0.6407021737126
   24.0      -0.6306366942521
   25.0      -0.6206080247537
   26.0      -0.6106154952443
   27.0      -0.6006584568758
   28.0      -0.5907362815194
   29.0      -0.5808483615606
   30.0      -0.5709941074797
   31.0      -0.5611729476012
   32.0      -0.5513843285796
   33.0      -0.5416277124110
   34.0      -0.5319025772260
   35.0      -0.5222084170487
   36.0      -0.5125447388542
   37.0      -0.5029110652011
   38.0      -0.4933069309170
   39.0      -0.4837318837665
   40.0      -0.4741854846861
# T= 300.000000 K
    0.0      -0.8864953728189
    1.0      -0.8753071600384
    2.0      -0.8641819615390
    3.0      -0.8531180164013
    4.0      -0.8421136505722
    5.0      -0.8311672706492
    6.0      -0.8202773584245
    7.0      -0.8094424658864
    8.0      -0.7986612106300
    9.0      -0.7879322716446
   10.0      -0.7772543854462
   11.0      -0.7666263425222
   12.0      -0.7560469840622
   13.0      -0.7455151989451
   14.0      -0.7350299209578
   15.0      -0.7245901262197
   16.0      -0.7141948307912
   17.0      -0.7038430884418
   18.0      -0.6935339885592
   19.0      -0.6832666542228
   20.0      -0.6730402406597
   21.0      -0.6628539335014
   22.0      -0.6527069470635
   23.0      -0.6425985227641
   24.0      -0.6325279279767
   25.0      -0.6224944552856
   26.0      -0.6124974205911
   27.0      -0.6025361616865
   28.0      -0.5926100381802
   29.0      -0.5827184304396
   30.0      -0.5728607374419
   31.0      -0.5630363770391
   32.0      -0.5532447855707
   33.0      -0.5434854151455
   34.0      -0.5337577349216
   35.0      -0.5240612299069
   36.0      -0.5143953987031
   37.0      -0.5047597559857
   38.0      -0.4951538287331
   39.0      -0.4855771576495
   40.0      -0.4760292965237
# T= 400.000000 K
    0.0      -0.8895951340997
    1.0      -0.8783833790974
    2.0      -0.8672358289712
    3.0      -0.8561506523483
    4.0      -0.8451261099152
    5.0      -0.8341605480286
    6.0      -0.8232523927147
    7.0      -0.8124001441390
    8.0      -0.8016023716830
    9.0      -0.7908577094334
   10.0      -0.7801648520397
   11.0      -0.7695225509087
   12.0      -0.7589296107054
   13.0      -0.7483848861300
   14.0      -0.7378872789456
   15.0      -0.7274357352284
   16.0      -0.7170292428163
   17.0      -0.7066668289337
   18.0      -0.6963475580229
   19.0      -0.6860705298563
   20.0      -0.6758348775783
   21.0      -0.6656397658707
   22.0      -0.6554843892234
   23.0      -0.6453679703815
   24.0      -0.6352897594612
   25.0      -0.6252490323057
   26.0      -0.6152450888093
   27.0      -0.6052772518488
   28.0      -0.5953448672068
   29.0      -0.5854473015099
   30.0      -0.5755839408047
   31.0      -0.5657541912664
   32.0      -0.5559574773811
   33.0      -0.5461932401672
   34.0      -0.5364609387501
   35.0      -0.5267600477402
   36.0      -0.5170900565027
   37.0      -0.5074504707016
   38.0      -0.4978408083678
   39.0      -0.4882606024257
   40.0      -0.4787093983446
# T= 500.000000 K
    0.0      -0.8935048081300
    1.0      -0.8822666153163
    2.0      -0.8710939170211
    3.0      -0.8599848049877
    4.0      -0.8489374690343
    5.0      -0.8379501897843
    6.0      -0.8270213323088
    7.0      -0.8161493403020
    8.0      -0.8053327307539
    9.0      -0.7945700890298
   10.0      -0.7838600643813
   11.0      -0.7732013658649
   12.0      -0.7625927585913
   13.0      -0.7520330602733
   14.0      -0.7415211380417
   15.0      -0.7310559055047
   16.0      -0.7206363200411
   17.0      -0.7102613803408
   18.0      -0.6999301240771
   19.0      -0.6896416257367
   20.0      -0.6793949945851
   21.0      -0.6691893727441
   22.0      -0.6590239334136
   23.0      -0.6488978796328
   24.0      -0.6388104426671
   25.0      -0.6287608802576
   26.0      -0.6187484751546
   27.0      -0.6087725346358
   28.0      -0.5988323892443
   29.0      -0.5889273908057
   30.0      -0.5790569118967
   31.0      -0.5692203459383
   32.0      -0.5594171045646
   33.0      -0.5496466173105
   34.0      -0.5399083322773
   35.0      -0.5302017128938
   36.0      -0.5205262389510
   37.0      -0.5108814061309
   38.0      -0.5012667231040
   39.0      -0.4916817144242
   40.0      -0.4821259165555
# T= 600.000000 K
    0.0      -0.8981062969864
    1.0      -0.8868395881096
    2.0      -0.8756397473500
    3.0      -0.8645047831490
    4.0      -0.8534328083982
    5.0      -0.8424220330407
    6.0      -0.8314707568401
    7.0      -0.8205773629107
    8.0      -0.8097403119836
    9.0      -0.7989581371539
   10.0      -0.7882294390667
   11.0      -0.7775528815070
   12.0      -0.7669271873562
   13.0      -0.7563511348826
   14.0      -0.7458235543347
   15.0      -0.7353433248064
   16.0      -0.7249093713462
   17.0      -0.7145206622843
   18.0      -0.7041762067503
   19.0      -0.6938750523596
   20.0      -0.6836162830455
   21.0      -0.6733990170749
   22.0      -0.6632224054777
   23.0      -0.6530856302119
   24.0      -0.6429879023810
   25.0      -0.6329284605966
   26.0      -0.6229065699396
   27.0      -0.6129215210486
   28.0      -0.6029726281055
   29.0      -0.5930592274898
   30.0      -0.5831806779504
   31.0      -0.5733363589537
   32.0      -0.5635256687315
   33.0      -0.5537480251040
   34.0      -0.5440028640760
   35.0      -0.5342896375942
   36.0      -0.5246078154376
   37.0      -0.5149568824802
   38.0      -0.5053363380569
   39.0      -0.4957456975061
   40.0      -0.4861844880306
# T= 700.000000 K
    0.0      -0.9033071604191
    1.0      -0.8920102625479
    2.0      -0.8807816854443
    3.0      -0.8696193479517
    4.0      -0.8585212809550
    5.0      -0.8474856184040
    6.0      -0.8365105898071
    7.0      -0.8255945134605
    8.0      -0.8147357901520
    9.0      -0.8039328973197
   10.0      -0.7931843838670
   11.0      -0.7824888654251
   12.0      -0.7718450200096
   13.0      -0.7612515840361
   14.0      -0.7507073486614
   15.0      -0.7402111564185
   16.0      -0.7297618981156
   17.0      -0.7193585099706
   18.0      -0.7089999709539
   19.0      -0.6986853003202
   20.0      -0.6884135554227
   21.0      -0.6781838296868
   22.0      -0.6679952505593
   23.0      -0.6578469776189
   24.0      -0.6477382007755
   25.0      -0.6376681388631
   26.0      -0.6276360386075
   27.0      -0.6176411726864
   28.0      -0.6076828381358
   29.0      -0.5977603557434
   30.0      -0.5878730693871
   31.0      -0.5780203437177
   32.0      -0.5682015634724
   33.0      -0.5584161339933
   34.0      -0.5486634783761
   35.0      -0.5389430371881
   36.0      -0.5292542692872
   37.0      -0.5195966483038
   38.0      -0.5099696642246
   39.0      -0.5003728222522
   40.0      -0.4908056404556
# T= 800.000000 K
    0.0      -0.9090352787558
    1.0      -0.8977067198161
    2.0      -0.8864480143327
    3.0      -0.8752569851739
    4.0      -0.8641315744447
