# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 188.6160     -0.866250999
 178.0210     -0.877106688
 167.8990     -0.882367185
 162.9050     -0.882878497
 158.1140     -0.881420893
 153.3900     -0.878057564
 148.7330     -0.872307916
 144.1450     -0.864180186
 139.6910     -0.853074465
 135.3720     -0.839116202
 131.0530     -0.821563889
 126.8690     -0.800495582
 122.7520     -0.775054826
 118.7710     -0.745468057
 114.8570     -0.710645470
# T= 100.000000 K
 188.6160     -0.866532101
 178.0210     -0.877352159
 167.8990     -0.882516670
 162.9050     -0.883032022
 158.1140     -0.881562650
 153.3900     -0.878205658
 148.7330     -0.872449223
 144.1450     -0.864329372
 139.6910     -0.853220161
 135.3720     -0.839274359
 131.0530     -0.821726696
 126.8690     -0.800677621
 122.7520     -0.775244271
 118.7710     -0.745707755
 114.8570     -0.710919741
# T= 200.000000 K
 188.6160     -0.868048634
 178.0210     -0.878724347
 167.8990     -0.883563715
 162.9050     -0.884075994
 158.1140     -0.882548030
 153.3900     -0.879197785
 148.7330     -0.873402336
 144.1450     -0.865294431
 139.6910     -0.854159689
 135.3720     -0.840240292
 131.0530     -0.822692527
 126.8690     -0.801686929
 122.7520     -0.776259919
 118.7710     -0.746833750
 114.8570     -0.712104483
# T= 300.000000 K
 188.6160     -0.870820770
 178.0210     -0.881280500
 167.8990     -0.885685919
 162.9050     -0.886170073
 158.1140     -0.884544730
 153.3900     -0.881178924
 148.7330     -0.875311909
 144.1450     -0.867194321
 139.6910     -0.856006515
 135.3720     -0.842096497
 131.0530     -0.824527065
 126.8690     -0.803552032
 122.7520     -0.778110643
 118.7710     -0.748791111
 114.8570     -0.714105434
# T= 400.000000 K
 188.6160     -0.874630971
 178.0210     -0.884839467
 167.8990     -0.888760080
 162.9050     -0.889198816
 158.1140     -0.887453612
 153.3900     -0.884054585
 148.7330     -0.878094649
 144.1450     -0.869947643
 139.6910     -0.858686780
 135.3720     -0.844767295
 131.0530     -0.827156964
 126.8690     -0.806194826
 122.7520     -0.780718369
 118.7710     -0.751491742
 114.8570     -0.716829652
# T= 500.000000 K
 188.6160     -0.879288696
 178.0210     -0.889228192
 167.8990     -0.892638496
 162.9050     -0.893021957
 158.1140     -0.891144585
 153.3900     -0.887701816
 148.7330     -0.881636510
 144.1450     -0.873447236
 139.6910     -0.862101372
 135.3720     -0.848159298
 131.0530     -0.830495306
 126.8690     -0.809532988
 122.7520     -0.784006702
 118.7710     -0.754861530
 114.8570     -0.720206630
# T= 600.000000 K
 188.6160     -0.884652488
 178.0210     -0.894313129
 167.8990     -0.897199054
 162.9050     -0.897521421
 158.1140     -0.895504771
 153.3900     -0.892011985
 148.7330     -0.885833856
 144.1450     -0.877594100
 139.6910     -0.866156227
 135.3720     -0.852182939
 131.0530     -0.834457232
 126.8690     -0.813485989
 122.7520     -0.787900128
 118.7710     -0.758828452
 114.8570     -0.724168721
# T= 700.000000 K
 188.6160     -0.890617920
 178.0210     -0.899993755
 167.8990     -0.902346874
 162.9050     -0.902604487
 158.1140     -0.900444171
 153.3900     -0.896897449
 148.7330     -0.890601781
 144.1450     -0.882306070
 139.6910     -0.870771973
 135.3720     -0.856761656
 131.0530     -0.838969064
 126.8690     -0.817983028
 122.7520     -0.792331132
 118.7710     -0.763327580
 114.8570     -0.728654271
# T= 800.000000 K
 188.6160     -0.897106054
 178.0210     -0.906193236
 167.8990     -0.908008170
 162.9050     -0.908198590
 158.1140     -0.905891735
 153.3900     -0.902288509
 148.7330     -0.895872155
 144.1450     -0.887516656
 139.6910     -0.875883729
 135.3720     -0.861832306
 131.0530     -0.843969402
 126.8690     -0.822964524
 122.7520     -0.797242205
 118.7710     -0.768303111
 114.8570     -0.733609713
# T= 900.000000 K
 188.6160     -0.904055587
 178.0210     -0.912851498
 167.8990     -0.914124636
 162.9050     -0.914246154
 158.1140     -0.911790790
 153.3900     -0.908129305
 148.7330     -0.901590067
 144.1450     -0.893171975
 139.6910     -0.881438574
 135.3720     -0.867343067
 131.0530     -0.849407507
 126.8690     -0.828380903
 122.7520     -0.802585092
 118.7710     -0.773707907
 114.8570     -0.738989429
# T= 1000.000000 K
 188.6160     -0.911417737
 178.0210     -0.919920516
 167.8990     -0.920649336
 162.9050     -0.920700706
 158.1140     -0.918095427
 153.3900     -0.914374441
 148.7330     -0.907710725
 144.1450     -0.899227903
 139.6910     -0.887392983
 135.3720     -0.873251138
 131.0530     -0.855241277
 126.8690     -0.834190832
 122.7520     -0.808319322
 118.7710     -0.779502239
 114.8570     -0.744754737
# T= 1100.000000 K
 188.6160     -0.919152851
 178.0210     -0.927361130
 167.8990     -0.927543814
 162.9050     -0.927524097
 158.1140     -0.924767868
 153.3900     -0.920986475
 148.7330     -0.914197087
 144.1450     -0.905647855
 139.6910     -0.893710757
 135.3720     -0.879520816
 131.0530     -0.861435472
 126.8690     -0.840359588
 122.7520     -0.814410759
 118.7710     -0.785652471
 114.8570     -0.750872748
# T= 1200.000000 K
 188.6160     -0.927228109
 178.0210     -0.935140853
 167.8990     -0.934776061
 162.9050     -0.934684527
 158.1140     -0.931776564
 153.3900     -0.927934089
 148.7330     -0.921018108
 144.1450     -0.912401109
 139.6910     -0.900361429
 135.3720     -0.886121982
 131.0530     -0.867960290
 126.8690     -0.846857735
 122.7520     -0.820830372
 118.7710     -0.792129922
 114.8570     -0.757315325
# T= 1300.000000 K
 188.6160     -0.935615927
 178.0210     -0.943232335
 167.8990     -0.942319053
 162.9050     -0.942155123
 158.1140     -0.939094819
 153.3900     -0.935190750
 148.7330     -0.928147450
 144.1450     -0.919461561
 139.6910     -0.907319069
 135.3720     -0.893028961
 131.0530     -0.874790278
 126.8690     -0.853660083
 122.7520     -0.827553255
 118.7710     -0.798909935
 114.8570     -0.764058217
# T= 1400.000000 K
 188.6160     -0.944292809
 178.0210     -0.951612248
 167.8990     -0.950149701
 162.9050     -0.949912903
 158.1140     -0.946699781
 153.3900     -0.942733719
 148.7330     -0.935562519
 144.1450     -0.926806791
 139.6910     -0.914561377
 135.3720     -0.900219639
 131.0530     -0.881903486
 126.8690     -0.860744871
 122.7520     -0.834557861
 118.7710     -0.805971140
 114.8570     -0.771080368
# T= 1500.000000 K
 188.6160     -0.953238511
 178.0210     -0.960260473
 167.8990     -0.958248058
 162.9050     -0.957938003
 158.1140     -0.954571678
 153.3900     -0.950543313
 148.7330     -0.943243735
 144.1450     -0.934417354
 139.6910     -0.922068993
 135.3720     -0.907674804
 131.0530     -0.889280818
 126.8690     -0.868093148
 122.7520     -0.841825392
 118.7710     -0.813294874
 114.8570     -0.778363355
# T= 1600.000000 K
 188.6160     -0.962435418
 178.0210     -0.969159488
 167.8990     -0.966596729
 162.9050     -0.966213091
 158.1140     -0.962693253
 153.3900     -0.958602337
 148.7330     -0.951173984
 144.1450     -0.942276241
 139.6910     -0.929824969
 135.3720     -0.915377618
 131.0530     -0.896905524
 126.8690     -0.875688274
 122.7520     -0.849339327
