# T (K)               Helmholtz Free Energy (Ry.)
# V= 188.6160000000000
    0.00      -0.8660356008378
  100.00      -0.8663189924705
  200.00      -0.8678479921886
  300.00      -0.8706378976845
  400.00      -0.8744681254005
  500.00      -0.8791468937772
  600.00      -0.8845322640849
  700.00      -0.8905195908677
  800.00      -0.8970298174572
  900.00      -0.9040015745826
 1000.00      -0.9113860305609
 1100.00      -0.9191435032595
 1200.00      -0.9272411484417
 1300.00      -0.9356513626785
 1400.00      -0.9443506382759
 1500.00      -0.9533187178311
 1600.00      -0.9625379762756
 1700.00      -0.9719929390284
 1800.00      -0.9816699143122
 1900.00      -0.9915567048689
 2000.00      -1.0016423743013
 2100.00      -1.0119170646860
 2200.00      -1.0223718457652
 2300.00      -1.0329985891364
 2400.00      -1.0437898636813
 2500.00      -1.0547388484093
 2600.00      -1.0658392682398
 2700.00      -1.0770853271968
 2800.00      -1.0884716449440
 2900.00      -1.0999932396854
 3000.00      -1.1116454503878
 3100.00      -1.1234239354819
 3200.00      -1.1353246389607
 3300.00      -1.1473437409770
 3400.00      -1.1594776750100
 3500.00      -1.1717230426793
 3600.00      -1.1840766855301
 3700.00      -1.1965355877206
 3800.00      -1.2090969063211
 3900.00      -1.2217579622134
 4000.00      -1.2345161617466
 4100.00      -1.2473691237819
 4200.00      -1.2603144795881
 4300.00      -1.2733500729796
 4400.00      -1.2864738025751
 4500.00      -1.2996836113260
 4600.00      -1.3129776315727
 4700.00      -1.3263540430263
 4800.00      -1.3398109985872
 4900.00      -1.3533469977369
 5000.00      -1.3668769758799
 5100.00      -1.3803606592646
 5200.00      -1.3939048819201
 5300.00      -1.4075293978975
 5400.00      -1.4212311261889
 5500.00      -1.4350033652507
 5600.00      -1.4488486647399
 5700.00      -1.4627647361452
 5800.00      -1.4767530335518
 5900.00      -1.4908076681069
 6000.00      -1.5049371841409
# V= 187.8709595959596
    0.00      -0.8669735688629
  100.00      -0.8672523058433
  200.00      -0.8687638279589
  300.00      -0.8715295149369
  400.00      -0.8753325278773
  500.00      -0.8799826450624
  600.00      -0.8853385888212
  700.00      -0.8912960294402
  800.00      -0.8977760781490
  900.00      -0.9047174625288
 1000.00      -0.9120714109343
 1100.00      -0.9197982798800
 1200.00      -0.9278652517237
 1300.00      -0.9362447416587
 1400.00      -0.9449132553363
 1500.00      -0.9538505455790
 1600.00      -0.9630389949116
 1700.00      -0.9724631347011
 1800.00      -0.9821092779250
 1900.00      -0.9919652310656
 2000.00      -1.0020200609400
 2100.00      -1.0122639122162
 2200.00      -1.0226878567164
 2300.00      -1.0332837677910
 2400.00      -1.0440442159448
 2500.00      -1.0549623818310
 2600.00      -1.0660319914132
 2700.00      -1.0772472495458
 2800.00      -1.0886027774226
 2900.00      -1.1000935933458
 3000.00      -1.1117150378781
 3100.00      -1.1234627701680
 3200.00      -1.1353327341644
 3300.00      -1.1473211112831
 3400.00      -1.1594243345549
 3500.00      -1.1716390078654
 3600.00      -1.1839619717829
 3700.00      -1.1963902116736
 3800.00      -1.2089208851099
 3900.00      -1.2215513122413
 4000.00      -1.2342789025399
 4100.00      -1.2471012718420
 4200.00      -1.2600160558291
 4300.00      -1.2730210954072
 4400.00      -1.2861142898717
 4500.00      -1.2992935859048
 4600.00      -1.3125571129714
 4700.00      -1.3259030503409
 4800.00      -1.3393295574186
 4900.00      -1.3528351216208
 5000.00      -1.3663405088887
 5100.00      -1.3798082187819
 5200.00      -1.3933374439378
 5300.00      -1.4069466370870
 5400.00      -1.4206328216048
 5500.00      -1.4343895654639
 5600.00      -1.4482190991158
 5700.00      -1.4621194518419
 5800.00      -1.4760917126501
 5900.00      -1.4901303947599
 6000.00      -1.5042432842879
# V= 187.1259191919192
    0.00      -0.8678905440915
  100.00      -0.8681646825308
  200.00      -0.8696589282853
  300.00      -0.8724006304884
  400.00      -0.8761766579488
  500.00      -0.8807983459336
  600.00      -0.8861250796449
  700.00      -0.8920528467227
  800.00      -0.8985029273515
  900.00      -0.9054141466405
 1000.00      -0.9127377934096
 1100.00      -0.9204342631130
 1200.00      -0.9284707648902
 1300.00      -0.9368197326888
 1400.00      -0.9454576856009
 1500.00      -0.9543643867360
 1600.00      -0.9635222262596
 1700.00      -0.9729157415202
 1800.00      -0.9825312502725
 1900.00      -0.9923565627572
 2000.00      -1.0023807490136
 2100.00      -1.0125939563083
 2200.00      -1.0229872585486
 2300.00      -1.0335525308418
 2400.00      -1.0442823453148
 2500.00      -1.0551698842562
 2600.00      -1.0662088746740
 2700.00      -1.0773935222556
 2800.00      -1.0887184497065
 2900.00      -1.1001786754398
 3000.00      -1.1117695415894
 3100.00      -1.1234867080146
 3200.00      -1.1353261186319
 3300.00      -1.1472839560979
 3400.00      -1.1593566530100
 3500.00      -1.1715408154759
 3600.00      -1.1838332831116
 3700.00      -1.1962310424686
 3800.00      -1.2087312516124
 3900.00      -1.2213312299794
 4000.00      -1.2340283900971
 4100.00      -1.2468203448442
 4200.00      -1.2597047342206
 4300.00      -1.2726793962884
 4400.00      -1.2857422310028
 4500.00      -1.2988911887002
 4600.00      -1.3121243960304
 4700.00      -1.3254400318283
 4800.00      -1.3388362618691
 4900.00      -1.3523115617581
 5000.00      -1.3657924062741
 5100.00      -1.3792440084717
 5200.00      -1.3927580773002
 5300.00      -1.4063517930223
 5400.00      -1.4200222811869
 5500.00      -1.4337633728396
 5600.00      -1.4475769857249
 5700.00      -1.4614614621978
 5800.00      -1.4754175326512
 5900.00      -1.4894401044628
 6000.00      -1.5035362212303
# V= 186.3808787878788
    0.00      -0.8687861027632
  100.00      -0.8690556995562
  200.00      -0.8705328726494
  300.00      -0.8732508266896
  400.00      -0.8770001008092
