#T (K)      V (a.u.^3)
# P= 0.000000 GPa
    0.0     164.5448273948292
  100.0     164.5890850508083
  200.0     164.7694130751447
  300.0     165.0570225382786
  400.0     165.4124616146523
  500.0     165.8112664385228
  600.0     166.2412864370743
  700.0     166.6965376219899
  800.0     167.1740656923860
  900.0     167.6725027455985
 1000.0     168.1913802925677
 1100.0     168.7307896537441
 1200.0     169.2911971321851
 1300.0     169.8733497450886
 1400.0     170.4782244976325
 1500.0     171.1069974163533
 1600.0     171.7610389077254
 1700.0     172.4419111396733
 1800.0     173.1513776377371
 1900.0     173.8914204337686
 2000.0     174.6642584348780
 2100.0     175.4723791148680
 2200.0     176.3185747975768
 2300.0     177.2059845813680
 2400.0     178.1381446750817
 2500.0     179.1190495402396
 2600.0     180.1532461309017
 2700.0     181.2459253162779
 2800.0     182.4030143434570
 2900.0     183.6313931403634
 3000.0     184.9389883025626
 3100.0     186.3350893466269
 3200.0     187.8306677221896
 3300.0     189.4386446740225
 3400.0     191.1740177469403
 3500.0     193.0535688074365
 3600.0     195.0964185665466
 3700.0     197.3241156364165
 3800.0     199.7605835795239
 3900.0     202.4335944005616
 4000.0     205.3733029972936
 4100.0     208.6145471207856
 4200.0     212.1957605250209
 4300.0     216.1610757086164
 4400.0     220.5602304809727
 4500.0     225.4470169729029
 4600.0     230.8821313607623
 4700.0     236.9417954725795
 4800.0     243.6948572024121
 4900.0     251.2351525278063
 5000.0     256.8480614563450
 5100.0     258.5291468428914
 5200.0     259.6486023626057
 5300.0     260.8298822992947
 5400.0     262.0365640664240
 5500.0     263.1319649802754
 5600.0     264.2509970921092
 5700.0     265.2897827300476
 5800.0     266.3928907477530
 5900.0     267.3811000098940
 6000.0     268.5917587589938
# P= 1.000000 GPa
    0.0     163.6348194887890
  100.0     163.6759515534348
  200.0     163.8448423258499
  300.0     164.1166464425520
  400.0     164.4540273286366
  500.0     164.8332602283522
  600.0     165.2424300181555
  700.0     165.6756137745882
  800.0     166.1298443760035
  900.0     166.6037043858504
 1000.0     167.0966530689728
 1100.0     167.6086903659286
 1200.0     168.1401764346895
 1300.0     168.6917366604280
 1400.0     169.2642093046978
 1500.0     169.8586140687286
 1600.0     170.4761449553997
 1700.0     171.1181649729014
 1800.0     171.7862123046080
 1900.0     172.4820129690559
 2000.0     173.2074950449426
 2100.0     173.9648134698778
 2200.0     174.7563787045482
 2300.0     175.5848900587762
 2400.0     176.4533747072343
 2500.0     177.3652355135245
 2600.0     178.3243250399042
 2700.0     179.3350159766305
 2800.0     180.4022694990209
 2900.0     181.5318038909429
 3000.0     182.7301564536073
 3100.0     184.0049245695438
 3200.0     185.3649996798322
 3300.0     186.8207755168540
 3400.0     188.3846489754246
 3500.0     190.0711313457492
 3600.0     191.8969965137334
 3700.0     193.8811183262192
 3800.0     196.0447540790665
 3900.0     198.4122523576571
 4000.0     201.0104854828751
 4100.0     203.8704296873511
 4200.0     207.0262894611369
 4300.0     210.5174507509946
 4400.0     214.3882695957436
 4500.0     218.6872041867173
 4600.0     223.4691592997988
 4700.0     228.8014097660780
