# T (K)      fittedE (Ry.)      P (GPa)
# V = 188.616000 (a.u.^3)
    0.0      -0.8660356008378     -18.7243204737911
  100.0      -0.8654260923456     -18.6318673240943
  200.0      -0.8634912024652     -18.2848082153219
  300.0      -0.8605871894741     -17.8043341725850
  400.0      -0.8573438834261     -17.2647439386664
  500.0      -0.8538843426085     -16.6968637989728
  600.0      -0.8503243763384     -16.1137282752521
  700.0      -0.8466973330869     -15.5215558390475
  800.0      -0.8430293748008     -14.9236512402413
  900.0      -0.8393329090950     -14.3219201340676
 1000.0      -0.8356164818256     -13.7175438120062
 1100.0      -0.8318853513999     -13.1112824701563
 1200.0      -0.8281432076957     -12.5036593930425
 1300.0      -0.8243925256143     -11.8950409802735
 1400.0      -0.8206351660247     -11.2856897764529
 1500.0      -0.8168724839826     -10.6758071139562
 1600.0      -0.8131054611877     -10.0655424466523
 1700.0      -0.8093349121201      -9.4550128747748
 1800.0      -0.8055614243646      -8.8443120785109
 1900.0      -0.8017854971099      -8.2335137232168
 2000.0      -0.7980075391467      -7.6226812014389
 2100.0      -0.7942278282232      -7.0118656404130
 2200.0      -0.7904466101398      -6.4011080088892
 2300.0      -0.7866641139134      -5.7904428979824
 2400.0      -0.7828806008626      -5.1799023836843
 2500.0      -0.7790961957264      -4.5695189992814
 2600.0      -0.7753108492300      -3.9593133720534
 2700.0      -0.7715249661971      -3.3493018176398
 2800.0      -0.7677384063486      -2.7395147951667
 2900.0      -0.7639513034538      -2.1299540684871
 3000.0      -0.7601640729079      -1.5206514196170
 3100.0      -0.7563761621667      -0.9116210900354
 3200.0      -0.7525881015411      -0.3028620998239
 3300.0      -0.7487994886458       0.3056004161137
 3400.0      -0.7450109725389       0.9137754566935
 3500.0      -0.7412224117867       1.5216178313511
 3600.0      -0.7374332417595       2.1291470894562
 3700.0      -0.7336445794671       2.7363391413510
 3800.0      -0.7298550087513       3.3431839918693
 3900.0      -0.7260663962006       3.9496963071212
 4000.0      -0.7222770906963       4.5558137316405
 4100.0      -0.7184880884872       5.1615966447249
 4200.0      -0.7146997471185       5.7669570333813
 4300.0      -0.7109099744023       6.3719529087717
 4400.0      -0.7071199581667       6.9765707970197
 4500.0      -0.7033399466626       7.5807362406685
 4600.0      -0.6995203243726       8.1845066139330
 4700.0      -0.6958443432986       8.7878907524096
 4800.0      -0.6916347114285       9.3907588332591
 4900.0      -0.6894423942134       9.9933516224013
 5000.0      -0.6919787226762      10.4793555154461
 5100.0      -0.6918580692052      10.7934266227668
 5200.0      -0.6874562863745      11.0879856464045
 5300.0      -0.6833392287415      11.3890091419022
 5400.0      -0.6794157884608      11.6944145052833
 5500.0      -0.6755274872368      11.9988171182944
 5600.0      -0.6715302893983      12.3085832649841
 5700.0      -0.6674597383100      12.6173919335280
 5800.0      -0.6635034745497      12.9325148034645
 5900.0      -0.6595035597293      13.2459355390265
 6000.0      -0.6546587594251      13.5727787051514
# V = 187.870960 (a.u.^3)
    0.0      -0.8669735688629     -18.3139430392971
  100.0      -0.8663715663728     -18.2225901255068
  200.0      -0.8644504382825     -17.8794803568576
  300.0      -0.8615571895642     -17.4035933687248
  400.0      -0.8583206435307     -16.8685026173806
  500.0      -0.8548656572013     -16.3049785737198
  600.0      -0.8513088600844     -15.7260914040177
  700.0      -0.8476841412848     -15.1380911740157
  800.0      -0.8440179374994     -14.5443033507019
  900.0      -0.8403228296873     -13.9466468917007
 1000.0      -0.8366074713698     -13.3463113932993
 1100.0      -0.8328771926235     -12.7440628086170
 1200.0      -0.8291357279036     -12.1404280642076
 1300.0      -0.8253855901465     -11.5357761401316
 1400.0      -0.8216286622710     -10.9303715081650
 1500.0      -0.8178663164671     -10.3244166112575
 1600.0      -0.8140995506298      -9.7180618913621
 1700.0      -0.8103291873313      -9.1114250856594
 1800.0      -0.8065558235852      -8.5046002989678
 1900.0      -0.8027799638026      -7.8976616049428
 2000.0      -0.7990020201222      -7.2906724614586
 2100.0      -0.7952222770848      -6.6836841672369
 2200.0      -0.7914409847316      -6.0767378298493
 2300.0      -0.7876583739385      -5.4698680894069
 2400.0      -0.7838747016030      -4.8631069729051
 2500.0      -0.7800900956678      -4.2564868666430
 2600.0      -0.7763045225199      -3.6500283979003
 2700.0      -0.7725183660322      -3.0437479966400
 2800.0      -0.7687315037377      -2.4376756483613
 2900.0      -0.7649440671314      -1.8318134435566
 3000.0      -0.7611564443991      -1.2261926579507
 3100.0      -0.7573681320547      -0.6208274023668
 3200.0      -0.7535796273326      -0.0157168765384
 3300.0      -0.7497905535978       0.5891141439343
 3400.0      -0.7460015236180       1.1936744129878
 3500.0      -0.7422124069842       1.7979196056521
 3600.0      -0.7384226803116       2.4018687486738
 3700.0      -0.7346333843591       3.0054982260224
 3800.0      -0.7308432064276       3.6087982385152
 3900.0      -0.7270538825424       4.2117830112991
 4000.0      -0.7232638766106       4.8143915771256
 4100.0      -0.7194741195190       5.4166829924025
 4200.0      -0.7156849476436       6.0185710569858
 4300.0      -0.7118944083479       6.6201125734713
 4400.0      -0.7081036129876       7.2212943129624
 4500.0      -0.7043221041761       7.8220433858714
 4600.0      -0.7005036955305       8.4224159905114
 4700.0      -0.6968189296092       9.0224207338313
 4800.0      -0.6926375496405       9.6219305694266
 4900.0      -0.6903333330138      10.2211812003064
 5000.0      -0.6924242295647      10.7062475728742
 5100.0      -0.6920454507232      11.0229600172395
 5200.0      -0.6876817569024      11.3206441962377
 5300.0      -0.6835759384070      11.6247105012970
 5400.0      -0.6796547396475      11.9331196244965
 5500.0      -0.6757736826200      12.2406134386999
 5600.0      -0.6717817874686      12.5534306262647
 5700.0      -0.6677198507147      12.8653429082991
 5800.0      -0.6637699182540      13.1834950485930
 5900.0      -0.6597761399142      13.5000260937537
 6000.0      -0.6550055033363      13.8297523100976
# V = 187.125919 (a.u.^3)
    0.0      -0.8678905440915     -17.8952983691279
  100.0      -0.8672959532802     -17.8050610596289
  200.0      -0.8653884780760     -17.4659489084099
  300.0      -0.8625059878773     -16.9947053038500
  400.0      -0.8592762296642     -16.4641698740898
  500.0      -0.8558258266980     -15.9050560914445
  600.0      -0.8522722238729     -15.3304701423519
  700.0      -0.8486498506848     -14.7466941195491
  800.0      -0.8449854195957     -14.1570744521090
  900.0      -0.8412916858077     -13.5635435715326
 1000.0      -0.8375774111738     -12.9672996075620
 1100.0      -0.8338479979347     -12.3691143356641
 1200.0      -0.8301072255977     -11.7695183979164
 1300.0      -0.8263576453149     -11.1688834364904
 1400.0      -0.8226011623280     -10.5674757605092
 1500.0      -0.8188391661559      -9.9654991194799
 1600.0      -0.8150726709571      -9.3631048536141
 1700.0      -0.8113025075528      -8.7604114105331
 1800.0      -0.8075292824435      -8.1575133115205
 1900.0      -0.8037535053587      -7.5544849650373
 2000.0      -0.7999755918853      -6.9513900821033
 2100.0      -0.7961958333424      -6.3482799941040
 2200.0      -0.7924144840324      -5.7451959882628
 2300.0      -0.7886317767415      -5.1421727536866
 2400.0      -0.7848479641411      -4.5392423173710
 2500.0      -0.7810631773817      -3.9364369022952
 2600.0      -0.7772773981909      -3.3337771030750
 2700.0      -0.7734909900360      -2.7312794313333
 2800.0      -0.7697038479016      -2.1289735132658
 2900.0      -0.7659161010886      -1.5268616843446
 3000.0      -0.7621281112742      -0.9249747303354
 3100.0      -0.7583394228793      -0.3233265987416
 3200.0      -0.7545505008274       0.2780832003959
 3300.0      -0.7507609937893       0.8792304304317
 3400.0      -0.7469714789666       1.4801234859992
 3500.0      -0.7431818367813       2.0807189240548
 3600.0      -0.7393915842153       2.6810352813859
 3700.0      -0.7356016874696       3.2810494319211
 3800.0      -0.7318109350238       3.8807516744696
 3900.0      -0.7280209352164       4.4801559238709
 4000.0      -0.7242302645362       5.0792025357660
 4100.0      -0.7204397898701       5.6779492110093
 4200.0      -0.7166498268832       6.2763116439652
 4300.0      -0.7128585595394       6.8743453470041
 4400.0      -0.7090670244802       7.4720374342005
 4500.0      -0.7052840731712       8.0693165348402
 4600.0      -0.7014668771840       8.6662376223384
 4700.0      -0.6977735339569       9.2628092219840
 4800.0      -0.6936198436774       9.8589069004882
 4900.0      -0.6912060802488      10.4547613306128
 5000.0      -0.6928609015885      10.9388647538243
 5100.0      -0.6922295791159      11.2582353734965
 5200.0      -0.6879033641763      11.5590662497254
 5300.0      -0.6838086669782      11.8661946034083
 5400.0      -0.6798898221961      12.1776250759592
 5500.0      -0.6760160699270      12.4882275012363
 5600.0      -0.6720295020362      12.8041115226924
 5700.0      -0.6679761158169      13.1191424926267
 5800.0      -0.6640325433077      13.4403369525231
 5900.0      -0.6600449038871      13.7599909972242
 6000.0      -0.6553470444502      14.0926094586867
# V = 186.380879 (a.u.^3)
    0.0      -0.8687861027632     -17.4681860373323
  100.0      -0.8681988282265     -17.3790799046593
  200.0      -0.8663048957091     -17.0440141789664
  300.0      -0.8634331581192     -16.5774709075632
  400.0      -0.8602102158147     -16.0515472590116
  500.0      -0.8567644254396     -15.4968985638092
  600.0      -0.8532140423510     -14.9266672980339
  700.0      -0.8495940361778     -14.3471679733858
  800.0      -0.8459313961664     -13.7617684219861
  900.0      -0.8422390526693     -13.1724146553698
 1000.0      -0.8385258765464     -12.5803135000536
 1100.0      -0.8347973427035     -11.9862426355122
 1200.0      -0.8310572761813     -11.3907365336702
 1300.0      -0.8273082665313     -10.7941694988105
 1400.0      -0.8235522415950     -10.1968098162247
 1500.0      -0.8197906084172      -9.5988624603178
 1600.0      -0.8160243974900      -9.0004797430536
 1700.0      -0.8122544480423      -8.4017807898303
 1800.0      -0.8084813761209      -7.8028606200565
 1900.0      -0.8047056968708      -7.2037939769987
 2000.0      -0.8009278294290      -6.6046447594943
 2100.0      -0.7971480718783      -6.0054644377507
 2200.0      -0.7933666828036      -5.4062944051489
 2300.0      -0.7895838969530      -4.8071694651198
 2400.0      -0.7857999629685      -4.2081215793309
 2500.0      -0.7820150152139      -3.6091828564379
 2600.0      -0.7782290504321      -3.0103738910563
 2700.0      -0.7744424122363      -2.4117111784771
 2800.0      -0.7706550126983      -1.8132240835847
 2900.0      -0.7668669790062      -1.2149151541665
 3000.0      -0.7630786470364      -0.6168146370334
 3100.0      -0.7592896079546      -0.0189364143607
 3200.0      -0.7555002951466       0.5787198241588
 3300.0      -0.7517103821403       1.1761302338473
 3400.0      -0.7479204113031       1.7733029480263
 3500.0      -0.7441302736922       2.3701953565830
 3600.0      -0.7403395257690       2.9668255880054
 3700.0      -0.7365490608878       3.5631708591936
 3800.0      -0.7327577664024       4.1592217629322
 3900.0      -0.7289671258719       4.7549917404334
 4000.0      -0.7251758258964       5.3504225518880
 4100.0      -0.7213846707401       5.9455705262647
 4200.0      -0.7175939558205       6.5403532687685
 4300.0      -0.7138019987199       7.1348249525481
 4400.0      -0.7100097631387       7.7289730836455
 4500.0      -0.7062254240631       8.3227278102196
 4600.0      -0.7024094389845       8.9161428971199
 4700.0      -0.6987077277166       9.5092267226476
 4800.0      -0.6945811573783      10.1018575482889
 4900.0      -0.6920602272156      10.6942609512308
 5000.0      -0.6932884406444      11.1773752122723
 5100.0      -0.6924102204515      11.4994200289151
 5200.0      -0.6881208637452      11.8034182949822
 5300.0      -0.6840371653241      12.1136271687484
 5400.0      -0.6801207848667      12.4280957309211
 5500.0      -0.6762543956058      12.7418232625628
 5600.0      -0.6722731761368      13.0607890779959
 5700.0      -0.6682282723023      13.3789527813254
 5800.0      -0.6642910850766      13.7032015974870
 5900.0      -0.6603095833848      14.0259902047641
 6000.0      -0.6556830976955      14.3615091263269
# V = 185.635838 (a.u.^3)
    0.0      -0.8696598108217     -17.0323998691054
  100.0      -0.8690797560646     -16.9444407307726
  200.0      -0.8671992547271     -16.6134707776570
  300.0      -0.8643382636740     -16.1516854341070
  400.0      -0.8611221656508     -15.6304306470035
  500.0      -0.8576810174520     -15.0803024454564
  600.0      -0.8541338798559     -14.5144799463213
  700.0      -0.8505162623493     -13.9393104558962
  800.0      -0.8468554319854     -13.3581834788284
  900.0      -0.8431644951844     -12.7730589251604
 1000.0      -0.8394524324962     -12.1851523916775
 1100.0      -0.8357247919999     -11.5952475843516
 1200.0      -0.8319854447570     -11.0038829356104
 1300.0      -0.8282370189051     -10.4114353710183
 1400.0      -0.8244814651664      -9.8181752336952
 1500.0      -0.8207202083115      -9.2243087556078
 1600.0      -0.8169542952377      -8.6299892368042
 1700.0      -0.8131845737426      -8.0353365294554
 1800.0      -0.8094116694793      -7.4404461102652
 1900.0      -0.8056361031068      -6.8453930736374
 2000.0      -0.8018582974155      -6.2502415388910
 2100.0      -0.7980785572377      -5.6550431150552
 2200.0      -0.7942971454621      -5.0598393343329
 2300.0      -0.7905142988517      -4.4646650328186
 2400.0      -0.7867302622176      -3.8695522375080
 2500.0      -0.7829451731415      -3.2745328120770
 2600.0      -0.7791590430555      -2.6796274164691
 2700.0      -0.7753721962736      -2.0848525949714
 2800.0      -0.7715845615885      -1.4902373368326
