# T (K)       gamma
# P = 0.000000 (GPa)
    1.0      -4.8550095577968
  100.0       1.1610318335564
  200.0       1.0948181432880
  300.0       1.2682216809616
  400.0       1.3068821633574
  500.0       1.3528351944635
  600.0       1.3785747466366
  700.0       1.4025633350113
  800.0       1.4230210277986
  900.0       1.4425584585541
 1000.0       1.4613888489236
 1100.0       1.4801115731983
 1200.0       1.4988895937288
 1300.0       1.5178981301586
 1400.0       1.5373271207679
 1500.0       1.5571743044586
 1600.0       1.5775938314098
 1700.0       1.5986261981545
 1800.0       1.6203216637980
 1900.0       1.6427888256850
 2000.0       1.6660413767648
 2100.0       1.6901516620405
 2200.0       1.7152075630875
 2300.0       1.7412881064285
 2400.0       1.7685163468746
 2500.0       1.7968350550553
 2600.0       1.8263889876143
 2700.0       1.8576573196260
 2800.0       1.8898823959613
 2900.0       1.9244284212945
 3000.0       1.9604141917561
 3100.0       1.9981969163994
 3200.0       2.0389939069891
 3300.0       2.0808158396506
 3400.0       2.1264012850828
 3500.0       2.1702841536827
 3600.0       2.2161311360322
 3700.0       2.2588901443687
 3800.0       2.2984971816375
 3900.0       2.3365631849720
 4000.0       2.3608575733658
 4100.0       2.3872613938053
 4200.0       2.3947574756779
 4300.0       2.3952012834237
 4400.0       2.3726435884963
 4500.0       2.3858994134532
 4600.0       2.1257697485370
 4700.0       4.1531541242091
 4800.0       0.6839733790637
 4900.0      -0.1830819579681
 5000.0      -0.0334738849326
 5100.0       0.0483865813210
 5200.0       0.2412055618448
 5300.0       0.1339201291690
 5400.0       2.4330110845784
 5500.0       0.1010855606041
 5600.0      -2.0356081446115
 5700.0       0.0921908125383
 5800.0      -0.4771912438187
 5900.0       0.0790957372310
 6000.0       0.0538065645544
# P = 1.000000 (GPa)
    1.0      -4.5821877640492
  100.0       1.1079829553740
  200.0       1.0550402719881
  300.0       1.2307440771615
  400.0       1.2722669678717
  500.0       1.3190393541518
  600.0       1.3451911319889
  700.0       1.3691354571431
  800.0       1.3893389791496
  900.0       1.4084582637091
 1000.0       1.4267597178467
 1100.0       1.4448602495954
 1200.0       1.4629432765083
 1300.0       1.4811903242423
 1400.0       1.4997923492072
 1500.0       1.5187529757112
 1600.0       1.5382235079149
 1700.0       1.5582437106626
 1800.0       1.5788609487448
 1900.0       1.6001786542781
 2000.0       1.6222076139996
 2100.0       1.6450130226919
 2200.0       1.6686751639679
 2300.0       1.6932647398825
 2400.0       1.7188937695054
 2500.0       1.7454988057877
 2600.0       1.7732071695202
 2700.0       1.8024715165524
 2800.0       1.8325468463338
 2900.0       1.8647264718870
 3000.0       1.8981447252584
 3100.0       1.9331293484514
 3200.0       1.9707656259307
 3300.0       2.0093724848414
 3400.0       2.0522867405873
 3500.0       2.0951693542801
 3600.0       2.1412694266067
 3700.0       2.1869157560525
 3800.0       2.2308295685870
 3900.0       2.2757242860235
 4000.0       2.3100164184730
 4100.0       2.3472501796608
 4200.0       2.3684468392105
 4300.0       2.3846698533892
 4400.0       2.3821891803312
 4500.0       2.4021870979515
 4600.0       2.2121505994586
 4700.0       3.3968089478380
 4800.0       0.8966222274773
 4900.0      -0.2899958985754
 5000.0      -0.0535380172210
 5100.0       0.0843429599761
 5200.0       0.3103672439431
 5300.0       0.1961965016349
 5400.0       0.9199459360876
 5500.0       0.1531953702800
 5600.0       1.7346187825356
 5700.0       0.1367024038586
 5800.0      -2.4979822724152
 5900.0       0.1191999929740
 6000.0       0.0788735948231
# P = 2.000000 (GPa)
    1.0      -4.3186888025059
  100.0       1.0560733137337
  200.0       1.0162391663430
  300.0       1.1942327954525
  400.0       1.2385741219646
  500.0       1.2861729965272
  600.0       1.3127516001178
  700.0       1.3366759357539
  800.0       1.3566572372933
  900.0       1.3753932865601
 1000.0       1.3932045585495
 1100.0       1.4107279033710
 1200.0       1.4281621103338
 1300.0       1.4456971325076
 1400.0       1.4635279061502
 1500.0       1.4816624542650
 1600.0       1.5002485964724
 1700.0       1.5193266969996
 1800.0       1.5389428998753
 1900.0       1.5591951130901
 2000.0       1.5800921546720
 2100.0       1.6016935287163
 2200.0       1.6240728644780
 2300.0       1.6472936511238
 2400.0       1.6714588401340
 2500.0       1.6965010303203
 2600.0       1.7225327790110
 2700.0       1.7499818860803
 2800.0       1.7781200761629
 2900.0       1.8081768440189
 3000.0       1.8393061271449
 3100.0       1.8718016900495
 3200.0       1.9066755781052
 3300.0       1.9423015694704
 3400.0       1.9817949754472
 3500.0       2.0215175206725
 3600.0       2.0653708881884
 3700.0       2.1107036800794
 3800.0       2.1560303256781
 3900.0       2.2044404753190
 4000.0       2.2452878285771
 4100.0       2.2905010989743
 4200.0       2.3228817085289
 4300.0       2.3527016072773
 4400.0       2.3680595993525
 4500.0       2.3986015747172
 4600.0       2.2655363439537
 4700.0       3.0483998292872
 4800.0       1.1215518093966
 4900.0      -0.4647198378436
 5000.0      -0.0864793997701
 5100.0       0.1375293554686
 5200.0       0.3879554523478
 5300.0       0.2735895256375
 5400.0       0.7471004536935
 5500.0       0.2218108025179
 5600.0       0.9267887847297
 5700.0       0.1958863563970
 5800.0       2.1389615177950
 5900.0       0.1730316517331
 6000.0       0.1145878159195
# P = 3.000000 (GPa)
    1.0      -4.0641759774204
  100.0       1.0052411414308
  200.0       0.9783645764840
  300.0       1.1586377472020
  400.0       1.2057574115739
  500.0       1.2541898539821
  600.0       1.2812085356507
  700.0       1.3051373298829
  800.0       1.3249245475850
  900.0       1.3433100223684
 1000.0       1.3606690487915
 1100.0       1.3776536266557
 1200.0       1.3944829843390
 1300.0       1.4113544931181
 1400.0       1.4284634629836
 1500.0       1.4458254837021
 1600.0       1.4635869816054
 1700.0       1.4817874325215
 1800.0       1.5004713799732
 1900.0       1.5197334315994
 2000.0       1.5395805593214
 2100.0       1.5600680233029
 2200.0       1.5812631165936
 2300.0       1.6032230795655
 2400.0       1.6260439369475
 2500.0       1.6496547258000
 2600.0       1.6741563350063
 2700.0       1.6999553263463
 2800.0       1.7263385900247
 2900.0       1.7544800165335
 3000.0       1.7835552283670
 3100.0       1.8138271059876
 3200.0       1.8462499232139
 3300.0       1.8792418340554
 3400.0       1.9157599653779
 3500.0       1.9522805772145
 3600.0       1.9925543258132
 3700.0       2.0348558195530
 3800.0       2.0786724741219
 3900.0       2.1273247073040
 4000.0       2.1711465939665
